Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
18,442.2246,3.31,38009236.026134364,34533337.51362681,40999200.31018947,38719897.94386056,42077146.62672087,39559957.43404203,39635895.52513592,48465209.53770092,37713360.73241673,39726179.712577134,C26H27N5O2,442.2246,3.31,1.14,0.011,1/1,38867763.68410642,7.543838877928201,41020120.58837454,10.349035742126246,1.055376401939694,0.9257687736313107
19,510.2657,3.66,17235901.45548979,13807043.119113864,13289372.4520631,10182907.592029097,15882752.280426102,28348263.059113644,23452528.72410174,32074298.641672872,27367267.46990253,27392702.947055,C26H35N7O2S,510.2657,3.66,1.07,0.166,1/1,14079595.37982439,19.155814397001098,27727012.168369155,11.08656417542066,1.9693046156781662,1.8404716034375384
20,310.1077,23.68,578628046.8244021,614036694.6383734,627945565.6303121,584391542.2676029,624546546.3049943,603764313.7307935,590614045.3406913,606534799.2014452,617092760.032795,613898462.0862367,C18H15NO4,310.1077,23.68,1.03,0.144,1/1,605909679.133137,3.7872160435797775,606380876.0783924,1.703322257214972,1.0007776686220453,0.9716288044874226
21,200.1107,3.38,154440354.79875937,136834701.49374598,169698572.21630925,160224432.9962181,179278346.82056552,161556979.0211328,172283103.4848699,172313559.6859055,163113011.50214696,154923493.50758362,C10H17NOS,200.1107,3.38,0.91,0.112,1/1,160095281.66511965,10.03914752932782,164838029.44032773,4.533224251094332,1.0296245318780148,1.13145552953628
22,309.1601,4.31,1129965885.765092,1058484717.2636462,1137542594.938682,1108652051.6586037,1294253305.214559,427251314.9479544,296296872.6348856,436064547.82215774,432486013.12862754,451074586.45101,C19H20N2O2,309.1601,4.31,0.86,0.072,1/1,1145779710.9681168,7.727967946505382,408634666.9969271,15.520171209958667,0.3566433085568034,0.41470152157767837
23,478.0977,22.69,181627954.7088452,201267562.1161256,184297819.02142185,201304122.54580352,206847713.82189855,8031144.476338807,2427516.5505026747,40254597.763940126,150179513.52162752,207942222.42185205,C21H15F4N5O2S,478.0977,22.69,0.23,0.2,1/4,195069034.44281894,5.803908478128685,81766998.94685224,112.84579343475565,0.4191695477470608,1.822476294552438
24,329.1535,0.53,1376323069.9883237,1322904760.807381,1329199402.453229,1426733960.255887,1466913997.9417984,1218250308.510889,1313593367.670765,1150166322.8119736,1233788206.632371,1378427516.570417,C15H24N2O4S,329.1535,0.53,0.99,0.707,1/1,1384415038.2893238,4.495683246063269,1258845144.439283,7.036442595343987,0.9092975080614528,0.9184823313752049
25,374.2121,19.34,591401562.0379194,562677125.9756327,421754048.1528357,565602134.3907244,554923884.8236284,628945073.3008151,384136241.2002725,647027167.9354072,638726324.1041198,448237867.99092937,C25H27NO2,374.2121,19.34,0.98,0.716,1/1,539271751.0761483,12.444218418822823,549414534.9063088,22.5473703371389,1.0188082980610795,1.0396003041439588
26,408.1383,27.0,361948893.6229725,341744487.66985613,342114630.3205258,352251837.98230386,353662892.47872937,373715827.739421,374942855.515174,373799858.5156419,365233430.5211061,358223343.10252047,C22H21N3O3S,408.1383,27.0,1.01,0.711,1/1,350344548.41487753,2.434574472388006,369183063.0787727,1.9661338579334195,1.0537713937583144,1.0433380136220936
28,453.2091,15.48,288421175.3218279,283421604.52829576,285071052.53410536,337691342.67408305,279797539.4091558,11937722.75471908,12395735.363303792,12521295.578761034,13843641.667758888,12157513.88579058,C24H30F2O6,453.2091,15.48,0.05,0.0,1/16,294880542.89349353,8.183836735064128,12571181.850066675,5.932543298495633,0.042631438909847635,0.8526287781969527
29,495.2201,25.98,16908330.2695075,19074399.10097592,17076311.48550435,17289381.02935032,16337920.596113171,7815656.356272818,8147496.485031743,7561720.268996226,7370003.018694403,7855488.620129516,C26H32F2O7,495.2201,25.98,0.45,0.0,1/2,17337268.496290255,5.959897594868932,7750072.949824941,3.834681253919434,0.4470181073496822,0.9933735718881826
31,531.1575,12.35,257118622.82553613,277852528.1021705,305049288.3474158,328024898.9763603,309486760.19105786,316332652.04375833,328240069.20187294,301870718.3086912,289676716.2835956,270881638.145177,C26H28Cl2N4O4,531.1575,12.35,0.95,0.542,1/1,295506419.68850815,9.465057484522065,301400358.79661906,7.441893963891068,1.0199452151135115,1.073626542224749
33,345.2429,24.7,11593346.425716488,11469056.88386046,12152419.700944984,11280511.597629877,11863684.282470193,5682979.190905884,5666883.651655201,5305282.454908184,5258414.87360388,5395755.8984748935,C22H32O3,345.2429,24.7,0.55,0.0,1/2,11671803.778124401,2.9311566053868523,5461863.213909609,3.6755123921229953,0.4679536529003662,0.8508248234552113
34,268.1912,4.17,297785351.6813922,315062095.7846101,345136721.2578783,314811864.8994176,357329926.3026022,617386976.314286,566232742.9522903,605396521.9607279,612174980.8962829,624170357.5908478,C15H25NO3,268.1912,4.17,2.21,0.0,2/1,326025191.9851801,7.495410818679963,605072315.9428871,3.7646014919775657,1.85590663181142,0.8397767564757557
35,416.9913,24.88,124564572.86798824,134873731.0933053,95578896.10040344,129651662.96355169,133099127.40862335,89458161.55054106,34874088.81146152,196274824.1146804,433401645.0930642,554366309.9926465,C18H14Cl4N2O,416.9913,24.88,3.68,0.0,4/1,123553598.0867744,13.050968796448439,261675005.91247874,85.56583312078241,2.1179068029139763,0.5755181529657544
36,264.1751,12.26,1834653876.8570616,1913238037.9446104,1356706581.966057,2204032350.372672,1878545169.3378904,440362089.6024931,283948109.07566243,538678616.0397456,613902991.353697,448250976.389918,C19H21N,264.1751,12.26,0.27,0.0,1/4,1837435203.295658,16.617890341753974,465028556.4923032,26.613816511795097,0.2530856901284025,0.9373544078829721
37,320.141,3.38,1734055.064086364,1605503.818119177,1766924.1401044263,1590659.8608954467,1870748.0168218384,1577659695.5053208,1673411272.9349878,1340606050.850046,1400953884.92055,1321847755.3920348,C16H18FN3O3,320.141,3.38,22.46,0.0,16/1,1713578.1800054505,6.827845012678684,1462895731.920588,10.599482986634372,853.7081931773517,38.01015998118218
38,414.1554,5.02,345020188.1314695,345672107.81054586,353241179.9254497,368684076.753595,385760987.0803355,532891984.20954615,530298519.52099615,551333239.4304932,582396357.9216338,595555701.6309636,C22H23NO7,414.1554,5.02,0.8,0.032,1/1,359675707.9402791,4.843361719244566,558495160.5427265,5.255900310848166,1.5527742024642364,1.9409677530802953
39,270.1856,10.04,1707313790.8378923,1474796357.4183102,1094618008.5195076,1806628694.604578,1440863607.5733397,1532408479.6284564,1079130195.1154904,1755470844.7085285,1661267144.7462466,1357364065.5806017,C18H23NO,270.1856,10.04,0.89,0.05,1/1,1504844091.7907255,18.3601941591259,1477128145.9558647,18.139763022171405,0.9815821811800586,1.1029013271686052
40,261.1965,6.81,423420074.9896225,453742393.8183498,434080485.89462185,441392435.733837,442970226.9175656,6898438401.878011,5732785767.257958,6873253993.2719,6474572150.194671,5834094791.50918,C16H24N2O,261.1965,6.81,12.59,0.0,16/1,439121123.47079927,2.5605104356830797,6362629020.822344,8.738058915193205,14.489462430165801,1.1508707251918826
41,340.1549,4.82,4821273884.950166,4719972917.160904,4564743956.452318,4848014183.12657,5305972046.939491,227917762.36519605,235840820.95965883,208514393.34178832,183126309.6480677,135698893.74259657,C20H21NO4,340.1549,4.82,0.12,0.0,1/4,4851995397.725889,5.709752000419225,198219636.0114615,20.3991032233939,0.04085322012143009,0.34044350101191745
42,214.1091,5.47,761355295.9351765,747117857.9792519,747058132.1036751,732449317.3887223,859601695.948556,45928257.69283954,46032733.14962792,43375400.41714852,42087658.89773742,39888078.23013306,C11H11N5,214.1091,5.47,0.06,0.0,1/16,769516459.8710763,6.677673766418694,43462425.67749729,6.017507879571594,0.056480176765522236,0.9413362794253707
43,288.2324,9.72,749639683.4225034,636121822.3446064,407774668.6800582,764312714.9654198,627236398.2311435,2957656056.6751475,2061968505.204811,3240375771.1670804,2920864187.14427,2283640825.3670754,C19H29NO,288.2324,9.72,3.43,0.0,4/1,637017057.5287464,22.4127515679661,2692901069.1116767,18.44962496270723,4.227361005933747,1.2324667655783519
44,315.2323,28.21,173916962.9736759,143792672.80418134,146261121.73573145,140534655.34520617,170133456.8972273,52464526.17064855,52876112.98038562,52352689.02375658,51497035.828593366,62243290.03751208,C21H30O2,315.2323,28.21,0.46,0.001,1/2,154927773.95120442,10.195774009185579,54286730.80817924,8.245197188169424,0.3504002505404694,0.7617396750879769
45,286.1917,4.19,184805245.30250823,197609602.80110583,216890471.8187768,188304148.97872916,239360655.6777616,2509501305.7207685,2129537338.455017,2797463762.263079,2823215910.569101,2598661462.980701,C17H23N3O,286.1917,4.19,9.21,0.0,16/1,205394024.91577634,11.055410804582301,2571675955.997733,10.90055749629424,12.520695074027941,1.3594674347478761
46,277.0646,6.46,36814201.17427133,36566910.15241676,43594100.952044666,38635437.30596682,39041865.02407924,34832581.46737492,36303622.51178964,34319201.83541611,33315197.23337534,36750949.2364599,C13H12N2O3S,277.0646,6.46,0.51,0.0,1/2,38930502.92175576,7.2555449473104545,35104310.456883185,4.0388955042632215,0.9017173635654636,1.768073261893066
47,399.0764,11.55,73824013.51613651,60337176.21568707,32828773.197808407,71884578.7353747,53607670.68604474,17631734.56171765,11734346.75627617,18936852.94103202,20160020.59181318,14420296.062169945,C18H14N4O5S,399.0764,11.55,0.24,0.0,1/4,58496442.47021029,28.352735984868715,16576650.18260179,20.815045396938725,0.28337877454759,1.1807448939482916
48,317.1647,3.81,710976951.0453503,595432172.2960284,658447256.9529452,623115181.2305331,771084011.911383,39408701.84540241,40601237.05136689,32787195.19547204,36784049.637346506,32446617.23267881,C13H24N4O3S,317.1647,3.81,0.06,0.0,1/16,671811114.687248,10.465399508047865,36405560.19245333,10.234636679848116,0.05419017250019958,0.903169541669993
49,308.1106,31.54,3614963.135975648,2394778.6531021283,2572238.087719491,2662659.9471429847,3897803.21386294,5300004.003394699,5960134.746520455,4832060.347486041,5191239.085140222,5841482.590542046,C19H17NOS,308.1106,31.54,1.83,0.001,2/1,3028488.607560639,22.414829526466047,5424984.154616693,8.654165328311091,1.7913173393068706,0.9788619340474702
50,408.1721,16.69,218765397.26925507,223487616.2492008,208539689.3398948,217418651.36840323,237897484.53446996,3904033090.864398,3009174480.6811423,4388895995.771895,4687125211.616388,3774888726.553896,C21H24F3N3S,408.1721,16.69,15.01,0.0,16/1,221221767.75224477,4.871431324625449,3952823501.097544,16.26723190492164,17.868148967711313,1.1904163203005538
51,302.2482,11.46,3607434471.005411,3169525606.046956,2259198113.1799664,3161353169.46115,3171501078.6100755,130101882.98893106,40682394.72880942,396946520.2123086,732652122.0366678,802848809.6277852,C20H31NO,302.2482,11.46,0.26,0.0,1/4,3073802487.6607122,16.059543292941534,420646345.9189004,81.72989020156861,0.13684885336891936,0.5263417437266129
53,279.186,5.24,1938670536.1817431,1908040918.1613743,1047272791.1628356,1684823554.5457537,1643620293.5532048,2160453807.344883,1734584153.8234465,2555808376.9674945,2679048080.5093384,2564619654.122156,C19H22N2,279.186,5.24,0.99,0.883,1/1,1644485618.720982,21.804544226799287,2338902814.553464,16.706520703576494,1.4222701542215814,1.4366365194157389
54,245.2016,9.63,936044295.700104,821717152.0715797,582157238.1498948,802322585.3850006,795476320.1338542,1302862920.256234,500639014.979516,2097939129.690704,2898568747.578094,3546295138.668063,C16H24N2,245.2016,9.63,3.41,0.0,4/1,787543518.2880867,16.27155958745444,2069260990.2345223,58.782427768493385,2.627487805032735,0.770524283000802
55,180.1022,5.88,873323427.0155214,899123960.6587764,948012175.4690276,889339935.2168533,835628420.0165346,49086329.02275778,47803362.14321252,46864295.09047361,46225231.54954404,58379793.71433949,C10H13NO2,180.1022,5.88,0.05,0.0,1/16,889085583.6753426,4.596122695590921,49671802.30406549,10.037036475809458,0.05586841493788475,1.117368298757695
56,355.2022,4.54,405541.98677673226,658227.5410069462,452960.6971607758,365622.14741697547,138977.45942139623,281002048.75384057,257229295.9951724,286478976.47793555,289971808.0852888,314426905.44726115,C21H26N2O3,355.2022,4.54,1.99,0.0,2/1,404265.9663565651,46.068560636849696,285821806.95189965,7.163052840738038,707.0142696597987,355.2835525928637
57,337.2127,3.67,1188724857.4551992,1181312131.2860975,1240086686.957665,1219300469.819201,1426676337.8534896,4707157.400758386,5644485.55129054,5574661.698292725,5069364.631398832,5442971.473118613,C18H28N2O4,337.2127,3.67,0.06,0.0,1/16,1251220096.6743305,8.063856155061655,5287728.15097182,7.436249617348886,0.004226057561756154,0.0704342926959359
58,310.1264,5.46,179143408.99110433,186456582.99457443,193785620.48645583,186955928.8688347,208252226.9046898,231839145.51833543,216143725.8628936,226290231.1788161,219312972.0525423,191742013.301701,C19H19NOS,310.1264,5.46,1.11,0.134,1/1,190918753.64913183,5.755311857267927,217065617.5828577,7.101715350445758,1.1369528316834618,1.024281830345461
60,384.1448,4.12,1173498370.9901218,1140535006.2357278,1125127616.6053126,1137563615.300544,1291661535.966383,61710630.96737415,58877347.79172085,56068495.765909545,50846084.934834406,40182825.6655477,C21H21NO6,384.1448,4.12,0.05,0.0,1/16,1173677229.0196178,5.822502541496934,53537077.025077336,15.830385596086014,0.04561482126546606,0.9122964253093211
61,235.1808,3.59,489514410.2796773,460551523.3965632,456847104.7102345,435483897.4706285,526614439.7726224,244336371.31830585,224159763.29480836,232067075.5853235,229659976.31197125,210560230.0478806,C14H22N2O,235.1808,3.59,0.53,0.001,1/2,473802275.1259452,7.437644692788853,228156683.3116579,5.390069435416118,0.4815440855597617,0.908573746339173
62,195.092,3.47,398433435.9472088,329351071.0420991,345845877.6060848,315371718.0422977,419748220.6849191,468366899.2190642,455064691.56929713,430139470.3046251,475565989.95913535,485706127.4345496,C13H10N2,195.092,3.47,1.03,0.396,1/1,361750064.66452193,12.487844362465617,462968635.6973343,4.638985757244699,1.2798024960318388,1.2425266951765426
63,438.1831,15.79,824409633.3825747,863180389.9018887,982249886.9046694,990347941.8475696,959022604.5822114,246998598.8212264,227251934.7033575,258681831.84894916,253887941.8922636,202911739.35556504,C22H26F3N3OS,438.1831,15.79,0.29,0.0,1/4,923842091.3237827,8.14327648883455,237946409.32427233,9.647368535843281,0.2575617755013917,0.8881440534530749
64,361.1206,31.63,33269675.09363501,22560363.223475177,27288082.774434134,27319145.15304985,34504319.462241635,44055538.6962532,48233253.31176622,45709332.5620411,43774879.866268806,59905324.74417555,C20H21ClO4,361.1206,31.63,1.87,0.001,2/1,28988317.14136716,16.87798296988338,48335665.83610098,13.873953406510905,1.667418829467841,0.8916678232448346
65,242.1179,28.54,6113942.913792523,4794096.328054875,4832489.301953236,4808568.59687104,5912699.553536287,22114388.030450344,21881779.823675618,21582927.38915712,20794116.02574042,26389436.058270324,C15H15NO2,242.1179,28.54,4.48,0.0,4/1,5292359.338841592,12.510901723647407,22552529.465458762,9.764036434224357,4.261337528603099,0.9511914126346203
66,430.2596,12.4,336816863.3807352,385927761.95110345,377305014.5550068,445801162.0382172,387659320.5772092,175188836.0573784,137017088.93432876,198402016.6295025,249712174.80468968,276585912.6189865,C25H35NO5,430.2596,12.4,0.45,0.001,1/2,386702024.50045437,10.074551369548544,207381205.8089772,27.11649868374651,0.5362816656490856,1.1917370347757459
67,180.1749,5.13,759385213.9427307,810489356.5388991,757474081.282819,786831993.2228451,918583110.0719588,1663761583.5224392,1509804221.2723594,1556126475.7198927,1369294280.9887805,949972541.3492928,C12H21N,180.1749,5.13,2.03,0.0,2/1,806552751.0118506,8.221557232334279,1409791820.5705528,19.714591052899618,1.7479226483350485,0.8610456395739156
68,484.1241,14.2,64301715.90042614,66322751.057489336,49972900.88366553,74817617.88229942,68201817.0430861,122549974.76930667,43617804.774168015,249479645.5465282,334226940.53524715,329859263.936895,C24H26BrN3O3,484.1241,14.2,4.2,0.0,4/1,64723360.553393304,14.124749746393961,215946725.91242903,59.713143034705155,3.3364572554029324,0.7943945846197458
69,480.214,12.53,1300977956.9248333,1372178587.8299818,1083489807.7710118,1495427678.52834,1392903837.1577845,328714314.9287861,196474506.77400613,435305886.9197886,504753620.488008,487273299.70574105,C26H29N3O6,480.214,12.53,0.37,0.0,1/2,1328995573.6423903,11.57809055278738,390504325.76326597,32.866507114229755,0.29383418087165425,0.7941464347882548
71,285.0211,4.73,84637799.39215738,90189843.22973578,93242010.4387181,88193140.08000126,98949496.0209955,135886515.54353634,137786787.3749748,130337527.22131832,132811900.8305296,131315936.3586377,C10H9ClN4O2S,285.0211,4.73,2.0,0.0,2/1,91042457.8323216,5.9461412388197825,133627733.46579936,2.3437524270994055,1.4677518231319022,0.7338759115659511
72,311.0813,6.9,1037931443.8337948,1007578580.3896626,980144884.0662894,1056149192.1260736,1022260248.578188,70321297.43869014,65022158.15040419,76578760.81607935,77597157.03728935,90845780.76869176,C12H14N4O4S,311.0813,6.9,0.08,0.0,1/16,1020812869.7988017,2.844598269843142,76073030.84223096,12.74509496966409,0.07452201387040179,0.9315251733800224
73,397.0101,22.36,28487713.999238253,12615950.353517763,1522383.7681125775,14866570.729900485,6424543.941832233,3086989223.23082,2166131039.54368,3491678953.249516,3032456329.1145806,2780208449.8002205,C18H15Cl3N2S,397.0101,22.36,14.57,0.0,16/1,12783432.558520263,79.98979877933215,2911492798.9877634,16.781127999045463,227.7551655754017,15.631788989389271
74,338.2515,25.73,1424059831.6182222,1733932052.386777,994920729.5098256,1502379375.9244845,1453379745.733582,2866685831.046205,2202404155.5462112,2931441534.577897,2359382082.340168,1550489187.354114,C20H35NOS,338.2515,25.73,1.72,0.0,2/1,1421734347.0345783,18.845351551688843,2382080558.1729193,23.570464418649507,1.6754751428362193,0.9741134551373368
76,381.0328,21.77,54191222.683796406,56715740.38599016,47113732.51232685,54989386.58297044,57444895.19177212,620071.0948719127,558571.908694796,941569.2033577987,841237.3152837465,1294696.3957280624,C18H15Cl3N2O,381.0328,21.77,15.15,0.0,16/1,54090995.471371196,7.6021790900103925,851229.1835872631,34.45140434064683,0.01573698498556556,0.0010387448835356805
77,312.1379,16.03,519722405.96093,509177750.9781892,540765567.4783484,569610627.945768,513862189.2211697,1845837096.043884,1821895700.3408344,1917280229.9660163,2225910704.1209693,1991037025.1790676,C14H21N3O3S,312.1379,16.03,4.02,0.0,4/1,530627708.316881,4.694932536434923,1960392151.1301544,8.288254359433951,3.694477541228293,0.9190242639871377
78,404.0377,4.96,4562361.016494284,4359086.0602466855,3691780.940959416,5127840.247279054,5375632.605178129,20681874.166960657,23598048.31802356,19695492.27653108,20887425.668689437,18622542.35421592,C17H13N3O5S2,404.0377,4.96,4.15,0.0,4/1,4623340.174031513,14.354708300713254,20697076.556884132,8.960946200064809,4.476650165855406,1.078710883338652
79,354.2431,20.1,5997937598.172979,5285430408.685067,3836128622.6260033,5240276486.983289,5042322893.802474,1592827525.9791436,1323348589.5402465,1756252209.7977667,2063302729.8240924,2052850010.343251,C23H31NO2,354.2431,20.1,0.31,0.0,1/4,5080419202.053963,15.433398913032883,1757716213.0968997,17.908622167100155,0.3459785783791764,1.1160599302554077
80,324.1962,10.37,1623144222.2530758,1470372516.3521075,1277210863.7327502,1510508639.8138936,1466628647.7942872,2863755849.516608,2579384295.847993,2850827277.557098,3105273811.021799,1984199960.3795576,C21H25NO2,324.1962,10.37,1.69,0.005,2/1,1469572977.9892228,8.490366997990737,2676688238.864611,16.047376120310552,1.8214054551595333,1.0777547071949902
82,470.233,16.51,391723997.89229226,415878979.0999291,342006940.50232285,438479921.1325171,427194070.0618653,188792261.47009477,115950438.984631,216909877.99796185,200231513.28710717,114951889.53624296,C25H32ClN5O2,470.233,16.51,0.41,0.0,1/2,403056781.73778534,9.494097066112236,167367196.25520754,28.94063402066218,0.4152447095260409,1.0127919744537583
83,427.2148,4.56,35892876.09234368,38165479.94170639,45002240.31130348,41295835.63000326,41830333.65883832,157093900.58889496,162301809.30882302,128492689.0745953,125220435.53283145,118644753.94391744,C23H27FN4O3,427.2148,4.56,3.68,0.0,4/1,40437353.12683903,8.684395418724774,138350717.68981242,14.378429444170532,3.42135938660106,0.9297172246198532
84,349.2128,3.51,200687154.5612732,205261240.56390303,243767018.84846583,202157867.4290026,223342027.49666813,221536287.78401616,222677502.11445323,254481874.8272791,221061047.53485987,221605662.12444463,C19H28N2O4,349.2128,3.51,1.15,0.136,1/1,215043061.77986255,8.580095564178091,228272474.87701064,6.423648311458176,1.0615198322961514,0.923060723735784
85,296.147,11.56,611552666.81405,539122183.0140859,315377940.94977987,632067663.1637269,514950668.6459738,1094799023.9401388,654480586.4545518,1321335690.3782632,1443838063.78316,1108688646.0758862,C19H21NS,296.147,11.56,1.69,0.003,2/1,522614224.5175233,24.04573761426019,1124628402.1264,26.777959384294842,2.1519284194085135,1.273330425685511
86,318.2795,21.48,1486113602.720574,1324735440.5742395,997950937.589244,1336923548.2884226,1327070665.4611487,2522571486.757208,1502706672.3645573,3041186754.946708,2833375184.4426184,3130397290.965924,C21H35NO,318.2795,21.48,1.73,0.003,2/1,1294558838.9267259,13.841547450358094,2606047477.8954034,25.310413416410277,2.0130776597655364,1.1636287050667842
