,Compound Name,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_1_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_2_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_3_Area,/home/zzy/peakformer/resources/paper/tof-shift/20170326-960MIX_SampleB_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peakformer/resources/paper/tof-shift/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
17,18,18182.051,17827.855,20123.333,23038.79,764.059,865.466,C21H28O5,361.1992,8.6,18.5,0.0,16/1,843.6397499999999,6.864440648339151,19793.007250000002,12.062607280392443,23.46144459172295,1.2681861941471866
18,19,133485.633,137861.3,135219.033,148846.578,34977.622,33122.959,C19H29NO,288.2323,9.87,4.07,0.0,4/1,34995.187000000005,4.146369192170547,138853.136,4.9699647985592055,3.967778083311856,0.974884049953773
19,20,4307.124,4145.002,4213.397,4399.467,7502.533,7895.412,C21H30O2,315.2316,28.05,0.54,0.001,1/2,8024.79075,5.136785327836892,4266.2475,2.6000214941671476,0.5316334883872206,0.9845064599763343
20,21,98996.658,100550.555,103476.202,101446.72,5684.24,5581.278,C17H23N3O,286.1914,4.34,14.44,0.0,16/1,5679.492,1.480584386273748,101117.53375,1.849382291930394,17.803975029809003,1.232962259682064
21,22,25733.895,27919.291,25913.277,28188.846,18455.498,18628.415,C12H13ClN4,249.0903,4.85,1.34,0.006,1/1,18721.75825,2.5258746886074257,26938.827250000002,4.805465658484658,1.4389047700688051,1.0738095299020933
22,23,542.936,595.749,667.23,633.092,1793.131,1758.112,C13H12N2O3S,277.0641,6.49,0.47,0.0,1/2,1707.9925,5.968996919520465,609.75175,8.734217358502077,0.35699907932850994,0.7595725092095956
23,24,861.795,831.165,931.381,1066.195,3536.194,3341.765,C18H14N4O5S,399.0755,11.79,0.27,0.0,1/4,3394.7884999999997,3.2806231706938402,922.634,11.325141380521888,0.271779523230976,1.0065908267813926
24,25,36955.624,36676.484,36228.538,33936.073,68235.978,70192.767,C21H26N2S2,371.1612,18.82,0.55,0.0,1/2,67906.3525,8.636705696138096,35949.17975,3.8250685360559684,0.5293934724295493,0.9625335862355441
25,26,3471.894,3047.297,3285.781,3335.758,57695.895,59262.531,C13H24N4O3S,317.1642,3.86,0.06,0.0,1/16,58062.595499999996,2.2583954718881514,3285.1825,5.3884572007968465,0.05658001458098786,0.9430002430164643
26,27,436813.821,431316.795,442829.859,426319.566,24025.964,23419.268,C21H24F3N3S,408.1716,16.88,16.61,0.0,16/1,23759.23475,3.6903939972327238,434320.01024999993,1.6370780850155753,18.280050465430076,1.1005448805195712
27,28,42869.022,39862.579,43837.368,41652.95,152288.438,147136.102,C20H31NO,302.248,11.25,0.27,0.0,1/4,157080.23599999998,5.783093058471341,42055.47975,4.0742813114091945,0.26773247113023185,0.9916017449267845
28,29,55987.057,57167.936,55484.919,55948.008,2907.412,2344.248,C16H21N3,256.1808,4.24,15.22,0.0,16/1,2661.6805,10.800019641526584,56146.98,1.2784843087844031,21.09456037266682,1.3859763713972943
29,30,92462.903,85751.782,83325.887,88744.731,74015.641,79795.173,C19H22N2,279.1856,4.92,1.01,0.828,1/1,77875.46625,3.4373314377766717,87571.32574999999,4.5024778594674535,1.1245046735113446,1.1133709638726184
30,31,178001.219,191647.084,167076.253,174584.23,44364.651,43620.803,C16H24N2,245.2014,9.51,3.89,0.0,4/1,43953.14750000001,1.1178479512983341,177827.1965,5.781658741452324,4.0458353181646425,1.0400604931014505
31,32,2827.865,2987.435,3236.876,3386.075,49938.123,48673.673,C10H13NO2,180.1017,5.78,0.07,0.0,1/16,49493.16575,1.4465863911237533,3109.56275,8.027625399177916,0.06282812390112669,0.8975446271589526
32,33,23383.743,24802.701,24918.429,26736.885,11726.175,11948.343,C21H26N2O3,355.2015,4.19,1.91,0.001,2/1,12140.73225,3.513073285369697,24960.4395,5.507018049205185,2.0559253746824044,1.0764007197290075
33,34,8467.924,8488.787,7991.682,8723.971,128163.158,128377.006,C18H28N2O4,337.2121,3.96,0.07,0.0,1/16,126988.44275,1.1693996689741066,8418.091,3.6476908267515005,0.0662902136422962,0.9470030520328028
34,35,28298.556,29803.537,29712.962,29495.975,26170.749,26745.485,C19H19NOS,310.1261,5.79,1.08,0.436,1/1,26487.13475,2.9891472296577284,29327.7575,2.3805591555964645,1.1072453769277555,1.0252272008590329
35,36,8955.781,9474.049,9721.419,9138.562,18877.103,17893.982,C18H19ClN4,327.1369,5.37,0.49,0.0,1/2,18093.6325,5.460470436116366,9322.45275,3.6660914751172067,0.5152338951285763,1.0514977451603598
36,37,5501.749,6682.716,6270.02,5339.01,122053.799,118128.924,C21H21NO6,384.144,4.1,0.06,0.0,1/16,119931.48574999999,2.137076547252057,5948.373750000001,10.692106763336046,0.04959809938817506,0.8266349898029177
37,38,13230.816,12728.535,11974.714,13430.554,27225.196,24649.353,C14H22N2O,235.1802,3.41,0.46,0.002,1/2,26248.95175,4.866586737185351,12841.154750000002,5.052116656784493,0.4892063832606192,1.0634921375230852
38,39,42730.114,43593.367,42898.721,44623.112,43200.591,42980.918,C13H10N2,195.0917,3.59,0.86,0.09,1/1,43166.77275,1.2931176442766175,43461.328499999996,1.978581952427962,1.0068236685588223,1.1707251959986307
39,40,25961.734,26891.365,28281.119,28511.076,110476.715,110552.84,C22H26F3N3OS,438.182,15.79,0.28,0.0,1/4,107028.17249999999,3.835095897695802,27411.3235,4.38669498758683,0.2561131602989858,0.9146898582106634
40,41,3870.445,4237.404,3605.99,4397.298,2297.079,1842.969,C20H21ClO4,361.1199,31.45,1.82,0.031,2/1,2047.1009999999999,10.321897238654214,4027.7842499999997,8.872700457612082,1.9675552158882244,1.0810742944440792
41,42,913.481,1025.854,1193.339,1013.447,937.375,817.464,C15H15NO2,242.1175,25.46,1.32,0.133,1/1,861.172,7.309873628244507,1036.53025,11.192419753967302,1.2036274402790617,0.91183896990838
42,43,16492.633,16268.535,16455.153,15613.618,33222.591,31532.722,C25H35NO5,430.2586,12.2,0.51,0.0,1/2,32934.003,3.8163015969808796,16207.48475,2.5165032391031428,0.4921200969709027,0.9649413666096132
43,44,23089.396,21880.613,22564.062,24802.569,10494.879,11672.119,C12H21N,180.1747,5.4,2.32,0.001,2/1,9820.47825,15.955617103529285,23084.160000000003,5.405999240493089,2.3506146454730965,1.0131959678763347
44,45,12726.426,13465.301,12758.55,11433.355,2224.131,2457.232,C24H26BrN3O3,484.1226,13.99,4.93,0.001,4/1,2280.5432499999997,6.474967424670103,12595.908,6.722271807332128,5.523205052129575,1.1203255683832811
45,46,35154.477,36462.627,36970.276,35527.688,112742.452,141467.9,C26H29N3O6,480.2131,12.87,0.28,0.0,1/4,116552.58924999999,15.624374201332145,36028.767,2.3167402053150505,0.3091202626371512,1.1040009379898257
46,47,3196.435,3368.02,3160.285,3018.011,62475.138,62661.206,C17H19NO,254.1539,5.24,0.06,0.0,1/16,62166.019250000005,0.9902663700775747,3185.68775,4.517067621439142,0.05124484064499594,0.854080677416599
47,48,7468.346,7552.384,8717.018,8449.723,3071.462,3232.8,C10H9ClN4O2S,285.0206,4.69,2.63,0.005,2/1,3154.7032500000005,2.830890826368879,8046.867749999999,7.828789060273481,2.5507526738053725,0.9698679368081264
48,49,1777.691,1891.524,2241.054,2527.329,48643.036,49225.172,C12H14N4O4S,311.0809,7.24,0.05,0.0,1/16,48296.54575,1.6070543873476881,2109.3995,16.180913210327425,0.043675991051596065,0.8735198210319213
50,51,165001.522,163958.024,161568.698,156260.172,75702.625,90075.046,C20H35NOS,338.2514,25.64,1.8,0.001,2/1,90548.13524999999,11.741003404880756,161697.104,2.4113264135729344,1.7857585200795176,0.9920880667108432
51,52,1117.085,1192.846,1077.464,1012.846,12130.492,9629.846,C25H28O3,377.2109,31.67,0.14,0.0,1/4,11187.954,9.75012733653534,1100.06025,6.846223057495275,0.098325417676905,0.7023244119778929
53,54,98478.351,95524.285,104657.661,98461.251,16599.583,15967.777,C14H21N3O3S,312.1378,16.4,5.18,0.0,4/1,16223.468,4.733479507318102,99280.387,3.872238659436491,6.119553907956055,1.18138106331198
54,55,10311.711,10811.942,11661.526,12189.931,2048.334,2043.091,C17H13N3O5S2,404.0368,5.27,5.25,0.0,4/1,2076.087,6.043545099451125,11243.7775,7.485167085803184,5.415850828987417,1.0315906340928414
56,57,205783.438,189807.009,194955.878,197753.786,96060.881,99408.265,C21H25NO2,324.196,10.39,1.97,0.001,2/1,95477.9955,5.775159099497696,197075.02774999998,3.386339773391385,2.0640884500973837,1.0477606345672
57,58,61.308,86.19,59.342,65.417,532.282,401.66,C32H47F5O3S,607.3224,31.06,0.15,0.0,1/4,471.16925000000003,11.42622473418287,68.06424999999999,18.138826350894185,0.14445817506129693,0.9630545004086463
58,59,10816.541,10831.005,10870.61,4575.049,22782.184,24404.126,C25H32ClN5O2,470.2307,16.3,0.41,0.025,1/2,23963.8745,3.9586723102661203,9273.30125,33.777092613385875,0.3869700306601088,0.9438293430734362
59,60,17705.776,18040.672,17525.435,16649.5,3598.238,3682.757,C23H27FN4O3,427.2136,4.55,3.79,0.0,4/1,3785.276,7.069111542103275,17480.34575,3.395876680969755,4.617984461370849,1.2184655570899336
60,61,15298.272,15914.38,15780.486,15620.603,19931.277,18960.736,C19H28N2O4,349.2121,3.6,1.25,0.055,1/1,19781.44775,4.146326462807497,15653.435250000002,1.6960419191748652,0.791318989784254,0.6330551918274032
61,62,4010.481,4078.574,3706.494,3831.357,13334.777,10098.223,C21H19F2N3O3,400.1475,3.98,0.35,0.001,1/2,10047.208999999999,23.376548692219817,3906.7265,4.335634939617663,0.388836989456475,1.1109628270185001
62,63,90218.675,90641.078,84176.868,94015.505,44316.796,40246.893,C19H21NS,296.1469,11.82,2.06,0.001,2/1,45188.57399999999,8.357063685082817,89763.0315,4.560209248578051,1.9864099163651416,0.9642766584296804
63,64,171610.774,141281.075,151554.152,158982.441,74727.368,82648.141,C21H35NO,318.2793,21.38,1.84,0.004,2/1,79244.85025,7.927376259472147,155857.1105,8.190916205439551,1.9667790400045586,1.0689016521763905
64,65,100342.046,94776.11,106515.25,113539.299,5142.634,4996.653,C25H31NO6,442.2221,17.83,18.53,0.0,16/1,5103.566,1.4340309346584,103793.17625,7.779845219326238,20.337382969084754,1.0975382066424584
65,66,6116.829,5144.596,4205.742,5592.825,33125.242,31408.459,C50H75NO14,914.5269,31.74,0.14,0.0,1/4,33833.09425,9.655325525774165,5264.998,15.3897263502515,0.15561680410002698,1.1115486007144784
66,67,7719.408,8144.187,8465.255,8903.494,1684.829,1739.048,C15H13ClFNO2,294.069,27.09,4.65,0.0,4/1,1681.9189999999999,2.583717954179259,8308.086,6.028725794778697,4.939646915220055,1.0622896591871085
67,68,232798.423,231690.893,218169.611,221688.34,14767.476,12821.053,C17H19N3,266.1653,6.6,14.97,0.0,16/1,14356.747,7.183803338396818,226086.81675,3.214781539156613,15.747774669986175,1.0519555557772995
68,69,15690.115,15993.744,17127.31,16945.718,14590.686,14262.369,C19H24N2O4,345.1807,3.77,1.22,0.017,1/1,13897.67275,5.051630494782007,16439.22175,4.2864244379264065,1.1828758703503075,0.969570385533039
69,70,172.349,205.87,115.53,201.939,198.321,177.47,C22H38O5,383.2803,5.52,1.0,0.978,1/1,187.7655,6.991222120770198,173.922,23.978694098721302,0.9262723982840297,0.9262723982840297
70,71,263.543,280.73,284.428,383.468,337.113,245.953,C22H38O5,383.2789,31.23,1.41,0.032,1/1,257.36725,24.844610675175506,303.04225,17.945972480748868,1.177470132660624,0.8350852004685277
71,72,2220.344,2203.436,2352.979,2500.183,870.165,786.801,C12H20N4O7,333.1403,0.52,4.76,0.0,4/1,810.56875,6.16787407832899,2319.2355,5.946990167340049,2.861244650746775,0.6011018173837762
72,73,36294.783,37455.205,34244.004,38133.781,31822.151,27818.334,C25H37NO4,416.2774,18.79,1.16,0.155,1/1,31682.1105,10.519198835055974,36531.943250000004,4.66397179685527,1.1530779570382474,0.9940327215846961
73,74,801.9,828.857,1184.153,498.156,878.624,793.426,C17H16FN3O2S,346.1019,5.43,1.08,0.613,1/1,772.9445,11.094730604347426,828.2665,33.88620240084145,1.0715730560214867,0.9921972740939691
74,75,5278.756,5716.265,5862.432,5926.222,4749.639,4588.866,C22H28F2O5,411.1975,12.38,1.14,0.038,1/1,4614.030000000001,2.405345205878852,5695.918750000001,5.120591828115652,1.2344780484738938,1.0828754811174508
75,76,20774.418,20776.441,21519.229,20363.838,18040.146,18756.015,C22H28O2,325.2163,25.75,1.18,0.002,1/1,17399.27725,7.2658032621817235,20858.481499999998,2.307633430444341,1.1988131001246043,1.0159433051903426
76,77,195.833,228.593,280.216,390.059,179.692,144.966,C49H66N10O10S2,1019.4478,4.57,1.68,0.07,1/1,149.061,14.01029109122168,273.67525,31.06213643032239,1.8359949953374792,1.0928541638913567
77,78,43798.206,45346.214,50944.697,45079.924,41347.274,41365.293,C20H15BrN6O,435.0565,29.33,1.06,0.519,1/1,42483.03125,3.0641059727829734,46292.26025,6.857278097229143,1.089664717604161,1.0279855826454347
78,79,58542.805,57541.691,60343.042,61007.078,52542.663,48469.641,C18H18ClNO5,364.0948,26.5,1.16,0.005,1/1,53471.8925,7.662422193349918,59358.654,2.6907867906152445,1.1100907640401918,0.9569747965863723
79,80,255.209,283.37,253.442,285.623,80.334,85.94,C9H11NO5,214.071,0.52,3.06,0.0,4/1,81.35275,6.0265931931506005,269.411,6.480214779560462,3.3116397417419816,1.0822352097196017
80,81,1071.441,1038.25,1310.87,1517.789,1335.635,1370.742,C13H16N2,201.1385,5.27,1.04,0.768,1/1,1320.2250000000001,8.717035174734134,1234.5874999999999,18.183402750301408,0.935134162737412,0.8991674641705885
81,82,99446.71,101692.901,100249.74,103545.575,98194.217,96713.582,C27H36N2O5,469.2698,5.41,1.19,0.04,1/1,98138.59225,2.0921313473583,101233.73150000001,1.7778020572761775,1.0315384516838737,0.8668390350284654
82,83,42892.192,42413.855,33862.529,26423.012,35266.641,37473.446,C20H25NO2,312.1959,13.03,1.02,0.895,1/1,35804.65675,4.217516026817442,36397.897,21.53370335889405,1.016568801486974,0.9966360798891902
83,84,15885.226,16250.884,15572.581,13525.911,10683.579,10466.584,C10H8F2N4O,239.0743,15.0,1.36,0.006,1/1,10326.1465,2.9187083461772847,15308.6505,7.971904629079033,1.4825133945174997,1.090083378321691
84,85,15949.48,15977.082,15742.752,15208.797,14083.04,13923.076,C19H30O3,307.2267,17.45,1.19,0.015,1/1,13726.3955,2.396344434762341,15719.52775,2.26585878566311,1.14520434370407,0.962356591347958
85,86,15163.53,15863.061,16231.022,16902.909,13088.476,13392.917,C19H20N2O3,325.1546,4.22,1.22,0.008,1/1,12941.49925,3.2071370775220114,16040.1305,4.52526077531594,1.2394337155333837,1.0159292750273636
86,87,53430.115,46413.534,52528.651,50681.558,47542.184,43480.086,C15H28N4O4,329.2172,3.46,1.16,0.046,1/1,44242.560750000004,6.354692954964316,50763.464499999995,6.141132347731483,1.1473898354764647,0.9891291685141937
87,88,30495.283,29768.38,30857.75,30661.06,27835.913,26937.55,C30H34N2O3,471.264,12.36,0.99,0.662,1/1,28167.754,4.078333221283442,30445.61825,1.5607475830116573,1.0808677983342228,1.0917856548830533
88,89,129866.276,153918.3,153836.132,143741.452,113861.805,114945.9,C36H41N3O6,612.307,25.64,1.06,0.74,1/1,122391.51375000001,7.799650959712423,145340.53999999998,7.822323536582167,1.18750504464612,1.1202877779680376
89,90,31462.084,35111.78,36239.877,35551.9,27923.847,29645.48,C20H29FO3,337.2176,13.03,1.3,0.0,1/1,29035.543,3.2650972825843803,34591.41025,6.178543014225152,1.1913471103330149,0.9164208541023191
90,91,50261.45,52262.861,55008.477,54455.27,48541.034,46127.674,C18H26ClN3O3,368.1737,3.56,1.18,0.045,1/1,46954.992249999996,2.9638894286955155,52997.0145,4.104425497612541,1.128676887386772,0.9565058367684509
91,92,5720.289,5812.177,6230.317,6732.606,5992.849,5828.013,C25H24FNO4,422.176,6.14,0.97,0.553,1/1,5134.593,19.43581581987294,6123.84725,7.553629682006058,1.1926645889946876,1.2295511226749358
92,93,90530.598,99740.548,96498.12,99823.12,86157.692,86658.332,C22H36N2O5S,441.2419,8.5,1.17,0.057,1/1,84918.74674999999,2.6671063856972608,96648.0965,4.513643698850073,1.1381243859442616,0.9727558854224458
93,94,3310.663,4801.154,4495.684,4483.594,2229.725,2289.966,C15H15NO3,258.1127,16.86,1.64,0.059,1/1,2373.136,5.775131197342528,4272.77375,15.400336014713098,1.8004757207340836,1.0978510492280997
94,95,10224.213,12236.403,10936.9,12387.733,10260.42,11194.248,C16H21N5O2,316.1766,3.39,1.17,0.083,1/1,10617.51,8.316565650624266,11446.31225,9.112100667156703,1.0780599453167456,0.9214187566809793
95,96,105957.711,101340.732,105734.756,103920.719,100827.537,103180.768,C14H23NO,222.1854,4.09,1.04,0.37,1/1,100800.26675,1.6766283793779195,104238.4795,2.0495233938202313,1.034109163208142,0.9943357338539827
96,97,3655.965,3277.204,1927.395,1956.47,3989.921,3633.083,C45H57NO14,836.3853,30.09,1.15,0.801,1/1,2652.43475,51.602337914273534,2704.2585,33.05213273285754,1.0195381809109536,0.8865549399225684
97,98,14929.309,16044.251,15801.36,18509.059,12026.399,12111.501,C19H21N3O,308.1756,3.68,1.37,0.043,1/1,11722.800500000001,4.016495853584691,16320.99475,9.406625077757521,1.3922436665197875,1.0162362529341513
98,99,20491.085,22468.744,22297.513,21945.251,20526.879,21616.221,C31H43NO7,542.3112,32.01,1.05,0.486,1/1,20964.824500000002,2.395994375842422,21800.64825,4.127546551495245,1.0398679106519588,0.9903503910971037
99,100,70979.023,74767.187,74439.39,60106.003,73573.94,64342.123,C32H45NO7,556.3274,32.45,1.12,0.489,1/1,69681.59275,10.014266714479906,70072.90075,9.792711648110455,1.0056156580892737,0.8978711232939942
100,101,22018.263,24049.385,22542.566,22858.491,17393.033,18067.147,C21H23N7O2S,438.1702,6.01,1.43,0.015,1/1,15898.77,13.416584646974595,22867.176250000004,3.7650152219309985,1.4382984501316771,1.0058031119801938
101,102,10354.805,10800.237,10347.918,10410.636,9005.598,9074.288,C15H13NO3,256.0969,15.58,1.17,0.048,1/1,8928.56375,4.740236209842434,10478.399,2.0650937540277714,1.1735816972802597,1.0030612797267178
102,103,13080.556,15134.97,18243.142,17705.406,14451.675,14988.618,C12H15N5O3,278.1214,24.17,1.37,0.003,1/1,14999.029,4.292294177888361,16041.018499999998,14.929050724225288,1.0694704637213515,0.7806353749790886
103,104,40775.622,40394.093,46535.835,44927.058,34923.84,35206.105,C19H18N4O2,335.1502,4.46,1.25,0.004,1/1,33755.3245,4.497913186710011,43158.151999999995,7.060284578904809,1.2785583501056252,1.0228466800845002
104,105,63712.557,69294.914,81731.443,76817.967,63206.39,66199.843,C39H37F6N3O2,694.2863,26.11,1.2,0.366,1/1,58410.016749999995,18.171567980799935,72889.22025000001,10.939777800222075,1.2478890489275543,1.0399075407729619
105,106,79874.037,79113.125,79411.19,76398.926,70539.534,68114.511,C20H25NO3,328.1908,6.24,1.15,0.008,1/1,74959.8795,8.781660619338622,78699.31950000001,1.988864305594001,1.0498858859558335,0.9129442486572467
106,107,19000.186,19434.909,18605.514,18390.967,16145.377,15878.824,C15H22N2O,247.1803,4.84,1.26,0.181,1/1,14725.034,11.199536301599771,18857.894,2.439507746478517,1.2806689614434847,1.0164039376535594
107,108,2318.962,2458.557,2169.68,2205.175,2559.934,2413.459,C11H21N,168.1742,3.73,1.06,0.561,1/1,2466.33,3.7176145967573246,2288.0935,5.693223226042392,0.9277320958671387,0.8752189583652251
108,109,2466.236,2820.963,2494.089,2554.187,2541.401,2553.451,C19H17N5O2,348.1453,3.12,1.02,0.887,1/1,2541.7529999999997,5.555904991121315,2583.86875,6.280034208032312,1.0165695683254825,0.9966368316916495
109,110,2951.145,3108.913,3021.324,2819.267,2482.55,2421.226,C14H17N3O2S,292.1114,3.05,1.59,0.008,2/1,2411.0985,3.028425702563465,2975.16225,4.112003469266535,1.2339447144112943,0.7760658581203108
110,111,28726.814,30255.206,30537.201,29243.666,24626.762,23184.933,C27H31N7OS,502.2384,23.1,1.4,0.008,1/1,23413.541250000002,5.972552362869033,29690.721749999997,2.8606317486811617,1.2681004309845694,0.9057860221318353
111,112,106446.697,90362.688,125841.317,81345.164,97003.184,99071.646,C34H38N3O7P,632.2532,31.01,0.84,0.423,1/1,92916.00425,6.691505546464306,100998.9665,19.35338388243599,1.086992142152949,1.2940382644677964
112,113,14480.24,14939.446,15915.058,13628.568,11984.759,11355.878,C27H37N3O7S,548.2423,22.26,1.34,0.015,1/1,11685.068,2.6734023056947973,14740.828000000001,6.4634549759788,1.2615098174867276,0.9414252369303937
113,114,7798.206,8369.582,8397.848,7684.465,10780.76,9579.451,C30H29ClN6O3,557.2059,4.84,0.97,0.871,1/1,9120.54125,17.023017800741695,8062.52525,4.638144939926063,0.8839963582205167,0.9113364517737286
114,115,48920.859,50258.535,49458.666,43911.283,43023.84,43716.465,C23H26ClN7O3,484.1858,8.52,1.14,0.222,1/1,43464.915499999996,1.3112595419523465,48137.33575,5.963088870807381,1.1074986617654876,0.9714900541802524
115,116,17253.393,18894.11,18447.017,19480.58,17162.622,16531.953,C21H30N4O5S,451.2005,7.96,1.15,0.023,1/1,16271.44325,4.8916712522910455,18518.775,5.096459633417985,1.138115083921643,0.9896652903666461
116,117,225338.109,227041.844,221032.526,233576.676,231807.822,200772.571,C32H39NO2,470.3052,27.84,1.15,0.08,1/1,202845.46375,10.86360928512547,226747.28875,2.2968555397850747,1.117832681875786,0.9720284190224227
117,118,18035.224,18744.273,18019.532,18878.388,15628.851,16906.432,C26H25ClN2O3,449.1626,25.69,1.16,0.049,1/1,16348.8955,3.420582213843925,18419.35425,2.4754386536635926,1.126642117811567,0.9712432050099717
118,119,49591.727,57419.11,52126.256,59229.89,46183.61,44314.193,C18H22F2N4O,349.1835,4.98,1.25,0.007,1/1,43955.1585,4.595843239762916,54591.74575,8.231816021542269,1.2419872345586014,0.9935897876468811
119,120,37101.795,37281.206,33935.104,36217.463,33440.728,35529.3,C20H19F2N3O5,420.1363,13.88,1.04,0.303,1/1,33394.3915,5.734330682748101,36133.89199999999,4.255937805206722,1.0820347482600483,1.0404180271731234
120,121,40425.955,43222.699,44299.031,44801.825,36123.031,37091.729,C22H18N6,367.1666,11.16,1.21,0.025,1/1,35738.74025,3.6929963968090584,43187.3775,4.527346422295452,1.2084191327924605,0.9986934981755872
121,122,710.446,752.866,974.869,856.848,635.576,675.063,C16H18O9,355.1022,3.5,1.29,0.027,1/1,661.42625,5.443247702926748,823.75725,14.328511585402254,1.2454256993882538,0.9654462785955455
122,123,19430.634,18580.209,20455.28,19373.956,15437.567,16250.014,C21H26O2,311.2005,21.78,1.08,0.379,1/1,16360.2915,6.098941478859447,19460.01975,3.9503521931421774,1.1894665660449877,1.1013579315231368
123,124,52472.196,51290.128,55185.315,59256.545,53853.532,53188.613,C19H22N2O,295.1806,5.03,1.03,0.715,1/1,54121.86575,1.7331024675796458,54551.046,6.4810805062251164,1.0079298864525934,0.9785727052937799
