Compound Name,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio
57,C21H25NO2,324.196,10.39,1.97,0.001,2/1
58,C32H47F5O3S,607.3224,31.06,0.15,0,1/4
59,C25H32ClN5O2,470.2307,16.3,0.41,0.025,1/2
60,C23H27FN4O3,427.2136,4.55,3.79,0,4/1
61,C19H28N2O4,349.2121,3.6,1.25,0.055,1/1
62,C21H19F2N3O3,400.1475,3.98,0.35,0.001,1/2
63,C19H21NS,296.1469,11.82,2.06,0.001,2/1
64,C21H35NO,318.2793,21.38,1.84,0.004,2/1
65,C25H31NO6,442.2221,17.83,18.53,0,16/1
66,C50H75NO14,914.5269,31.74,0.14,0,1/4
67,C15H13ClFNO2,294.069,27.09,4.65,0,4/1
68,C17H19N3,266.1653,6.6,14.97,0,16/1
69,C19H24N2O4,345.1807,3.77,1.22,0.017,1/1
70,C22H38O5,383.2803,5.52,1,0.978,1/1
71,C22H38O5,383.2789,31.23,1.41,0.032,1/1
72,C12H20N4O7,333.1403,0.52,4.76,0,4/1
73,C25H37NO4,416.2774,18.79,1.16,0.155,1/1
74,C17H16FN3O2S,346.1019,5.43,1.08,0.613,1/1
75,C22H28F2O5,411.1975,12.38,1.14,0.038,1/1
76,C22H28O2,325.2163,25.75,1.18,0.002,1/1
77,C49H66N10O10S2,1019.4478,4.57,1.68,0.07,1/1
78,C20H15BrN6O,435.0565,29.33,1.06,0.519,1/1
79,C18H18ClNO5,364.0948,26.5,1.16,0.005,1/1
80,C9H11NO5,214.071,0.52,3.06,0,4/1
81,C13H16N2,201.1385,5.27,1.04,0.768,1/1
82,C27H36N2O5,469.2698,5.41,1.19,0.04,1/1
83,C20H25NO2,312.1959,13.03,1.02,0.895,1/1
84,C10H8F2N4O,239.0743,15,1.36,0.006,1/1
85,C19H30O3,307.2267,17.45,1.19,0.015,1/1
86,C19H20N2O3,325.1546,4.22,1.22,0.008,1/1
87,C15H28N4O4,329.2172,3.46,1.16,0.046,1/1
88,C30H34N2O3,471.264,12.36,0.99,0.662,1/1
89,C36H41N3O6,612.307,25.64,1.06,0.74,1/1
90,C20H29FO3,337.2176,13.03,1.3,0,1/1
91,C18H26ClN3O3,368.1737,3.56,1.18,0.045,1/1
92,C25H24FNO4,422.176,6.14,0.97,0.553,1/1
93,C22H36N2O5S,441.2419,8.5,1.17,0.057,1/1
94,C15H15NO3,258.1127,16.86,1.64,0.059,1/1
95,C16H21N5O2,316.1766,3.39,1.17,0.083,1/1
96,C14H23NO,222.1854,4.09,1.04,0.37,1/1
97,C45H57NO14,836.3853,30.09,1.15,0.801,1/1
98,C19H21N3O,308.1756,3.68,1.37,0.043,1/1
99,C31H43NO7,542.3112,32.01,1.05,0.486,1/1
100,C32H45NO7,556.3274,32.45,1.12,0.489,1/1
101,C21H23N7O2S,438.1702,6.01,1.43,0.015,1/1
102,C15H13NO3,256.0969,15.58,1.17,0.048,1/1
103,C12H15N5O3,278.1214,24.17,1.37,0.003,1/1
104,C19H18N4O2,335.1502,4.46,1.25,0.004,1/1
105,C39H37F6N3O2,694.2863,26.11,1.2,0.366,1/1
106,C20H25NO3,328.1908,6.24,1.15,0.008,1/1
107,C15H22N2O,247.1803,4.84,1.26,0.181,1/1
108,C11H21N,168.1742,3.73,1.06,0.561,1/1
109,C19H17N5O2,348.1453,3.12,1.02,0.887,1/1
110,C14H17N3O2S,292.1114,3.05,1.59,0.008,2/1
111,C27H31N7OS,502.2384,23.1,1.4,0.008,1/1
112,C34H38N3O7P,632.2532,31.01,0.84,0.423,1/1
113,C27H37N3O7S,548.2423,22.26,1.34,0.015,1/1
114,C30H29ClN6O3,557.2059,4.84,0.97,0.871,1/1
115,C23H26ClN7O3,484.1858,8.52,1.14,0.222,1/1
116,C21H30N4O5S,451.2005,7.96,1.15,0.023,1/1
117,C32H39NO2,470.3052,27.84,1.15,0.08,1/1
118,C26H25ClN2O3,449.1626,25.69,1.16,0.049,1/1
119,C18H22F2N4O,349.1835,4.98,1.25,0.007,1/1
120,C20H19F2N3O5,420.1363,13.88,1.04,0.303,1/1
121,C22H18N6,367.1666,11.16,1.21,0.025,1/1
122,C16H18O9,355.1022,3.5,1.29,0.027,1/1
123,C21H26O2,311.2005,21.78,1.08,0.379,1/1
124,C19H22N2O,295.1806,5.03,1.03,0.715,1/1
125,C31H48O6,517.3534,30.84,1.08,0.518,1/1
126,C15H17ClN4,289.1215,25.32,1.06,0.157,1/1
127,C13H17ClN2O2,269.105,3.69,1.11,0.096,1/1
128,C20H23NO4,342.1695,3.46,1.26,0.066,1/1
129,C14H18N2O,231.1493,24.01,1.11,0.027,1/1
130,C20H21FN2O,325.1712,8.43,1.09,0.034,1/1
131,C27H29NO10,528.186,10.44,1.27,0.001,1/1
132,C22H24BrFN4O2,475.1137,4.15,0.68,0.044,1/1
133,C6H13N5O,172.119,0.43,1.35,0.125,1/1
134,C22H29N3O4S,432.1946,3.56,1.08,0.494,1/1
135,C24H34O4,387.2532,29.16,1.16,0.06,1/1
136,C15H14N2O2,255.1128,10.4,1.11,0.042,1/1
137,C17H19N3O,282.1603,5.25,1,0.991,1/1
138,C15H24N2O4S,329.1532,3.35,1.06,0.701,1/1
139,C9H12ClN5O,242.0803,0.55,0.64,0.041,1/2
140,C21H27ClN2O2,375.1836,12.53,1.13,0.135,1/1
141,C14H10N4O5,315.0722,12.17,1.16,0.155,1/1
142,C24H25FN6O,433.2145,5.97,1.17,0.039,1/1
143,C10H15N5,206.1399,3.71,1.14,0.082,1/1
144,C17H21NO3,288.1593,0.51,1.43,0.125,1/1
145,C24H30O6,415.2118,22.69,1.11,0.06,1/1
146,C17H14Cl2F2N2O3,403.0424,27.23,1.07,0.145,1/1
147,C20H22N8O5,455.1755,27.86,1.15,0.148,1/1
148,C19H27N5O5,406.2084,3.76,1.17,0.092,1/1
149,C19H29NO5,352.212,14.24,1.15,0.055,1/1
150,C25H25Cl2N7O,510.1568,13.1,1.27,0.001,1/1
151,C25H24N6O2,441.2036,21.73,1.14,0.199,1/1
152,C15H14N2O4S,319.0745,8.14,1.22,0.053,1/1
153,C43H65FN6O10,845.4821,11.33,0.83,0.085,1/1
154,C23H21F7N4O3,535.1577,28.13,1.19,0.062,1/1
155,C31H33N5O4,540.2607,12.74,1.16,0.235,1/1
156,C23H22F7N4O6P,615.1235,24.13,1.26,0.003,1/1
157,C24H29N7O2,448.2452,4.77,1.13,0.261,1/1
158,C24H25FO5S,445.1463,9.37,1.29,0.009,1/1
159,C18H28N2O,289.2276,5.46,1.05,0.338,1/1
160,C19H18N2O4S,371.1062,24.82,1.33,0.007,1/1
161,C21H15ClF4N4O3,483.0844,29.56,1.27,0.081,1/1
162,C56H71N9O23S,1270.4467,26.27,0.81,0.362,1/1
163,C40H57N5O7,720.4335,24.79,0.94,0.701,1/1
164,C30H46NO7P,564.3079,31.3,1.1,0.28,1/1
165,C24H26FNO4,412.1917,26.79,1.11,0.01,1/1
166,C46H62N4O11,847.4493,22.6,0.86,0.045,1/1
167,C18H19N3O,294.1646,4.44,1.04,0.833,1/1
168,C18H20N2O2S,329.1328,31.43,0.99,0.879,1/1
169,C16H25NO4,296.1858,4.23,0.92,0.028,1/1
170,C12H16N2S,221.1109,3.9,1.05,0.423,1/1
171,C17H25N3O2,304.2008,3.27,1.07,0.505,1/1
172,C25H32F3N3O4,496.2416,4.34,1.27,0.141,1/1
173,C22H22N2O4,379.1639,27.68,1.16,0.288,1/1
174,C18H20FN5O4,390.1576,4.32,1.13,0.109,1/1
175,C15H18N8O5,391.1471,3.33,1.14,0.208,1/1
176,C15H9FN2O3,285.0669,24.67,1.13,0.172,1/1
177,C17H15FN6O3,371.1259,8.1,1.32,0.002,1/1
178,C19H33NO2,308.2586,24.65,1.14,0.027,1/1
179,C20H25NO2S2,376.1451,13.13,1.37,0.015,1/1
180,C23H23ClN6O2,451.1646,28.69,1.08,0.14,1/1
181,C9H14N4O3,227.1115,3.76,1.23,0.013,1/1
182,C26H23FIN5O4,616.0846,27.05,1.21,0.094,1/1
183,C22H24FN5O4,442.1883,15.75,1.34,0.003,1/1
184,C24H23N5O,398.1978,11.1,1.2,0.007,1/1
185,C18H22N2,267.1856,7.74,0.97,0.733,1/1
186,C25H25N5O4,460.1975,11.45,1.25,0.028,1/1
187,C28H36N4O2S,493.2632,18.22,1.08,0.082,1/1
188,C21H21FN2O4S,417.1279,25.48,1.16,0.111,1/1
189,C20H22N4O5,399.166,4.12,1.07,0.254,1/1
190,C10H17NOS,200.1096,0.49,3.25,0.002,4/1
191,C12H11NO,186.0911,6.06,0.85,0.315,1/1
192,C14H9ClF3NO2,316.0342,28.3,1.04,0.568,1/1
193,C43H68ClNO11,810.4553,32.43,1.02,0.684,1/1
194,C21H19N3O5,394.1395,12.88,1.01,0.893,1/1
195,C26H26F3N3O3,486.2001,28.37,0.93,0.328,1/1
196,C21H30Cl2N2O5,461.1596,27.79,0.94,0.413,1/1
197,C15H21N3O2S,308.1427,4,0.96,0.278,1/1
198,C22H18FN7O,416.1626,9.61,0.87,0.396,1/1
199,C20H30N4O2,359.2441,3.33,1.79,0.011,2/1
200,C23H26O3,351.1951,32.51,1.04,0.174,1/1
201,C18H23NO3,302.1751,3.6,1.21,0.035,1/1
202,C19H30O5,339.2171,3.62,0.04,0,1/16
203,C10H19O6PS2,331.0429,27.31,1.17,0.004,1/1
204,C12H17NO,192.1383,14.11,1,0.895,1/1
205,C21H45N3,340.3688,29.13,1.26,0.002,1/1
206,C22H42N4O8S2,555.2517,3.48,1.2,0.134,1/1
207,C12H21N2O3PS,305.1085,29.77,1.09,0.162,1/1
208,C6H8N2,109.0756,0.62,2.85,0,4/1
209,C13H17NO,204.1382,18.14,1.13,0.084,1/1
210,C18H26O3,291.1956,32.12,1.14,0.082,1/1
211,C24H27NO2,362.2113,32.24,1.07,0.385,1/1
212,C4H7Cl2O4P,220.9531,8.93,1.05,0.607,1/1
213,C16H22O4,279.1593,31.4,1.06,0.432,1/1
214,C17H26N2O,275.212,4.25,0.83,0.009,1/1
215,C24H33N3O4,428.2543,6.85,0.89,0.057,1/1
216,C11H16ClNO,214.0993,3.46,0.96,0.669,1/1
217,C21H19ClN4O4,427.1165,4.22,1.38,0.006,1/1
218,C21H30O4,347.2215,13.33,1.13,0.013,1/1
219,C22H26ClN7O2S,488.1626,7.01,1.22,0.018,1/1
220,C23H32N6O4S,489.2277,10.61,1.1,0.319,1/1
221,C21H43N5O7,478.3215,30.23,0.9,0.852,1/1
222,C20H41N5O7,464.3071,0.75,1.02,0.933,1/1
223,C19H39N5O7,450.2886,33.54,0.95,0.32,1/1
224,C12H12N2O3,233.0922,9.39,1.34,0.032,1/1
225,C28H36ClN5O3S,558.2299,21.94,0.96,0.49,1/1
226,C21H20O9,417.1177,3.3,1.13,0.06,1/1
227,C27H30F6N2O2,529.2286,31.06,1.02,0.676,1/1
228,C20H26N2O4,359.1963,3.75,1.16,0.007,1/1
229,C16H20N6O,313.177,3.55,1.24,0.03,1/1
230,C19H20FNO3,330.1501,11,1.11,0.178,1/1
231,C24H32O7,433.2223,22.9,1.09,0.062,1/1
232,C13H15NO3,234.1125,11.53,1.04,0.489,1/1
233,C21H21ClN4OS,413.1196,7.45,1.16,0.01,1/1
234,C9H10N2O,163.0858,5.69,1.23,0.019,1/1
235,C18H25N3O2,316.2018,3.32,1.2,0.006,1/1
236,C12H13NO3,220.0968,6.94,0.85,0.004,1/1
237,C14H10N2O,223.0867,10.9,1.16,0.052,1/1
238,C7H6N2,119.0602,4.97,1.15,0.382,1/1
239,C7H4ClNOS,185.9774,11.02,1.2,0.023,1/1
240,C12H11N5,226.1087,3.69,1.34,0.005,1/1
241,C20H25NO,296.2011,6.88,1.09,0.26,1/1
242,C18H27NO3,306.2068,3.38,1.03,0.586,1/1
243,C25H32N2O4,425.2436,5.9,1.41,0.001,1/1
244,C25H32N2O6,457.2334,8.6,0.98,0.762,1/1
245,C15H10O2,223.0755,21.02,0.99,0.889,1/1
246,C9H9I2NO3,433.874,3.67,1.3,0.003,1/1
247,C8H13NO2,156.1013,0.56,1.32,0.059,1/1
248,C42H70O35,1135.377,1.16,1.38,0.252,1/1
249,C17H28O6,329.1942,6.53,1.13,0.036,1/1
250,C10H6O3,175.0363,31.35,0.89,0.435,1/1
251,C15H12O2,225.091,19.03,1.28,0.021,1/1
252,C11H8O3,189.0543,7.91,1.29,0.015,1/1
253,C22H31N3O3,386.244,7.92,1.11,0.176,1/1
254,C20H31NO2,318.243,17.67,0.98,0.663,1/1
255,C13H16N4O6,325.114,3.04,0.99,0.698,1/1
256,C13H16N4O6,325.1152,21.79,1.36,0.014,2/1
257,C21H18O11,447.0919,6.64,1.3,0.003,1/1
258,C15H24N2O2,265.1909,0.67,1.83,0.052,2/1
259,C15H24N2O,249.1959,0.62,2.94,0.015,4/1
260,C22H16N4O3,385.1296,4.35,1.48,0.001,1/1
261,C14H22N4O4S,343.1434,4.43,1.12,0.193,1/1
262,C24H27FN2O2,395.213,11.01,1.15,0.034,1/1
263,C24H32N2O2,381.2538,11.88,0.96,0.433,1/1
264,C24H32N6O3,453.261,4.84,1.12,0.017,1/1
265,C17H19N3O2S,330.1272,5.54,1.19,0.008,1/1
266,C18H14N6O2,347.1249,4.06,1.4,0.001,1/1
267,C28H40BrN7O4,618.2396,7.97,1.04,0.749,1/1
268,C26H29ClN2O4S,501.161,22.09,1.04,0.302,1/1
269,C26H26F3N7O2,526.2176,23.04,1.08,0.304,1/1
270,C19H19N5O,334.1664,29.53,1.17,0.002,1/1
271,C14H10F3NO5,330.0582,25.82,1.17,0.018,1/1
272,C21H24N4O2S,397.1691,6.41,1.68,0.009,1/1
273,C19H17Cl3N4O3,455.0437,27,0.97,0.676,1/1
274,C18H19FN2O2,315.1502,7.67,1.23,0,1/1
275,C26H28N8O,469.2459,7.16,1.02,0.621,1/1
276,C21H22FN3O,352.1818,5.17,1.18,0.068,1/1
277,C16H15N7O,322.141,5.47,1.04,0.751,1/1
278,C27H32N8O2,501.2786,5.64,0.96,0.6,1/1
279,C23H23O2N5,402.1926,26.41,1.06,0.316,1/1
280,C18H14N4,287.1293,3.51,1.07,0.469,1/1
281,C19H21ClN4,341.1524,3.58,1.45,0.007,1/1
282,C26H24N8O2,481.2092,3.69,1.26,0,1/1
283,C21H24ClFN4O3,435.159,6.46,1.27,0.022,1/1
284,C24H17N3O6,444.1191,26.74,1.22,0.015,1/1
285,C25H25ClN6O4S,541.1421,21.91,1.24,0.01,1/1
286,C26H19ClN8,479.1491,6.74,1.37,0.01,1/1
287,C25H34FN3O2,428.2709,18.56,1.09,0.335,1/1
288,C29H35N7O4,546.2824,6.3,1.04,0.849,1/1
289,C34H44N4O4,573.3429,3.83,1.24,0.172,1/1
290,C24H30N6O2,435.2501,5.5,1.41,0.033,1/1
291,C22H22F3N3O3,434.1688,12.54,1.17,0.033,1/1
292,C24H29ClN6OS,485.1883,5.37,1.36,0.002,1/1
293,C21H24FN5O5S,478.1557,26.36,1.08,0.056,1/1
294,C26H40N4,409.3322,3.47,0.93,0.363,1/1
295,C11H11Cl2N,228.0342,5.89,1.11,0.011,1/1
296,C36H46N8O3,639.3768,13.61,1.17,0.151,1/1
297,C31H32BrNO4S2,628.1011,32.02,1.1,0.325,1/1
298,C18H16ClN3O2,342.1006,12.98,1.09,0.048,1/1
299,C27H31FN6OS,507.2333,4.16,1.17,0.27,1/1
300,C24H22F3N5O5,518.1647,27.56,1.31,0.021,1/1
301,C23H35N5O2,414.2865,3.65,0.86,0.052,1/1
302,C26H36N6O3,481.2919,4.65,1.04,0.605,1/1
303,C26H33FN4O3S,501.2331,14.93,1.16,0.038,1/1
304,C18H11N3O2S,334.0642,5.33,1.32,0.001,1/1
305,C15H15N7O,310.1414,14.85,0.99,0.855,1/1
306,C24H25N5O4,448.198,14.73,1.13,0.057,1/1
307,C19H19N3O2S,354.1268,5.63,1.48,0.008,1/1
308,C23H26IN7O2S,592.0988,8.26,1.05,0.484,1/1
309,C14H17IN4O2,401.0467,9.15,1.26,0.08,1/1
310,C29H29ClN4O2,501.2051,9.94,1.09,0.577,1/1
311,C30H31FN4O2,499.2504,25.24,1.21,0.063,1/1
312,C15H19Cl2N3O4,376.0823,5.32,1.3,0.007,1/1
313,C21H19Cl2IN4O2,557.0004,30.39,1.04,0.042,1/1
314,C27H20ClFN4O4,519.1233,27.02,1.09,0.385,1/1
315,C19H18ClN3O4,388.1055,14.76,1.09,0.121,1/1
316,C16H11BrN2O,327.012,22.38,1.16,0.073,1/1
317,C30H27N5O,474.2288,21.73,1.31,0.022,1/1
318,C25H27N3O2S,434.1895,10.28,1.26,0.022,1/1
319,C19H20ClN3O5S,438.0883,26.04,1.27,0.011,1/1
320,C15H18N2,227.1544,5,1.13,0.208,1/1
321,C14H16ClN5O2S,354.0785,17.92,0.68,0.26,1/1
322,C28H23N7O2,490.1985,17.04,1.21,0.001,1/1
323,C30H26F2N4O5,561.1949,24.5,0.87,0.069,1/1
324,C23H25F4N3O3S,500.1623,11.44,1.19,0.031,1/1
325,C30H25F10NO3,638.1752,32.51,1.12,0.094,1/1
326,C19H17ClN2O5,389.0899,17.73,1.07,0.255,1/1
327,C21H20N2OS3,413.0807,30.78,1.14,0.022,1/1
328,C10H7NO2,174.0535,5.39,1.39,0.003,1/1
329,C42H45ClN6O5S2,813.2653,19.69,0.99,0.946,1/1
330,C20H20N4O3,365.1609,15.41,1.12,0.136,1/1
331,C19H31N5O2,362.2552,3.43,1.27,0.004,1/1
332,C9H9BrN2O3,272.9868,5.75,1.27,0.001,1/1
333,C28H31N5O,454.2596,6.24,0.58,0.005,1/2
334,C27H31FN4O2,463.2503,19.18,0.96,0.517,1/1
335,C17H18N2O2,283.1442,7.88,1.67,0.006,1/1
336,C9H7NO2,162.0544,3.49,1.24,0.013,1/1
337,C21H23Cl2N5O2S,480.1019,7.91,1.44,0.003,1/1
338,C22H31N3O2,370.2489,5.65,0.88,0.056,1/1
339,C47H55ClF3N5O6S3,974.3027,25.83,0.77,0.355,1/1
340,C27H32N6,441.2756,3.71,1.2,0.235,1/1
341,C22H29N7O,408.2503,10.3,1,0.992,1/1
342,C31H33ClN2O3,517.2253,24.4,1.11,0.002,1/1
343,C20H15ClF3N5,418.1038,10.03,1.43,0.001,1/1
344,C12H13N3O3S,280.0749,22.25,1.37,0.019,1/1
345,C22H32N6,381.2761,5.3,1.1,0.475,1/1
346,C20H25N5O2,368.2077,3.9,1.3,0.054,1/1
347,C20H20N2O4,353.1496,6.6,1.15,0.111,1/1
348,C21H17F3N4,383.1476,6.72,1.35,0.097,1/1
349,C25H21N3O,380.1754,3.34,0.85,0.231,1/1
350,C19H12F4N4O2,405.0968,8.47,1.13,0.088,1/1
351,C20H21N5O4,396.1663,6.29,1.55,0.007,1/1
352,C17H18N2,251.1542,10.1,0.95,0.537,1/1
353,C30H28N2O6S,545.174,31.22,1.05,0.595,1/1
354,C16H14BrN3O3,376.0291,4.67,1.26,0.076,1/1
355,C26H25F9N2O4,601.1745,31.73,1.1,0.204,1/1
356,C20H18F6N4O,445.1455,9.33,1.28,0.013,1/1
357,C27H29NO3,416.2221,29.3,1.1,0.226,1/1
358,C24H27ClN2O4,443.1733,9.07,1.33,0.003,1/1
359,C22H20FN3O2,378.1611,27.86,0.98,0.891,1/1
360,C12H17N3O3S,284.1062,4.04,1.21,0.015,1/1
361,C22H26FN3O2,384.208,21.17,0.85,0.464,1/1
362,C31H38N8O3,571.314,5.68,1.21,0.034,1/1
363,C12H7N3O2S,258.0327,6.97,1.07,0.513,1/1
364,C18H17F3N2O3,367.1266,7.72,1.03,0.401,1/1
365,C15H20BrN3O,338.0859,3.43,1.11,0.023,1/1
366,C18H21N3O2,312.1707,5.02,1.14,0.169,1/1
367,C7H15N,114.1271,0.77,1.36,0.31,2/1
368,C21H16N2O9S2,505.0367,3.57,0.98,0.893,1/1
369,C23H27N5,374.2335,8.76,1.11,0.288,1/1
370,C19H20Br2N6O4S,588.9687,29.64,0.94,0.556,1/1
371,C31H52O3,473.3944,32.57,1.57,0.012,1/1
372,C17H18Br2N2O,426.9834,18.36,1.15,0.032,1/1
373,C14H16N4O3S,321.0981,3.61,1.33,0.001,1/1
374,C17H18F3N3O3,370.137,18.4,1.26,0.092,1/1
375,C8H10N2O3S,215.0484,2.37,1.27,0.014,1/1
376,C17H18N6,307.1666,6.57,1.19,0.041,1/1
377,C28H24FN3O5,502.1774,16.32,1.07,0.061,1/1
378,C21H16ClF3N4O3,465.094,28.74,0.97,0.564,1/1
379,C20H21FN6O5,445.1627,14.89,1.27,0.003,1/1
380,C13H16N4O,245.1397,3.1,1.09,0.285,1/1
381,C24H28N2O3,393.2176,9.54,1.3,0.002,1/1
382,C24H28N2O3,393.2172,30.34,1.03,0.272,1/1
383,C18H22N2S,299.1578,16.83,1.16,0.06,1/1
384,C22H21Cl3N4O,463.0855,31.6,1.22,0.074,1/1
385,C22H24N2O8,445.1618,14.85,1.27,0.004,1/1
386,C26H30N6O3,475.2451,9.05,1.14,0.303,1/1
387,C31H38N6O2,527.3123,8.24,0.97,0.766,1/1
388,C31H38N6O2,527.3123,9.79,1.09,0.366,1/1
389,C53H83NO14,980.5712,31.7,0.71,0.26,1/1
390,C5H11NO4S,204.0299,0.77,1.36,0.024,1/1
391,C20H36O2,331.2606,31.31,1.04,0.021,1/1
392,C20H28O5S,398.1994,10.91,1.17,0.011,1/1
393,C18H17NO5,345.1464,3.71,1.21,0.006,1/1
394,C21H25ClO6,426.1676,17.22,2.04,0.059,2/1
395,C12H18O,196.1695,14.68,1.17,0.144,1/1
396,C10H12O,166.1223,3.96,1.15,0.078,1/1
397,C5H11NO2S,167.0851,7.98,1,0.972,1/1
398,C26H29NO4S2,484.1613,15.5,1.08,0.439,1/1
399,C20H23N,278.1905,10.09,1.06,0.596,1/1
400,C7H15NO2,146.1169,0.68,1.07,0.713,1/1
401,C16H25NO4S,328.1578,3.19,1.27,0.004,1/1
402,C20H18N4O3,363.1452,4.43,0.89,0.259,1/1
403,C27H28N2O3,429.2171,10.02,1.07,0.583,1/1
404,C18H11BrN2O2,367.0074,25.1,1.27,0.001,1/1
405,C19H12ClN3O2,350.069,20.35,1.28,0.023,1/1
406,C14H16N2O,229.1334,3.74,1.24,0.018,1/1
407,C28H33N7O2,500.277,5.55,1.01,0.67,1/1
408,C17H13Cl2NO4,366.0291,17.77,1.06,0.624,1/1
409,C14H11Cl3N2O3,360.9906,29.15,1.18,0.143,1/1
410,C25H27NO2,374.2117,19.25,1.03,0.533,1/1
411,C26H22Cl2N4O3,509.1142,28.54,1.18,0.001,1/1
412,C29H32O7S,525.1939,28.97,1.14,0.029,1/1
413,C18H13N3OS2,352.0572,6.35,0.88,0.128,1/1
414,C28H35ClN6O3,539.2532,4.07,0.97,0.55,1/1
415,C18H17NO4,312.1232,23.75,0.97,0.332,1/1
416,C21H23N3O5,398.1708,3.49,1.2,0.126,1/1
417,C18H19F3N6O,393.1643,4.61,1.25,0.006,1/1
418,C23H19NO3,358.1441,28.23,1.19,0.009,1/1
419,C35H51N5O4,606.401,3.55,0.47,0.002,1/2
420,C13H16N4O2,261.1347,3.57,1.21,0.003,1/1
421,C30H38ClN7O3,580.2794,5.88,1.34,0.242,1/1
422,C17H13Br2N5OS,495.9259,12.43,0.96,0.548,1/1
423,C18H16FN3O,310.1351,6.94,1.33,0,1/1
424,C36H39NO5,566.2902,25.4,1.23,0.019,1/1
425,C21H19FN6O2,407.1625,4.68,1.33,0.054,1/1
426,C18H17F3N2O2,351.1314,31.48,0.98,0.846,1/1
427,C19H20N2O2,309.1598,5.22,1.37,0.02,1/1
428,C15H11Cl2NO3,324.0188,18.06,0.77,0.23,1/1
429,C11H6F3NO2S,274.0144,24.86,1.22,0.187,1/1
430,C26H34ClN6O2P,529.2241,3.54,1.42,0.145,1/1
431,C21H24N4O2,365.1973,20.91,1.01,0.633,1/1
432,C33H43N7O2,570.3554,11.9,1.13,0.006,1/1
433,C20H16N6S,373.1233,4.09,1.18,0.04,1/1
434,C16H25N3O3,308.1966,4.81,1.07,0.19,1/1
435,C27H36N6O3S,525.2641,3.78,1.09,0.009,1/1
436,C18H23F2N5O4S2,476.1233,17.79,1.24,0.001,1/1
437,C28H36O15,613.2122,7.28,1.33,0.021,1/1
