Compound Name,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio
90,C19H24N2O4,345.1816,3.96,1.05,0.377,1/1
91,C22H38O5,383.2796,31.08,0.83,0.048,1/1
92,C12H20N4O7,333.1409,0.69,0.95,0.314,1/1
93,C16H26N2O5S,359.1641,3.75,1.07,0.394,1/1
94,C25H37NO4,416.2781,18.82,1.09,0.262,1/1
95,C17H16FN3O2S,346.1026,5.38,1.07,0.018,1/1
96,C22H28F2O5,411.1968,32.46,0.96,0.661,1/1
97,C22H28O2,325.2167,25.52,0.91,0.118,1/1
98,C49H66N10O10S2,1019.4501,4.42,1.07,0.027,1/1
99,C20H15BrN6O,435.0574,29.24,0.95,0.46,1/1
100,C18H18ClNO5,364.0951,26.23,0.96,0.126,1/1
101,C9H11NO5,214.0711,0.39,0.92,0.243,1/1
102,C13H16N2,201.139,5.19,0.91,0.14,1/1
103,C27H36N2O5,469.271,5.32,0.8,0.037,1/1
104,C20H25NO2,312.1961,12.8,1.11,0.114,1/1
105,C10H8F2N4O,239.0742,4.98,1,0.952,1/1
106,C19H30O3,307.2271,17.16,1.06,0.345,1/1
107,C19H20N2O3,325.1552,4.26,0.93,0.426,1/1
108,C15H28N4O4,329.2188,3.51,1.03,0.53,1/1
109,C30H34N2O3,471.2655,12.04,1.31,0.027,1/1
110,C36H41N3O6,612.3079,25.45,0.91,0.009,1/1
111,C20H29FO3,337.2178,12.76,1.09,0.307,1/1
112,C18H26ClN3O3,368.1744,3.61,0.89,0.067,1/1
113,C22H36N2O5S,441.2428,8.49,0.99,0.58,1/1
114,C26H29NO4S2,484.1621,15.56,0.94,0.424,1/1
115,C15H15NO3,258.1129,16.48,0.98,0.805,1/1
116,C16H21N5O2,316.1774,3.48,1,0.965,1/1
117,C14H23NO,222.1855,4.24,0.85,0.194,1/1
118,C45H57NO14,836.3872,29.97,0.87,0.065,1/1
119,C19H21N3O,308.1761,3.89,1.12,0.13,1/1
120,C21H23N7O2S,438.1718,6.15,1.25,0.005,1/1
121,C15H13NO3,256.0972,15.21,1,0.947,1/1
122,C12H15N5O3,278.125,0.74,1.05,0.391,1/1
123,C23H46N6O13,615.3171,25.55,0.89,0.025,1/1
124,C19H18N4O2,335.1508,4.25,1.01,0.863,1/1
125,C39H37F6N3O2,694.2874,26,0.94,0.026,1/1
126,C20H25NO3,328.1912,6.32,0.72,0.001,1/1
127,C15H22N2O,247.1809,5.05,1.29,0.001,1/1
128,C11H21N,168.175,3.84,1,0.953,1/1
129,C19H17N5O2,348.146,0.38,0.97,0.776,1/1
130,C34H38N3O7P,632.253,31.25,0.93,0.18,1/1
131,C27H37N3O7S,548.2435,21.65,0.99,0.914,1/1
132,C30H29ClN6O3,557.2076,4.45,0.88,0.35,1/1
133,C23H26ClN7O3,484.1872,8.27,0.92,0.07,1/1
134,C21H30N4O5S,451.2019,7.69,1.1,0.115,1/1
135,C32H39NO2,470.3062,28.07,0.94,0.388,1/1
136,C26H25ClN2O3,449.1636,25.67,1,0.945,1/1
137,C23H23ClFNO5,448.1331,29.02,0.95,0.453,1/1
138,C18H22F2N4O,349.1841,4.85,1.14,0.148,1/1
139,C20H19F2N3O5,420.1372,13.49,1.11,0.26,1/1
140,C22H18N6,367.1672,10.91,0.99,0.868,1/1
141,C16H18O9,355.1028,3.56,1.13,0.096,1/1
142,C21H26O2,311.201,21.35,0.9,0.293,1/1
143,C19H22N2O,295.1808,5.2,0.88,0.008,1/1
144,C31H48O6,517.3543,31.04,0.98,0.772,1/1
145,C15H17ClN4,289.1218,25.08,0.89,0.094,1/1
146,C13H17ClN2O2,269.1056,3.42,1.04,0.373,1/1
147,C20H23N,278.1906,9.98,0.78,0.016,1/1
148,C14H18N2O,231.1495,23.99,1.01,0.627,1/1
149,C20H21FN2O,325.1715,8.18,1,0.877,1/1
150,C27H29NO10,528.1878,10.33,1.01,0.905,1/1
151,C22H24BrFN4O2,475.1149,4.43,0.69,0.002,1/1
152,C6H13N5O,172.1195,0.48,1.04,0.416,1/1
153,C22H29N3O4S,432.196,3.53,1.05,0.249,1/1
154,C24H34O4,387.2535,28.93,0.93,0.462,1/1
155,C15H14N2O2,255.1132,10.35,0.91,0.357,1/1
156,C17H19N3O,282.1605,5.14,1.06,0.467,1/1
157,C9H12ClN5O,242.0807,0.65,0.99,0.348,1/1
158,C21H27ClN2O2,375.184,12.42,0.91,0.091,1/1
159,C14H10N4O5,315.0726,11.46,0.92,0.661,1/1
160,C24H25FN6O,433.2156,6.05,1.01,0.458,1/1
161,C10H15N5,206.1404,3.65,1.04,0.707,1/1
162,C17H21NO3,288.1598,0.63,0.96,0.452,1/1
163,C24H30O6,415.212,27.01,0.98,0.782,1/1
164,C17H14Cl2F2N2O3,403.0429,27.36,0.88,0.048,1/1
165,C19H27N5O5,406.2092,3.63,1.05,0.444,1/1
166,C19H29NO5,352.2124,14.58,0.97,0.617,1/1
167,C25H25Cl2N7O,510.1585,13.11,1.13,0.028,1/1
168,C15H14N2O4S,319.0753,7.82,1.08,0.036,1/1
169,C43H65FN6O10,845.4837,11.12,0.87,0.056,1/1
170,C23H21F7N4O3,535.1584,28.18,0.91,0.19,1/1
171,C31H33N5O4,540.2617,12.53,1.1,0.121,1/1
172,C53H83NO14,980.5722,31.51,0.99,0.846,1/1
173,C24H25FO5S,445.1468,9.18,1.16,0.012,1/1
174,C18H28N2O,289.2278,5.51,0.84,0.047,1/1
175,C21H15ClF4N4O3,483.0852,29.62,0.95,0.157,1/1
176,C56H71N9O23S,1270.4492,25.87,1.07,0.338,1/1
177,C40H57N5O7,720.4344,24.9,0.98,0.508,1/1
178,C30H46NO7P,564.3096,31.34,0.89,0.213,1/1
179,C24H26FNO4,412.1925,27.1,0.98,0.791,1/1
180,C46H62N4O11,847.4508,22.58,0.93,0.276,1/1
181,C18H19N3O,294.1604,4.47,1,0.926,1/1
182,C18H20N2O2S,329.1321,31.5,0.82,0.063,1/1
183,C21H16ClF3N4O3,465.0944,29.04,0.95,0.283,1/1
184,C16H25NO4,296.1859,4.58,0.92,0.157,1/1
185,C12H16N2S,221.1111,3.81,1.01,0.859,1/1
186,C17H25N3O2,304.2023,0.64,0.98,0.654,1/1
187,C25H32F3N3O4,496.2429,4.61,1.22,0.005,1/1
188,C22H22N2O4,379.1657,25.46,0.88,0.069,1/1
189,C18H20FN5O4,390.1578,4.43,1.04,0.481,1/1
190,C15H18N8O5,391.1479,3.22,1.01,0.766,1/1
191,C28H24FN3O5,502.1781,15.95,1.06,0.327,1/1
192,C15H9FN2O3,285.0673,24.71,1.04,0.107,1/1
193,C17H15FN6O3,371.1269,7.93,0.85,0.06,1/1
194,C20H21FN6O5,445.1641,14.47,1.03,0.539,1/1
195,C19H33NO2,308.2587,24.82,0.95,0.013,1/1
196,C19H20Br2N6O4S,588.9704,29.71,0.92,0.216,1/1
197,C13H16N4O,245.1401,0.67,1.01,0.833,1/1
198,C20H25NO2S2,376.1405,13.82,1,0.967,1/1
199,C24H28N2O3,393.2178,9.77,0.92,0.051,1/1
200,C23H23ClN6O2,451.1654,28.92,0.91,0.112,1/1
201,C9H14N4O3,227.1142,0.67,1.15,0.071,1/1
202,C26H23FIN5O4,616.0869,27.03,0.81,0.048,1/1
203,C22H24FN5O4,442.1894,15.4,0.99,0.894,1/1
204,C24H23N5O,398.1981,10.87,0.92,0.006,1/1
205,C18H22N2,267.1859,7.84,1.08,0.037,1/1
206,C25H25N5O4,460.1987,10.97,1.02,0.637,1/1
207,C28H36N4O2S,493.2638,17.94,1.05,0.263,1/1
208,C21H21FN2O4S,417.1284,25.33,0.97,0.506,1/1
209,C18H22N2S,299.1579,16.58,0.98,0.681,1/1
210,C20H22N4O5,399.167,3.98,0.98,0.652,1/1
211,C12H11NO,186.0916,6.19,1.12,0.189,1/1
212,C17H18N6,307.1669,6.47,1.05,0.229,1/1
213,C14H9ClF3NO2,316.0351,28.12,0.91,0.519,1/1
214,C43H68ClNO11,810.4564,32.31,0.95,0.444,1/1
215,C21H19N3O5,394.1403,12.58,1.09,0.127,1/1
216,C22H21Cl3N4O,463.0861,31.42,0.97,0.44,1/1
217,C26H26F3N3O3,486.2011,28.25,0.91,0.123,1/1
218,C15H21N3O2S,308.1431,4.04,1.07,0.242,1/1
219,C22H18FN7O,416.1636,9.18,1.01,0.755,1/1
220,C23H26O3,351.1959,32.56,0.95,0.71,1/1
221,C22H28FO5,392.2006,21.74,1.05,0.552,1/1
222,C5H11NO4S,204.0303,0.67,0.74,0.001,1/1
223,C18H23NO3,302.1754,3.41,1,0.927,1/1
224,C19H30O5,339.2167,31.5,0.76,0.61,1/1
225,C10H19O6PS2,331.0439,27.22,0.84,0.149,1/1
226,C12H17NO,192.1385,13.66,0.98,0.753,1/1
227,C21H45N3,340.3695,29.46,1.13,0.474,1/1
228,C22H42N4O8S2,555.253,3.66,1.06,0.445,1/1
229,C12H17O,178.1354,29.3,1.27,0.253,1/1
230,C12H21N2O3PS,305.1084,29.94,0.88,0.09,1/1
231,C6H8N2,109.0763,0.71,0.94,0.221,1/1
232,C13H17NO,204.1386,18.06,0.94,0.43,1/1
233,C7H15N,114.128,0.61,0.96,0.296,1/1
234,C18H26O3,291.1957,32.3,0.96,0.719,1/1
235,C7H15NO2,146.1177,0.46,1.03,0.155,1/1
236,C24H27NO2,362.2122,32.34,0.94,0.781,1/1
237,C4H7Cl2O4P,220.9536,8.56,0.98,0.68,1/1
238,C16H22O4,279.1595,31.24,0.96,0.715,1/1
239,C17H26N2O,275.2123,4.48,0.86,0.01,1/1
240,C8H10N2O3S,215.049,2.29,0.93,0.321,1/1
241,C24H33N3O4,428.2553,6.94,0.94,0.355,1/1
242,C11H16ClNO,214.0996,3.81,0.97,0.633,1/1
243,C21H19ClN4O4,427.1176,4.43,1.04,0.449,1/1
244,C21H30O4,347.2223,12.95,1.05,0.674,1/1
245,C22H26ClN7O2S,488.1642,6.66,0.97,0.184,1/1
246,C23H32N6O4S,489.229,10.63,0.94,0.324,1/1
247,C14H20N4,245.1752,32.84,0.75,0.134,1/1
248,C12H12N2O3,233.0924,9.39,1.09,0.085,1/1
249,C28H36ClN5O3S,558.2312,22.12,0.89,0.034,1/1
250,C21H31N3O5,406.2343,3.49,1.07,0.295,1/1
251,C22H24N2O8,445.1615,5.13,0.98,0.613,1/1
252,C21H20O9,417.1186,3.38,0.93,0.064,1/1
253,C27H30F6N2O2,529.2294,31.03,0.93,0.108,1/1
254,C20H26N2O4,359.1972,3.76,1.07,0.067,1/1
255,C16H20N6O,313.1776,3.3,1.02,0.814,1/1
256,C19H20FNO3,330.1505,10.87,0.99,0.903,1/1
257,C24H32O7,433.2228,22.78,0.89,0.049,1/1
258,C13H15NO3,234.1128,11.29,1.02,0.775,1/1
259,C21H21ClN4OS,413.1203,7.36,1.05,0.159,1/1
260,C16H25NO4S,328.1583,3.23,1.06,0.033,1/1
261,C9H10N2O,163.0868,5.67,0.94,0.229,1/1
262,C18H25N3O2,316.2025,3.69,1.06,0.373,1/1
263,C14H10N2O,223.0869,10.36,0.94,0.631,1/1
264,C7H6N2,119.0606,5.09,0.92,0.143,1/1
265,C7H4ClNOS,185.9776,10.78,0.94,0.702,1/1
266,C12H11N5,226.109,3.91,0.98,0.645,1/1
267,C20H25NO,296.2012,6.79,0.99,0.897,1/1
268,C25H32N2O4,425.2443,5.75,1.16,0.084,1/1
269,C25H32N2O6,457.2343,8.54,0.88,0.015,1/1
270,C15H10O2,223.0757,20.71,0.97,0.759,1/1
271,C9H9I2NO3,433.8753,3.66,1.04,0.647,1/1
272,C8H13NO2,156.1024,0.7,0.97,0.413,1/1
273,C17H28O6,329.1947,6.5,0.68,0.002,1/1
274,C10H6O3,175.0392,29.32,1.12,0.711,1/1
275,C15H12O2,225.0913,18.59,1.14,0.085,1/1
276,C11H8O3,189.0549,7.76,1.11,0.312,1/1
277,C20H36O2,331.2597,6.35,1,0.99,1/1
278,C22H31N3O3,386.2444,7.83,1.11,0.03,1/1
279,C20H31NO2,318.2431,17.87,1.04,0.277,1/1
280,C13H16N4O6,325.115,0.71,1.12,0.205,1/1
281,C21H18O11,447.0931,6.49,1.14,0.04,1/1
282,C15H24N2O2,265.1914,0.52,0.97,0.616,1/1
283,C15H24N2O,249.1965,0.53,1.01,0.602,1/1
284,C22H16N4O3,385.13,4.31,1.1,0.142,1/1
285,C14H22N4O4S,343.1441,4.43,0.95,0.123,1/1
286,C4H4N6O,153.0525,0.73,0.94,0.507,1/1
287,C24H27FN2O2,395.2136,10.74,0.97,0.6,1/1
288,C24H32N2O2,381.2543,11.96,0.97,0.671,1/1
289,C24H32N6O3,453.2618,4.65,1.05,0.818,1/1
290,C17H19N3O2S,330.1276,5.37,0.92,0.12,1/1
291,C17H18Br2N2O,426.9846,18.32,1.08,0.169,1/1
292,C18H14N6O2,347.1257,3.77,1.04,0.444,1/1
293,C28H40BrN7O4,618.2413,7.85,0.7,0.001,1/1
294,C26H26F3N7O2,526.2182,22.99,1.04,0.444,1/1
295,C19H19N5O,334.1667,29.42,0.94,0.29,1/1
296,C14H10F3NO5,330.0588,25.49,0.94,0.575,1/1
297,C21H24N4O2S,397.1709,6.3,1.27,0,1/1
298,C19H17Cl3N4O3,455.0447,26.69,0.83,0,1/1
299,C18H19FN2O2,315.1507,7.49,1.05,0.494,1/1
300,C26H28N8O,469.2471,6.87,1.1,0.029,1/1
301,C21H22FN3O,352.1827,4.98,0.92,0.172,1/1
302,C16H15N7O,322.1417,5.2,0.95,0.429,1/1
303,C27H32N8O2,501.2732,5.19,0.99,0.797,1/1
304,C23H23O2N5,402.193,26.29,0.95,0.107,1/1
305,C18H14N4,287.1294,3.5,1.05,0.311,1/1
306,C19H21ClN4,341.1534,3.65,1.22,0.019,1/1
307,C26H24N8O2,481.2105,3.76,0.96,0.511,1/1
308,C21H24ClFN4O3,435.1603,6.27,0.99,0.69,1/1
309,C24H17N3O6,444.1198,26.94,1.03,0.183,1/1
310,C25H25ClN6O4S,541.1432,21.78,1,0.925,1/1
311,C26H19ClN8,479.1505,6.72,0.79,0.345,1/1
312,C32H38ClN5O4,592.2687,31.23,1,0.999,1/1
313,C25H34FN3O2,428.2715,18.45,1.04,0.659,1/1
314,C29H35N7O4,546.2835,6.35,1.28,0.001,1/1
315,C26H30N6O3,475.245,8.92,1.17,0.001,1/1
316,C34H44N4O4,573.345,4,1.02,0.774,1/1
317,C24H30N6O2,435.2513,5.3,0.97,0.732,1/1
318,C22H22F3N3O3,434.1696,12.47,0.95,0.424,1/1
319,C24H29ClN6OS,485.1897,5.36,0.89,0.211,1/1
320,C21H24FN5O5S,478.1566,26.04,0.96,0.344,1/1
321,C26H40N4,409.3332,3.6,1.39,0.002,1/1
322,C11H11Cl2N,228.0344,6.12,0.99,0.81,1/1
323,C36H46N8O3,639.3782,13.59,1.16,0.19,1/1
324,C31H32BrNO4S2,628.1028,31.88,1.01,0.962,1/1
325,C18H16ClN3O2,342.101,13.17,0.86,0.042,1/1
326,C27H31FN6OS,507.2328,14.96,1.01,0.844,1/1
327,C24H22F3N5O5,518.1657,27.7,0.92,0.185,1/1
328,C23H35N5O2,414.2869,3.9,1.03,0.786,1/1
329,C26H36N6O3,481.2928,4.53,0.88,0.094,1/1
330,C26H33FN4O3S,501.2341,14.91,0.94,0.362,1/1
331,C18H11N3O2S,334.065,5.01,0.95,0.262,1/1
332,C15H15N7O,310.1417,14.83,0.95,0.419,1/1
333,C24H25N5O4,448.1989,14,0.94,0.332,1/1
334,C19H19N3O2S,354.1278,5.45,1.04,0.503,1/1
335,C23H26IN7O2S,592.1,8.04,0.86,0.032,1/1
336,C14H17IN4O2,401.0475,8.76,1,0.964,1/1
337,C29H29ClN4O2,501.2064,10.11,1.08,0.326,1/1
338,C14H16N4O3S,321.1004,7.93,0.98,0.807,1/1
339,C20H23BrN8O,471.1261,3.42,1.01,0.829,1/1
340,C30H31FN4O2,499.2512,25.07,0.9,0.023,1/1
341,C15H19Cl2N3O4,376.0834,5.45,1.08,0.102,1/1
342,C21H19Cl2IN4O2,557.0014,30.6,0.98,0.382,1/1
343,C27H20ClFN4O4,519.1241,26.61,1.03,0.312,1/1
344,C19H18ClN3O4,388.1065,14.27,0.99,0.829,1/1
345,C26H27F3N2O6,521.1902,26.74,0.93,0,1/1
346,C16H11BrN2O,327.0132,21.84,0.95,0.5,1/1
347,C30H27N5O,474.2298,21.81,0.97,0.558,1/1
348,C25H27N3O2S,434.1906,10.11,0.99,0.636,1/1
349,C19H20ClN3O5S,438.0895,25.94,0.99,0.809,1/1
350,C17H18F3N3O3,370.1367,28.13,0.96,0.586,1/1
351,C16H15ClN4O2,331.0959,31.27,0.9,0.685,1/1
352,C15H18N2,227.1546,5.28,0.73,0.002,1/1
353,C14H16ClN5O2S,354.0792,17.5,0.99,0.837,1/1
354,C28H23N7O2,490.1997,16.42,0.95,0.496,1/1
355,C27H27N7O2S,514.2032,6.92,1.1,0.171,1/1
356,C30H26F2N4O5,561.195,24.58,1.04,0.102,1/1
357,C23H25F4N3O3S,500.1637,11.27,0.98,0.837,1/1
358,C30H25F10NO3,638.1764,32.39,1.02,0.919,1/1
359,C19H17ClN2O5,389.0905,17.37,1.04,0.486,1/1
360,C21H20N2OS3,413.0816,30.81,0.97,0.5,1/1
361,C10H7NO2,174.0554,6.67,1.09,0.216,1/1
362,C42H45ClN6O5S2,813.2673,19.72,0.92,0.417,1/1
363,C20H20N4O3,365.1615,15.12,0.96,0.515,1/1
364,C19H31N5O2,362.2557,3.55,1,0.974,1/1
365,C9H9BrN2O3,272.9874,5.72,0.96,0.505,1/1
366,C28H31N5O,454.2611,6.3,0.53,0.001,1/2
367,C27H31FN4O2,463.2515,19.58,0.99,0.821,1/1
368,C17H18N2O2,283.1445,8,1.07,0.064,1/1
369,C9H7NO2,162.0551,3.57,1.05,0.563,1/1
370,C21H23Cl2N5O2S,480.1033,7.54,1.05,0.305,1/1
371,C22H31N3O2,370.2497,5.43,0.9,0.004,1/1
372,C47H55ClF3N5O6S3,974.3051,25.81,0.92,0.357,1/1
373,C30H33ClN4O2,517.2377,24.68,0.95,0.049,1/1
374,C27H32N6,441.277,3.93,1.1,0.228,1/1
375,C22H29N7O,408.2512,10.02,0.91,0.165,1/1
376,C31H33ClN2O3,517.2263,24.49,0.95,0.047,1/1
377,C20H15ClF3N5,418.1047,10.13,0.94,0.29,1/1
378,C12H13N3O3S,280.0753,21.51,1.04,0.426,1/1
379,C22H32N6,381.2768,5.49,1.29,0.049,1/1
380,C20H25N5O2,368.2088,3.76,1.14,0.199,1/1
381,C20H20N2O4,353.1502,6.32,1,0.914,1/1
382,C21H17F3N4,383.1484,6.73,0.98,0.565,1/1
383,C25H21N3O,380.1764,3.45,1.2,0.087,1/1
384,C19H12F4N4O2,405.0976,8.34,0.87,0.008,1/1
385,C20H21N5O4,396.1673,6.28,1.29,0,1/1
386,C23H27N5,374.2346,8.96,1.03,0.223,1/1
387,C17H18N2,251.1546,9.7,0.75,0.004,1/1
388,C30H28N2O6S,545.175,31.11,0.94,0.25,1/1
389,C16H14BrN3O3,376.0298,4.86,1.02,0.56,1/1
390,C26H25F9N2O4,601.1757,32.09,1.01,0.971,1/1
391,C27H29NO3,416.2226,29.69,0.94,0.22,1/1
392,C24H27ClN2O4,443.1742,8.98,1.11,0.183,1/1
393,C22H20FN3O2,378.1618,27.56,1.03,0.761,1/1
394,C12H17N3O3S,284.1066,4.14,0.92,0.443,1/1
395,C22H26FN3O2,384.2087,20.9,1.07,0.331,1/1
396,C18H17F3N2O3,367.127,7.58,1.13,0.148,1/1
397,C18H21N3O2,312.171,5.04,0.96,0.205,1/1
398,C27H28N2O3,429.2181,9.92,0.94,0.349,1/1
399,C18H11BrN2O2,367.0083,24.89,0.96,0.002,1/1
400,C19H12ClN3O2,350.0698,19.83,1,0.96,1/1
401,C14H16N2O,229.1339,3.46,1.06,0.481,1/1
402,C28H33N7O2,500.2781,5.63,1.12,0.057,1/1
403,C15H12Cl2N4O,335.0465,21.38,1.26,0.127,1/1
404,C17H13Cl2NO4,366.0302,17.69,1.06,0.396,1/1
405,C26H22Cl2N4O3,509.1157,28.48,0.97,0.622,1/1
406,C29H32O7S,525.1956,28.92,0.94,0.498,1/1
407,C25H31N7O6,548.2226,7.94,1.4,0,2/1
408,C28H35ClN6O3,539.2545,3.81,0.95,0.284,1/1
409,C21H23N3O5,398.1717,3.71,1.01,0.867,1/1
410,C18H19F3N6O,393.1651,4.53,0.96,0.48,1/1
411,C23H19NO3,358.1444,28.17,0.98,0.565,1/1
412,C35H51N5O4,606.403,3.69,1.03,0.2,1/1
413,C13H16N4O2,261.1351,3.69,1.07,0.37,1/1
414,C30H38ClN7O3,580.2813,5.61,1.43,0.018,1/1
415,C17H13Br2N5OS,495.9274,11.97,0.85,0.165,1/1
416,C18H16FN3O,310.1354,6.77,1.02,0.653,1/1
417,C21H19FN6O2,407.1632,4.73,1.15,0.008,1/1
418,C18H17F3N2O2,351.132,31.49,0.91,0.456,1/1
419,C15H11Cl2NO3,324.0194,17.48,1.08,0.247,1/1
420,C26H34ClN6O2P,529.2255,3.79,1.05,0.714,1/1
421,C21H24N4O2,365.1977,20.65,1.13,0.417,1/1
422,C33H43N7O2,570.3564,11.89,1.08,0.091,1/1
423,C20H16N6S,373.1237,3.83,0.98,0.623,1/1
424,C16H25N3O3,308.1973,4.87,0.96,0.366,1/1
425,C27H36N6O3S,525.2655,3.81,1.16,0.126,1/1
426,C18H23F2N5O4S2,476.1245,17.39,1,0.955,1/1
427,C28H36O15,613.2143,7.2,1.07,0.033,1/1
428,C16H18N2O2,271.1445,5.13,1.15,0.239,1/1
429,C24H23ClFN5O2,468.1606,4.82,0.87,0.015,1/1
430,C48H78O19,959.5238,9.56,1,0.978,1/1
431,C27H41NO2,412.3216,9.67,0.83,0.006,1/1
432,C13H12N2O,213.1026,4.18,0.93,0.037,1/1
433,C20H24O6,361.1652,8.63,0.97,0.751,1/1
434,C15H15FIN3O3,432.0224,6.08,0.97,0.09,1/1
435,C28H36O3,421.2743,32,0.94,0.396,1/1
436,C17H19FN4O4,363.1458,4.39,0.54,0.001,1/2
437,C34H34F2N4O6,633.2536,8.13,0.88,0.294,1/1
