mz,rt,Compound Name,formula,Fold change,p-value,Compound concentration ratio
317.1647,3.8,48,C13H24N4O3S,0.06,0,1/16
308.1106,31.52,49,C19H17NOS,1.83,0.001,2/1
408.1721,16.82,50,C21H24F3N3S,15.01,0,16/1
302.2482,11.27,51,C20H31NO,0.26,0,1/4
256.1812,4.19,52,C16H21N3,9.74,0,16/1
279.186,5.06,53,C19H22N2,0.99,0.883,1/1
245.2016,9.47,54,C16H24N2,3.41,0,4/1
180.1022,5.84,55,C10H13NO2,0.05,0,1/16
355.2022,4.37,56,C21H26N2O3,1.99,0,2/1
337.2127,3.83,57,C18H28N2O4,0.06,0,1/16
310.1264,5.58,58,C19H19NOS,1.11,0.134,1/1
327.1377,5.16,59,C18H19ClN4,0.48,0,1/2
384.1448,4.19,60,C21H21NO6,0.05,0,1/16
235.1808,3.63,61,C14H22N2O,0.53,0.001,1/2
195.092,3.56,62,C13H10N2,1.03,0.396,1/1
438.1831,15.66,63,C22H26F3N3OS,0.29,0,1/4
361.1206,31.69,64,C20H21ClO4,1.87,0.001,2/1
242.1179,28.63,65,C15H15NO2,4.48,0,4/1
430.2596,12.38,66,C25H35NO5,0.45,0.001,1/2
180.1749,5.27,67,C12H21N,2.03,0,2/1
484.1241,14.08,68,C24H26BrN3O3,4.2,0,4/1
480.214,12.7,69,C26H29N3O6,0.37,0,1/2
254.1543,5.34,70,C17H19NO,0.06,0,1/16
285.0211,4.62,71,C10H9ClN4O2S,2,0,2/1
311.0813,7.02,72,C12H14N4O4S,0.08,0,1/16
397.0101,22.56,73,C18H15Cl3N2S,14.57,0,16/1
338.2515,25.6,74,C20H35NOS,1.72,0,2/1
377.2121,31.65,75,C25H28O3,2.91,0.004,4/1
381.0328,21.68,76,C18H15Cl3N2O,15.15,0,16/1
312.1379,15.92,77,C14H21N3O3S,4.02,0,4/1
404.0377,5.13,78,C17H13N3O5S2,4.15,0,4/1
354.2431,20.16,79,C23H31NO2,0.31,0,1/4
324.1962,10.52,80,C21H25NO2,1.69,0.005,2/1
607.3258,31.28,81,C32H47F5O3S,0.22,0,1/4
470.233,16.46,82,C25H32ClN5O2,0.41,0,1/2
427.2148,4.63,83,C23H27FN4O3,3.68,0,4/1
349.2128,3.68,84,C19H28N2O4,1.15,0.136,1/1
296.147,11.64,85,C19H21NS,1.69,0.003,2/1
318.2795,21.55,86,C21H35NO,1.73,0.003,2/1
914.5281,31.81,87,C50H75NO14,0.21,0,1/4
294.0696,27.12,88,C15H13ClFNO2,4.29,0,4/1
266.1656,6.45,89,C17H19N3,16.85,0,16/1
345.1816,3.97,90,C19H24N2O4,1.05,0.377,1/1
383.2796,31.23,91,C22H38O5,0.83,0.048,1/1
333.1409,0.6,92,C12H20N4O7,0.95,0.314,1/1
359.1641,3.65,93,C16H26N2O5S,1.07,0.394,1/1
416.2781,18.8,94,C25H37NO4,1.09,0.262,1/1
346.1026,5.27,95,C17H16FN3O2S,1.07,0.018,1/1
411.1968,32.46,96,C22H28F2O5,0.96,0.661,1/1
325.2167,25.51,97,C22H28O2,0.91,0.118,1/1
1019.4501,4.45,98,C49H66N10O10S2,1.07,0.027,1/1
435.0574,29.43,99,C20H15BrN6O,0.95,0.46,1/1
364.0951,26.39,100,C18H18ClNO5,0.96,0.126,1/1
214.0711,0.58,101,C9H11NO5,0.92,0.243,1/1
201.139,5.14,102,C13H16N2,0.91,0.14,1/1
469.271,5.39,103,C27H36N2O5,0.8,0.037,1/1
312.1961,12.8,104,C20H25NO2,1.11,0.114,1/1
239.0742,4.82,105,C10H8F2N4O,1,0.952,1/1
307.2271,17.26,106,C19H30O3,1.06,0.345,1/1
325.1552,4.3,107,C19H20N2O3,0.93,0.426,1/1
329.2188,3.41,108,C15H28N4O4,1.03,0.53,1/1
471.2655,12.15,109,C30H34N2O3,1.31,0.027,1/1
612.3079,25.62,110,C36H41N3O6,0.91,0.009,1/1
337.2178,12.84,111,C20H29FO3,1.09,0.307,1/1
368.1744,3.75,112,C18H26ClN3O3,0.89,0.067,1/1
441.2428,8.32,113,C22H36N2O5S,0.99,0.58,1/1
484.1621,15.44,114,C26H29NO4S2,0.94,0.424,1/1
258.1129,16.43,115,C15H15NO3,0.98,0.805,1/1
316.1774,3.33,116,C16H21N5O2,1,0.965,1/1
222.1855,4.12,117,C14H23NO,0.85,0.194,1/1
836.3872,30.1,118,C45H57NO14,0.87,0.065,1/1
308.1761,3.73,119,C19H21N3O,1.12,0.13,1/1
438.1718,6.13,120,C21H23N7O2S,1.25,0.005,1/1
256.0972,15.09,121,C15H13NO3,1,0.947,1/1
278.125,0.58,122,C12H15N5O3,1.05,0.391,1/1
615.3171,25.62,123,C23H46N6O13,0.89,0.025,1/1
335.1508,4.41,124,C19H18N4O2,1.01,0.863,1/1
694.2874,26.11,125,C39H37F6N3O2,0.94,0.026,1/1
328.1912,6.35,126,C20H25NO3,0.72,0.001,1/1
247.1809,4.92,127,C15H22N2O,1.29,0.001,1/1
168.175,3.7,128,C11H21N,1,0.953,1/1
348.146,0.58,129,C19H17N5O2,0.97,0.776,1/1
632.253,31.25,130,C34H38N3O7P,0.93,0.18,1/1
548.2435,21.68,131,C27H37N3O7S,0.99,0.914,1/1
557.2076,4.56,132,C30H29ClN6O3,0.88,0.35,1/1
484.1872,8.42,133,C23H26ClN7O3,0.92,0.07,1/1
451.2019,7.75,134,C21H30N4O5S,1.1,0.115,1/1
470.3062,27.89,135,C32H39NO2,0.94,0.388,1/1
449.1636,25.74,136,C26H25ClN2O3,1,0.945,1/1
448.1331,29.01,137,C23H23ClFNO5,0.95,0.453,1/1
349.1841,4.77,138,C18H22F2N4O,1.14,0.148,1/1
420.1372,13.54,139,C20H19F2N3O5,1.11,0.26,1/1
367.1672,10.72,140,C22H18N6,0.99,0.868,1/1
355.1028,3.38,141,C16H18O9,1.13,0.096,1/1
311.201,21.45,142,C21H26O2,0.9,0.293,1/1
295.1808,5.2,143,C19H22N2O,0.88,0.008,1/1
517.3543,31.12,144,C31H48O6,0.98,0.772,1/1
289.1218,25.17,145,C15H17ClN4,0.89,0.094,1/1
269.1056,3.61,146,C13H17ClN2O2,1.04,0.373,1/1
278.1906,9.94,147,C20H23N,0.78,0.016,1/1
231.1495,23.99,148,C14H18N2O,1.01,0.627,1/1
325.1715,8.36,149,C20H21FN2O,1,0.877,1/1
528.1878,10.42,150,C27H29NO10,1.01,0.905,1/1
475.1149,4.27,151,C22H24BrFN4O2,0.69,0.002,1/1
172.1195,0.58,152,C6H13N5O,1.04,0.416,1/1
432.196,3.67,153,C22H29N3O4S,1.05,0.249,1/1
387.2535,28.93,154,C24H34O4,0.93,0.462,1/1
255.1132,10.16,155,C15H14N2O2,0.91,0.357,1/1
282.1605,5.24,156,C17H19N3O,1.06,0.467,1/1
242.0807,0.58,157,C9H12ClN5O,0.99,0.348,1/1
375.184,12.32,158,C21H27ClN2O2,0.91,0.091,1/1
315.0726,11.56,159,C14H10N4O5,0.92,0.661,1/1
433.2156,5.96,160,C24H25FN6O,1.01,0.458,1/1
206.1404,3.7,161,C10H15N5,1.04,0.707,1/1
288.1598,0.58,162,C17H21NO3,0.96,0.452,1/1
415.212,26.96,163,C24H30O6,0.98,0.782,1/1
403.0429,27.35,164,C17H14Cl2F2N2O3,0.88,0.048,1/1
406.2092,3.79,165,C19H27N5O5,1.05,0.444,1/1
352.2124,14.45,166,C19H29NO5,0.97,0.617,1/1
510.1585,13.18,167,C25H25Cl2N7O,1.13,0.028,1/1
319.0753,7.95,168,C15H14N2O4S,1.08,0.036,1/1
845.4837,11.3,169,C43H65FN6O10,0.87,0.056,1/1
535.1584,28.14,170,C23H21F7N4O3,0.91,0.19,1/1
540.2617,12.46,171,C31H33N5O4,1.1,0.121,1/1
980.5722,31.7,172,C53H83NO14,0.99,0.846,1/1
445.1468,9.18,173,C24H25FO5S,1.16,0.012,1/1
289.2278,5.62,174,C18H28N2O,0.84,0.047,1/1
483.0852,29.56,175,C21H15ClF4N4O3,0.95,0.157,1/1
1270.4492,26,176,C56H71N9O23S,1.07,0.338,1/1
720.4344,24.82,177,C40H57N5O7,0.98,0.508,1/1
564.3096,31.39,178,C30H46NO7P,0.89,0.213,1/1
412.1925,26.93,179,C24H26FNO4,0.98,0.791,1/1
847.4508,22.72,180,C46H62N4O11,0.93,0.276,1/1
294.1604,4.53,181,C18H19N3O,1,0.926,1/1
329.1321,31.65,182,C18H20N2O2S,0.82,0.063,1/1
465.0944,28.87,183,C21H16ClF3N4O3,0.95,0.283,1/1
296.1859,4.43,184,C16H25NO4,0.92,0.157,1/1
221.1111,3.91,185,C12H16N2S,1.01,0.859,1/1
304.2023,0.58,186,C17H25N3O2,0.98,0.654,1/1
496.2429,4.48,187,C25H32F3N3O4,1.22,0.005,1/1
379.1657,25.44,188,C22H22N2O4,0.88,0.069,1/1
390.1578,4.42,189,C18H20FN5O4,1.04,0.481,1/1
391.1479,3.32,190,C15H18N8O5,1.01,0.766,1/1
502.1781,16.11,191,C28H24FN3O5,1.06,0.327,1/1
285.0673,24.55,192,C15H9FN2O3,1.04,0.107,1/1
371.1269,7.77,193,C17H15FN6O3,0.85,0.06,1/1
445.1641,14.42,194,C20H21FN6O5,1.03,0.539,1/1
308.2587,24.88,195,C19H33NO2,0.95,0.013,1/1
588.9704,29.77,196,C19H20Br2N6O4S,0.92,0.216,1/1
245.1401,0.58,197,C13H16N4O,1.01,0.833,1/1
376.1405,13.66,198,C20H25NO2S2,1,0.967,1/1
393.2178,9.62,199,C24H28N2O3,0.92,0.051,1/1
451.1654,28.81,200,C23H23ClN6O2,0.91,0.112,1/1
227.1142,0.61,201,C9H14N4O3,1.15,0.071,1/1
616.0869,27.2,202,C26H23FIN5O4,0.81,0.048,1/1
442.1894,15.54,203,C22H24FN5O4,0.99,0.894,1/1
398.1981,10.71,204,C24H23N5O,0.92,0.006,1/1
267.1859,7.8,205,C18H22N2,1.08,0.037,1/1
460.1987,11.17,206,C25H25N5O4,1.02,0.637,1/1
493.2638,18.1,207,C28H36N4O2S,1.05,0.263,1/1
417.1284,25.26,208,C21H21FN2O4S,0.97,0.506,1/1
299.1579,16.78,209,C18H22N2S,0.98,0.681,1/1
399.167,4.12,210,C20H22N4O5,0.98,0.652,1/1
186.0916,6.17,211,C12H11NO,1.12,0.189,1/1
307.1669,6.39,212,C17H18N6,1.05,0.229,1/1
316.0351,28.06,213,C14H9ClF3NO2,0.91,0.519,1/1
810.4564,32.42,214,C43H68ClNO11,0.95,0.444,1/1
394.1403,12.5,215,C21H19N3O5,1.09,0.127,1/1
463.0861,31.53,216,C22H21Cl3N4O,0.97,0.44,1/1
486.2011,28.32,217,C26H26F3N3O3,0.91,0.123,1/1
308.1431,3.94,218,C15H21N3O2S,1.07,0.242,1/1
416.1636,9.12,219,C22H18FN7O,1.01,0.755,1/1
351.1959,32.42,220,C23H26O3,0.95,0.71,1/1
392.2006,21.68,221,C22H28FO5,1.05,0.552,1/1
204.0303,0.64,222,C5H11NO4S,0.74,0.001,1/1
302.1754,3.57,223,C18H23NO3,1,0.927,1/1
339.2167,31.55,224,C19H30O5,0.76,0.61,1/1
331.0439,27.31,225,C10H19O6PS2,0.84,0.149,1/1
192.1385,13.76,226,C12H17NO,0.98,0.753,1/1
340.3695,29.27,227,C21H45N3,1.13,0.474,1/1
555.253,3.7,228,C22H42N4O8S2,1.06,0.445,1/1
178.1354,29.14,229,C12H17O,1.27,0.253,1/1
305.1084,29.89,230,C12H21N2O3PS,0.88,0.09,1/1
109.0763,0.59,231,C6H8N2,0.94,0.221,1/1
204.1386,18.06,232,C13H17NO,0.94,0.43,1/1
114.128,0.58,233,C7H15N,0.96,0.296,1/1
291.1957,32.3,234,C18H26O3,0.96,0.719,1/1
146.1177,0.58,235,C7H15NO2,1.03,0.155,1/1
362.2122,32.25,236,C24H27NO2,0.94,0.781,1/1
220.9536,8.65,237,C4H7Cl2O4P,0.98,0.68,1/1
279.1595,31.43,238,C16H22O4,0.96,0.715,1/1
275.2123,4.42,239,C17H26N2O,0.86,0.01,1/1
215.049,2.42,240,C8H10N2O3S,0.93,0.321,1/1
428.2553,6.76,241,C24H33N3O4,0.94,0.355,1/1
214.0996,3.63,242,C11H16ClNO,0.97,0.633,1/1
427.1176,4.26,243,C21H19ClN4O4,1.04,0.449,1/1
347.2223,13,244,C21H30O4,1.05,0.674,1/1
488.1642,6.85,245,C22H26ClN7O2S,0.97,0.184,1/1
489.229,10.46,246,C23H32N6O4S,0.94,0.324,1/1
245.1752,32.87,247,C14H20N4,0.75,0.134,1/1
233.0924,9.2,248,C12H12N2O3,1.09,0.085,1/1
558.2312,21.93,249,C28H36ClN5O3S,0.89,0.034,1/1
406.2343,3.35,250,C21H31N3O5,1.07,0.295,1/1
445.1615,5.21,251,C22H24N2O8,0.98,0.613,1/1
417.1186,3.43,252,C21H20O9,0.93,0.064,1/1
529.2294,30.89,253,C27H30F6N2O2,0.93,0.108,1/1
359.1972,3.83,254,C20H26N2O4,1.07,0.067,1/1
313.1776,3.43,255,C16H20N6O,1.02,0.814,1/1
330.1505,10.85,256,C19H20FNO3,0.99,0.903,1/1
433.2228,22.61,257,C24H32O7,0.89,0.049,1/1
234.1128,11.21,258,C13H15NO3,1.02,0.775,1/1
413.1203,7.33,259,C21H21ClN4OS,1.05,0.159,1/1
328.1583,3.39,260,C16H25NO4S,1.06,0.033,1/1
163.0868,5.62,261,C9H10N2O,0.94,0.229,1/1
316.2025,3.49,262,C18H25N3O2,1.06,0.373,1/1
223.0869,10.5,263,C14H10N2O,0.94,0.631,1/1
119.0606,5.08,264,C7H6N2,0.92,0.143,1/1
185.9776,10.63,265,C7H4ClNOS,0.94,0.702,1/1
226.109,3.81,266,C12H11N5,0.98,0.645,1/1
296.2012,6.71,267,C20H25NO,0.99,0.897,1/1
425.2443,5.67,268,C25H32N2O4,1.16,0.084,1/1
457.2343,8.6,269,C25H32N2O6,0.88,0.015,1/1
223.0757,20.79,270,C15H10O2,0.97,0.759,1/1
433.8753,3.54,271,C9H9I2NO3,1.04,0.647,1/1
156.1024,0.58,272,C8H13NO2,0.97,0.413,1/1
329.1947,6.35,273,C17H28O6,0.68,0.002,1/1
175.0392,29.15,274,C10H6O3,1.12,0.711,1/1
225.0913,18.59,275,C15H12O2,1.14,0.085,1/1
189.0549,7.76,276,C11H8O3,1.11,0.312,1/1
331.2597,6.23,277,C20H36O2,1,0.99,1/1
386.2444,7.77,278,C22H31N3O3,1.11,0.03,1/1
318.2431,17.79,279,C20H31NO2,1.04,0.277,1/1
325.115,0.59,280,C13H16N4O6,1.12,0.205,1/1
447.0931,6.33,281,C21H18O11,1.14,0.04,1/1
265.1914,0.58,282,C15H24N2O2,0.97,0.616,1/1
249.1965,0.58,283,C15H24N2O,1.01,0.602,1/1
385.13,4.47,284,C22H16N4O3,1.1,0.142,1/1
343.1441,4.4,285,C14H22N4O4S,0.95,0.123,1/1
153.0525,0.92,286,C4H4N6O,0.94,0.507,1/1
395.2136,10.75,287,C24H27FN2O2,0.97,0.6,1/1
381.2543,11.94,288,C24H32N2O2,0.97,0.671,1/1
453.2618,4.74,289,C24H32N6O3,1.05,0.818,1/1
330.1276,5.33,290,C17H19N3O2S,0.92,0.12,1/1
426.9846,18.51,291,C17H18Br2N2O,1.08,0.169,1/1
347.1257,3.96,292,C18H14N6O2,1.04,0.444,1/1
618.2413,7.72,293,C28H40BrN7O4,0.7,0.001,1/1
526.2182,23.05,294,C26H26F3N7O2,1.04,0.444,1/1
334.1667,29.57,295,C19H19N5O,0.94,0.29,1/1
330.0588,25.48,296,C14H10F3NO5,0.94,0.575,1/1
397.1709,6.19,297,C21H24N4O2S,1.27,0,1/1
455.0447,26.8,298,C19H17Cl3N4O3,0.83,0,1/1
315.1507,7.44,299,C18H19FN2O2,1.05,0.494,1/1
469.2471,7.04,300,C26H28N8O,1.1,0.029,1/1
352.1827,5.16,301,C21H22FN3O,0.92,0.172,1/1
322.1417,5.19,302,C16H15N7O,0.95,0.429,1/1
501.2732,5.17,303,C27H32N8O2,0.99,0.797,1/1
402.193,26.24,304,C23H23O2N5,0.95,0.107,1/1
287.1294,3.41,305,C18H14N4,1.05,0.311,1/1
341.1534,3.46,306,C19H21ClN4,1.22,0.019,1/1
481.2105,3.75,307,C26H24N8O2,0.96,0.511,1/1
435.1603,6.34,308,C21H24ClFN4O3,0.99,0.69,1/1
444.1198,26.82,309,C24H17N3O6,1.03,0.183,1/1
541.1432,21.87,310,C25H25ClN6O4S,1,0.925,1/1
479.1505,6.74,311,C26H19ClN8,0.79,0.345,1/1
592.2687,31.4,312,C32H38ClN5O4,1,0.999,1/1
428.2715,18.64,313,C25H34FN3O2,1.04,0.659,1/1
546.2835,6.16,314,C29H35N7O4,1.28,0.001,1/1
475.245,8.79,315,C26H30N6O3,1.17,0.001,1/1
573.345,3.92,316,C34H44N4O4,1.02,0.774,1/1
435.2513,5.34,317,C24H30N6O2,0.97,0.732,1/1
434.1696,12.6,318,C22H22F3N3O3,0.95,0.424,1/1
485.1897,5.5,319,C24H29ClN6OS,0.89,0.211,1/1
478.1566,26.14,320,C21H24FN5O5S,0.96,0.344,1/1
409.3332,3.58,321,C26H40N4,1.39,0.002,1/1
228.0344,6.03,322,C11H11Cl2N,0.99,0.81,1/1
639.3782,13.53,323,C36H46N8O3,1.16,0.19,1/1
628.1028,31.97,324,C31H32BrNO4S2,1.01,0.962,1/1
342.101,12.99,325,C18H16ClN3O2,0.86,0.042,1/1
507.2328,14.86,326,C27H31FN6OS,1.01,0.844,1/1
518.1657,27.68,327,C24H22F3N5O5,0.92,0.185,1/1
414.2869,3.86,328,C23H35N5O2,1.03,0.786,1/1
481.2928,4.56,329,C26H36N6O3,0.88,0.094,1/1
501.2341,15.01,330,C26H33FN4O3S,0.94,0.362,1/1
334.065,5.07,331,C18H11N3O2S,0.95,0.262,1/1
310.1417,14.73,332,C15H15N7O,0.95,0.419,1/1
448.1989,14.19,333,C24H25N5O4,0.94,0.332,1/1
354.1278,5.6,334,C19H19N3O2S,1.04,0.503,1/1
592.1,8.22,335,C23H26IN7O2S,0.86,0.032,1/1
401.0475,8.94,336,C14H17IN4O2,1,0.964,1/1
501.2064,9.97,337,C29H29ClN4O2,1.08,0.326,1/1
321.1004,7.85,338,C14H16N4O3S,0.98,0.807,1/1
471.1261,3.43,339,C20H23BrN8O,1.01,0.829,1/1
499.2512,25.23,340,C30H31FN4O2,0.9,0.023,1/1
376.0834,5.45,341,C15H19Cl2N3O4,1.08,0.102,1/1
557.0014,30.61,342,C21H19Cl2IN4O2,0.98,0.382,1/1
519.1241,26.74,343,C27H20ClFN4O4,1.03,0.312,1/1
388.1065,14.3,344,C19H18ClN3O4,0.99,0.829,1/1
521.1902,26.78,345,C26H27F3N2O6,0.93,0,1/1
327.0132,21.79,346,C16H11BrN2O,0.95,0.5,1/1
474.2298,21.76,347,C30H27N5O,0.97,0.558,1/1
434.1906,10.29,348,C25H27N3O2S,0.99,0.636,1/1
438.0895,25.99,349,C19H20ClN3O5S,0.99,0.809,1/1
370.1367,28.08,350,C17H18F3N3O3,0.96,0.586,1/1
331.0959,31.27,351,C16H15ClN4O2,0.9,0.685,1/1
227.1546,5.14,352,C15H18N2,0.73,0.002,1/1
354.0792,17.44,353,C14H16ClN5O2S,0.99,0.837,1/1
490.1997,16.55,354,C28H23N7O2,0.95,0.496,1/1
514.2032,7.09,355,C27H27N7O2S,1.1,0.171,1/1
561.195,24.52,356,C30H26F2N4O5,1.04,0.102,1/1
500.1637,11.46,357,C23H25F4N3O3S,0.98,0.837,1/1
638.1764,32.36,358,C30H25F10NO3,1.02,0.919,1/1
389.0905,17.19,359,C19H17ClN2O5,1.04,0.486,1/1
413.0816,30.78,360,C21H20N2OS3,0.97,0.5,1/1
174.0554,6.71,361,C10H7NO2,1.09,0.216,1/1
813.2673,19.66,362,C42H45ClN6O5S2,0.92,0.417,1/1
365.1615,15.14,363,C20H20N4O3,0.96,0.515,1/1
362.2557,3.53,364,C19H31N5O2,1,0.974,1/1
272.9874,5.54,365,C9H9BrN2O3,0.96,0.505,1/1
454.2611,6.35,366,C28H31N5O,0.53,0.001,1/2
463.2515,19.4,367,C27H31FN4O2,0.99,0.821,1/1
283.1445,7.84,368,C17H18N2O2,1.07,0.064,1/1
162.0551,3.69,369,C9H7NO2,1.05,0.563,1/1
480.1033,7.71,370,C21H23Cl2N5O2S,1.05,0.305,1/1
370.2497,5.59,371,C22H31N3O2,0.9,0.004,1/1
974.3051,26,372,C47H55ClF3N5O6S3,0.92,0.357,1/1
517.2377,24.84,373,C30H33ClN4O2,0.95,0.049,1/1
441.277,3.86,374,C27H32N6,1.1,0.228,1/1
408.2512,10.19,375,C22H29N7O,0.91,0.165,1/1
517.2263,24.56,376,C31H33ClN2O3,0.95,0.047,1/1
418.1047,9.99,377,C20H15ClF3N5,0.94,0.29,1/1
280.0753,21.7,378,C12H13N3O3S,1.04,0.426,1/1
381.2768,5.36,379,C22H32N6,1.29,0.049,1/1
368.2088,3.85,380,C20H25N5O2,1.14,0.199,1/1
353.1502,6.47,381,C20H20N2O4,1,0.914,1/1
383.1484,6.65,382,C21H17F3N4,0.98,0.565,1/1
380.1764,3.4,383,C25H21N3O,1.2,0.087,1/1
405.0976,8.19,384,C19H12F4N4O2,0.87,0.008,1/1
396.1673,6.19,385,C20H21N5O4,1.29,0,1/1
374.2346,8.84,386,C23H27N5,1.03,0.223,1/1
251.1546,9.79,387,C17H18N2,0.75,0.004,1/1
545.175,31.24,388,C30H28N2O6S,0.94,0.25,1/1
376.0298,4.76,389,C16H14BrN3O3,1.02,0.56,1/1
601.1757,31.97,390,C26H25F9N2O4,1.01,0.971,1/1
416.2226,29.49,391,C27H29NO3,0.94,0.22,1/1
443.1742,9.01,392,C24H27ClN2O4,1.11,0.183,1/1
378.1618,27.61,393,C22H20FN3O2,1.03,0.761,1/1
284.1066,4.03,394,C12H17N3O3S,0.92,0.443,1/1
384.2087,20.96,395,C22H26FN3O2,1.07,0.331,1/1
367.127,7.41,396,C18H17F3N2O3,1.13,0.148,1/1
312.171,4.9,397,C18H21N3O2,0.96,0.205,1/1
429.2181,9.95,398,C27H28N2O3,0.94,0.349,1/1
367.0083,24.79,399,C18H11BrN2O2,0.96,0.002,1/1
350.0698,19.73,400,C19H12ClN3O2,1,0.96,1/1
229.1339,3.62,401,C14H16N2O,1.06,0.481,1/1
500.2781,5.47,402,C28H33N7O2,1.12,0.057,1/1
335.0465,21.38,403,C15H12Cl2N4O,1.26,0.127,1/1
366.0302,17.56,404,C17H13Cl2NO4,1.06,0.396,1/1
509.1157,28.55,405,C26H22Cl2N4O3,0.97,0.622,1/1
525.1956,28.76,406,C29H32O7S,0.94,0.498,1/1
548.2226,7.98,407,C25H31N7O6,1.4,0,2/1
539.2545,4.01,408,C28H35ClN6O3,0.95,0.284,1/1
398.1717,3.55,409,C21H23N3O5,1.01,0.867,1/1
393.1651,4.69,410,C18H19F3N6O,0.96,0.48,1/1
358.1444,28.24,411,C23H19NO3,0.98,0.565,1/1
606.403,3.51,412,C35H51N5O4,1.03,0.2,1/1
261.1351,3.51,413,C13H16N4O2,1.07,0.37,1/1
580.2813,5.58,414,C30H38ClN7O3,1.43,0.018,1/1
495.9274,11.92,415,C17H13Br2N5OS,0.85,0.165,1/1
310.1354,6.79,416,C18H16FN3O,1.02,0.653,1/1
407.1632,4.81,417,C21H19FN6O2,1.15,0.008,1/1
351.132,31.56,418,C18H17F3N2O2,0.91,0.456,1/1
324.0194,17.41,419,C15H11Cl2NO3,1.08,0.247,1/1
529.2255,3.69,420,C26H34ClN6O2P,1.05,0.714,1/1
365.1977,20.53,421,C21H24N4O2,1.13,0.417,1/1
570.3564,11.77,422,C33H43N7O2,1.08,0.091,1/1
373.1237,3.99,423,C20H16N6S,0.98,0.623,1/1
308.1973,4.87,424,C16H25N3O3,0.96,0.366,1/1
525.2655,3.99,425,C27H36N6O3S,1.16,0.126,1/1
476.1245,17.37,426,C18H23F2N5O4S2,1,0.955,1/1
613.2143,7.22,427,C28H36O15,1.07,0.033,1/1
271.1445,4.97,428,C16H18N2O2,1.15,0.239,1/1
468.1606,4.88,429,C24H23ClFN5O2,0.87,0.015,1/1
959.5238,9.71,430,C48H78O19,1,0.978,1/1
412.3216,9.81,431,C27H41NO2,0.83,0.006,1/1
213.1026,4.08,432,C13H12N2O,0.93,0.037,1/1
361.1652,8.58,433,C20H24O6,0.97,0.751,1/1
432.0224,6.24,434,C15H15FIN3O3,0.97,0.09,1/1
421.2743,32.17,435,C28H36O3,0.94,0.396,1/1
363.1458,4.31,436,C17H19FN4O4,0.54,0.001,1/2
633.2536,8.3,437,C34H34F2N4O6,0.88,0.294,1/1
