,Compound Name,/home/zzy/peakformer/resources/paper/qe/SA1_Area,/home/zzy/peakformer/resources/paper/qe/SA2_Area,/home/zzy/peakformer/resources/paper/qe/SA3_Area,/home/zzy/peakformer/resources/paper/qe/SA4_Area,/home/zzy/peakformer/resources/paper/qe/SA5_Area,/home/zzy/peakformer/resources/paper/qe/SB1_Area,/home/zzy/peakformer/resources/paper/qe/SB2_Area,/home/zzy/peakformer/resources/paper/qe/SB3_Area,/home/zzy/peakformer/resources/paper/qe/SB4_Area,/home/zzy/peakformer/resources/paper/qe/SB5_Area,mz,RT,formula,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
11,12,5575105.543,5234381.963,5001065.556,5115860.545,4536914.941,2992052.275,3029458.384,3591827.591,4298460.265,4464252.59,312.1234,23.36,C18H17NO4,0.67,0.073,1/1,5092665.7096,7.416483301436381,3675210.221,18.761030646225276,0.7216672820428787,1.0771153463326546
12,13,763669.758,771321.296,677414.514,657888.464,672486.277,650650.657,648517.251,760201.187,675648.082,683738.211,205.0975,3.34,C11H12N2O2,0.91,0.113,1/1,708556.0618,7.670313389665338,683751.0776000001,6.640929740512079,0.9649922066336065,1.0604309963006664
13,14,254902.542,269856.414,238586.893,236617.371,236905.847,232940.535,235315.731,284554.896,236997.886,246737.699,338.0867,3.32,C15H20BrN3O,0.94,0.406,1/1,247373.8134,5.943380663861646,247309.3494,8.68225854563394,0.999739406531702,1.0635525601401086
14,15,875359.919,876693.236,891861.826,882841.946,981734.897,961850.635,997356.351,870732.836,844336.481,894646.178,444.0999,19.69,C17H11F6N7O,1.05,0.36,1/1,901698.3648,5.014289502215603,913784.4962000002,6.993862772218567,1.0134037410644312,0.965146420061363
15,16,1712095.746,1678960.432,1576185.244,1516838.968,1391463.902,1254684.407,1190127.366,1330271.25,1421372.02,1374417.169,397.1778,4.69,C23H20N6O,0.77,0.032,1/1,1575108.8584,8.196586257436268,1314174.4423999998,7.047000119761406,0.8343388048334272,1.0835568893940613
16,17,79424.795,74881.804,76701.099,66466.087,75928.788,77210.715,76480.214,89939.451,82712.079,82412.06,454.2245,3.35,C27H27N5O2,1.18,0.042,1/1,74680.5146,6.548511665632183,81750.9038,6.6101522083114155,1.094675153724771,0.9276908082413314
17,18,222243.889,256514.694,247287.602,226441.089,244131.551,245986.336,262962.679,305964.0,280173.829,278504.125,442.2246,3.3,C26H27N5O2,1.14,0.011,1/1,239323.76500000004,6.054237529487408,274718.1938,8.107097405020461,1.1478934981655498,1.0069241211978508
18,19,157175.401,162973.793,142743.5,144366.368,145168.087,156230.732,147566.745,174637.293,160131.137,161415.022,510.2657,3.69,C26H35N7O2S,1.07,0.166,1/1,150485.42979999998,6.002474269149101,159996.18579999998,6.1323403755177734,1.0632005105918898,0.9936453370017662
19,20,3842629.881,3740069.72,3564062.897,3724649.792,3499495.005,3616068.149,3643849.44,3634717.332,3636578.98,3540755.943,310.1077,23.76,C18H15NO4,1.03,0.144,1/1,3674181.459,3.7983157938872165,3614393.9688,1.1736712862258696,0.9837276708112636,0.9550754085546248
20,21,1585552.885,1678566.955,1441381.886,1437520.224,1420229.684,1387433.788,1387910.128,1649012.352,1402276.166,1401870.124,200.1107,3.34,C10H17NOS,0.91,0.112,1/1,1512650.3268,7.545453799272877,1445700.5116,7.877347781098915,0.9557400583506753,1.0502638003853575
21,22,4922629.203,5522840.398,4734906.499,4606104.854,4906319.377,3801521.35,3433421.254,2951705.376,3029856.902,2563789.667,309.1601,4.45,C19H20N2O2,0.86,0.072,1/1,4938560.0662,7.120835676940344,3156058.9097999996,15.04642831802983,0.6390645992949205,0.7430983712731635
22,23,1273271.919,1261665.99,1265296.98,1264871.798,1407784.185,1230761.324,1313004.016,1340543.766,1339014.243,1373234.656,478.0977,22.77,C21H15F4N5O2S,0.23,0.2,1/4,1294578.1744,4.899538647329427,1319311.6009999998,4.086657693240047,1.0191053943972623,4.430893019118532
23,24,8846734.135,9733929.554,9630429.515,9309731.462,9236369.798,9165678.749,9275227.461,8996627.787,9343761.065,9289664.942,329.1535,0.58,C15H24N2O4S,0.99,0.707,1/1,9351438.8928,3.757384600583923,9214192.0008,1.4949479572439492,0.9853234466296229,0.9952762087167908
24,25,2925154.92,2832346.337,3039696.43,2998304.871,3401987.944,2810462.129,3093249.113,2828122.488,3217894.35,2872895.286,374.2121,19.36,C25H27NO2,0.98,0.716,1/1,3039498.1004,7.153082755088265,2964524.6732,6.116213976859595,0.9753336160367617,0.9952383837109814
25,26,2232432.292,2297974.172,2206979.439,2152660.33,2202080.107,2086771.42,2092582.808,2173230.162,2155618.107,2208446.422,408.1383,26.89,C22H21N3O3S,1.01,0.711,1/1,2218425.268,2.390296191208682,2143329.7838000003,2.4532688352178984,0.9661491936270175,0.9565833600267499
26,27,3029685.734,2968758.152,3623038.003,2921575.192,2781666.052,13894714.096,13535100.301,11979551.884,11839429.68,12099990.37,313.1736,12.3,C19H24N2S,4.12,0.0,4/1,3064944.6266,10.607102766349975,12669757.2662,7.631780460796321,4.133763839072942,1.0033407376390635
27,28,1745863.533,1694034.207,2038466.417,1718018.777,1720506.188,81242.781,94567.488,81246.079,81580.239,82407.545,453.2091,15.47,C24H30F2O6,0.05,0.0,1/16,1783377.8243999998,8.061921068573048,84208.82639999999,6.899689389024026,0.047218724629107256,0.9443744925821451
28,29,127922.226,131411.409,134550.014,150123.685,133722.952,78172.159,74270.611,79933.027,76743.336,82025.171,495.2201,25.94,C26H32F2O7,0.45,0.0,1/2,135546.0572,6.303839556540244,78228.8608,3.7917234957157007,0.577138593449253,1.2825302076650067
29,30,6169099.233,6002223.861,6486484.22,5924749.538,5710352.909,6972827.173,6781597.882,6015432.345,5943063.217,5838294.639,376.1461,12.76,C21H23ClFNO2,1.07,0.16,1/1,6058581.9522,4.79559162355756,6310243.0512,8.3317314363996,1.0415379540931382,0.9733999570963908
30,31,1972577.708,1950579.287,2025522.089,1853884.29,1671478.885,1771741.556,1873176.668,1862357.872,2050666.269,2083141.024,531.1575,12.31,C26H28Cl2N4O4,0.95,0.542,1/1,1894808.4518,7.360064090823225,1928216.6778000002,6.901984745456109,1.0176314529145485,1.071191003067946
31,32,4294956.519,4504243.882,4060378.411,3869280.275,3957248.332,944380.356,944167.259,1063536.038,942384.618,977593.287,407.2218,3.35,C18H34N2O6S,0.26,0.0,1/4,4137221.4838,6.275962532135342,974412.3116,5.331517930142489,0.23552336161249246,0.905859083124971
32,33,69159.355,64361.707,65820.753,66191.874,65544.654,32625.946,33354.838,32852.195,32364.776,33127.65,345.2429,24.87,C22H32O3,0.55,0.0,1/2,66215.6686,2.6919635105519055,32865.081,1.1945054399754427,0.4963338994360014,0.9024252717018207
33,34,1879214.404,2185770.747,1918313.306,1893675.539,1864947.562,3979961.114,4001522.838,4015209.395,4177535.266,4267432.595,268.1912,3.99,C15H25NO3,2.21,0.0,2/1,1948384.3116000001,6.885713804816818,4088332.2415999994,3.109895809882884,2.0983192162139144,0.9494657086940789
34,35,690560.633,766549.745,762959.64,763709.511,765051.598,3067432.754,3089386.218,3075938.4,3149562.089,3110503.891,416.9913,24.69,C18H14Cl4N2O,3.68,0.0,4/1,749766.2254000001,4.418069043906247,3098564.6703999997,1.0592075227717834,4.1327077233265825,1.1230184030778756
35,36,9092400.668,9373042.989,10640723.693,9365630.107,9576275.506,2428065.737,2786534.615,2271845.74,2226367.326,2292099.236,264.1751,12.14,C19H21N,0.27,0.0,1/4,9609614.5926,6.259557824345112,2400982.5308,9.506844409728954,0.24985211505245025,0.9253782038979639
36,37,423466.88,482559.948,429947.519,401847.955,411529.787,9445481.618,9558432.064,10704621.486,9985860.442,10320205.132,320.141,3.46,C16H18FN3O3,22.46,0.0,16/1,429870.41780000005,7.2998903820751595,10002920.1484,5.2464507470305835,23.26961738747494,1.0360470786943428
37,38,2774936.744,2828085.096,2579045.24,2547249.201,2545278.314,2637597.103,2575959.656,2471789.908,2347018.812,2409617.837,414.1554,5.18,C22H23NO7,0.8,0.032,1/1,2654918.9189999998,5.114856586167745,2488396.6631999994,4.771784637130607,0.9372778375232933,1.1715972969041166
38,39,8084737.021,8129459.301,9452794.04,7832826.505,9075957.1,7869986.02,7922930.812,7688062.724,7938093.691,8008103.125,270.1856,9.97,C18H23NO,0.89,0.05,1/1,8515154.7934,8.29009139244499,7885435.274399999,1.5325977732502838,0.9260472023963568,1.040502474602648
39,40,2470139.932,2317496.924,2332379.152,2346813.943,2416638.885,39401111.104,35482275.128,34613882.041,35034248.522,35320640.635,261.1965,6.83,C16H24N2O,12.59,0.0,16/1,2376693.7672,2.7177369858635525,35970431.486,5.409836246471754,15.134651330523337,1.202116865013768
40,41,20301834.789,23548162.232,21146970.449,20703730.936,20704345.773,1433424.801,1524224.77,1611219.493,1635243.243,1728042.434,340.1549,4.97,C20H21NO4,0.12,0.0,1/4,21281008.8358,6.118900904250492,1586430.9482,7.070797496686013,0.074546792421383,0.6212232701781917
41,42,4029115.362,4603879.682,4081020.912,4017897.591,3955829.369,209471.165,214835.435,216843.001,223204.915,229738.174,214.1091,5.47,C11H11N5,0.06,0.0,1/16,4137548.5832,6.3917040105873095,218818.538,3.581110717199385,0.05288603471352225,0.8814339118920375
42,43,3704779.429,3746812.869,4383237.053,3659606.534,4348398.838,14555336.026,14537382.758,14165296.988,14413959.418,14444904.468,288.2324,9.91,C19H29NO,3.43,0.0,4/1,3968566.9446,9.176011427324388,14423375.931599999,1.0828207967806038,3.6344040891702183,1.0595930289126
43,44,659192.546,788249.82,641494.776,644516.685,781249.684,365420.181,302152.034,305714.775,298338.231,304113.571,315.2323,28.05,C21H30O2,0.46,0.001,1/2,702940.7021999999,10.672500314201883,315147.7584,8.960187248258705,0.44832765753025705,0.9746253424570805
44,45,1171858.825,1366549.59,1131642.005,1162377.088,1148547.185,14456138.756,14661211.802,14515407.028,14779921.925,14574648.873,286.1917,4.29,C17H23N3O,9.21,0.0,16/1,1196194.9386,8.061287884388936,14597465.676799998,0.8704547409311031,12.203249826390795,1.3249999811499233
45,46,416506.311,309799.07,311130.01,398304.945,293544.336,220859.402,201225.748,204816.163,206378.046,208161.918,277.0646,6.39,C13H12N2O3S,0.51,0.0,1/2,345856.9344,16.473741116182524,208288.2554,3.5898242790063533,0.6022381935505873,1.1808592030403673
46,47,380019.501,375190.928,422406.183,369440.272,402615.319,83537.973,94684.758,88575.218,91427.852,96198.722,399.0764,11.63,C18H14N4O5S,0.24,0.0,1/4,389934.44060000003,5.663653528684661,90884.90460000001,5.563891864087645,0.23307739747264583,0.971155822802691
47,48,5273533.221,5972033.773,5256257.301,5179082.319,5202154.275,273404.212,269561.795,281055.865,281136.03,282456.157,317.1647,3.8,C13H24N4O3S,0.06,0.0,1/16,5376612.1778,6.232015034102966,277522.81179999997,2.0559099580713576,0.05161666912593957,0.8602778187656595
48,49,15424.563,18397.337,12983.96,14383.672,18038.691,35313.608,35180.415,34146.158,32671.831,34579.415,308.1106,31.52,C19H17NOS,1.83,0.001,2/1,15845.6446,14.741179497529988,34378.28540000001,3.093670938117195,2.169573170914108,1.18555910978913
49,50,1569261.685,1583001.639,1491145.143,1534862.709,1585247.315,25943606.988,28431403.564,25813637.541,25887672.003,25758442.457,408.1721,16.82,C21H24F3N3S,15.01,0.0,16/1,1552703.6982,2.5678816355635368,26366952.510599997,4.3850910431771934,16.981316229984103,1.1313335263147304
50,51,17340032.375,17422890.044,17294684.545,16716808.377,19373308.593,4151741.73,5109341.757,4181764.724,4285383.557,4104823.893,302.2482,11.27,C20H31NO,0.26,0.0,1/4,17629544.7868,5.751478271922723,4366611.1322,9.628772262503329,0.24768711756354989,0.9526427598598072
51,52,896538.013,1078906.675,900930.847,908827.159,904117.013,13104463.347,13222200.273,12867038.995,13117180.643,13269311.53,256.1812,4.19,C16H21N3,9.74,0.0,16/1,937863.9414000001,8.42051601692889,13116038.9576,1.1866616913773844,13.985012514737457,1.4358329070572338
52,53,13132973.009,15203963.494,13566029.639,13404992.861,13519615.642,13993991.674,13895702.761,13817983.593,13969396.395,13864916.841,279.186,5.06,C19H22N2,0.99,0.883,1/1,13765514.929,5.967846505424116,13908398.252800003,0.5243407990562776,1.0103798023202888,1.0205856589093827
53,54,4704034.09,4433222.081,4464746.414,4531002.279,5467368.97,16768133.03,16915320.025,16766808.311,17215907.777,17307047.954,245.2016,9.47,C16H24N2,3.41,0.0,4/1,4720074.766799999,9.124372192546621,16994643.4194,1.4887814229896559,3.6005030129896887,1.055865986213985
54,55,5172333.681,4712327.72,4949408.692,5001213.65,4970017.029,309182.843,259195.244,254576.831,264056.35,268651.235,180.1022,5.84,C10H13NO2,0.05,0.0,1/16,4961060.1544,3.3172264476510187,271132.5006,8.08187304357926,0.05465212921466607,1.0930425842933214
55,56,976433.567,1066216.353,959601.746,953839.922,941129.74,1863038.422,1895099.664,1912506.523,1967355.587,2039645.66,355.2022,4.37,C21H26N2O3,1.99,0.0,2/1,979444.2656000002,5.11915110621225,1935529.1712000002,3.5862545649158273,1.9761503938300253,0.9930403989095604
56,57,9445133.237,10031576.885,9006914.213,8978094.104,8851851.526,511027.511,507588.902,512088.14,495412.153,499552.128,337.2127,3.83,C18H28N2O4,0.06,0.0,1/16,9262713.993,5.232642037742704,505133.7668,1.4506823716866122,0.054534099528684425,0.9089016588114072
57,58,1501945.474,1579862.304,1461730.25,1459734.508,1418590.99,1536659.747,1491448.282,1520967.942,1560741.219,1595415.5,310.1264,5.58,C19H19NOS,1.11,0.134,1/1,1484372.7052000002,4.108102240925245,1541046.538,2.5601615363967665,1.038180325333026,0.9352975903901134
58,59,1644962.24,1958583.164,1829897.599,1814559.598,1803753.665,792736.977,860809.881,893359.722,916827.622,889308.514,327.1377,5.16,C18H19ClN4,0.48,0.0,1/2,1810351.2532000002,6.161534672635556,870608.5432,5.497659529606214,0.48090586932292895,1.001887227756102
59,60,9282976.05,9604151.81,8515144.383,8767230.284,8722824.283,375646.505,407794.602,389551.028,453479.012,464996.141,384.1448,4.19,C21H21NO6,0.05,0.0,1/16,8978465.362,5.008430867850462,418293.45759999997,9.392518973564083,0.046588524957768836,0.9317704991553767
60,61,3694247.466,4133865.635,3698256.977,3649008.481,3770499.196,1739848.035,1717310.48,1976663.041,1662160.419,1598406.996,235.1808,3.63,C14H22N2O,0.53,0.001,1/2,3789175.551,5.213207630021698,1738877.7942,8.265288782318171,0.4589066330645708,0.8658615718199448
61,62,3893557.368,4018598.47,3811385.437,3735655.209,3735300.739,3927752.536,3894501.585,4374265.228,3914184.219,3950815.594,195.092,3.56,C13H10N2,1.03,0.396,1/1,3838899.4445999996,3.1212337691094105,4012303.8324,5.068860879065412,1.0451703386093951,1.0147284840867914
62,63,6545189.128,6499334.188,7172761.857,6478541.595,6601270.345,1557804.91,1645376.787,1546143.741,1610203.626,1672366.257,438.1831,15.66,C22H26F3N3OS,0.29,0.0,1/4,6659419.422599999,4.366978372246591,1606379.0642,3.3922240042706227,0.24121908566810626,0.8317899505796769
63,64,183243.753,221588.91,174603.908,177503.426,217639.39,449103.0,390814.425,366222.781,366597.157,362662.061,361.1206,31.69,C20H21ClO4,1.87,0.001,2/1,194915.8774,11.698638538115182,387079.8848,9.41417511081197,1.9858817555721604,1.0619688532471445
64,65,25162.133,31122.958,24752.346,24746.11,31672.353,139285.056,111318.587,114992.998,117284.559,116589.575,242.1179,28.63,C15H15NO2,4.48,0.0,4/1,27491.18,13.005518899173927,119894.155,9.243680543160568,4.361186205903129,0.9734790638176627
65,66,2371832.763,2319124.655,2736175.123,2264928.345,2114938.96,1173660.045,1113478.149,944892.979,956729.424,953648.146,430.2596,12.38,C25H35NO5,0.45,0.001,1/2,2361399.9692,9.758431603591147,1028481.7486000002,10.430986359883104,0.43553898620081344,0.9678644137795854
66,67,4017084.872,4509717.79,3829913.747,3911583.087,3872791.929,8039990.658,8184850.442,8220680.456,8200161.818,8206748.534,180.1749,5.27,C12H21N,2.03,0.0,2/1,4028218.285,6.900371330854236,8170486.3816,0.9066592756248222,2.0283127188078884,0.9991688269989599
67,68,398254.179,389832.489,427484.899,389010.845,379135.202,1579081.297,1781848.702,1648469.714,1707558.564,1719205.212,484.1241,14.08,C24H26BrN3O3,4.2,0.0,4/1,396743.52280000004,4.656015163046696,1687232.6978,4.551244145057537,4.252703827128491,1.0125485302686883
68,69,8278655.911,8287284.488,8987363.384,8171823.701,7724017.01,2735498.734,2578404.41,2307133.677,2376554.858,2499024.294,480.214,12.7,C26H29N3O6,0.37,0.0,1/2,8289828.898799999,5.464254747660953,2499323.1946,6.7558407570488646,0.30149273587079606,0.8148452320832326
69,70,5153282.717,5561544.77,5074160.964,5013778.139,4967783.528,278925.849,291433.998,300927.123,313066.064,313253.134,254.1543,5.34,C17H19NO,0.06,0.0,1/16,5154110.0236,4.620019301000577,299521.23360000004,4.905609737283653,0.05811308494163517,0.9685514156939194
70,71,615879.952,634409.194,570345.94,577152.767,567613.003,1200643.523,1257571.183,1251774.907,1286827.188,1324130.977,285.0211,4.62,C10H9ClN4O2S,2.0,0.0,2/1,593080.1712,5.091266224441161,1264189.5556,3.612258889889197,2.1315660461925763,1.0657830230962881
71,72,6892767.72,7346222.978,7466934.201,7224378.594,7299704.895,530446.796,492514.852,484931.777,458145.404,430272.778,311.0813,7.02,C12H14N4O4S,0.08,0.0,1/16,7246001.677599999,2.983806628416656,479262.32139999996,7.85820040578927,0.06614162440530098,0.8267703050662623
72,73,1054961.35,1072072.815,1002100.628,1011302.091,1099610.551,19391057.749,17532874.716,18092075.878,17915826.563,18261785.558,397.0101,22.56,C18H15Cl3N2S,14.57,0.0,16/1,1048009.4870000001,3.918311232636885,18238724.0928,3.830536154123683,17.40320514178704,1.194454711172755
73,74,7424728.726,7837783.715,7774444.064,8904755.895,7578246.482,13889183.554,13902247.71,13506282.529,13213573.598,13221145.754,338.2515,25.6,C20H35NOS,1.72,0.0,2/1,7903991.7764,7.3731492875205475,13546486.628999999,2.5096079121331405,1.7138791400881193,0.9964413605163485
74,75,4821.826,9333.842,6659.659,6321.697,8581.117,30107.801,17133.174,20005.298,18547.6,20148.908,377.2121,31.65,C25H28O3,2.91,0.004,4/1,7143.628200000001,25.394791652047576,21188.5562,24.232685693276974,2.966077685845968,1.0192706824212947
75,76,306754.514,310329.782,295661.386,300099.683,324067.507,5316593.931,4635240.192,5031828.377,5003829.201,5512082.984,381.0328,21.68,C18H15Cl3N2O,15.15,0.0,16/1,307382.5744,3.5559582685283635,5099914.937000001,6.552057320690603,16.59142502451499,1.0951435659745867
76,77,2850820.923,2837002.659,3207727.701,2788218.575,2868734.251,11142134.497,12748890.969,11080817.861,10551372.481,10931929.509,312.1379,15.92,C14H21N3O3S,4.02,0.0,4/1,2910500.8218,5.80048093044778,11291029.0634,7.499083431647345,3.879411054904654,0.9650276255981727
77,78,257940.847,267983.077,240480.6,239360.301,245190.711,1101592.983,1126404.306,1147556.275,1157067.856,1228506.199,404.0377,5.13,C17H13N3O5S2,4.15,0.0,4/1,250191.10719999997,4.948860410452779,1152225.5238,4.138272491134893,4.605381608863196,1.1097305081598061
78,79,26882571.249,27624124.126,26816708.491,26582538.923,30782146.689,8695747.081,8516174.704,7371636.906,6564758.783,7080529.849,354.2431,20.16,C23H31NO2,0.31,0.0,1/4,27737617.895600002,6.295051288096899,7645769.4646,12.099584345928138,0.2756462178323122,0.8891813478461683
79,80,8579180.11,8310496.645,8820540.323,8406776.962,9701508.643,15134985.24,17928046.844,14647024.951,14527444.1,14989438.998,324.1962,10.52,C21H25NO2,1.69,0.005,2/1,8763700.5366,6.37763167087332,15445388.0266,9.126320319479305,1.762427636829345,1.0428565898398492
80,81,20406.142,26044.064,23106.18,22980.026,27054.004,4962.568,3608.923,4234.158,4338.86,4022.295,607.3258,31.28,C32H47F5O3S,0.22,0.0,1/4,23918.0832,11.106402262901947,4233.3608,11.676393203264759,0.1769941497653123,0.8045188625696014
81,82,2406181.976,2335062.686,2458458.437,2262861.886,2232371.784,832101.679,1041424.319,1043094.653,993513.07,1069686.721,470.233,16.46,C25H32ClN5O2,0.41,0.0,1/2,2338987.3537999997,4.054031822903095,995964.0884,9.60168073401076,0.4258099500973882,1.038560853896069
82,83,343660.368,324006.292,308212.633,302052.835,293513.231,1363671.438,1343534.368,1307141.74,1342895.232,1377436.85,427.2148,4.63,C23H27FN4O3,3.68,0.0,4/1,314289.07180000003,6.314422017510328,1346935.9256000002,1.9719264160278545,4.285659434118447,1.1645813679669692
83,84,1046642.279,1016148.877,911005.576,891787.228,883033.191,970686.642,952264.458,1056127.757,958914.381,944099.09,349.2128,3.68,C19H28N2O4,1.15,0.136,1/1,949723.4302,8.003172512563319,976418.4656,4.671065278777931,1.0281082202998597,0.8940071480868346
84,85,3075784.574,3112069.097,3768169.756,3186356.451,3575531.793,6106329.604,6923551.099,5998330.999,5881084.902,5782518.715,296.147,11.64,C19H21NS,1.69,0.003,2/1,3343582.3342,9.267983239438353,6138363.0638,7.420775902196965,1.8358641870467625,1.0863101698501554
85,86,7315378.488,7504550.445,7422675.063,7519868.138,8800113.342,16370489.376,13490652.025,14291337.457,13699015.121,14200863.255,318.2795,21.55,C21H35NO,1.73,0.003,2/1,7712517.095199999,7.9530897698670096,14410471.4468,7.951621318411048,1.8684524480041116,1.0800303167653824
86,87,804219.203,1118842.639,894747.714,884152.219,1064460.716,229306.29,189243.981,191733.175,190334.304,181352.804,914.5281,31.81,C50H75NO14,0.21,0.0,1/4,953284.4982,13.89643712277774,196394.1108,9.590387766593729,0.2060183619589252,0.9810398188520248
87,88,414280.95,512819.708,403013.228,397052.402,402296.094,1871688.783,1890686.282,1858061.249,1837399.87,1852257.388,294.0696,27.12,C15H13ClFNO2,4.29,0.0,4/1,425892.4763999999,11.504754389430936,1862018.7144000002,1.084914604793485,4.372039464372188,1.0191234182685753
88,89,1546041.55,1412472.511,1438905.835,1447024.809,1459322.171,27694580.053,24636415.59,24419532.384,24387184.778,24688557.203,266.1656,6.45,C17H19N3,16.85,0.0,16/1,1460753.3752000001,3.469290961753563,25165254.001599997,5.642803203770176,17.227585729969288,1.0224086486628656
89,90,1737495.751,1819423.488,1640453.272,1573790.4,1582337.828,1471225.977,1576763.853,1545329.278,1629403.257,1710312.877,345.1816,3.97,C19H24N2O4,1.05,0.377,1/1,1670700.1478,6.327014224642485,1586607.0484000002,5.659176550214099,0.9496659532168387,0.9044437649684177
90,91,22072.681,21999.104,17356.447,18286.567,21793.909,23001.191,17413.792,16706.347,17535.54,18047.219,383.2796,31.23,C22H38O5,0.83,0.048,1/1,20301.7416,11.2806587429909,18540.817799999997,13.693722024291837,0.9132624267072731,1.1003161767557508
91,92,357694.768,412574.724,392353.361,400176.096,382355.576,354543.453,364706.934,359801.913,373041.121,362271.479,333.1409,0.6,C12H20N4O7,0.95,0.314,1/1,389030.90499999997,5.3242020426351955,362872.98000000004,1.8788350495050934,0.9327613187954825,0.9818540197847185
92,93,764898.188,904254.801,786621.435,787210.524,785417.827,790061.001,794423.999,942166.806,828339.347,838548.994,359.1641,3.65,C16H26N2O5S,1.07,0.394,1/1,805680.5549999999,6.937071732222985,838708.0294,7.335096288707531,1.0409932623978992,0.9728908994372889
93,94,3048786.506,3011136.676,2976100.459,3010641.223,3207092.042,2814928.414,3260276.75,2874050.054,3146191.477,2785049.053,416.2781,18.8,C25H37NO4,1.09,0.262,1/1,3050751.3811999997,2.9861645625656745,2976099.1496,7.178726247837373,0.9755298868141017,0.894981547535873
94,95,430218.772,465797.567,415787.701,416623.403,415951.127,405280.688,401660.609,410002.748,403944.091,427104.014,346.1026,5.27,C17H16FN3O2S,1.07,0.018,1/1,428875.714,5.019186634755858,409598.43,2.502398572560932,0.9550515840120525,0.8925715738430396
95,96,504385.358,710689.878,532647.017,531209.507,543397.677,667823.203,534185.45,514378.398,536255.224,539127.893,411.1968,32.46,C22H28F2O5,0.96,0.661,1/1,564465.8874,14.703478040714977,558354.0336,11.098098443947949,0.9891723238969284,1.0303878373926338
96,97,1169472.873,1131699.346,1156968.298,1428572.551,1144912.991,1082750.982,1089520.033,1087055.385,1082799.836,1106935.704,325.2167,25.51,C22H28O2,0.91,0.118,1/1,1206325.2118000002,10.364415484426413,1089812.388,0.9175132276718284,0.9034150802285337,0.9927638244269601
