rt,rt_range:min,rt_range:max,mz,datafile:SA2.mzML:area,datafile:SB2.mzML:area,datafile:SA1.mzML:area,datafile:SB1.mzML:area,datafile:SB3.mzML:area,datafile:SA3.mzML:area,datafile:SB5.mzML:area,datafile:SA4.mzML:area,datafile:SB4.mzML:area,datafile:SA5.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
23.3587,23.0603,23.6598,312.12369,5224000.0,3020000.0,5563000.0,2977000.0,3585000.0,4990000.0,4455000.0,5104000.0,4286000.0,4523000.0,23.36,12.0,0.67,1/1,5080800.0,7.448949906387921,3664600.0,18.834276940956748,0.7212643678160919,1.0765139818150624
3.3374,3.0401,3.4371,205.09735,715200.0,704100.0,814000.0,603500.0,824800.0,650600.0,721400.0,671500.0,715200.0,707200.0,3.34,13.0,0.91,1/1,711700.0,8.843967044364058,713800.0,10.99567117554379,1.0029506814669102,1.1021436060075935
3.3161,3.087,3.3828,338.0865,258000.0,237900.0,254700.0,225300.0,271000.0,231400.0,235400.0,230700.0,227300.0,225000.0,3.32,14.0,0.94,1/1,239960.0,6.33908931081024,239380.0,7.708593767652361,0.9975829304884147,1.061258436689803
19.6909,19.4056,19.9897,444.10055,874100.0,996100.0,871800.0,965600.0,871600.0,888800.0,898800.0,879600.0,853300.0,978700.0,19.69,15.0,1.05,1/1,898600.0,5.036007500067277,917080.0,6.692717902359649,1.02056532383708,0.9719669750829333
4.6845,4.4641,4.9897,397.17772,1668000.0,1186000.0,1705000.0,1250000.0,1325000.0,1569000.0,1355000.0,1510000.0,1414000.0,1392000.0,4.69,16.0,0.77,1/1,1568800.0,8.006459349925416,1306000.0,6.844532673057563,0.8324834268230494,1.0811473075624018
3.3509,3.309,3.4096,454.2242,68540.0,70580.0,76600.0,72750.0,83810.0,73220.0,76960.0,61890.0,75300.0,68750.0,3.35,17.0,1.18,1/1,69800.0,7.950792467499128,75880.0,6.6638709321555245,1.087106017191977,0.9212762857559128
3.2953,3.2502,3.4788,442.22519,239300.0,246300.0,192300.0,239000.0,243800.0,202700.0,268800.0,215900.0,216200.0,198400.0,3.3,18.0,1.14,1/1,209720.0,8.90161935093371,242820.0,7.735479139512588,1.1578294869349608,1.015639900820141
3.6891,3.5771,3.7927,510.26618,157800.0,143200.0,150400.0,150800.0,170900.0,136400.0,157900.0,141600.0,157200.0,140900.0,3.69,19.0,1.07,1/1,145420.0,5.899974959367426,156000.0,6.552429775524657,1.0727547792600742,1.002574560056144
23.7609,23.4608,24.0595,310.10776,3724000.0,3630000.0,3826000.0,3601000.0,3619000.0,3548000.0,3525000.0,3708000.0,3621000.0,3485000.0,23.76,20.0,1.03,1/1,3658200.0,3.7953735894578475,3599200.0,1.188945396514047,0.9838718495434914,0.9552153879063023
3.338,3.0401,3.4488,200.11078,1601000.0,1466000.0,1648000.0,1460000.0,1731000.0,1526000.0,1458000.0,1496000.0,1461000.0,1495000.0,3.34,21.0,0.91,1/1,1553200.0,4.398697393338299,1515200.0,7.96408851193143,0.9755343806335308,1.07201580289399
4.4478,4.1512,4.7486,309.16037,5508000.0,3394000.0,4924000.0,3781000.0,3195000.0,4717000.0,2580000.0,4592000.0,3037000.0,4889000.0,4.45,22.0,0.86,1/1,4926000.0,7.1437239891507,3197400.0,13.865250869154758,0.6490864799025579,0.7547517208169278
22.7514,22.4706,23.0686,478.09741,1220000.0,881400.0,1156000.0,1180000.0,311100.0,1238000.0,11940.0,1241000.0,2978.0,1387000.0,22.77,23.0,0.23,1/4,1248400.0,6.7871475509601,477483.6,111.12927875564624,0.3824764498558154,1.6629410863296321
0.5809,0.5559,0.8794,329.15359,9753000.0,9304000.0,8803000.0,9179000.0,9004000.0,9664000.0,9315000.0,9325000.0,9363000.0,9216000.0,0.58,24.0,0.99,1/1,9352200.0,4.067331073012459,9233000.0,1.5697253657793806,0.9872543358781891,0.9972266018971607
19.3752,19.1733,19.7909,374.21262,2970000.0,3029000.0,2734000.0,2839000.0,2410000.0,2988000.0,574200.0,2941000.0,1563000.0,3356000.0,19.36,25.0,0.98,1/1,2997800.0,7.496098657659571,2083040.0,48.72306754009018,0.6948562279004603,0.7090369672453677
26.8892,26.7843,27.19,408.13877,2278000.0,2075000.0,2214000.0,2070000.0,2155000.0,2189000.0,2190000.0,2134000.0,2135000.0,2182000.0,26.89,26.0,1.01,1/1,2199400.0,2.3928748479114597,2125000.0,2.439581335685614,0.9661725925252341,0.956606527252707
12.2948,12.0009,12.5996,313.17397,2949000.0,13700000.0,2974000.0,13890000.0,11990000.0,3606000.0,11260000.0,2908000.0,11710000.0,2770000.0,12.3,27.0,4.12,4/1,3041400.0,10.696071328770554,12510000.0,9.62009702360634,4.113237324916157,0.9983585740087759
15.4721,15.1848,15.7699,453.20941,1691000.0,93600.0,1743000.0,80800.0,81200.0,2036000.0,81800.0,1716000.0,81500.0,1718000.0,15.47,28.0,0.05,1/16,1780800.0,8.077415899274033,83780.0,6.567199375144196,0.04704627133872417,0.9409254267744833
25.9385,25.837,26.0956,495.21989,101600.0,47580.0,106000.0,47420.0,48210.0,101700.0,50350.0,115200.0,48000.0,101000.0,25.94,29.0,0.45,1/2,105100.0,5.697737363113175,48312.0,2.4475128075899986,0.4596764985727878,1.0215033301617507
12.7553,12.4602,13.0597,376.14581,5976000.0,6789000.0,6140000.0,6991000.0,6031000.0,6474000.0,5880000.0,5907000.0,5961000.0,5703000.0,12.76,30.0,1.07,1/1,6040000.0,4.782089238339631,6330400.0,8.191755985356945,1.0480794701986755,0.979513523550164
12.3098,12.0209,12.6095,531.15679,1951000.0,1867000.0,2017000.0,1765000.0,1861000.0,2028000.0,2094000.0,1867000.0,2045000.0,1670000.0,12.31,31.0,0.95,1/1,1906600.0,7.710470099711262,1926400.0,7.155868138197587,1.0103849784957517,1.063563135258686
3.3488,3.2136,3.4986,407.22109,4493000.0,890100.0,4299000.0,896600.0,999600.0,4050000.0,913400.0,3857000.0,880400.0,3943000.0,3.35,32.0,0.26,1/4,4128400.0,6.365199528316825,916020.0,5.2667860082438525,0.2218825695184575,0.8533944981479135
24.8734,24.702,25.0489,345.24256,64610.0,32770.0,69290.0,32380.0,32450.0,65590.0,32690.0,66040.0,32480.0,65070.0,24.87,33.0,0.55,1/2,66120.0,2.800884639423914,32554.0,0.5133707360336257,0.4923472474289171,0.895176813507122
3.9894,3.6901,4.2263,268.19132,2137000.0,3926000.0,1872000.0,3948000.0,3938000.0,1902000.0,4177000.0,1873000.0,4048000.0,1840000.0,3.99,34.0,2.21,2/1,1924800.0,6.2673821778398935,4007400.0,2.6579993352984403,2.0819825436408976,0.9420735491587773
24.6877,24.3923,24.9898,416.99146,764700.0,3096000.0,687900.0,3070000.0,3084000.0,761500.0,3117000.0,762000.0,3141000.0,764100.0,24.69,35.0,3.68,4/1,748040.0,4.497956716400558,3101600.0,0.901780577215553,4.146302336773434,1.1267125915145202
12.1368,11.8404,12.4396,264.17491,9319000.0,2776000.0,9305000.0,2429000.0,2277000.0,10610000.0,2230000.0,9369000.0,2215000.0,9561000.0,12.14,36.0,0.27,1/4,9632800.0,5.769716077470744,2385400.0,9.818208432660807,0.2476330869529109,0.9171595813070773
3.4571,3.2929,3.7593,320.14127,479100.0,9627000.0,420800.0,9507000.0,10760000.0,425300.0,10390000.0,398000.0,10060000.0,408100.0,3.46,37.0,22.46,16/1,426260.0,7.373277678487504,10068800.0,5.18878866863722,23.62126401726646,1.0517036517037603
5.1754,4.8804,5.478,414.15472,2828000.0,2539000.0,2765000.0,2617000.0,2441000.0,2575000.0,2350000.0,2545000.0,2308000.0,2529000.0,5.18,38.0,0.8,1/1,2648400.0,5.2110762934098585,2451000.0,5.2427977461837605,0.9254644313547803,1.1568305391934752
9.9727,9.6714,10.2699,270.18557,8072000.0,7923000.0,8066000.0,7863000.0,7713000.0,9401000.0,7718000.0,7799000.0,7870000.0,9090000.0,9.97,39.0,0.89,1/1,8485600.0,8.378323074846596,7817400.0,1.2265831677858696,0.9212548317149053,1.0351177884437137
6.8331,6.5307,7.1297,261.19643,2360000.0,35460000.0,2462000.0,39310000.0,34630000.0,2394000.0,35370000.0,2345000.0,35070000.0,2414000.0,6.83,40.0,12.59,16/1,2395000.0,1.9333339294847978,35968000.0,5.271721826996565,15.017954070981212,1.1928478213646714
4.9674,4.6703,5.2696,340.15496,21920000.0,1424000.0,20980000.0,1382000.0,1525000.0,20030000.0,1589000.0,19770000.0,1534000.0,19510000.0,4.97,41.0,0.12,1/4,20442000.0,4.869752280141269,1490800.0,5.709404579285028,0.07292828490362978,0.6077357075302482
5.4675,5.2927,5.7698,214.10928,4602000.0,218400.0,4029000.0,208400.0,216000.0,4080000.0,227900.0,4019000.0,222000.0,3959000.0,5.47,42.0,0.06,1/16,4137800.0,6.356801854446979,218540.0,3.3065810936694877,0.05281550582435111,0.8802584304058518
9.9135,9.6102,10.2092,288.23225,3721000.0,14540000.0,3724000.0,14550000.0,14210000.0,4365000.0,14230000.0,3648000.0,14400000.0,4344000.0,9.91,43.0,3.43,4/1,3960400.0,9.11836337313696,14386000.0,1.132214125988509,3.6324613675386326,1.059026637766365
28.0488,27.8754,28.3496,315.23209,788700.0,301000.0,660200.0,364600.0,304300.0,642400.0,302200.0,645200.0,297200.0,780400.0,28.05,44.0,0.46,1/2,703380.0,10.586600640582047,313860.0,9.074655397821893,0.44621683869316725,0.9700366058547114
4.2848,4.0748,4.5897,286.19165,1362000.0,14660000.0,1167000.0,14450000.0,14490000.0,1124000.0,14530000.0,1156000.0,14730000.0,1147000.0,4.29,45.0,9.21,16/1,1191200.0,8.124724072256061,14572000.0,0.8125588863911987,12.233042310275353,1.3282347785315258
6.3848,6.0903,6.5187,277.0645,354700.0,183400.0,397800.0,171000.0,187000.0,361600.0,204800.0,351200.0,191300.0,352700.0,6.39,46.0,0.51,1/2,363600.0,5.370823096573702,187500.0,6.548499404019553,0.5156765676567657,1.0111305248171878
11.6334,11.3321,11.9297,399.07695,354400.0,92360.0,342900.0,81900.0,86370.0,402100.0,88320.0,351800.0,89420.0,386700.0,11.63,47.0,0.24,1/4,367580.0,6.921281364238318,87674.0,4.434527303943308,0.2385167854616682,0.9938199394236176
3.8004,3.5089,4.0377,317.16501,5968000.0,267800.0,5275000.0,271400.0,276100.0,5259000.0,279300.0,5176000.0,278500.0,5197000.0,3.8,48.0,0.06,1/16,5375000.0,6.21510920877619,274620.0,1.7841722627587504,0.05109209302325581,0.8515348837209302
31.517,31.4842,31.5435,308.1108,18550.0,33620.0,14880.0,34580.0,32410.0,12650.0,33910.0,13620.0,32440.0,17910.0,31.52,49.0,1.83,2/1,15522.0,16.784294192752935,33392.0,2.8419491700927164,2.151269166344543,1.1755569214997503
16.8222,16.5201,17.1197,408.1721,1557000.0,27130000.0,1547000.0,25080000.0,24170000.0,1465000.0,21890000.0,1510000.0,23350000.0,1559000.0,16.82,50.0,15.01,16/1,1527600.0,2.629754493475249,24324000.0,8.051464204995575,15.923016496465044,1.0608272149543667
11.2752,10.9706,11.5698,302.24826,17250000.0,5111000.0,16940000.0,4183000.0,4234000.0,17140000.0,4082000.0,16760000.0,4293000.0,19360000.0,11.27,51.0,0.26,1/4,17490000.0,6.0727302485327,4380600.0,9.487036021396777,0.2504631217838765,0.9633196991687556
4.1902,3.9928,4.4899,256.18101,1079000.0,13230000.0,895400.0,13120000.0,12860000.0,898500.0,13250000.0,903700.0,13110000.0,901600.0,4.19,52.0,9.74,16/1,935640.0,8.571914738611017,13114000.0,1.1845229556634833,14.016074558590912,1.439022028602763
5.0575,4.8129,5.3597,279.18621,15220000.0,13880000.0,13160000.0,13990000.0,13800000.0,13580000.0,13810000.0,13420000.0,13930000.0,13540000.0,5.06,53.0,0.99,1/1,13784000.0,5.943969737014436,13882000.0,0.5794288302028584,1.007109692396982,1.0172825175727092
9.4723,9.1704,9.7695,245.20152,4413000.0,16930000.0,4651000.0,16750000.0,16790000.0,4445000.0,17170000.0,4510000.0,17230000.0,5448000.0,9.47,54.0,3.41,4/1,4693400.0,9.196305290850379,16974000.0,1.2837225120739812,3.616567946478033,1.0605771104041153
5.8409,5.6259,6.1396,180.10211,4707000.0,256900.0,5170000.0,302200.0,251300.0,4944000.0,267100.0,4998000.0,260600.0,4969000.0,5.84,55.0,0.05,1/16,4957600.0,3.342879257223421,267620.0,7.535120814519865,0.05398176537034049,1.0796353074068097
4.3753,4.0706,4.5629,355.20211,1003000.0,1778000.0,1006000.0,1814000.0,1784000.0,918900.0,1844000.0,918900.0,1795000.0,895100.0,4.37,56.0,1.99,2/1,948380.0,5.499310133089965,1803000.0,1.4809794700852676,1.9011366751723993,0.9553450629007032
3.833,3.5301,4.061,337.21254,9931000.0,442700.0,9571000.0,510000.0,440200.0,8905000.0,495500.0,8918000.0,492200.0,8788000.0,3.83,57.0,0.06,1/16,9222600.0,5.437005245879234,476120.0,6.796986876632495,0.05162535510593542,0.8604225850989237
5.5791,5.2802,5.833,310.12681,1519000.0,1386000.0,1497000.0,1478000.0,1394000.0,1417000.0,1415000.0,1425000.0,1408000.0,1375000.0,5.58,58.0,1.11,1/1,1446600.0,4.126171367490026,1416200.0,2.5685507796954457,0.9789852066915526,0.8819686546770744
5.1587,4.9521,5.4597,327.13751,1950000.0,854900.0,1642000.0,787700.0,886300.0,1826000.0,887500.0,1808000.0,915200.0,1794000.0,5.16,59.0,0.48,1/2,1804000.0,6.082424268002306,866320.0,5.639762120486537,0.4802217294900222,1.0004619364375462
4.1934,3.8901,4.4608,384.14464,9501000.0,422300.0,10080000.0,406700.0,374700.0,8597000.0,438900.0,8783000.0,462000.0,8733000.0,4.19,60.0,0.05,1/16,9138800.0,6.924576509582437,420920.0,7.835692076458608,0.046058563487547596,0.9211712697509519
3.6261,3.3302,3.805,235.18081,4072000.0,1682000.0,3683000.0,1716000.0,1690000.0,3643000.0,1567000.0,3595000.0,1629000.0,3712000.0,3.63,61.0,0.53,1/2,3741000.0,5.0838830478498185,1656800.0,3.580822042093784,0.4428762363004544,0.8356155401895365
3.5633,3.3631,3.8388,195.09191,4077000.0,3874000.0,3900000.0,3937000.0,4388000.0,3830000.0,3942000.0,3719000.0,3915000.0,3756000.0,3.56,62.0,1.03,1/1,3856400.0,3.672252263745173,4011200.0,5.293643912600135,1.040141064204958,1.009845693402872
15.6582,15.3602,15.9594,438.18349,6416000.0,1606000.0,6475000.0,1526000.0,1500000.0,7079000.0,1587000.0,6388000.0,1545000.0,6510000.0,15.66,63.0,0.29,1/4,6573600.0,4.359352519056415,1552800.0,2.800983880826731,0.2362175976633808,0.8145434402185545
31.6923,31.6566,31.8248,361.12019,222000.0,388900.0,183600.0,447500.0,364900.0,177500.0,362500.0,179500.0,364800.0,213900.0,31.69,64.0,1.87,2/1,195300.0,10.74726169366122,385720.0,9.380934401166755,1.9750128008192525,1.0561565779782098
28.6312,28.4958,28.7954,242.11802,31020.0,110500.0,25060.0,139000.0,113800.0,24590.0,115800.0,24140.0,116500.0,31630.0,28.63,65.0,4.48,4/1,27288.0,13.580583657697055,119120.0,9.53207067748496,4.365288771621225,0.9743948150940234
12.3814,12.0812,12.6788,430.25957,2303000.0,1107000.0,2354000.0,1174000.0,935300.0,2726000.0,826500.0,2259000.0,895100.0,2113000.0,12.38,66.0,0.45,1/2,2351000.0,9.700565676049134,987580.0,14.868507298351183,0.4200680561463207,0.933484569214046
5.2701,5.0593,5.5695,180.1748,4512000.0,8197000.0,4006000.0,8051000.0,8232000.0,3833000.0,8226000.0,3914000.0,8217000.0,3874000.0,5.27,67.0,2.03,2/1,4027800.0,6.905834331398163,8184600.0,0.9267467057035156,2.0320274095039474,1.0009987238935703
14.081,13.7806,14.3794,484.12383,386700.0,1780000.0,385900.0,1575000.0,1643000.0,424800.0,1638000.0,386300.0,1694000.0,377300.0,14.08,68.0,4.2,4/1,392200.0,4.752201161067165,1666000.0,4.588402704967827,4.247832738398776,1.0113887472378038
12.7031,12.4004,12.9999,480.21449,8213000.0,2578000.0,8099000.0,2732000.0,2308000.0,8924000.0,2464000.0,8106000.0,2372000.0,7680000.0,12.7,69.0,0.37,1/2,8204400.0,5.497324667029105,2490800.0,6.778575292046589,0.3035931938959583,0.8205221456647521
5.3369,5.04,5.6389,254.15416,5558000.0,286700.0,5156000.0,278000.0,295900.0,5074000.0,298100.0,5015000.0,303900.0,4966000.0,5.34,70.0,0.06,1/16,5153800.0,4.594543462960925,292520.0,3.4894873037574907,0.05675812022197214,0.9459686703662024
4.6126,4.3201,4.8125,285.02083,615200.0,1240000.0,614900.0,1183000.0,1235000.0,554500.0,1316000.0,562600.0,1274000.0,552800.0,4.62,71.0,2.0,2/1,580000.0,5.553423920553816,1249600.0,3.9499751742011284,2.1544827586206896,1.0772413793103448
7.0147,6.7207,7.3199,311.08167,7312000.0,492800.0,6888000.0,530600.0,484800.0,7426000.0,430000.0,7209000.0,457000.0,7281000.0,7.02,72.0,0.08,1/16,7223200.0,2.8110604215563293,479040.0,7.929531742955145,0.06631963672610477,0.8289954590763097
22.5606,22.2167,22.8599,397.00984,925500.0,17470000.0,721400.0,19330000.0,17920000.0,972100.0,16790000.0,917600.0,16790000.0,1078000.0,22.56,73.0,14.57,16/1,922920.0,14.034976615704227,17660000.0,5.943212576852514,19.134919602999176,1.3133095129031693
25.6016,25.3087,25.8996,338.25125,7822000.0,13920000.0,7406000.0,13900000.0,13550000.0,7761000.0,13260000.0,8889000.0,13270000.0,7567000.0,25.6,74.0,1.72,2/1,7889000.0,7.3853878382879365,13580000.0,2.378737158352444,1.7213842058562556,1.0008047708466603
31.6474,31.6182,31.6952,377.21211,8908.0,17360.0,3759.0,30270.0,18780.0,6366.0,19200.0,6364.0,18350.0,8493.0,31.65,75.0,2.91,4/1,6778.0,30.355921539476032,20792.0,25.693612121994647,3.0675715550309826,1.0541483006979322
21.6716,21.3592,21.9795,381.03316,297500.0,4631000.0,274600.0,5313000.0,4985000.0,292600.0,4681000.0,296400.0,4889000.0,322300.0,21.68,76.0,15.15,16/1,296680.0,5.743219870411638,4899800.0,5.572784720871229,16.515437508426587,1.0901278883449892
15.9238,15.6208,16.2199,312.13822,2826000.0,12690000.0,2852000.0,11160000.0,11090000.0,3195000.0,11320000.0,2792000.0,11060000.0,2860000.0,15.92,77.0,4.02,4/1,2905000.0,5.654876457296059,11464000.0,6.042372864885892,3.946299483648881,0.9816665382211148
5.1295,4.8458,5.2586,404.03709,269100.0,1123000.0,258900.0,1099000.0,1144000.0,172700.0,1225000.0,239600.0,1153000.0,244100.0,5.13,78.0,4.15,4/1,236880.0,15.938237259775528,1148800.0,4.127366594734752,4.849712934819318,1.1686055264624862
20.1537,19.8611,20.4638,354.24339,26720000.0,8638000.0,25230000.0,8730000.0,7397000.0,26300000.0,5209000.0,26100000.0,6843000.0,30530000.0,20.16,79.0,0.31,1/4,26976000.0,7.635274779457162,7363400.0,19.68682081420459,0.2729611506524318,0.8805198408142962
10.5234,10.2202,10.8198,324.19625,8265000.0,17910000.0,8472000.0,15110000.0,14600000.0,8788000.0,14200000.0,8369000.0,14320000.0,9666000.0,10.52,80.0,1.69,2/1,8712000.0,6.520889614164951,15228000.0,10.110966787107595,1.7479338842975207,1.0342804049097756
31.2774,31.2481,31.3282,607.32505,25920.0,3113.0,20270.0,4570.0,4138.0,22800.0,3822.0,22660.0,4008.0,26820.0,31.28,81.0,0.22,1/4,23694.0,11.229786436554912,3930.2,13.572058325121167,0.1658732168481472,0.7539691674915783
16.4636,16.1607,16.7591,470.23226,2310000.0,1040000.0,2330000.0,832900.0,1042000.0,2445000.0,998700.0,2246000.0,986200.0,2220000.0,16.46,82.0,0.41,1/2,2310200.0,3.7996393655555294,979960.0,8.7590225251532,0.424188381958272,1.034605809654322
4.6232,4.3302,4.7227,427.21432,322100.0,1328000.0,342300.0,1355000.0,1297000.0,280000.0,1354000.0,298600.0,1326000.0,274700.0,4.63,83.0,3.68,4/1,303540.0,9.400892520532073,1332000.0,1.7963192363371467,4.388219015615734,1.1924508194607972
3.6836,3.3817,3.8241,349.21327,1017000.0,951900.0,1044000.0,965900.0,1055000.0,909800.0,939500.0,891500.0,952500.0,886200.0,3.68,84.0,1.15,1/1,949700.0,7.885513050571848,972960.0,4.810380367326051,1.0244919448246814,0.8908625607171143
11.6371,11.3412,11.9397,296.1468,3090000.0,6923000.0,3017000.0,6103000.0,5997000.0,3747000.0,5514000.0,3169000.0,5837000.0,3558000.0,11.64,85.0,1.69,2/1,3316200.0,9.611958998514305,6074800.0,8.621999473083422,1.8318557384958687,1.0839383068022892
21.545,21.251,21.8502,318.27924,7248000.0,13440000.0,6683000.0,16330000.0,14130000.0,7302000.0,9921000.0,7353000.0,12740000.0,8777000.0,21.55,86.0,1.73,2/1,7472600.0,10.40630524929699,13312200.0,17.464130938522818,1.781468297513583,1.0297504609905104
31.8099,31.7485,31.9787,914.52661,1120000.0,188900.0,813000.0,227900.0,191400.0,897600.0,182100.0,886300.0,189000.0,1063000.0,31.81,87.0,0.21,1/4,955980.0,13.544455375902498,195860.0,9.314529345525571,0.20487876315404088,0.9756131578763851
27.1251,26.9513,27.4194,294.06933,512800.0,1890000.0,413400.0,1872000.0,1857000.0,401000.0,1851000.0,395000.0,1836000.0,401000.0,27.12,88.0,4.29,4/1,424640.0,11.71255275321231,1861200.0,1.1085589209574083,4.383006782215523,1.021679902614341
6.4498,6.1501,6.7498,266.16538,1406000.0,24640000.0,1532000.0,27680000.0,24430000.0,1427000.0,24600000.0,1429000.0,24390000.0,1449000.0,6.45,89.0,16.85,16/1,1448600.0,3.385603888118975,25148000.0,5.6444296380319265,17.36020985779373,1.0302795167830106
3.9662,3.6704,4.0983,345.18171,1501000.0,1551000.0,1737000.0,1550000.0,1331000.0,1558000.0,1498000.0,1567000.0,1591000.0,1533000.0,3.97,90.0,1.05,1/1,1579200.0,5.816504074638524,1504200.0,6.800765608555472,0.9525075987841946,0.9071500940801852
31.2297,31.1687,31.3061,383.27945,17180.0,14210.0,12750.0,17560.0,12470.0,13220.0,14950.0,14420.0,11870.0,17100.0,31.23,91.0,0.83,1/1,14934.0,14.088917724809669,14212.0,15.840789205131339,0.9516539440203562,1.1465710168919954
0.6006,0.5196,0.7555,333.14112,294200.0,363800.0,233500.0,341100.0,297500.0,384400.0,266900.0,285900.0,358100.0,270600.0,0.6,92.0,0.95,1/1,293720.0,18.990566207498055,325480.0,12.844415740887877,1.1081301920196105,1.1664528337048532
3.6458,3.4669,3.7145,359.16406,954200.0,821900.0,821700.0,828600.0,978900.0,830500.0,871800.0,832600.0,858000.0,824500.0,3.65,93.0,1.07,1/1,852700.0,6.67418359107365,871840.0,7.258135118558588,1.0224463468980884,0.9555573335496154
18.8037,18.5021,19.1226,416.27768,2987000.0,3145000.0,2903000.0,2754000.0,2709000.0,2954000.0,2232000.0,2983000.0,2853000.0,3171000.0,18.8,94.0,1.09,1/1,2999600.0,3.3843674549436744,2738600.0,12.05555572817297,0.9129883984531271,0.8376040352780981
5.2731,4.9701,5.4262,346.10305,452300.0,386000.0,427700.0,399300.0,395700.0,405700.0,387800.0,408200.0,393700.0,399700.0,5.27,95.0,1.07,1/1,418720.0,5.136373258757499,392500.0,1.408550878997739,0.9373805884600688,0.8760566247290362
32.4557,32.3923,32.6477,411.19636,707600.0,531000.0,500700.0,662600.0,511900.0,528400.0,535800.0,527300.0,533400.0,538900.0,32.46,96.0,0.96,1/1,560580.0,14.875145621880067,554940.0,10.978342517467624,0.9899389917585358,1.0311864497484748
25.5127,25.287,25.8095,325.21672,1130000.0,1087000.0,1167000.0,1081000.0,1085000.0,1156000.0,1105000.0,1420000.0,1080000.0,1143000.0,25.51,97.0,0.91,1/1,1203200.0,10.138503545553789,1087600.0,0.9322391949714289,0.9039228723404256,0.9933218377367313
4.4493,4.2933,4.5911,1019.45086,55830.0,54020.0,56650.0,53020.0,55100.0,49190.0,59570.0,50110.0,60350.0,52800.0,4.45,98.0,1.07,1/1,52916.0,6.282252005246004,56412.0,5.9079134216523235,1.0660669740721143,0.9963242748337516
29.4234,29.253,29.7298,435.05709,2277000.0,1939000.0,2003000.0,2180000.0,1947000.0,1978000.0,1968000.0,1971000.0,1945000.0,2228000.0,29.43,99.0,0.95,1/1,2091400.0,7.1032512343580185,1995800.0,5.188419219660747,0.9542889930190304,1.0045147294937162
