,Compound Name,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Retention Time,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Retention Time,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Area,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,rt,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
10,11,12.477,12.453,12.141,12.087,11.996,11.928,12.366,12.329,20024.04,19524.635,4938.383,5036.893,5066.595,4433.547,18595.798,18233.75,C19H21N,264.1749,12.18,0.27,1/4,0.0,19094.55575,4.317195131134702,4868.8544999999995,6.065763258536743,0.2549865293409615,0.9443945531146721
11,12,3.441,3.438,3.438,3.431,3.423,3.427,3.405,3.41,1509.599,1739.549,23387.406,26450.142,27957.488,24908.119,1580.895,1543.463,C16H18FN3O3,320.1409,3.42,16.15,16/1,0.0,1593.3764999999999,6.383036823244148,25675.78875,7.669001045345758,16.114075204447914,0.9977755544549793
12,13,5.233,5.244,5.147,5.094,5.1,5.083,5.203,5.163,6502.269,6181.125,5891.037,5906.284,6619.956,7021.629,6042.722,6076.961,C22H23NO7,414.1546,5.18,0.99,1/1,0.936,6200.76925,3.3776463542298107,6359.726500000001,8.759966038779883,1.0256350855178171,1.035995035876583
13,14,10.299,10.25,9.964,9.893,9.85,9.751,10.167,10.142,1386.119,1362.638,1215.471,1213.089,1192.899,1461.618,1313.922,1344.661,C18H23NO,270.1851,10.0,0.92,1/1,0.3,1351.835,2.2522313710848194,1270.7692499999998,10.043900820153768,0.9400328072582821,1.0217747904981327
14,15,7.061,7.041,6.832,6.792,6.752,6.712,6.967,6.925,5232.422,5099.197,67211.972,67479.895,66514.893,69083.518,5319.829,5206.049,C16H24N2O,261.1963,6.83,12.67,16/1,0.0,5214.37425,1.7430155825111573,67572.5695,1.6076324641182804,12.95890288273804,1.0228021217630654
15,16,5.02,5.022,4.876,4.85,4.839,4.841,4.971,4.938,50031.302,51807.484,4120.015,4068.007,3819.12,3918.731,54111.901,54164.817,C20H21NO4,340.1543,4.95,0.09,1/16,0.0,52528.876,3.797987162251891,3981.46825,3.4613553502225414,0.07579580134172298,0.8421755704635887
16,17,5.618,5.612,5.556,5.542,5.541,5.544,5.583,5.577,5550.883,5204.131,359.981,410.82,413.438,457.338,5462.735,5791.942,C11H11N5,214.1088,5.53,0.09,1/16,0.0,5502.42275,4.410946657604119,410.39425,9.700580118826016,0.07458428198742091,0.8287142443046768
17,18,8.62,8.617,8.619,8.612,8.621,8.637,8.632,8.66,157.465,166.162,3398.999,3304.691,3760.986,4376.513,141.069,160.307,C21H28O5,361.1992,8.59,18.5,16/1,0.0,156.25075,6.879554952155218,3710.2972499999996,13.091726741295181,23.74578842021558,1.2835561308224637
18,19,10.191,10.153,9.86,9.81,9.769,9.689,10.072,10.026,6776.283,6482.508,24551.511,25239.422,24990.883,27325.652,6385.594,6107.905,C19H29NO,288.2323,9.9,4.07,4/1,0.0,6438.0725,4.283219755613185,25526.867,4.828077544965553,3.964985948822415,0.9741980218236891
19,20,28.154,28.16,28.16,28.149,28.165,28.17,28.153,28.156,1577.855,1548.73,806.986,782.707,794.571,820.72,1403.222,1486.166,C21H30O2,315.2316,28.13,0.54,1/2,0.001,1503.99325,5.140184075882099,801.2460000000001,2.0386204508690136,0.5327457420437227,0.9865661889698568
20,21,4.225,4.234,4.369,4.381,4.415,4.449,4.259,4.267,1061.143,1057.609,18507.801,18799.539,19268.983,18890.541,1070.419,1055.826,C17H23N3O,286.1914,4.3,14.44,16/1,0.0,1061.24925,0.6125066443420446,18866.716,1.6641127415594783,17.77783682768209,1.2311521348810313
21,22,5.116,5.109,4.961,4.942,4.915,4.9,5.05,5.024,3564.402,3397.472,4860.59,5289.413,4886.177,5341.931,3366.552,3363.592,C12H13ClN4,249.0903,4.99,1.34,1/1,0.006,3423.0045,2.7900048650882545,5094.52775,5.034160811658195,1.4883204944661919,1.1106869361687999
22,23,6.461,6.489,6.58,6.57,6.469,6.522,6.481,6.503,322.355,290.767,102.165,109.838,122.235,115.39,335.621,328.2,C13H12N2O3S,277.0641,6.57,0.47,1/2,0.0,319.23575,6.183599551900422,112.407,7.565925673934746,0.3521128194445641,0.7491762115841789
23,24,12.127,12.105,11.788,11.717,11.651,11.587,12.046,11.977,624.729,652.571,159.486,157.698,176.793,202.881,655.661,631.676,C18H14N4O5S,399.0755,11.84,0.27,1/4,0.0,641.15925,2.3831470994526884,174.2145,12.03194683418499,0.27171798582021545,1.0063629104452423
24,25,19.243,19.185,18.79,18.718,18.622,18.523,19.077,19.004,11321.992,13583.25,7009.92,6875.938,6736.848,6175.962,12818.39,13095.168,C21H26N2S2,371.1612,18.84,0.55,1/2,0.0,12704.699999999999,7.670620484781995,6699.6669999999995,5.470495759919442,0.5273376781820901,0.958795778512891
25,26,3.803,3.803,3.75,3.718,3.708,3.71,3.787,3.775,10697.516,11081.605,660.111,580.454,629.355,637.883,10864.044,11243.446,C13H24N4O3S,317.1642,3.75,0.06,1/16,0.0,10971.652750000001,2.186769520275583,626.95075,5.359244510681446,0.05714278097253852,0.952379682875642
26,27,16.876,16.894,17.118,17.164,17.212,17.25,16.948,16.999,4657.684,4282.723,78386.281,77328.274,79310.335,76735.059,4447.08,4290.871,C21H24F3N3S,408.1716,17.0,16.61,16/1,0.0,4419.5895,3.978360365185803,77939.98725,1.4634657412773382,17.635119110044045,1.0617169843494307
27,28,11.548,11.522,11.229,11.154,11.062,10.986,11.444,11.387,31116.359,29645.386,8089.839,7453.759,8154.236,7826.438,27974.593,27020.291,C20H31NO,302.248,11.24,0.27,1/4,0.0,28939.157249999997,6.261846740325924,7881.067999999999,4.037721796295454,0.2723323257798048,1.0086382436289067
28,29,4.113,4.139,4.262,4.279,4.323,4.353,4.163,4.191,545.242,463.583,10466.9,10606.675,10366.406,10438.078,540.87,437.82,C16H21N3,256.1808,4.2,15.22,16/1,0.0,496.87875,10.943841097333468,10469.51475,0.9621244546911049,21.070562486320856,1.384399637734616
29,30,5.044,5.048,5.166,5.183,5.22,5.253,5.071,5.1,14433.145,14304.05,17055.482,16088.408,15570.992,16531.704,13506.275,14532.496,C19H22N2,279.1856,5.1,1.01,1/1,0.828,14193.9915,3.2966040945047057,16311.646499999999,3.8775204951778366,1.1491937627269961,1.1378156066603922
30,31,9.729,9.701,9.431,9.377,9.336,9.26,9.614,9.569,8470.907,8127.054,32401.256,34852.123,30465.987,31938.244,8283.605,8023.844,C16H24N2,245.2014,9.47,3.89,4/1,0.0,8226.352499999999,2.369180002994029,32414.402500000004,5.622835041234976,3.9403128543300334,1.0129338957146614
31,32,5.917,5.914,5.919,5.886,5.918,5.927,5.906,5.909,9161.796,9237.442,536.733,557.194,620.432,655.565,9248.816,9068.022,C10H13NO2,180.1017,5.91,0.07,1/16,0.0,9179.019,0.9093588540087365,592.481,9.302852885476796,0.06454731164626634,0.9221044520895191
32,33,4.408,4.392,4.301,4.279,4.251,4.237,4.375,4.353,2354.466,2274.971,4380.893,4639.638,4676.082,5020.165,2202.335,2247.334,C21H26N2O3,355.2015,4.36,1.91,2/1,0.001,2269.7765,2.8154488895243097,4679.1945,5.611301009688001,2.061522136650899,1.0793309615973294
33,34,3.843,3.843,3.797,3.765,3.779,3.751,3.827,3.812,23745.121,23528.119,1607.875,1614.464,1523.155,1657.347,24036.95,24237.801,C18H28N2O4,337.2121,3.78,0.07,1/16,0.0,23886.997750000002,1.311594200303748,1600.7102499999999,3.508665189158485,0.06701178049886992,0.957311149983856
34,35,5.712,5.69,5.543,5.491,5.484,5.458,5.625,5.602,5096.274,4754.632,5239.153,5565.341,5549.199,5563.972,4872.934,4991.05,C19H19NOS,310.1261,5.6,1.08,1/1,0.436,4928.7225,2.9951673387140243,5479.41625,2.9262630518467247,1.1117315389535525,1.0293810545866227
35,36,5.15,5.177,5.344,5.357,5.401,5.451,5.193,5.232,3107.833,3527.45,1682.337,1761.52,1845.441,1726.917,3473.607,3335.246,C18H19ClN4,327.1369,5.25,0.49,1/2,0.0,3361.0339999999997,5.570011567199164,1754.05375,3.9343053023859897,0.5218792044353018,1.065059600888371
36,37,4.155,4.177,4.089,4.059,4.097,4.121,4.148,4.145,22572.229,22086.084,1061.178,1229.78,1093.325,1027.873,23592.847,23967.439,C21H21NO6,384.144,4.18,0.06,1/16,0.0,23054.64975,3.792697398595569,1103.0390000000002,8.034065216305137,0.047844535135477394,0.7974089189246233
37,38,3.609,3.605,3.514,3.523,3.524,3.506,3.591,3.567,5210.87,4899.235,2511.567,2418.195,2268.17,2548.519,5152.876,4673.122,C14H22N2O,235.1802,3.57,0.46,1/2,0.002,4984.02575,4.9665485932930205,2436.6127500000002,5.128886096369049,0.4888844625250984,1.0627923098371703
38,39,3.579,3.576,3.555,3.545,3.535,3.538,3.564,3.557,8281.192,8018.788,8101.803,8242.947,8131.98,8438.274,8119.06,8091.546,C13H10N2,195.0917,3.52,0.86,1/1,0.09,8127.646500000001,1.36275676456055,8228.751,1.850774004553398,1.012439578911312,1.1772553243154793
39,40,15.723,15.736,15.887,15.929,15.994,16.019,15.763,15.796,19422.142,18962.505,4636.542,4961.788,5167.109,5182.825,20316.148,20250.209,C22H26F3N3OS,438.182,15.81,0.28,1/4,0.0,19737.751,3.332275156493212,4987.066,5.102312793766626,0.2526663752116439,0.9023799114701568
40,41,31.65,31.665,31.643,31.634,31.671,31.67,31.659,31.634,413.868,362.468,704.774,769.65,672.343,829.156,426.488,356.039,C20H21ClO4,361.1199,31.6,1.82,2/1,0.031,389.71575,9.146883631803473,743.98075,9.37128567893488,1.9090343410549866,1.04891996761263
41,42,25.466,25.468,25.49,25.463,25.481,25.472,25.453,25.468,171.795,154.447,167.428,189.943,225.928,196.11,177.312,151.174,C15H15NO2,242.1175,25.46,1.32,1/1,0.133,163.682,7.834450028887672,194.85225,12.372051941311051,1.1904317518114393,0.9018422362207873
42,43,12.674,12.648,12.346,12.293,12.188,12.119,12.57,12.503,6428.945,6018.893,3075.148,3028.551,3028.847,2918.237,6152.544,5889.573,C25H35NO5,430.2586,12.39,0.51,1/2,0.0,6122.4887499999995,3.769645829352255,3012.69575,2.2129951300737845,0.49207044275908224,0.9648440054099652
43,44,5.393,5.395,5.24,5.208,5.189,5.169,5.334,5.28,1665.394,1544.159,4338.951,4117.585,4240.146,4678.536,1971.441,2192.955,C12H21N,180.1747,5.24,2.32,2/1,0.001,1843.48725,15.963602603140467,4343.8045,5.54408778216595,2.356297555082087,1.01564549788021
44,45,14.397,14.368,14.075,13.996,13.897,13.803,14.283,14.219,421.253,381.144,2318.308,2457.433,2385.476,2149.151,414.713,448.99,C24H26BrN3O3,484.1226,14.09,4.93,4/1,0.001,416.525,6.692823467945982,2327.592,5.663748726708838,5.588120761058761,1.1334930549814932
45,46,13.083,13.065,12.778,12.713,12.624,12.549,12.98,12.927,21219.323,18392.855,6568.584,6744.222,6844.434,6580.616,20806.107,25804.598,C26H29N3O6,480.2131,12.8,0.28,1/4,0.0,21555.72075,14.356810001492427,6684.464,1.9954353586135571,0.3101016234866561,1.1075057981666288
46,47,5.438,5.429,5.254,5.258,5.21,5.209,5.379,5.354,11630.845,11501.628,600.328,628.893,587.998,563.584,11678.705,11679.863,C17H19NO,254.1539,5.32,0.06,1/16,0.0,11622.76025,0.7220525176164666,595.20075,4.563123084725413,0.051209930962827874,0.8534988493804646
47,48,4.593,4.608,4.631,4.644,4.647,4.636,4.573,4.588,615.664,588.838,1412.345,1425.67,1620.261,1572.845,584.778,614.031,C10H9ClN4O2S,285.0206,4.68,2.63,2/1,0.005,600.8277499999999,2.7107425634520075,1507.78025,6.928027832018619,2.5095050120438014,0.95418441522578
48,49,7.188,7.195,7.225,7.235,7.207,7.217,7.191,7.199,9108.634,9075.868,332.097,357.377,418.167,479.083,9167.629,9256.027,C12H14N4O4S,311.0809,7.22,0.05,1/16,0.0,9152.0395,0.8636465225512462,396.681,16.57403939450729,0.04334345366407127,0.8668690732814253
49,50,22.968,22.904,22.559,22.477,22.379,22.298,22.83,22.737,2190.434,2051.064,36869.794,36009.162,37479.112,35037.325,1979.761,2014.602,C18H15Cl3N2S,397.0093,22.58,15.95,16/1,0.0,2058.96525,4.485464772773793,36348.848249999995,2.9220459004059567,17.653939642740447,1.1068300716451691
50,51,25.694,25.675,25.444,25.404,25.367,25.314,25.6,25.543,18201.776,17996.538,29930.801,29705.433,29477.132,28893.587,13999.992,16428.373,C20H35NOS,338.2514,25.45,1.8,2/1,0.001,16656.66975,11.647943440194206,29501.73825,1.510878005928998,1.7711666673345672,0.9839814818525373
51,52,31.612,31.617,31.583,31.586,31.608,31.602,31.604,31.6,2122.847,2115.876,211.374,228.754,204.34,188.379,2229.406,1824.073,C25H28O3,377.2109,31.56,0.14,1/4,0.0,2073.0505,8.38984872722609,208.21175,8.03812015045959,0.10043737477692898,0.7174098198352069
52,53,22.091,22.025,21.625,21.547,21.437,21.351,21.922,21.833,833.764,779.893,15664.161,16475.393,16444.576,16503.181,663.433,664.568,C18H15Cl3N2O,381.0322,21.68,19.29,16/1,0.0,735.4145000000001,11.605077633888154,16271.82775,2.493989542597201,22.12606326092292,1.1470224603899906
53,54,16.195,16.172,16.293,16.307,16.34,16.364,16.225,16.255,2855.644,3262.826,18136.466,17781.916,19262.073,18026.411,3029.83,2904.585,C14H21N3O3S,312.1378,16.24,5.18,4/1,0.0,3013.2212499999996,6.035146832959412,18301.716500000002,3.590701750980859,6.073804404505645,1.1725491128389276
54,55,5.18,5.196,5.191,5.197,5.204,5.205,5.175,5.165,413.62,364.543,1931.081,2028.616,2170.226,2272.119,380.23,380.372,C17H13N3O5S2,404.0368,5.23,5.25,4/1,0.0,384.69125,5.372378245934442,2100.5105000000003,7.177259168111501,5.4602502656351035,1.0400476696447816
55,56,20.522,20.434,20.061,19.974,19.865,19.775,20.336,20.266,68182.221,70685.467,18078.491,16641.013,17445.778,16070.38,64749.283,64836.944,C23H31NO2,354.2429,20.1,0.28,1/4,0.0,67113.47875000001,4.273105466489264,17058.9155,5.178363491378199,0.2541801709243093,0.9077863247296759
56,57,10.838,10.814,10.53,10.47,10.391,10.309,10.733,10.681,18053.465,16262.846,37520.526,34577.378,35198.816,35750.454,17758.046,18332.861,C21H25NO2,324.196,10.55,1.97,2/1,0.001,17601.804500000002,5.243652397438396,35761.7935,3.5418517038136943,2.03171177705104,1.0313257751528122
57,58,31.215,31.239,31.173,31.226,31.243,31.24,31.212,31.214,85.981,90.529,11.182,16.2,11.118,12.344,101.412,73.643,C32H47F5O3S,607.3224,31.18,0.15,1/4,0.0,87.89125000000001,13.079075186756253,12.711,18.828379364806793,0.14462190491089838,0.9641460327393225
58,59,16.805,16.769,16.426,16.349,16.264,16.212,16.665,16.604,4433.198,4624.901,2028.466,2019.248,2008.565,852.23,4302.959,4591.119,C25H32ClN5O2,470.2307,16.48,0.41,1/2,0.025,4488.04425,3.320326253284796,1727.12725,33.77409035609814,0.38482848069067055,0.9386060504650502
59,60,4.651,4.645,4.588,4.57,4.563,4.549,4.626,4.6,803.192,710.799,3412.571,3470.322,3326.337,3165.554,688.948,704.756,C23H27FN4O3,427.2136,4.62,3.79,4/1,0.0,726.9237499999999,7.108503225181714,3343.696,3.9681343090952446,4.599789180089384,1.2136646913164602
60,61,3.597,3.6,3.585,3.58,3.577,3.583,3.574,3.559,3943.467,3662.737,2894.015,3009.391,3011.203,2989.152,3761.541,3600.062,C19H28N2O4,349.2121,3.64,1.25,1/1,0.055,3741.9517499999997,4.005627255498926,2975.94025,1.8657599787697439,0.7952909200392551,0.6362327360314041
61,62,4.012,4.012,4.111,4.084,4.074,4.102,3.983,3.962,2404.043,2375.97,701.865,718.661,704.182,649.95,2767.586,2629.616,C21H19F2N3O3,400.1475,4.07,0.35,1/2,0.001,2544.30375,7.357995323604483,693.6644999999999,4.335774654504294,0.27263431105661023,0.7789551744474579
62,63,11.992,11.968,11.659,11.591,11.517,11.435,11.875,11.833,9176.772,8868.035,16668.476,16970.005,15866.059,17481.042,8274.238,7405.84,C19H21NS,296.1469,11.69,2.06,2/1,0.001,8431.221249999999,9.244997449024776,16746.3955,4.036457666957383,1.9862360390554337,0.9641922519686571
63,64,21.775,21.743,21.342,21.246,21.142,21.058,21.63,21.541,13448.712,15727.478,31089.209,26121.53,27702.696,28911.45,13979.97,15191.208,C21H35NO,318.2793,21.44,1.84,2/1,0.004,14586.841999999999,7.222647934389716,28456.22125,7.359772102869479,1.9508143880628859,1.0602252109037422
64,65,17.861,17.854,17.921,17.953,18.001,18.006,17.889,17.876,970.594,963.816,18345.134,16940.569,19263.153,20721.419,949.405,923.265,C25H31NO6,442.2221,17.92,18.53,16/1,0.0,951.77,2.201888990154998,18817.56875,8.441310053639791,19.771130367630835,1.0669795125542814
65,66,31.763,31.775,31.759,31.781,31.763,31.764,31.755,31.762,7493.974,6181.233,1202.212,1006.527,825.555,1088.399,6407.679,6111.694,C50H75NO14,914.5269,31.72,0.14,1/4,0.0,6548.6449999999995,9.815218966601277,1030.6732499999998,15.383152434172867,0.15738725339364096,1.1241946670974352
66,67,27.239,27.259,27.251,27.255,27.266,27.277,27.249,27.243,327.172,318.425,1456.603,1566.85,1641.977,1738.235,320.071,322.199,C15H13ClFNO2,294.069,27.23,4.65,4/1,0.0,321.96675,1.1797886866816736,1600.91625,7.437288191679996,4.972303040609007,1.0693124818513993
67,68,6.669,6.651,6.451,6.421,6.381,6.347,6.576,6.53,2797.644,2754.276,42435.479,41637.143,39448.638,39835.945,2758.483,2387.875,C17H19N3,266.1653,6.48,14.97,16/1,0.0,2674.5695,7.183386840469712,40839.301250000004,3.49876053694071,15.269485892963337,1.0200057376729015
68,69,3.901,3.898,3.825,3.85,3.809,3.812,3.878,3.862,2424.12,2562.526,2985.862,3041.621,3238.711,3174.284,2757.609,2689.639,C19H24N2O4,345.1807,3.94,1.22,1/1,0.017,2608.4735,5.63980834581901,3110.1195,3.7489669568240633,1.1923140104739418,0.9773065659622474
69,70,5.565,5.521,5.317,5.261,5.225,5.181,5.448,5.421,37.443,33.026,32.723,38.352,21.629,37.913,37.031,32.706,C22H38O5,383.2803,5.33,1.0,1/1,0.978,35.051500000000004,7.225279153051361,32.65425,23.831579447798784,0.9316077771279402,0.9316077771279402
70,71,31.169,31.184,31.184,31.176,31.158,31.203,31.164,31.169,33.107,49.494,48.417,51.286,51.869,71.993,61.701,45.522,C22H38O5,383.2789,31.12,1.41,1/1,0.032,47.455999999999996,24.834988743231783,55.89125,19.394828577184686,1.1777488621038437,0.8352828809247118
71,72,0.723,0.698,0.672,0.68,0.68,0.684,0.713,0.7,165.545,148.534,472.793,463.147,493.373,526.672,172.151,153.07,C12H20N4O7,333.1403,0.64,4.76,4/1,0.0,159.825,6.832723038237696,488.99625000000003,5.747092527326078,3.0595729704364154,0.6427674307639528
72,73,18.851,18.859,19.114,19.16,19.212,19.231,18.936,18.979,6493.535,5783.495,6604.577,6780.483,6305.813,6980.679,5974.547,5167.721,C25H37NO4,416.2774,18.99,1.16,1/1,0.155,5854.824499999999,9.352379887685837,6667.888,4.291262582717704,1.1388706869010337,0.9817850749146843
73,74,5.379,5.418,5.298,5.23,5.03,5.297,5.324,5.299,139.698,125.192,148.314,161.01,237.805,113.03,164.745,148.099,C17H16FN3O2S,346.1019,5.3,1.08,1/1,0.613,144.43349999999998,11.437244895930302,165.03974999999997,31.86247937973154,1.1426694638016803,1.0580272812978522
74,75,12.286,12.303,12.31,12.33,12.334,12.336,12.308,12.316,886.623,837.126,982.036,1067.701,1113.843,1124.484,888.92,842.988,C22H28F2O5,411.1975,12.3,1.14,1/1,0.038,863.91425,3.20258976178524,1072.016,6.04955164498818,1.2408824139664325,1.08849334558459
75,76,25.674,25.692,25.686,25.671,25.683,25.69,25.671,25.679,2946.408,3129.718,4015.053,4016.857,4164.467,3908.112,3384.011,3580.887,C22H28O2,325.2163,25.66,1.18,1/1,0.002,3260.2560000000003,8.560125093700604,4026.1222500000003,2.6158047637613264,1.234909850637496,1.0465337717266916
76,77,4.599,4.572,4.435,4.387,4.35,4.346,4.526,4.482,26.032,26.25,36.848,42.903,52.605,72.648,34.547,27.542,C49H66N10O10S2,1019.4478,4.46,1.68,1/1,0.07,28.59275,14.077170526342137,51.251,30.57820350320133,1.7924473861380945,1.066932967939342
77,78,29.536,29.538,29.544,29.542,29.54,29.548,29.534,29.541,8277.586,8208.632,8281.745,8538.442,9555.66,8548.512,7785.467,7830.565,C20H15BrN6O,435.0565,29.5,1.06,1/1,0.519,8025.5625,3.157947673938949,8731.08975,6.4528566676316235,1.087910006307969,1.0263301946301593
78,79,26.487,26.503,26.632,26.663,26.693,26.721,26.539,26.549,10341.668,11053.498,11026.292,10825.905,11258.671,11647.079,9914.403,9183.24,C18H18ClNO5,364.0948,26.56,1.16,1/1,0.005,10123.202249999998,7.736886035662634,11189.48675,3.1512612134133784,1.1053307514428057,0.9528713374506946
79,80,0.709,0.719,0.701,0.705,0.691,0.71,0.709,0.702,15.126,16.406,54.724,60.077,53.812,60.177,16.893,17.375,C9H11NO5,214.071,0.67,3.06,4/1,0.0,16.45,5.88001076499989,57.1975,5.950205125008001,3.477051671732523,1.1362913959910206
80,81,5.231,5.222,5.115,5.069,5.043,5.027,5.183,5.149,260.101,213.957,198.5,192.93,242.17,279.074,246.643,252.017,C13H16N2,201.1385,5.12,1.04,1/1,0.768,243.17950000000002,8.327863821966385,228.1685,17.729527997720755,0.9382719349287254,0.9021845528160821
81,82,5.397,5.397,5.313,5.274,5.177,5.149,5.327,5.309,18832.762,18115.805,17805.793,18807.822,19475.81,19383.951,18335.622,17986.153,C27H36N2O5,469.2698,5.36,1.19,1/1,0.04,18317.5855,2.0336291096894015,18868.344,4.068090337003286,1.0300671996317419,0.8656026887661696
82,83,13.116,13.129,13.141,13.135,13.136,13.167,13.138,13.135,6345.985,6894.904,8114.366,8038.612,6399.13,4986.655,6586.615,7021.922,C20H25NO2,312.1959,13.1,1.02,1/1,0.895,6712.3565,4.544822474658175,6884.69075,21.677358746717136,1.0256741801482088,1.0055629217139301
83,84,15.185,15.213,15.198,15.174,15.205,15.21,15.213,15.195,1878.891,1885.894,3054.4,3109.847,2951.092,2539.773,1998.667,1961.646,C10H8F2N4O,239.0743,15.17,1.36,1/1,0.006,1931.2744999999998,3.0292128684694246,2913.7780000000002,8.849996996969768,1.5087332225429377,1.1093626636345129
