,Compound Name,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Retention Time,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Retention Time,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Retention Time,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleA_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_1_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_2_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_3_Area,/home/zzy/peak-output/tof/20170326-960MIX_SampleB_4_Area,/home/zzy/peak-output/tof/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peak-output/tof/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,rt,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
15,16,5.039,5.032,4.888,4.835,4.827,4.819,4.972,4.95,50031.302,51807.325,4119.24,4064.943,3817.868,3918.852,54111.901,54192.508,C20H21NO4,340.1543,4.82,0.09,0.0,1/16,52535.759,3.8119972969619624,3980.2257499999996,3.4518360214808688,0.07576222035737601,0.8418024484152891
16,17,5.606,5.617,5.555,5.53,5.539,5.55,5.587,5.57,5548.117,5208.835,359.273,410.696,413.438,457.338,5463.757,5787.434,C11H11N5,214.1088,5.45,0.09,0.0,1/16,5502.03575,4.339339722090465,410.18625000000003,9.778326718837835,0.07455172387783922,0.8283524875315469
17,18,8.619,8.613,8.617,8.61,8.626,8.639,8.642,8.649,157.465,166.162,3398.999,3305.573,3760.986,4376.513,141.069,160.078,C21H28O5,361.1992,8.6,18.5,0.0,16/1,156.1935,6.864001836049962,3710.51775,13.084336233142322,23.7559037347905,1.2841029045832704
18,19,10.189,10.155,9.852,9.809,9.754,9.688,10.075,10.029,6774.957,6483.679,24540.612,25229.324,24987.526,27321.917,6390.286,6107.905,C19H29NO,288.2323,9.87,4.07,0.0,4/1,6439.206749999999,4.27057214757672,25519.84475,4.838552315617912,3.963196980746115,0.9737584719277923
19,20,28.165,28.166,28.159,28.163,28.175,28.183,28.162,28.176,1579.647,1549.087,806.986,782.707,794.571,820.72,1403.581,1487.641,C21H30O2,315.2316,28.05,0.54,0.001,1/2,1504.989,5.161562094830087,801.2460000000001,2.0386204508690136,0.5323932600171829,0.9859134444762646
20,21,4.241,4.237,4.378,4.386,4.42,4.462,4.257,4.261,1061.866,1057.609,18507.801,18799.539,19284.565,18896.868,1069.765,1055.99,C17H23N3O,286.1914,4.34,14.44,0.0,16/1,1061.3075,0.5803119548402277,18872.19325,1.6998051393101004,17.78202193991845,1.2314419625982307
21,22,5.099,5.093,4.96,4.915,4.808,4.753,5.039,5.014,3563.622,3395.816,4859.832,5285.634,4865.514,5330.857,3365.536,3362.967,C12H13ClN4,249.0903,4.85,1.34,0.006,1/1,3421.98525,2.793566983570402,5085.45925,5.07178331850496,1.4861137259431494,1.1090400939874248
22,23,6.443,6.452,6.596,6.542,6.458,6.503,6.469,6.474,322.232,290.581,100.308,111.393,122.235,115.861,335.621,328.073,C13H12N2O3S,277.0641,6.49,0.47,0.0,1/2,319.12675,6.205692233840017,112.44925,8.21373120272331,0.35236547860685447,0.7497137842699032
23,24,12.131,12.096,11.791,11.736,11.638,11.578,12.041,11.979,624.729,652.571,159.486,157.763,176.502,202.881,655.751,631.676,C18H14N4O5S,399.0755,11.79,0.27,0.0,1/4,641.1817500000001,2.3875102786221487,174.15800000000002,12.0195327015543,0.27162033230047483,1.0060012307424993
24,25,19.239,19.174,18.792,18.719,18.62,18.523,19.07,19.01,11314.479,13578.181,7009.92,6875.938,6736.848,6176.965,12816.663,13095.901,C21H26N2S2,371.1612,18.82,0.55,0.0,1/2,12701.306,7.6889309835971735,6699.91775,5.463161045140095,0.5274983336359268,0.9590878793380486
25,26,3.804,3.804,3.738,3.743,3.724,3.725,3.785,3.773,10697.516,11081.605,660.796,580.27,629.523,637.716,10864.044,11243.446,C13H24N4O3S,317.1642,3.86,0.06,0.0,1/16,10971.652750000001,2.186769520275583,627.07625,5.405576534564741,0.057154219540898235,0.9525703256816372
26,27,16.863,16.867,17.112,17.149,17.192,17.239,16.951,16.99,4657.035,4277.211,78320.298,77281.767,79221.645,76720.635,4446.975,4289.451,C21H24F3N3S,408.1716,16.88,16.61,0.0,16/1,4417.668,4.013799068864008,77886.08625000001,1.425049420266884,17.630588412257328,1.0614442150666663
27,28,11.547,11.521,11.23,11.153,11.052,10.985,11.447,11.387,31123.802,29645.386,8088.491,7453.759,8150.438,7827.677,27979.625,27020.291,C20H31NO,302.248,11.25,0.27,0.0,1/4,28942.275999999998,6.268395503832328,7880.09125,4.01984100773682,0.27226923169414874,1.0084045618301805
28,29,4.131,4.145,4.266,4.281,4.305,4.347,4.155,4.174,545.242,463.459,10466.9,10606.675,10360.07,10438.078,541.003,437.82,C16H21N3,256.1808,4.24,15.22,0.0,16/1,496.88100000000003,10.956116607906392,10467.93075,0.9831713644266894,21.067279187572073,1.3841839150835789
29,30,5.017,5.045,5.145,5.165,5.179,5.213,5.063,5.076,14412.254,14292.967,17038.984,16083.561,15542.159,16504.696,13498.847,14523.699,C19H22N2,279.1856,4.92,1.01,0.828,1/1,14181.94175,3.2791001121063266,16292.349999999999,3.8963384522493483,1.1488095415425041,1.1374351896460437
30,31,9.748,9.706,9.437,9.397,9.336,9.275,9.621,9.581,8480.174,8127.054,32412.241,34864.672,30465.987,31953.233,8286.065,8028.151,C16H24N2,245.2014,9.51,3.89,0.0,4/1,8230.361,2.4001842343122237,32424.03325,5.6343343557811965,3.9395639207077306,1.0127413677911903
31,32,5.948,5.949,5.965,5.922,5.942,5.962,5.943,5.952,9168.0,9241.739,537.463,563.832,620.576,655.365,9264.055,9079.211,C10H13NO2,180.1017,5.78,0.07,0.0,1/16,9188.251250000001,0.9085582073539374,594.309,8.99751877258298,0.06468140496266903,0.9240200708952717
32,33,4.403,4.393,4.287,4.271,4.245,4.224,4.366,4.353,2352.769,2273.05,4378.919,4637.491,4671.741,5016.788,2201.221,2247.186,C21H26N2O3,355.2015,4.19,1.91,0.001,2/1,2268.5564999999997,2.799825649581066,4676.23475,5.6022873496641665,2.061326112001178,1.0792283308906692
33,34,3.852,3.849,3.799,3.78,3.787,3.771,3.835,3.824,23752.708,23547.705,1607.875,1614.322,1523.383,1658.321,24059.144,24246.337,C18H28N2O4,337.2121,3.96,0.07,0.0,1/16,23901.4735,1.3032163288266108,1600.97525,3.5213673747248992,0.06698228249400606,0.9568897499143723
34,35,5.714,5.719,5.554,5.507,5.499,5.462,5.645,5.617,5099.499,4758.464,5230.864,5565.398,5549.259,5566.717,4875.177,4991.184,C19H19NOS,310.1261,5.79,1.08,0.436,1/1,4931.081,2.982742996046643,5478.059499999999,3.011796965274119,1.1109246633750285,1.0286339475694708
35,36,5.178,5.197,5.341,5.358,5.418,5.458,5.215,5.227,3109.303,3527.45,1682.68,1763.561,1846.74,1727.466,3478.149,3335.246,C18H19ClN4,327.1369,5.37,0.49,0.0,1/2,3362.5370000000003,5.575246357131347,1755.11175,3.958088169933015,0.5219605761958902,1.0652256657058985
36,37,4.134,4.151,4.088,4.07,4.064,4.12,4.181,4.135,22576.945,22165.26,1061.178,1195.902,1115.782,1009.786,22127.628,24136.605,C21H21NO6,384.144,4.1,0.06,0.0,1/16,22751.6095,4.155725249111809,1095.662,7.2665859530350225,0.04815756001789676,0.8026260002982794
37,38,3.588,3.585,3.493,3.498,3.507,3.477,3.577,3.558,5220.66,4907.568,2510.944,2416.466,2268.609,2547.785,5159.735,4671.584,C14H22N2O,235.1802,3.41,0.46,0.002,1/2,4989.88675,5.046047770758804,2435.951,5.1116575716125014,0.4881776124478176,1.0612556792343861
38,39,3.583,3.599,3.554,3.541,3.528,3.534,3.577,3.581,8281.098,8024.647,8106.412,8245.174,8131.98,8438.274,8121.398,8102.454,C13H10N2,195.0917,3.59,0.86,0.09,1/1,8132.39925,1.323223354256047,8230.46,1.835806369015915,1.0120580344109396,1.1768116679196972
39,40,15.717,15.74,15.887,15.93,15.992,16.014,15.759,15.803,19416.683,18962.505,4639.322,4958.233,5167.109,5182.825,20313.663,20276.089,C22H26F3N3OS,438.182,15.79,0.28,0.0,1/4,19742.235,3.3669121096647907,4986.87225,5.079487508140213,0.2525991738017504,0.9021399064348228
40,41,31.603,31.611,31.612,31.611,31.645,31.618,31.613,31.608,412.596,361.392,702.999,768.429,672.139,825.428,423.236,355.199,C20H21ClO4,361.1199,31.45,1.82,0.031,2/1,388.10575000000006,8.963253186983847,742.24875,9.223256868131594,1.9124909898912856,1.0508192252149922
41,42,25.466,25.468,25.49,25.463,25.481,25.472,25.453,25.468,171.795,154.447,167.428,189.943,225.928,196.11,177.312,151.174,C15H15NO2,242.1175,25.46,1.32,0.133,1/1,163.682,7.834450028887672,194.85225,12.372051941311051,1.1904317518114393,0.9018422362207873
42,43,12.679,12.638,12.353,12.282,12.187,12.111,12.549,12.486,6431.221,6019.007,3075.148,3027.408,3027.849,2918.237,6150.42,5885.813,C25H35NO5,430.2586,12.2,0.51,0.0,1/2,6121.615250000001,3.805595871374533,3012.1605,2.2077937557344414,0.4920532207573809,0.9648102367791782
43,44,5.391,5.384,5.25,5.233,5.211,5.175,5.334,5.3,1665.394,1542.812,4342.67,4119.486,4240.418,4678.536,1971.497,2195.576,C12H21N,180.1747,5.4,2.32,0.001,2/1,1843.81975,16.04224610598596,4345.2775,5.527157165765518,2.3566715238840454,1.01580669132933
44,45,14.403,14.367,14.07,13.984,13.875,13.784,14.271,14.205,421.253,381.144,2316.885,2457.221,2386.355,2148.969,414.713,449.418,C24H26BrN3O3,484.1226,13.99,4.93,0.001,4/1,416.63199999999995,6.731060594511108,2327.3575,5.671959393222103,5.586122765414084,1.1330877820312544
45,46,13.098,13.079,12.783,12.719,12.631,12.557,12.97,12.927,21227.986,18415.051,6570.226,6747.324,6844.266,6586.374,20795.254,25804.598,C26H29N3O6,480.2131,12.87,0.28,0.0,1/4,21560.72225,14.32112661945451,6687.0475,1.9713452747233942,0.3101495127325802,1.1076768311877863
46,47,5.433,5.429,5.251,5.253,5.196,5.199,5.38,5.343,11630.845,11501.628,600.328,628.893,587.669,563.584,11678.705,11674.416,C17H19NO,254.1539,5.24,0.06,0.0,1/16,11621.3985,0.7118130185336482,595.1184999999999,4.568721766180689,0.05120885408068573,0.8534809013447622
47,48,4.597,4.613,4.627,4.632,4.645,4.643,4.574,4.59,615.664,589.395,1412.345,1425.54,1620.172,1572.845,584.778,614.031,C10H9ClN4O2S,285.0206,4.69,2.63,0.005,2/1,600.967,2.68767438055017,1507.7255000000002,6.92842120205293,2.508832431730861,0.953928681266487
48,49,7.183,7.196,7.208,7.226,7.193,7.221,7.197,7.188,9107.506,9075.292,332.043,357.377,418.043,479.083,9168.278,9249.087,C12H14N4O4S,311.0809,7.24,0.05,0.0,1/16,9150.04075,0.8356471514392654,396.63650000000007,16.576957835638154,0.04334805831329222,0.8669611662658444
49,50,22.946,22.883,22.545,22.454,22.365,22.28,22.791,22.713,2187.88,2050.632,36859.136,35997.641,37481.693,35027.935,1977.493,2014.208,C18H15Cl3N2S,397.0093,22.45,15.95,0.0,16/1,2057.5532500000004,4.46511157526955,36341.60125,2.9344005836061764,17.6625325492791,1.1073688118670282
50,51,25.694,25.681,25.473,25.42,25.389,25.345,25.596,25.569,18210.36,17996.538,29974.493,29724.318,29499.355,28932.797,14009.48,16456.498,C20H35NOS,338.2514,25.64,1.8,0.001,2/1,16668.218999999997,11.621145834284608,29532.740749999997,1.5053037688858386,1.7717994196020583,0.9843330108900323
51,52,31.617,31.608,31.598,31.59,31.594,31.593,31.605,31.606,2126.008,2117.881,212.499,228.754,204.34,188.379,2229.406,1826.469,C25H28O3,377.2109,31.67,0.14,0.0,1/4,2074.941,8.34976322158118,208.493,8.06570298117849,0.10048141127868215,0.717724366276301
52,53,22.09,22.043,21.641,21.553,21.458,21.334,21.917,21.833,833.764,779.893,15663.625,16475.02,16450.679,16496.891,663.433,664.568,C18H15Cl3N2O,381.0322,21.86,19.29,0.0,16/1,735.4145000000001,11.605077633888154,16271.55375,2.4934626594920752,22.12569068192155,1.1470031457709462
53,54,16.189,16.187,16.306,16.321,16.34,16.385,16.24,16.267,2854.807,3265.068,18137.358,17786.108,19262.073,18036.802,3030.94,2904.868,C14H21N3O3S,312.1378,16.4,5.18,0.0,4/1,3013.92075,6.075066250010184,18305.58525,3.575633402172951,6.07367836397158,1.1725247806894943
54,55,5.192,5.191,5.194,5.201,5.208,5.204,5.178,5.177,413.62,364.543,1931.081,2028.974,2170.226,2273.232,380.288,380.415,C17H13N3O5S2,404.0368,5.27,5.25,0.0,4/1,384.7165,5.370167478993118,2100.8782499999998,7.193417869011667,5.46084779311519,1.0401614844028932
55,56,20.523,20.476,20.072,19.982,19.884,19.765,20.342,20.26,68182.221,70794.602,18076.536,16639.944,17451.322,16066.389,64815.587,64839.982,C23H31NO2,354.2429,20.27,0.28,0.0,1/4,67158.098,4.309946373277769,17058.547749999998,5.188572138465992,0.2540058199682784,0.9071636427438514
56,57,10.854,10.795,10.539,10.462,10.374,10.305,10.706,10.67,18071.789,16252.376,37518.854,34572.106,35184.735,35750.454,17745.462,18325.437,C21H25NO2,324.196,10.39,1.97,0.001,2/1,17598.766,5.275683609267609,35756.537249999994,3.5506720700974643,2.0317638890135816,1.031352227925676
57,58,31.219,31.212,31.153,31.195,31.225,31.205,31.192,31.216,85.981,89.625,11.182,16.2,11.118,12.124,100.627,73.643,C32H47F5O3S,607.3224,31.06,0.15,0.0,1/4,87.469,12.716339673537297,12.656,19.0187200476705,0.1446912620471253,0.9646084136475019
58,59,16.813,16.776,16.44,16.323,16.254,16.21,16.656,16.59,4433.846,4625.505,2028.978,2017.783,2008.238,850.972,4302.959,4590.179,C25H32ClN5O2,470.2307,16.3,0.41,0.025,1/2,4488.122249999999,3.3178281354653754,1726.49275,33.81085958392593,0.38468041952288623,0.9382449256655763
59,60,4.651,4.655,4.586,4.566,4.552,4.526,4.61,4.593,803.03,710.799,3413.059,3470.242,3326.42,3163.399,688.948,703.849,C23H27FN4O3,427.2136,4.55,3.79,0.0,4/1,726.6565,7.118244557503378,3343.28,3.999172005845796,4.60090840720478,1.2139600019009973
60,61,3.594,3.6,3.582,3.567,3.57,3.591,3.557,3.559,3942.364,3664.037,2893.462,3009.391,3010.477,2988.742,3760.894,3600.062,C19H28N2O4,349.2121,3.6,1.25,0.055,1/1,3741.83925,3.985711130370411,2975.518,1.8689340815081117,0.7952019852269175,0.636161588181534
61,62,3.995,3.99,4.039,4.029,4.042,4.06,3.963,3.953,2403.927,2363.447,744.589,755.324,719.423,701.762,2761.328,2629.616,C21H19F2N3O3,400.1475,3.98,0.35,0.001,1/2,2539.5795,7.426194790569364,730.2745,3.319645570997941,0.2875572511118475,0.82159214603385
62,63,12.017,11.977,11.675,11.593,11.528,11.462,11.885,11.818,9184.19,8872.467,16679.855,16964.696,15869.066,17490.082,8278.762,7405.535,C19H21NS,296.1469,11.82,2.06,0.001,2/1,8435.2385,9.276440662467591,16750.92475,4.041259787683574,1.9858270456727454,0.9639937114916239
63,64,21.807,21.764,21.348,21.26,21.145,21.057,21.641,21.567,13460.211,15731.23,31091.454,26131.615,27701.934,28911.45,13977.572,15208.305,C21H35NO,318.2793,21.38,1.84,0.004,2/1,14594.3295,7.225639144737431,28459.11325,7.3494976118249085,1.9500116980365558,1.059788966324215
64,65,17.877,17.879,17.932,17.966,18.032,18.042,17.904,17.893,970.594,964.081,18340.188,16938.908,19247.252,20721.547,949.216,923.104,C25H31NO6,442.2221,17.83,18.53,0.0,16/1,951.74875,2.215754936247936,18811.973749999997,8.44235948331063,19.76569315168525,1.066686084818416
65,66,31.756,31.752,31.75,31.758,31.762,31.76,31.752,31.744,7493.974,6181.233,1202.212,1006.527,825.555,1088.399,6407.679,6111.694,C50H75NO14,914.5269,31.74,0.14,0.0,1/4,6548.6449999999995,9.815218966601277,1030.6732499999998,15.383152434172867,0.15738725339364096,1.1241946670974352
66,67,27.246,27.263,27.25,27.264,27.264,27.28,27.246,27.243,327.216,318.425,1456.463,1566.85,1641.977,1738.235,320.098,322.261,C15H13ClFNO2,294.069,27.09,4.65,0.0,4/1,322.0,1.1849227657656425,1600.88125,7.440984458433123,4.971680900621117,1.0691786883056165
67,68,6.671,6.675,6.472,6.434,6.399,6.357,6.571,6.536,2797.827,2757.316,42441.796,41642.999,39449.79,39835.838,2758.483,2387.875,C17H19N3,266.1653,6.6,14.97,0.0,16/1,2675.37525,7.1985932204988705,40842.60575,3.506052502303654,15.266122294433277,1.0197810483923364
68,69,3.949,3.959,3.808,3.823,3.783,3.789,3.911,3.887,2439.768,2575.158,2988.572,3050.652,3239.318,3188.048,2761.735,2715.928,C19H24N2O4,345.1807,3.77,1.22,0.017,1/1,2623.14725,5.557024583879824,3116.6475,3.7466139388338244,1.1881328812174001,0.9738794108339346
69,70,5.567,5.518,5.335,5.301,5.234,5.218,5.446,5.422,37.443,33.026,32.723,38.452,21.629,37.913,37.031,32.706,C22H38O5,383.2803,5.52,1.0,0.978,1/1,35.051500000000004,7.225279153051361,32.679249999999996,23.888403531556335,0.9323210133660469,0.9323210133660469
70,71,31.135,31.197,31.161,31.165,31.162,31.172,31.131,31.168,33.912,49.641,48.716,52.103,51.869,71.703,61.869,45.754,C22H38O5,383.2789,31.23,1.41,0.032,1/1,47.794,24.111233102860947,56.09775,18.74855191733466,1.173740427668745,0.8324400196232236
71,72,0.692,0.705,0.69,0.689,0.686,0.689,0.701,0.686,164.682,148.534,472.793,463.066,493.071,526.08,171.764,153.004,C12H20N4O7,333.1403,0.52,4.76,0.0,4/1,159.496,6.671810406608411,488.75249999999994,5.697722764282918,3.0643558459146307,0.6437722365366871
72,73,18.846,18.85,19.105,19.162,19.201,19.236,18.927,18.984,6493.187,5782.426,6599.553,6784.909,6298.622,6982.616,5970.059,5167.625,C25H37NO4,416.2774,18.79,1.16,0.155,1/1,5853.324250000001,9.348418578787264,6666.424999999999,4.362778790295168,1.138912644383232,0.9818212451579588
73,74,5.345,5.38,5.24,5.217,5.123,5.286,5.314,5.228,139.81,127.196,156.434,162.51,189.818,118.406,164.745,148.165,C17H16FN3O2S,346.1019,5.43,1.08,0.613,1/1,144.97899999999998,10.860806305307126,156.79199999999997,18.765216009377106,1.0814807661799295,1.001371079796231
74,75,12.303,12.308,12.328,12.329,12.332,12.33,12.323,12.319,886.719,837.126,982.666,1067.701,1113.884,1124.484,888.92,842.942,C22H28F2O5,411.1975,12.38,1.14,0.038,1/1,863.92675,3.2069304215240146,1072.1837500000001,6.022263324782456,1.2410586314175365,1.0886479222960848
75,76,25.681,25.691,25.69,25.68,25.688,25.691,25.681,25.686,2947.885,3130.114,4016.796,4020.377,4166.261,3908.112,3385.033,3582.301,C22H28O2,325.2163,25.75,1.18,0.002,1/1,3261.3332499999997,8.559676782432152,4027.8865000000005,2.630279645990289,1.2350429076820042,1.046646531933902
76,77,4.602,4.577,4.451,4.405,4.382,4.358,4.533,4.492,26.032,26.25,36.848,42.903,52.605,72.572,34.547,27.542,C49H66N10O10S2,1019.4478,4.57,1.68,0.07,1/1,28.59275,14.077170526342137,51.232,30.52204591011246,1.7917828820242894,1.0665374297763628
77,78,29.548,29.546,29.559,29.559,29.555,29.557,29.551,29.553,8278.91,8208.601,8283.617,8539.179,9557.518,8548.457,7790.019,7833.02,C20H15BrN6O,435.0565,29.33,1.06,0.519,1/1,8027.6375,3.1367830348033277,8732.19275,6.455836427527552,1.087766201450925,1.026194529670684
78,79,26.478,26.494,26.628,26.674,26.691,26.71,26.537,26.56,10336.381,11051.16,11019.222,10827.65,11257.484,11647.107,9910.361,9187.499,C18H18ClNO5,364.0948,26.5,1.16,0.005,1/1,10121.35025,7.7110804726451025,11187.86575,3.155703428911422,1.1053728478569351,0.9529076274628752
79,80,0.698,0.689,0.685,0.701,0.692,0.696,0.678,0.696,15.06,16.42,54.62,60.061,53.788,60.086,16.726,17.334,C9H11NO5,214.071,0.52,3.06,0.0,4/1,16.385,5.86847387268748,57.13875,5.960495668968042,3.4872596887397007,1.13962734926134
80,81,5.243,5.236,5.114,5.08,5.066,5.05,5.182,5.167,260.101,213.957,198.5,192.93,242.17,279.074,246.643,252.017,C13H16N2,201.1385,5.27,1.04,0.768,1/1,243.17950000000002,8.327863821966385,228.1685,17.729527997720755,0.9382719349287254,0.9021845528160821
81,82,5.389,5.39,5.309,5.248,5.176,5.14,5.319,5.304,18832.762,18119.809,17805.793,19315.097,19547.422,19424.064,18329.848,17986.153,C27H36N2O5,469.2698,5.41,1.19,0.04,1/1,18317.142999999996,2.0293366435187843,19023.093999999997,4.295120025238587,1.0385404536067662,0.8727230702577867
82,83,13.118,13.13,13.14,13.142,13.136,13.172,13.135,13.136,6343.697,6893.749,8114.366,8039.207,6399.13,4984.764,6586.574,7021.922,C20H25NO2,312.1959,13.03,1.02,0.895,1/1,6711.4855,4.555727952058337,6884.36675,21.69225217660265,1.025759014155659,1.0056460923094694
83,84,15.203,15.213,15.202,15.19,15.22,15.229,15.224,15.199,1878.732,1885.652,3054.4,3109.334,2951.104,2540.477,1998.471,1958.056,C10H8F2N4O,239.0743,15.0,1.36,0.006,1/1,1930.22775,3.001603810561057,2913.8287499999997,8.833721920143688,1.5095776910263567,1.1099835963429092
