,Compound Name,/home/zzy/peakformer/resources/paper/qe-shift/SA1_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA2_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA3_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA4_Area,/home/zzy/peakformer/resources/paper/qe-shift/SA5_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB1_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB2_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB3_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB4_Area,/home/zzy/peakformer/resources/paper/qe-shift/SB5_Area,Compound formula,mz,RT,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
24,25,2924482.038,2888888.046,3042627.272,2997685.972,3402522.844,2814760.167,3086090.526,2832515.506,3215020.77,2873338.26,C25H27NO2,374.2121,19.34,0.98,0.716,1/1,3051241.2344000004,6.731905029567684,2964345.0458,5.980039005167432,0.9715210362195148,0.991347996142362
25,26,2234400.598,2299405.782,2207995.111,2153873.292,2203628.723,2088528.18,2093688.715,2175612.474,2157009.42,2209997.489,C22H21N3O3S,408.1383,27.0,1.01,0.711,1/1,2219860.7012,2.3940555670189476,2144967.2556000003,2.458988945605035,0.9662620967344868,0.9566951452816701
26,27,3028895.041,2967712.502,3621328.527,2920989.3,2780444.505,13892100.301,13535950.474,11974536.585,11836418.546,12095665.873,C19H24N2S,313.1736,12.18,4.12,0.0,4/1,3063873.975,10.60088620854272,12666934.3558,7.645657172380652,4.134287003694399,1.0034677193433008
27,28,1745975.528,1694176.174,2038314.866,1718146.796,1720539.256,81242.781,94567.488,81280.358,81580.239,82407.545,C24H30F2O6,453.2091,15.48,0.05,0.0,1/16,1783430.5240000002,8.055249137307667,84215.6822,6.893960793593417,0.04722117350056076,0.9444234700112151
28,29,127886.356,130986.408,134465.249,149935.872,133722.952,81535.061,75455.584,77993.523,67258.766,82025.171,C26H32F2O7,495.2201,25.98,0.45,0.0,1/2,135399.36740000002,6.29846227528823,76853.621,7.806396855954702,0.5676069428962487,1.2613487619916637
29,30,6165711.273,6000866.593,6489308.759,5923410.001,5718683.156,6991321.486,6796006.501,6024850.695,5943023.579,5835078.058,C21H23ClFNO2,376.1461,12.58,1.07,0.16,1/1,6059595.9564000005,4.769629233744721,6318056.0638,8.455617087731342,1.0426530265812557,0.9744420809170613
30,31,1972971.602,1950434.881,2024922.442,1853709.517,1672113.921,1771448.953,1873416.575,1862357.872,2051237.281,2083693.567,C26H28Cl2N4O4,531.1575,12.35,0.95,0.542,1/1,1894830.4726,7.34198226485707,1928430.8495999998,6.919543669259673,1.0177326560269504,1.0712975326599479
31,32,4292185.906,4502146.436,4057770.695,3866919.594,3956189.651,944380.356,944026.154,1063536.038,942384.618,977593.287,C18H34N2O6S,407.2218,3.22,0.26,0.0,1/4,4135042.4564000005,6.275019427586121,974384.0906,5.333783581844384,0.23564064961217018,0.9063101908160391
32,33,69159.355,64361.707,65820.753,66173.36,65544.654,32625.946,33354.838,32868.164,32364.776,33127.65,C22H32O3,345.2429,24.7,0.55,0.0,1/2,66211.96579999999,2.6922364092728017,32868.2748,1.1941882939108968,0.4964098921225505,0.902563440222819
33,34,1879406.933,2186669.248,1919944.621,1894123.656,1865574.287,3983164.718,4001709.33,4017130.321,4176613.038,4267829.879,C15H25NO3,268.1912,4.17,2.21,0.0,2/1,1949143.7490000003,6.890170657511105,4089289.4572000005,3.08456037969627,2.0979927515854038,0.9493179871427166
34,35,690695.007,766738.781,763124.806,763888.384,765319.491,3068805.49,3092680.23,3077410.153,3150082.147,3112652.972,C18H14Cl4N2O,416.9913,24.88,3.68,0.0,4/1,749953.2938,4.4209804505239445,3100326.1983999996,1.04576347154965,4.134025710708865,1.1233765518230612
35,36,9099883.93,9373259.932,10645435.924,9368676.367,9577718.972,2429303.863,2789467.327,2272763.908,2227697.903,2293149.31,C19H21N,264.1751,12.26,0.27,0.0,1/4,9612995.025,6.258056692644705,2402476.4622,9.532807097323225,0.24991966145327324,0.9256283757528638
36,37,423466.88,482559.948,429947.519,401916.591,411529.787,9461547.992,9562983.834,10708603.185,9990343.325,10324148.544,C16H18FN3O3,320.141,3.38,22.46,0.0,16/1,429884.145,7.296095449346055,10009525.375999998,5.209785880793664,23.284239468752673,1.0366981063558625
37,38,2772084.831,2827712.385,2579045.24,2545002.081,2543973.346,2635711.593,2577328.519,2470948.134,2345233.0,2407537.812,C22H23NO7,414.1554,5.02,0.8,0.032,1/1,2653563.5766000003,5.116159234300018,2487351.8115999997,4.796837826981569,0.937362810348427,1.1717035129355335
38,39,8091122.474,8137789.089,9459848.676,7837683.151,9087095.767,7873764.779,7931210.167,7696045.021,7941344.11,8012054.25,C18H23NO,270.1856,10.04,0.89,0.05,1/1,8522707.831400001,8.297679861369256,7890883.6654,1.5142592795202379,0.9258657954139661,1.0402986465325461
39,40,2469276.505,2317924.665,2332016.554,2347424.421,2417165.334,39389039.166,35478634.711,34601220.795,35012293.441,35315723.589,C16H24N2O,261.1965,6.81,12.59,0.0,16/1,2376761.4957999997,2.703568702334592,35959382.3404,5.41199663654622,15.129571227043272,1.2017133619573688
40,41,20746062.119,23531595.936,21137387.837,20699847.586,20699859.872,1432916.029,1523309.344,1609729.53,1634361.032,1727497.052,C20H21NO4,340.1549,4.82,0.12,0.0,1/4,21362950.669999998,5.739644197725298,1585562.5973999999,7.071558932131189,0.07422020590192188,0.618501715849349
41,42,4029115.362,4603879.682,4081020.912,4017897.591,3955829.369,209471.165,214835.435,216843.001,223204.915,229738.174,C11H11N5,214.1091,5.47,0.06,0.0,1/16,4137548.5832,6.3917040105873095,218818.538,3.581110717199385,0.05288603471352225,0.8814339118920375
42,43,3705157.143,3746812.869,4383619.871,3658924.527,4349310.63,14559512.907,14540897.12,14165368.473,14413769.042,14444904.468,C19H29NO,288.2324,9.72,3.43,0.0,4/1,3968765.008,9.186217465746301,14424890.401999999,1.0931365359393725,3.6346043096336427,1.0596514022255517
43,44,659607.874,788950.146,642062.665,645253.097,781749.595,365450.154,302256.586,305734.81,298475.636,304200.748,C21H30O2,315.2323,28.21,0.46,0.001,1/2,703524.6754000001,10.664986334170662,315223.5868,8.948737389934088,0.44806329873330264,0.9740506494202231
44,45,1171858.825,1366389.241,1131642.005,1162377.088,1148547.185,14444216.061,14661211.802,14515407.028,14771803.992,14572467.524,C17H23N3O,286.1917,4.19,9.21,0.0,16/1,1196162.8688,8.055583496683724,14593021.2814,0.8748978260268573,12.199861458699043,1.3246320802061935
45,46,412651.168,302556.742,324931.207,373750.637,335702.332,225262.904,201640.076,204546.913,206271.645,218396.522,C13H12N2O3S,277.0646,6.46,0.51,0.0,1/2,349918.4172,12.434719666635182,211223.61200000002,4.790190654349141,0.6036367382151042,1.1836014474805965
46,47,379465.676,375134.11,421833.989,368928.111,402359.491,83560.673,94684.758,88575.218,91427.852,96218.305,C18H14N4O5S,399.0764,11.55,0.24,0.0,1/4,389544.2754,5.655077286415567,90893.3612,5.559976682903437,0.23333255534731445,0.9722189806138103
47,48,5273057.802,5972466.693,5257704.37,5179082.319,5200330.25,273404.212,269561.795,281055.865,281136.03,282456.157,C13H24N4O3S,317.1647,3.81,0.06,0.0,1/16,5376528.2868,6.238405570369823,277522.81179999997,2.0559099580713576,0.051617474510708077,0.8602912418451346
48,49,15424.563,18397.337,12983.96,14383.672,18038.691,35313.608,35180.415,34146.158,32671.831,34579.415,C19H17NOS,308.1106,31.54,1.83,0.001,2/1,15845.6446,14.741179497529988,34378.28540000001,3.093670938117195,2.169573170914108,1.18555910978913
49,50,1568295.122,1580851.546,1488563.712,1532569.214,1582546.055,25894699.685,28362499.507,25822163.326,25873676.954,25770681.057,C21H24F3N3S,408.1721,16.69,15.01,0.0,16/1,1550565.1297999998,2.5842207745502828,26344744.1058,4.2854243312771,16.99041439761907,1.1319396667301178
50,51,17334470.264,17421927.995,17303466.836,16717958.19,19378388.966,4152053.228,5109328.309,4182043.755,4285248.838,4105160.865,C20H31NO,302.2482,11.46,0.26,0.0,1/4,17631242.4502,5.760340171121032,4366766.999,9.625627573048236,0.24767210883374052,0.9525850339759251
51,52,896538.013,1078906.675,900930.847,908827.159,904198.684,13112057.756,13228435.556,12867038.995,13133740.42,13267574.926,C16H21N3,256.1812,4.3,9.74,0.0,16/1,937880.2756,8.419439928432071,13121769.5306,1.1914145676409522,13.990879083372846,1.43643522416559
52,53,13142508.018,15202480.005,13568604.387,13416462.238,13538820.167,14001144.968,13910001.377,13832822.501,13982109.803,13875069.243,C19H22N2,279.186,5.24,0.99,0.883,1/1,13773774.963,5.925684241836152,13920229.5784,0.5100051912457305,1.0106328596040968,1.0208412723273705
53,54,4705366.903,4435209.478,4467195.82,4536091.527,5471617.352,16774875.403,16937876.05,16781130.771,17222138.055,17309223.47,C16H24N2,245.2016,9.63,3.41,0.0,4/1,4723096.216,9.130825717512783,17005048.749800004,1.4621357585633972,3.600402780742336,1.0558365925930604
54,55,5172333.681,4712327.72,4945713.858,4999909.627,4967156.617,309061.292,259195.244,254339.716,264010.026,268651.235,C10H13NO2,180.1022,5.88,0.05,0.0,1/16,4959488.3006,3.317378957802175,271051.50260000007,8.082808514742542,0.054653118662908874,1.0930623732581775
55,56,976706.202,1048446.37,960892.806,949572.296,940373.868,1876367.988,1918037.517,1913349.978,1954250.33,2042291.541,C21H26N2O3,355.2022,4.54,1.99,0.0,2/1,975198.3084000001,4.422941684529545,1940859.4708,3.2489014590121523,1.9902203009194634,1.00011070397963
56,57,9445133.237,10032879.674,9006914.213,8977285.952,8851851.526,511119.533,507588.902,505036.255,495325.332,499552.128,C18H28N2O4,337.2127,3.67,0.06,0.0,1/16,9262812.9204,5.239446679583203,503724.43,1.2527914548309702,0.054381367121279126,0.9063561186879855
57,58,1501603.604,1579549.178,1461094.045,1458855.932,1418380.465,1536366.791,1491056.64,1520919.465,1560741.219,1595453.965,C19H19NOS,310.1264,5.46,1.11,0.134,1/1,1483896.6448,4.113326052677537,1540907.616,2.570180477540529,1.0384197722932946,0.9355133083723374
58,59,1645253.676,1958216.638,1829790.659,1814164.585,1803620.186,792736.977,860730.633,893201.79,916827.622,889180.811,C18H19ClN4,327.1377,4.98,0.48,0.0,1/2,1810209.1488,6.148973270264422,870535.5665999999,5.495002978113554,0.48090330732063963,1.0018818902513327
59,60,9231977.654,9464564.252,8444317.922,8611487.185,8584360.348,377506.636,418173.301,384618.351,445563.592,454474.495,C21H21NO6,384.1448,4.12,0.05,0.0,1/16,8867341.4722,5.087701820926,416067.275,8.347941938287153,0.046921309651197306,0.938426193023946
60,61,3695439.716,4135917.818,3699547.058,3649289.759,3772187.004,1739977.313,1718309.059,1975450.178,1662081.014,1598119.009,C14H22N2O,235.1808,3.59,0.53,0.001,1/2,3790476.271,5.2249845204415255,1738787.3145999997,8.239467139336096,0.4587252868202956,0.8655194090948973
61,62,3894304.301,4017086.631,3810206.634,3733266.105,3731152.647,3925646.168,3891436.763,4372412.934,3912361.438,3947922.291,C13H10N2,195.092,3.47,1.03,0.396,1/1,3837203.2636,3.1488401258345635,4009955.9188,5.0787560189952385,1.045020459780889,1.0145829706610572
62,63,6547939.626,6497694.864,7169189.287,6477801.94,6607371.86,1560536.062,1649031.242,1548794.499,1611090.548,1673583.544,C22H26F3N3OS,438.1831,15.79,0.29,0.0,1/4,6659999.5154,4.339703771967658,1608607.179,3.369378648734428,0.24153262703404071,0.8328711277035887
63,64,183243.753,221588.91,174603.908,177503.426,217639.39,449103.0,390814.425,366222.781,366597.157,362662.061,C20H21ClO4,361.1206,31.63,1.87,0.001,2/1,194915.8774,11.698638538115182,387079.8848,9.41417511081197,1.9858817555721604,1.0619688532471445
64,65,25162.133,31122.958,24752.346,24746.11,31672.353,139285.056,111357.57,114992.998,117284.559,116589.575,C15H15NO2,242.1179,28.54,4.48,0.0,4/1,27491.18,13.005518899173927,119901.9516,9.236799381000795,4.361469809589839,0.9735423682120176
65,66,2371395.704,2318953.355,2735330.859,2264728.635,2114582.92,1173546.711,1113478.149,944872.45,956867.813,953240.58,C25H35NO5,430.2596,12.4,0.45,0.001,1/2,2360998.2945999997,9.750595346068156,1028401.1405999999,10.433144261897318,0.43557894258209606,0.9679532057379913
66,67,4013736.444,4508121.463,3829913.747,3912321.353,3874275.483,8038629.404,8180665.516,8216681.126,8194498.099,8207425.277,C12H21N,180.1749,5.13,2.03,0.0,2/1,4027673.6980000003,6.878029421555587,8167579.8844,0.8980993057367749,2.027865337863822,0.9989484422974494
67,68,398254.179,389855.1,427499.031,389010.845,379135.202,1579503.879,1782997.359,1649042.466,1707894.762,1718992.357,C24H26BrN3O3,484.1241,14.2,4.2,0.0,4/1,396750.8714,4.656878458969219,1687686.1646000003,4.557978006259373,4.253768009745574,1.0128019070822796
68,69,8269680.258,8281251.731,8980683.387,8166705.061,7719980.781,2735498.734,2577563.967,2307098.626,2375470.951,2497573.118,C26H29N3O6,480.214,12.53,0.37,0.0,1/2,8283660.243600001,5.457324786082913,2498641.0792000005,6.762104573663725,0.3016349060344989,0.8152294757689159
69,70,5158420.923,5564709.757,5078328.139,5017363.437,4971817.175,278925.849,291433.998,300927.123,313066.064,313253.134,C17H19NO,254.1543,5.53,0.06,0.0,1/16,5158127.8862000005,4.610279813108434,299521.23360000004,4.905609737283653,0.05806781844268265,0.9677969740447109
70,71,615980.148,630115.885,570447.978,577252.845,567712.82,1200643.523,1257629.226,1252293.629,1287015.266,1324813.176,C10H9ClN4O2S,285.0211,4.73,2.0,0.0,2/1,592301.9352,4.848800486729282,1264478.964,3.6280636630867757,2.134855364895995,1.0674276824479976
71,72,6889193.725,7343472.221,7463019.07,7219568.378,7295920.965,530446.796,492514.852,484931.777,458176.118,430200.56,C12H14N4O4S,311.0813,6.9,0.08,0.0,1/16,7242234.8718,2.985736687080217,479254.02060000005,7.862341515091292,0.06617487958946645,0.8271859948683307
72,73,1054777.473,1071795.106,1001747.627,1010911.356,1098906.597,19386098.669,17525197.526,18089085.977,17903374.737,18260144.085,C18H15Cl3N2S,397.0101,22.36,14.57,0.0,16/1,1047627.6318,3.911793473655422,18232780.198800005,3.8399455279817216,17.403874855298568,1.194500676410334
73,74,7425982.845,7841098.239,7774444.064,8904755.895,7577209.285,13902871.028,13912007.999,13520676.815,13244074.445,13230608.24,C20H35NOS,338.2515,25.73,1.72,0.0,2/1,7904698.065599998,7.3699010125832105,13562047.7054,2.4767321597693552,1.7156945898313176,0.9974968545530917
74,75,4821.826,9333.842,6659.659,6321.697,8581.117,30107.801,17133.174,20005.298,18547.6,20148.908,C25H28O3,377.2121,31.73,2.91,0.004,4/1,7143.628200000001,25.394791652047576,21188.5562,24.232685693276974,2.966077685845968,1.0192706824212947
75,76,306754.514,310329.782,295661.386,300099.683,324067.507,5317741.213,4636624.209,5032228.449,5004435.905,5513176.27,C18H15Cl3N2O,381.0328,21.77,15.15,0.0,16/1,307382.5744,3.5559582685283635,5100841.2092,6.5504405216134165,16.59443844257165,1.0953424714568747
76,77,2851642.159,2837803.183,3209057.921,2789352.674,2869737.476,11146095.867,12752758.026,11084993.331,10556586.873,10937309.101,C14H21N3O3S,312.1379,16.03,4.02,0.0,4/1,2911518.6826,5.80389505349354,11295548.6396,7.4918535675812885,3.879607129813442,0.965076400451105
77,78,257940.847,267983.077,240480.6,239360.301,245190.711,1101673.086,1126357.397,1147556.275,1157067.856,1228506.199,C17H13N3O5S2,404.0377,4.96,4.15,0.0,4/1,250191.10719999997,4.948860410452779,1152232.1626,4.136955980913096,4.605408143779141,1.1097369021154557
78,79,26868491.009,27614781.874,26810138.475,26577516.127,30777921.506,8696439.712,8513738.966,7369377.469,6563550.539,7078562.011,C23H31NO2,354.2431,20.1,0.31,0.0,1/4,27729769.798200004,6.3030876394505775,7644333.739399999,12.107682255584807,0.27567245581303773,0.8892659864936701
79,80,8570740.892,8305791.487,8819249.665,8403945.646,9695226.884,15125801.679,17921049.228,14642582.009,14518564.485,14982579.699,C21H25NO2,324.1962,10.37,1.69,0.005,2/1,8758990.9148,6.374682087165018,15438115.419999998,9.130976504524769,1.7625449746630442,1.042926020510677
80,81,20382.088,26044.064,23106.18,22952.65,27011.04,4952.286,3608.923,4234.158,4338.86,4032.49,C32H47F5O3S,607.3258,31.43,0.22,0.0,1/4,23899.2044,11.1057683651322,4233.3434,11.561847434030676,0.17713323544778753,0.805151070217216
81,82,2407194.875,2336000.934,2459157.082,2263988.975,2233034.854,832101.679,1041726.002,1043142.252,993504.303,1069767.275,C25H32ClN5O2,470.233,16.51,0.41,0.0,1/2,2339875.344,4.0515280092143335,996048.3022,9.606628348445865,0.425684344575922,1.0382544989656635
82,83,343660.368,324006.292,308212.633,302052.835,293551.48,1363825.976,1343703.466,1307379.913,1343038.154,1376946.577,C23H27FN4O3,427.2148,4.56,3.68,0.0,4/1,314296.7216,6.311084823232138,1346978.8172,1.955854032866902,4.285691592145453,1.1645901065612643
83,84,1046642.279,1017832.854,911987.715,892762.144,883210.767,970958.495,954375.959,1056559.853,958914.381,943722.748,C19H28N2O4,349.2128,3.51,1.15,0.136,1/1,950487.1517999999,7.998970183984149,976906.2871999999,4.666421159385497,1.0277953629883039,0.8937350982506991
84,85,3074620.599,3110814.121,3767810.226,3186341.382,3573586.129,6108157.645,6925148.065,5997923.573,5876976.174,5782725.943,C19H21NS,296.147,11.56,1.69,0.003,2/1,3342634.4913999997,9.27065597012158,6138186.279999999,7.441055008286917,1.8363318800761657,1.086586911287672
85,86,7307621.523,7502926.645,7418763.478,7514595.234,8798136.689,16366606.104,13483579.192,14286914.956,13695140.569,14197856.699,C21H35NO,318.2795,21.48,1.73,0.003,2/1,7708408.7138,7.975447774070537,14406019.503999999,7.958337559331799,1.8688707408845073,1.0802721045575188
86,87,804596.054,1119400.671,894632.854,884860.214,1064686.42,229353.138,189270.176,191733.175,190334.304,181352.804,C50H75NO14,914.5281,31.9,0.21,0.0,1/4,953635.2425999999,13.89514177268538,196408.7194,9.598830328498419,0.20595790783120543,0.9807519420533592
87,88,414186.316,512877.539,403046.806,397106.051,402252.989,1874265.926,1890941.788,1858669.408,1837399.87,1852876.768,C15H13ClFNO2,294.0696,27.18,4.29,0.0,4/1,425893.94019999995,11.510507756962571,1862830.7519999999,1.101497120066943,4.373931103892236,1.0195643598816402
88,89,1546232.605,1413045.072,1439614.242,1447287.868,1459595.042,27710336.049,24649734.49,24421238.41,24398470.909,24698449.804,C17H19N3,266.1656,6.6,16.85,0.0,16/1,1461154.9658,3.4579481586123393,25175645.932400003,5.653114369808502,17.22996295510383,1.0225497302732243
89,90,1737571.448,1845600.76,1635492.281,1603606.302,1569045.651,1435859.572,1543364.216,1601500.521,1660608.289,1734969.882,C19H24N2O4,345.1816,3.96,1.05,0.377,1/1,1678263.2884,6.718291176310277,1595260.4959999998,7.142446266334761,0.9505424488674049,0.9052785227308617
90,91,22072.681,21999.104,17356.447,18329.257,22218.873,22934.452,17591.46,16934.444,17535.54,17635.105,C22H38O5,383.2796,31.08,0.83,0.048,1/1,20395.272399999998,11.554669662848733,18526.2002,13.390247158769562,0.9083575760429657,1.094406718124055
91,92,357694.768,412574.724,392353.361,400176.096,382355.576,354543.453,364706.934,359801.913,373041.121,362271.479,C12H20N4O7,333.1409,0.69,0.95,0.314,1/1,389030.90499999997,5.3242020426351955,362872.98000000004,1.8788350495050934,0.9327613187954825,0.9818540197847185
92,93,764898.188,904254.801,786596.719,787177.095,785417.827,790294.762,794423.999,942166.806,828339.347,838548.994,C16H26N2O5S,359.1641,3.75,1.07,0.394,1/1,805668.9260000001,6.937776455435936,838754.7816,7.329186399473793,1.0410663171090204,0.9729591748682433
93,94,3048046.289,3013525.036,2977388.961,3011491.29,3205991.715,2814591.528,3259895.131,2875291.014,3148579.459,2785527.944,C25H37NO4,416.2781,18.82,1.09,0.262,1/1,3051288.6581999995,2.9502395578125484,2976777.0152,7.182459669763119,0.9755802707161914,0.895027771299258
94,95,430218.772,457272.592,413704.778,413611.055,415779.05,411597.937,403694.345,421709.271,410914.276,435898.569,C17H16FN3O2S,346.1026,5.38,1.07,0.018,1/1,426117.2494,4.397976092600472,416762.8796,2.992847855436336,0.9780474275257067,0.9140630163791651
