Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
21,286.1914,4.34,908188.738208086,904359.6280629522,1087361.4210992863,928312.2792141729,4.34,14173500.852669029,13460403.05292577,13236423.660837851,8543813.979906674,C17H23N3O,286.1914,4.34,14.44,0.0,16/1,957055.5166461242,9.142997713851214,12353535.38658483,20.812263361303533,12.90785662035174,0.8938958878359932
23,277.0641,6.49,168451.4984444306,150164.07228896773,178075.18697463063,199766.5363086098,6.49,117360.18046375236,119402.0822367092,118206.70122844136,103089.70123289835,C13H12N2O3S,277.0641,6.49,0.47,0.0,1/2,174114.3235041597,11.860668375341147,114514.66629045032,6.691339925698853,0.6576981375556646,1.3993577394801375
24,399.0755,11.79,566129.8148007633,734971.3312704915,84173.84624895845,181171.14440635915,11.79,187398.1353118589,189290.38420850705,185758.3165379389,111136.78170572726,C18H14N4O5S,399.0755,11.79,0.27,0.0,1/4,391611.5341816431,79.002820441445,168395.90444100802,22.68464900723917,0.430007519550995,1.5926204427814628
25,371.1612,18.82,2022355.020160587,2394060.953755972,5611.300262446602,69043.24904524535,18.82,971813.4320740174,138159.13283906592,1297167.6488441187,26584.19709835812,C21H26N2S2,371.1612,18.82,0.55,0.0,1/2,1122767.6308060626,112.4700250332994,608431.10271389,102.47007063406448,0.5419029601673521,0.9852781093951855
26,317.1642,3.86,9370395.73904276,9250863.317427311,8645706.694721378,8243237.894442335,3.86,508.7262100854093,324.2869907169488,357.8549606578769,238.71941880946605,C13H24N4O3S,317.1642,3.86,0.06,0.0,1/16,8877550.911408447,5.954732161721722,357.3968950674253,31.524262818529696,4.025850131798606e-05,0.0006709750219664343
27,408.1716,16.88,3979038.3692816114,2952156.7097111205,4255699.287531666,4229097.728941212,16.88,54879949.22502285,32114062.820639648,74297294.8145677,11606349.885937368,C21H24F3N3S,408.1716,16.88,16.61,0.0,16/1,3853998.023866403,15.931708905569606,43224414.18654189,62.99820145240638,11.215473884228501,0.6752241953177905
28,302.248,11.25,28336050.99744774,29410802.17069764,10200797.517755382,17641296.284982856,11.25,7746450.08155076,4938180.60206748,8466605.995414367,1130795.9161376134,C20H31NO,302.248,11.25,0.27,0.0,1/4,21397236.742720906,42.819036592311036,5570508.148792556,59.748809974695114,0.26033773499690693,0.9642138333218775
29,256.1808,4.24,500943.8372939338,535438.4033028212,462064.6668791676,548258.3324206023,4.24,9632361.873305297,9185551.489017934,9010325.99551711,5897984.504110051,C16H21N3,256.1808,4.24,15.22,0.0,16/1,511676.3099741312,7.551846246350062,8431555.9654876,20.27182364301977,16.478300443328855,1.082674142137244
30,279.1856,4.92,7355336.966126837,6045874.0515464265,10534905.837089349,10588973.884346033,4.92,8826536.556500597,4743636.983350612,10616913.797342544,1846049.764438062,C19H22N2,279.1856,4.92,1.01,0.828,1/1,8631272.684777161,26.56211393061766,6508284.275407954,60.88479608998525,0.7540352985124097,0.7465696024875343
31,245.2014,9.51,1441430.6352381238,1675669.2646864215,19651.86789619622,159179.01228790928,9.51,6394476.056948444,2683430.844388469,4352407.62160953,522091.9121665076,C16H24N2,245.2014,9.51,3.89,0.0,4/1,823982.6950271628,103.8222352863766,3488101.608778238,71.45927220631332,4.2332219230201815,1.0882318568175273
32,180.1017,5.78,5688978.723857956,5427079.874928207,5811832.537743367,5525803.4126371415,5.78,245.47205653165616,209.49620105120573,159.6852717708938,102.5546074426936,C10H13NO2,180.1017,5.78,0.07,0.0,1/16,5613423.637291668,3.041976979982972,179.3020341991123,34.62818162177497,3.194165375439594e-05,0.0004563093393485134
33,355.2015,4.19,2393165.710377865,2513547.8742710017,2015341.662352145,1890033.26902609,4.19,2510076.5074318373,3028125.9889357653,1734772.0392801869,3323827.066655829,C21H26N2O3,355.2015,4.19,1.91,0.001,2/1,2203022.129006775,13.510483144540112,2649200.4005759046,26.281047259336297,1.2025300906851477,0.6295969061178784
34,337.2121,3.96,17296521.898084465,15976594.16598999,17662497.311106417,16958985.50178314,3.96,103874.93356733222,86876.08523339678,89458.52951487838,42966.2781210064,C18H28N2O4,337.2121,3.96,0.07,0.0,1/16,16973649.719241,4.266200230407006,80793.95660915344,32.55713066375285,0.004759963705246431,0.06799948150352043
35,310.1261,5.79,4341593.625391413,3513718.210195478,3058424.7469723914,3227317.2788691698,5.79,1825184.7729176136,998115.2822017884,3284558.4375356687,436487.4169228489,C19H19NOS,310.1261,5.79,1.08,0.436,1/1,3535263.4653571136,16.107864648200753,1636086.4773944798,75.67932424266047,0.4627905369506063,0.4285097564357465
36,327.1369,5.37,3331914.2592870886,3509020.453160231,1663271.3101447984,2569935.6328730094,5.37,1792339.0889556182,1236126.448379617,1710121.8473708262,322415.8905858578,C18H19ClN4,327.1369,5.37,0.49,0.0,1/2,2768535.413866282,30.41228021846335,1265250.8188229797,53.32262159178028,0.45701088470313145,0.9326752749043499
37,384.144,4.1,24544016.85690656,24962581.29000948,24552286.998724397,25708775.902762663,4.1,713038.4263340435,757829.6125675528,532587.8469978897,766017.688521265,C21H21NO6,384.144,4.1,0.06,0.0,1/16,24941915.262100775,2.1943272448504114,692368.3936051878,15.748244935987776,0.0277592312510676,0.46265385418446003
38,235.1802,3.41,8998.446625455425,8547.416274925154,7274.026780995834,8225.21669297218,3.41,184093.37043498992,200000.095712716,201871.74695435737,228958.99731151373,C14H22N2O,235.1802,3.41,0.46,0.002,1/2,8261.276593587148,8.843473466485115,203731.05260339426,9.136651074652384,24.660964960493075,53.610793392376245
39,195.0917,3.59,5012427.352718134,4968452.476520705,4245202.703311965,3680407.245401709,3.59,3891033.929229031,4345976.876248441,3211482.367325708,4661729.765673101,C13H10N2,195.0917,3.59,0.86,0.09,1/1,4476622.444488129,14.224745365919066,4027555.7346190703,15.62569778279853,0.8996862667250451,1.0461468217733083
40,438.182,15.79,18881874.45208582,14407081.881129203,21549748.28993501,17979258.818296116,15.79,5138548.15298305,4636009.084737038,4654201.458922482,4141829.7688154113,C22H26F3N3OS,438.182,15.79,0.28,0.0,1/4,18204490.86036154,16.20887019060936,4642647.116364496,8.766254219884791,0.2550275727003932,0.9108127596442614
42,242.1175,25.46,125317.74049873716,106695.62769457736,103223.333774927,96842.18978552624,25.46,126665.55721748403,108854.4737841723,104110.8618191484,100183.37643889598,C15H15NO2,242.1175,25.46,1.32,0.133,1/1,108019.72293844195,11.324510892146385,109953.56731492518,10.633370237987885,1.017902697061955,0.7711384068651174
43,430.2586,12.2,764824.3468688567,2540469.4872664693,4779.418698899332,20650.2985821023,12.2,3464081.678274931,3463937.614130264,3307600.6439292463,3151500.260965816,C25H35NO5,430.2586,12.2,0.51,0.0,1/2,832680.8878540819,143.2086375170217,3346780.0493250648,4.47044436755018,4.019282894735481,7.880946852422511
44,180.1747,5.4,1649941.9437952358,1778302.6747490985,616307.7111881967,683506.1238176186,5.4,2594914.745908843,1452072.8659806296,3623476.7057757056,845061.9514402644,C12H21N,180.1747,5.4,2.32,0.001,2/1,1182014.6133875374,52.22148610464008,2128881.5672763605,57.894856624046874,1.801061969255351,0.776319814334203
45,484.1226,13.99,219360.8326967234,511468.6903480309,2756.6600917225373,9991.308953640942,13.99,3170381.7931698663,2635696.089578076,2862694.0654953253,1779010.0602146303,C24H26BrN3O3,484.1226,13.99,4.93,0.001,4/1,185894.37302252944,128.65649241574084,2611945.502114475,22.854863517348633,14.050696961106619,2.8500399515429247
46,480.2131,12.87,11484981.292240577,10454130.564587714,722216.5555973755,2508857.3650265425,12.87,1564434.3472062452,302150.8331402702,1357654.09742979,35064.035685945535,C26H29N3O6,480.2131,12.87,0.28,0.0,1/4,6292546.444363052,86.86155994423488,814825.8283655627,93.12708668657166,0.12949063396989222,0.46246654989247216
47,254.1539,5.24,6567595.131857438,4770830.817363928,8164659.736683668,8157415.842408684,5.24,342675.5720557648,368350.77178677387,220424.79577718943,311120.9450250029,C17H19NO,254.1539,5.24,0.06,0.0,1/16,6915125.382078429,23.35269622957431,310643.0211611827,20.775919101315786,0.04492225433341528,0.7487042388902547
48,285.0206,4.69,230853.87243309963,254060.7246053551,296043.7194396419,245788.2035457639,4.69,576710.0521487488,653133.226834167,544842.7077009357,827596.915385132,C10H9ClN4O2S,285.0206,4.69,2.63,0.005,2/1,256686.63000596513,10.884988815933863,650570.7255172459,19.438774097436237,2.5344940073510154,0.9636859343539983
49,311.0809,7.24,5583581.279809391,6087705.833419503,6072979.286226522,5744199.096108479,7.24,197612.71248717164,306624.9784383217,186069.32600468904,330536.6861894472,C12H14N4O4S,311.0809,7.24,0.05,0.0,1/16,5872116.373890974,4.24535810767862,255210.92577990738,28.98458155769524,0.0434614897815453,0.869229795630906
50,397.0093,22.45,181994.6175071992,1100761.5135232832,474.9143937378433,2915.507901905596,22.45,39596287.53072568,34228394.256750375,36010590.62380295,12416073.48767946,C18H15Cl3N2S,397.0093,22.45,15.95,0.0,16/1,321536.6383315315,163.71114463824523,30562836.47473962,40.25171999482972,95.05242274513907,5.959399545149785
51,338.2514,25.64,13008665.200498745,8533952.37059222,17201414.350305505,18036996.805385184,25.64,7779953.83895781,3578547.732390387,21664547.273901235,1328921.8582541822,C20H35NOS,338.2514,25.64,1.8,0.001,2/1,14195257.181695413,30.775153398228657,8587992.675875904,106.17661818971351,0.6049902841457498,0.33610571341430545
52,377.2109,31.67,1325133.8980129291,1110705.5706330675,1239255.5750618614,1129850.6354626364,31.67,357.12350852804883,593.3783250231261,1430.1750659181102,1124.066480563279,C25H28O3,377.2109,31.67,0.14,0.0,1/4,1201236.4197926235,8.336929764641546,876.1858450081411,55.82531122967116,0.0007294033302448507,0.005210023787463218
53,381.0322,21.86,150198.63420853828,95860.87781358052,1161.0921985006626,13767.294974485349,21.86,1373946.598047807,214845.99967697865,6204916.770327531,79776.47230765046,C18H15Cl3N2O,381.0322,21.86,19.29,0.0,16/1,65246.9747987762,108.05244777440271,1968371.4600899918,146.49043384135484,30.168011101825236,1.5639197046047297
54,312.1378,16.4,461204.5315894131,417073.296376388,322060.61064141046,527151.3801452948,16.4,14944579.553707603,14219711.888317505,14159475.628103347,13761560.865855834,C14H21N3O3S,312.1378,16.4,5.18,0.0,4/1,431872.4546881266,19.925892533068886,14271331.983996073,3.4524835443980577,33.04524710727848,6.379391333451444
55,404.0368,5.27,261124.67612262265,271584.5666652063,283268.95413352986,265210.381045603,5.27,1400458.3300993526,1544383.041394831,1266771.5335629047,1438133.234132999,C17H13N3O5S2,404.0368,5.27,5.25,0.0,4/1,270297.14449174044,3.5737670143317857,1412436.5347975218,8.116983673440751,5.225495583586093,0.9953324921116368
56,354.2429,20.27,66849734.36802141,68727849.80107483,48630686.51134397,60417893.8732159,20.27,1994255.9910718545,345790.1364268034,9346014.164088566,119582.69291201187,C23H31NO2,354.2429,20.27,0.28,0.0,1/4,61156541.138414025,14.842359422616145,2951410.746124809,147.18982953276677,0.04825993575151605,0.17235691339827158
57,324.196,10.39,285.45485362155773,350.29573348663223,1645.672023932981,1468.2527459500875,10.39,37607522.518875,39136357.68050953,39512376.18350947,37862867.90119211,C21H25NO2,324.196,10.39,1.97,0.001,2/1,937.4188392478146,76.75669758701717,38529781.07102153,2.4295089004990817,41101.99140219738,20863.955026496133
60,427.2136,4.55,641389.4496487897,567523.6385670655,616365.6368529912,519698.065068849,4.55,2572057.803399428,2674805.248881828,1963008.3509793165,2559369.350268437,C23H27FN4O3,427.2136,4.55,3.79,0.0,4/1,586244.1975344238,9.20019349454275,2442310.188382252,13.253347722244246,4.166028761826409,1.0992160321441713
61,349.2121,3.6,2104476.16091694,1957231.2828325368,2312281.495768483,2008466.6288090767,3.6,1937188.2453459424,2020414.4904831408,1629618.806665714,1876059.8932818077,C19H28N2O4,349.2121,3.6,1.25,0.055,1/1,2095613.8920817592,7.482753997785485,1865820.358944151,9.01559915292792,0.8903454810994148,0.7122763848795318
62,400.1475,3.98,1998484.374828444,1653171.8499874992,1606068.7739485265,1728816.797393079,3.98,522211.2725844992,653789.6526324807,453468.9313989811,759233.1743029805,C21H19F2N3O3,400.1475,3.98,0.35,0.001,1/2,1746635.4490393873,10.0391357414176,597175.7577297353,22.825328906061916,0.34190062846724506,0.9768589384778431
63,296.1469,11.82,1665849.2466681488,894945.1473024238,304465.013173791,907747.9982253358,11.82,6768251.202851687,1390685.5416849554,14335548.753499608,303898.5661509082,C19H21NS,296.1469,11.82,2.06,0.001,2/1,943251.8513424249,59.14747940200725,5699596.0160467895,112.52689473594441,6.04249650603409,2.9332507310845095
64,318.2793,21.38,6496210.982519187,14246595.969048234,78737.88205589095,277587.92911496526,21.38,27074850.59123788,14603941.556541506,33053013.757669494,1370188.9544731656,C21H35NO,318.2793,21.38,1.84,0.004,2/1,5274783.190684568,126.68234681180503,19025498.714980513,73.88665105524295,3.6068778615546013,1.960259707366631
65,442.2221,17.83,876355.6472374436,795199.1297366366,850524.6574124482,810675.9309948194,17.83,17312502.365464963,18863620.675371982,17000627.94429143,17087866.72835821,C25H31NO6,442.2221,17.83,18.53,0.0,16/1,833188.8413453369,4.444527411252667,17566154.428371646,4.980586899779823,21.083040910639003,1.1377787863269833
66,914.5269,31.74,5346794.663628023,6375416.293646764,5298348.95271788,2939007.023367875,31.74,1296362.40177841,932700.996926609,1487216.3432558412,1534438.0907009388,C50H75NO14,914.5269,31.74,0.14,0.0,1/4,4989891.733340135,29.15265170413631,1312679.4581654496,20.829820867054334,0.26306772337258066,1.8790551669470046
67,294.069,27.09,209818.82875869103,221924.51918938177,223921.8857273759,255011.6502881178,27.09,1592261.79372363,1336350.945362765,1496181.8649330435,1377028.0921453729,C15H13ClFNO2,294.069,27.09,4.65,0.0,4/1,227669.22099089163,8.461337581170081,1450455.674041203,8.021556979044208,6.370890486330743,1.3700839755549983
68,266.1653,6.6,420870.3383817442,180346.4240972949,437158.63231964665,472252.7848760677,6.6,25046324.82041179,16677611.60372348,33428092.75324669,8537362.899096446,C17H19N3,266.1653,6.6,14.97,0.0,16/1,377657.04491868836,35.290281132272334,20922348.0191196,51.240889498361874,55.40039117666744,3.7007609336451193
69,345.1807,3.77,2761762.773054219,2802011.6350235445,2368282.5897733388,2379187.317939901,3.77,158347.45662460988,159689.94967806025,142943.404451188,169746.65302386857,C19H24N2O4,345.1807,3.77,1.22,0.017,1/1,2577811.078947751,9.165176849893445,157681.8659444317,7.016855173237657,0.061168899161065216,0.05013844193529936
71,383.2789,31.23,1866.9790460512631,991.2311685609018,2654.2981863055484,1971.8142062952052,31.23,71470.74816968184,68512.73915934142,62472.06995892779,91577.038069434,C22H38O5,383.2789,31.23,1.41,0.032,1/1,1871.0806518032296,36.48029451939369,73508.14883934625,17.160827748649456,39.28646729819141,27.86274276467476
72,333.1403,0.52,162704.67891794324,159350.33066539894,168113.21740542245,153875.71487572562,0.52,432817.0732554191,471426.7168877048,450805.1864556493,499366.9401302668,C12H20N4O7,333.1403,0.52,4.76,0.0,4/1,161010.98546612257,3.7088176372181807,463603.97918226,6.166477532803556,2.879331356429741,0.604901545468433
73,416.2774,18.79,6643212.887184504,4967171.668689495,8274966.498908131,6461599.701268066,18.79,708719.5249610245,175652.73840082344,2318428.8293557907,60751.8159524806,C25H37NO4,416.2774,18.79,1.16,0.155,1/1,6586737.689012549,20.541524416129214,815888.2271675299,127.55573631795099,0.12386833447588586,0.10678304696197057
74,346.1019,5.43,13451.570792245957,3561.2081552940044,46344.41520560629,39454.16010142345,5.43,147070.89602334445,89337.51406413328,168833.2512488433,64238.1825863855,C17H16FN3O2S,346.1019,5.43,1.08,0.613,1/1,25702.838563642425,79.59209014112386,117369.96098067664,41.56366831137364,4.566420190908431,4.2281668434337325
75,411.1975,12.38,765372.4979089898,776642.7856266529,812070.9669335048,750668.0734725804,12.38,933209.6560219344,887097.3999382922,882096.1799403044,881628.3085133468,C22H28F2O5,411.1975,12.38,1.14,0.038,1/1,776188.5809854319,3.3727757605537256,896007.8861034694,2.781715933568661,1.154368806825163,1.012604216513301
76,325.2163,25.75,2783608.0382465776,2879229.3961412683,2342930.8401964414,2583485.3119679056,25.75,2639810.3109221244,2713917.2207733863,2778478.5707397684,2622187.2307512783,C22H28O2,325.2163,25.75,1.18,0.002,1/1,2647313.3966380483,8.967787409211098,2688598.3332966394,2.6743747914134346,1.015595031820192,0.8606737557798239
77,1019.4478,4.57,58967.5591969697,47981.36434106948,47538.09446764765,44517.0495019375,4.57,76542.43396749659,78201.7929478621,62797.51037648301,61255.76120620126,C49H66N10O10S2,1019.4478,4.57,1.68,0.07,1/1,49751.01687690608,12.731879059048993,69699.37462451075,12.780374954250092,1.4009638194322918,0.8339070353763641
79,364.0948,26.5,7580498.519504186,5660411.023695532,8722243.773858111,9057661.55064248,26.5,10058743.514668329,10927728.853188893,9246213.64820784,9054510.598586917,C18H18ClNO5,364.0948,26.5,1.16,0.005,1/1,7755203.716925077,19.76733626235503,9821799.153662995,8.717379897429336,1.266478549393583,1.0917918529255026
80,214.071,0.52,14334.224767269916,11668.60961216556,12613.193951249925,12329.75089660467,0.52,45.03003021419664,127.80323941060718,65.60050555770442,31.159550463163605,C9H11NO5,214.071,0.52,3.06,0.0,4/1,12736.444806822517,8.9219073078855,67.39833141141796,63.3298072375142,0.005291769597691403,0.0017293364698337918
81,201.1385,5.27,165451.28908234788,121690.670036925,207184.18473782545,199889.31617649185,5.27,160054.6777332454,131229.63648191254,168043.71415229008,87189.17425318503,C13H16N2,201.1385,5.27,1.04,0.768,1/1,173553.86500839755,22.51322363618244,136629.30065515827,26.755850624244392,0.7872443558001277,0.756965726730892
82,469.2698,5.41,14290080.58921624,12728378.03837901,13841408.74551692,12429526.674329689,5.41,15640490.71506288,15309489.97046612,10132439.010746762,13193745.136406938,C27H36N2O5,469.2698,5.41,1.19,0.04,1/1,13322348.511860466,6.65171115015353,13569041.208170675,18.678585755439038,1.018517207839938,0.8558968133108723
83,312.1959,13.03,5415615.782267008,5474053.122681264,4972236.906978095,5094115.554122162,13.03,6531244.239215759,5054681.374271716,6450197.9710836485,3516132.522423292,C20H25NO2,312.1959,13.03,1.02,0.895,1/1,5239005.341512132,4.657231219444646,5388064.026748604,26.356860747891307,1.028451714690073,1.0082859947941891
84,239.0743,15.0,1817561.0101838468,1708553.6073442225,2173454.3095132164,1561652.5048589052,15.0,2445720.364927905,2298021.1540607368,2325712.006487801,1925036.1113703528,C10H8F2N4O,239.0743,15.0,1.36,0.006,1/1,1815305.3579750478,14.365375117836129,2248622.409211699,10.00822582218996,1.2387020174501173,0.9108103069486156
85,307.2267,17.45,1883120.42336846,1895481.0312886871,2063628.820038362,1978345.713139814,17.45,1819858.2345819955,1771085.9800401293,1917629.81927843,2055803.0670854724,C19H30O3,307.2267,17.45,1.19,0.015,1/1,1955143.9969588309,4.284808837755959,1891094.275246507,6.6405067690663895,0.9672404069408947,0.8128070646562141
86,325.1546,4.22,1818934.792438456,1776075.7953651538,1465269.5188130166,1565622.9952719118,4.22,2164430.097145345,2221494.7305889884,1829307.3942461703,2094767.3233563255,C19H20N2O3,325.1546,4.22,1.22,0.008,1/1,1656475.7754721346,10.192146920253538,2077499.8863342074,8.345940425067342,1.2541685891796823,1.0280070403112151
87,329.2172,3.46,5862170.125689773,5362619.285483258,4051737.483132682,4216257.441159297,3.46,5435280.755048804,6292038.072292529,4261706.819896069,5966248.060599318,C15H28N4O4,329.2172,3.46,1.16,0.046,1/1,4873196.083866253,18.06094608446997,5488818.426959179,16.233434821141625,1.1263282520338296,0.9709726310636463
