Compound Name,mz_x,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_3-20170326-960MIX_SampleA_4.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/SampleA_4-20170326-960MIX_SampleA_5.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleA_2.mzML,rt_x,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_2.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_3.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_1.mzML,/home/zzy/data/raw-mzml/good-mzml/TOF_test/20170326-960MIX_SampleB_4.mzML,Compound formula,mz_y,rt_y,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
11,264.1749,12.18,14965072.410182,15763728.48942612,4972124.717438243,10508667.574997298,12.18,4983461.695115403,3452323.5143853333,4914123.016554062,816517.1599354238,C19H21N,264.1749,12.18,0.27,1/4,0.0,11552398.298010916,42.92498136077215,3541606.3464975557,55.03400846931373,0.3065689266537276,1.1354404690878799
12,320.1409,3.42,1304023.7411489394,1403546.173133707,1082920.1572770048,1033496.5469520028,3.42,12337378.971210346,13513248.661095535,7161424.43492772,11915859.767260715,C16H18FN3O3,320.1409,3.42,16.15,16/1,0.0,1205996.6546279134,14.641655104050184,11231977.95862358,24.898708625925316,9.313440394317666,0.5766836157472239
13,414.1546,5.18,5466895.618881029,4965870.984907618,6100210.074831072,5869843.978001787,5.18,5442900.957356541,6241761.798288076,4219755.42152085,6480681.737857565,C22H23NO7,414.1546,5.18,0.99,1/1,0.936,5600705.164155377,8.884852707541704,5596274.978755758,18.214604719405134,0.9992089950694116,1.0093020152216279
14,270.1851,10.0,1399307.5699538414,1463318.501280898,507008.6346728116,958449.5312488128,10.0,1305384.672593243,1027945.8258770772,1406524.1772606894,556593.9815734816,C18H23NO,270.1851,10.0,0.92,1/1,0.3,1082021.059289091,41.05373334853776,1074112.164326123,35.408305224443296,0.9926906275112941,1.079011551642711
15,261.1963,6.83,5262852.105093073,5355761.295222172,4524852.695411511,4174906.803847656,6.83,53742297.327615954,60094171.34785875,41915343.45976871,55586253.48292106,C16H24N2O,261.1963,6.83,12.67,16/1,0.0,4829593.224893603,11.870736645612359,52834516.40454112,14.674120329353036,10.939744600479283,0.8634368271885781
16,340.1543,4.95,43253385.15388293,43472665.51499899,38676040.06126159,36385116.60407299,4.95,2874277.710930976,2468175.838111844,2058285.0411171364,2694946.5417226995,C20H21NO4,340.1543,4.95,0.09,1/16,0.0,40446801.83355413,8.643404754610154,2523921.282970664,13.950527449703856,0.0624010099329251,0.6933445548102789
17,214.1088,5.53,3559915.104892507,3673812.878428456,2625255.269702143,2419372.8418909963,5.53,228215.3849577867,205120.65761797928,152484.50556503877,232040.0991714884,C11H11N5,214.1088,5.53,0.09,1/16,0.0,3069589.0237285257,20.823547726000267,204465.1618280733,17.918587821948005,0.0666099468845886,0.7401105209398734
18,361.1992,8.59,112454.13132985536,130755.93154622764,122174.07781016314,133199.5786581178,8.59,3263661.8820834844,3449382.6932776766,3171650.726111256,3409517.2533525666,C21H28O5,361.1992,8.59,18.5,16/1,0.0,124645.92983609099,7.543736977203805,3323553.1387062455,3.8798800677307845,26.66395238959433,1.4412947237618556
19,288.2323,9.9,1503442.7079470456,1039112.43514015,22492.70172946149,181055.3725961068,9.9,25137139.974118236,23300433.83660032,19324593.665683635,9152709.462207176,C19H29NO,288.2323,9.9,4.07,4/1,0.0,686525.804353191,102.58884792930489,19228719.23465234,37.142234156817864,28.008734868704085,6.881753038993632
20,315.2316,28.13,1125528.4362079762,1060254.7257101168,1149372.121076031,1170521.0130161452,28.13,575511.5204309614,553666.0928562586,630959.1526080148,567662.2433318873,C21H30O2,315.2316,28.13,0.54,1/2,0.001,1126419.0740025672,4.242241271174811,581949.7523067805,5.8251104072806665,0.5166369832844772,0.9567351542305131
21,286.1914,4.3,669118.2348905914,581361.1184143665,876112.9204287706,772254.8629693922,4.3,13708972.298375623,14662831.005974729,12653830.637125157,10100191.121697556,C17H23N3O,286.1914,4.3,14.44,16/1,0.0,724711.7841757801,17.602930163753726,12781456.265793268,15.388197214482927,17.636606089315503,1.2213716128334837
22,249.0903,4.99,2916718.533893987,2985879.287887312,3305045.4701759983,3711221.350387193,4.99,3705606.56050695,3594308.2456779955,3249522.4950978165,2993288.50355376,C12H13ClN4,249.0903,4.99,1.34,1/1,0.006,3229716.1605861224,11.234240167190423,3385681.45120913,9.6221495468147,1.0482907112786974,0.7823065009542518
23,277.0641,6.57,165080.5955075499,148028.81655857508,173988.94622001043,195476.49167355796,6.57,74949.79853620143,67663.17496918721,64725.80273302584,41277.998884951216,C13H12N2O3S,277.0641,6.57,0.47,1/2,0.0,170643.71248992335,11.574078430047532,62154.19378084142,23.43526483200266,0.3642337175740459,0.7749653565405232
24,399.0755,11.84,687630.1498903277,785846.7555473152,245515.082862326,396149.9056097597,11.84,180812.29762085457,142204.13651813503,185761.35693682852,53704.84252579727,C18H14N4O5S,399.0755,11.84,0.27,1/4,0.0,528785.4734774322,47.48527362405082,140620.65840040386,43.470180523883855,0.26593139458927545,0.9849310910713905
25,371.1612,18.84,2101963.543833492,2342444.373450253,6872.825686174949,78788.64367972582,18.84,939631.5919976124,131073.0223614911,1340972.156854166,25542.210964897604,C21H26N2S2,371.1612,18.84,0.55,1/2,0.0,1132517.3466624117,111.47091401567984,609304.7455445419,104.40058704921258,0.538009194596617,0.9781985356302126
26,317.1642,3.75,9128700.051966242,8572772.025001476,9026121.298301345,8684901.46660697,3.75,391246.92880461086,424403.6383692786,325635.2502439615,448337.3582921511,C13H24N4O3S,317.1642,3.75,0.06,1/16,0.0,8853123.710469007,3.008113620466556,397405.7939275005,13.403467618251048,0.04488876547128328,0.7481460911880548
27,408.1716,17.0,5163853.374943743,5575752.605344111,4704132.06589826,4647071.070557635,17.0,87345885.24807529,84641907.92254853,94098546.09007291,61510827.06289342,C21H24F3N3S,408.1716,17.0,16.61,16/1,0.0,5022702.279185938,8.666007667569714,81899291.58089754,17.292139731145802,16.30582244945872,0.9816870830498928
28,302.248,11.24,27821522.840788078,29388103.13302061,8161543.548310831,15497520.003674744,11.24,1208476.7090155547,259198.99892253685,1347595.6531188656,47986.23759996948,C20H31NO,302.248,11.24,0.27,1/4,0.0,20217172.381448567,50.24364647520881,715814.3996642317,91.83348092922279,0.03540625692646655,0.13113428491283907
29,256.1808,4.2,396427.3629709694,447321.8388374175,314606.0907567179,436908.2942400671,4.2,9676665.938333431,8828892.28345066,9429964.57873174,5328314.888876118,C16H21N3,256.1808,4.2,15.22,16/1,0.0,398815.89670129295,15.11461770348109,8315959.422347987,24.330742586226386,20.85162474999464,1.3700147667539186
30,279.1856,5.1,8565046.453049364,7457357.265800526,9810447.797856752,10791087.612074658,5.1,12661780.451069972,10142956.8840709,14032130.309062462,6655596.640422402,C19H22N2,279.1856,5.1,1.01,1/1,0.828,9155984.782195326,15.872908635100066,10873116.071156435,29.801337584495425,1.1875419553230617,1.1757841141812493
31,245.2014,9.47,6670095.304560386,6829594.839679572,3103534.701286053,5316936.148488785,9.47,28417419.618066303,19092601.00463497,24652067.937220886,6641808.497273004,C16H24N2,245.2014,9.47,3.89,4/1,0.0,5480040.248503699,31.451475544690666,19700974.26429879,48.27896288761601,3.595041892197426,0.924175293624017
32,180.1017,5.91,5759315.775349157,5419328.507588906,6026897.486338709,5880195.9602767965,5.91,396289.83431449975,417643.34741698304,336911.6051074074,405429.6653205933,C10H13NO2,180.1017,5.91,0.07,1/16,0.0,5771434.432388392,4.487316880680601,389068.61303987086,9.215545503632113,0.06741281003843314,0.9630401434061876
33,355.2015,4.36,1795886.554458755,1636441.2448595793,2005713.4023419973,1831372.6558008469,4.36,2526080.4046384958,3029120.2404267318,1749426.2343676472,3315604.202150558,C21H26N2O3,355.2015,4.36,1.91,2/1,0.001,1817353.4643652947,8.336861724178853,2655057.770395858,25.8490060779518,1.4609473734506178,0.7648939128013705
34,337.2121,3.78,16623186.417359296,14630042.39569044,17814300.791938912,17035521.79316078,3.78,726507.1147167841,696350.0134793834,547278.1658781379,817961.1774114853,C18H28N2O4,337.2121,3.78,0.07,1/16,0.0,16525762.849537358,8.210740879898779,697024.1178714477,16.129535493865966,0.04217802979612291,0.6025432828017558
35,310.1261,5.6,4295982.701251386,3356432.883131801,3472143.8773532324,3545550.912223153,5.6,5605310.820398876,5218650.365321669,5794474.572828397,4682158.549814319,C19H19NOS,310.1261,5.6,1.08,1/1,0.436,3667527.593489893,11.61930327232127,5325148.577090815,9.222266339640214,1.451972327772887,1.3444188220119324
36,327.1369,5.25,3124851.490140551,2218478.939295502,2460863.7420767946,3188562.245078505,5.25,1763572.798088993,1541859.4974837224,1579989.5372565703,579700.4186931549,C18H19ClN4,327.1369,5.25,0.49,1/2,0.0,2748189.104147838,17.56371439680755,1366280.56288061,39.02891286076513,0.49715667703451877,1.0146054633357526
37,384.144,4.18,13115707.254048526,13376406.854267005,11911066.537522957,11234624.295201508,4.18,805351.2364194987,787347.1154007202,656362.8131141094,739025.985409108,C21H21NO6,384.144,4.18,0.06,1/16,0.0,12409451.235259999,8.141758312979075,747021.7875858591,8.916996783149362,0.06019780999366711,1.0032968332277852
38,235.1802,3.57,2667531.311152284,2194704.5515693743,2716851.207738481,2474741.7445269544,3.57,923880.5188220184,973151.5085255004,834570.4508285914,1139671.16115958,C14H22N2O,235.1802,3.57,0.46,1/2,0.002,2513457.2037467733,9.42093269650653,967818.4098339226,13.238445787758394,0.3850546603265057,0.837075348535882
39,195.0917,3.52,4972155.787862787,4923076.832202195,3968669.54978006,3505965.1293475656,3.52,4680290.793817375,4505982.884445744,4048528.9300686857,4449827.951841032,C13H10N2,195.0917,3.52,0.86,1/1,0.09,4342466.824798152,16.675454091700498,4421157.640043208,6.041294400197511,1.0181212242764144,1.183861888693505
40,438.182,15.81,19194981.276686367,14892564.168166226,21323520.120188598,18061869.927833185,15.81,5130513.856070968,4665500.713371835,4598990.661978278,4255880.696246798,C22H26F3N3OS,438.182,15.81,0.28,1/4,0.0,18368233.873218592,14.60535240478215,4662721.48191697,7.717023729328763,0.2538470227513463,0.9065965098262367
41,361.1199,31.6,330986.8494036209,248298.0731711593,301749.334305466,272817.0703187255,31.6,588540.4996679283,538118.2512935693,624100.3671838706,626610.586345497,C20H21ClO4,361.1199,31.6,1.82,2/1,0.031,288462.8317997429,12.40722284491947,594342.4261227164,6.9519240557104816,2.060377839372116,1.132075735918745
42,242.1175,25.46,125317.74049873716,106695.62769457736,103223.333774927,96842.18978552624,25.46,126665.55721748403,108854.4737841723,104110.8618191484,100183.37643889598,C15H15NO2,242.1175,25.46,1.32,1/1,0.133,108019.72293844195,11.324510892146385,109953.56731492518,10.633370237987885,1.017902697061955,0.7711384068651174
43,430.2586,12.39,1413609.941261429,1016423.362615488,213863.54544341052,501755.50934748113,12.39,3433417.999266348,2961599.1590696285,3164323.6392146656,1227758.1671045066,C25H35NO5,430.2586,12.39,0.51,1/2,0.0,786413.0896669521,67.88957168266138,2696774.741163787,37.01568293447311,3.429208868211842,6.723938957278121
44,180.1747,5.24,1630744.1666394165,1854531.151130588,489670.4320400688,583214.3704752594,5.24,2647254.782227586,3360186.1027608765,1166782.8804993215,3624850.920011287,C12H21N,180.1747,5.24,2.32,2/1,0.001,1139540.030071333,61.726823458781276,2699768.671374768,40.826823285265355,2.369174052802487,1.0211957124148652
45,484.1226,14.09,486228.5283574195,612459.2614220936,91125.01515574587,184768.1356759657,14.09,3103335.3082966446,1444208.6788782384,2875430.250566449,383131.6142904422,C24H26BrN3O3,484.1226,14.09,4.93,4/1,0.001,343645.23515280616,71.59558061891939,1951526.4630079437,65.4714490943993,5.678898652967422,1.1519064204802074
46,480.2131,12.8,6307321.242986709,5302889.414478604,281950.4327202935,1173645.0437944117,12.8,1576868.000040837,313465.421375292,1323041.5834548755,36461.34081889374,C26H29N3O6,480.2131,12.8,0.28,1/4,0.0,3266451.5334950048,91.29871018091131,812459.0864224745,92.54952222516432,0.24872834575725902,0.8883155205616393
47,254.1539,5.32,9765107.823986333,9860530.246090977,9721974.597319031,9773956.84379363,5.32,406282.499692716,409008.33954830986,279715.294695403,352736.24078604096,C17H19NO,254.1539,5.32,0.06,1/16,0.0,9780392.377797492,0.5935444851979252,361935.59368061746,16.75107242245837,0.03700624470877558,0.6167707451462597
48,285.0206,4.68,229928.5420199716,248825.15639462,292709.1215149073,248966.0008995248,4.68,667299.7067240053,759257.1271744162,638598.0571538942,939790.7233072232,C10H9ClN4O2S,285.0206,4.68,2.63,2/1,0.005,255107.20520725593,10.43280261984176,751236.4035898846,18.080935297078927,2.9447870865880095,1.1196909074479124
49,311.0809,7.22,5449289.275407237,6026776.124194097,6033847.9862661725,5800259.780601841,7.22,333267.64979358413,425303.4135250642,304254.50890009844,470835.0615702092,C12H14N4O4S,311.0809,7.22,0.05,1/16,0.0,5827543.291617337,4.710651113375102,383415.158447239,20.30222787435821,0.06579361821280072,1.3158723642560144
50,397.0093,22.58,640185.8134742497,745861.9047270978,4534.178967643432,31176.330030969235,22.58,31954924.35374937,15374146.567262543,43959297.13667218,3154293.095932736,C18H15Cl3N2S,397.0093,22.58,15.95,16/1,0.0,355439.5567999901,110.38154556180106,23610665.288404208,76.1581379432798,66.42666759144706,4.16468135369574
51,338.2514,25.45,6310023.513575764,10781862.015222996,5856.531176118357,50018.96445197987,25.45,32712458.36841041,33882835.92055879,32676654.601404607,28182653.39915534,C20H35NOS,338.2514,25.45,1.8,2/1,0.001,4286940.256106715,122.36758973093946,31863650.572382286,7.899788776643699,7.432725596535373,4.129291998075207
52,377.2109,31.56,1658305.481881965,1257931.4999483824,1538469.6508415977,1412291.7590108872,31.56,124953.8197661614,137169.19405903263,149718.98281706154,128299.21300144248,C25H28O3,377.2109,31.56,0.14,1/4,0.0,1466749.597920708,11.703866697847467,135035.30241092452,8.192731004349294,0.09206431868285707,0.6576022763061219
53,381.0322,21.68,585715.9599937088,759072.5005013153,19458.922635532414,94611.27817553098,21.68,14390112.87872194,5198986.777361283,16900896.81918444,784292.0099816723,C18H15Cl3N2O,381.0322,21.68,19.29,16/1,0.0,364714.66532652185,99.68207612824898,9318572.121312333,81.49566508678976,25.550308247050058,1.324536456560397
54,312.1378,16.24,2873975.5532904877,3108616.8296657,2672785.2753966027,3302820.0196236465,16.24,18280926.947975863,17392192.926711816,17404118.19278643,17346292.436673027,C14H21N3O3S,312.1378,16.24,5.18,4/1,0.0,2989549.419494109,9.181205947859906,17605882.626036786,2.5600503139219772,5.889142528045597,1.1369001019393046
55,404.0368,5.23,256754.52533514792,273808.9074630216,278917.71482831554,252763.20482229107,5.23,1404114.6917007505,1563643.0187238895,1302588.3516633054,1486325.6055213944,C17H13N3O5S2,404.0368,5.23,5.25,4/1,0.0,265561.08811219403,4.801548316786178,1439167.916902335,7.779027721524052,5.419347868819985,1.0322567369180924
56,354.2429,20.1,7896801.706967803,11827408.756932035,26291.640162651343,180500.89181478036,20.1,14800083.07196406,5568396.206080631,19647813.955351133,865591.9726215149,C23H31NO2,354.2429,20.1,0.28,1/4,0.0,4982750.7489693165,117.5773653848693,10220471.301504336,83.5975757080371,2.051170491242903,7.325608897296082
57,324.196,10.55,3777900.4609389,4057002.995543434,144247.7891798789,695433.930405329,10.55,36944253.99632879,31313442.042754963,36625865.204393625,11462537.994446823,C21H25NO2,324.196,10.55,1.97,2/1,0.001,2168646.2940168856,93.83907351878239,29086524.80948105,41.358735862959364,13.41229544427247,6.808271799123081
58,607.3224,31.18,67343.98876466238,63948.29018268829,52769.74243535279,17138.372144835983,31.18,14387.14540381668,9044.801862164795,8417.503958556485,9616.166007929109,C32H47F5O3S,607.3224,31.18,0.15,1/4,0.0,50300.09838188486,45.66164271767977,10366.404308116767,26.28517920511648,0.2060911338465719,1.3739408923104794
59,470.2307,16.48,1561510.855580648,2520162.7379876315,4683.953483491874,29757.85880988346,16.48,2455743.237800056,1343444.7861748743,2636466.407857812,133295.48717095255,C25H32ClN5O2,470.2307,16.48,0.41,1/2,0.025,1029028.8514654136,119.742548098797,1642237.4797509236,70.45721121343675,1.5959100441277767,3.89246352226287
60,427.2136,4.62,634331.9393518576,557425.682560087,634136.6656425897,531689.6143551319,4.62,2616437.0313757136,2682836.9998818994,2026829.9784749504,2523982.8043142846,C23H27FN4O3,427.2136,4.62,3.79,4/1,0.0,589395.9754774165,8.96344976092649,2462521.703511712,12.088270336962468,4.178042955785447,1.1023860041650255
61,349.2121,3.64,2035721.12993627,1899666.4539926783,2346055.307760468,2047096.63589866,3.64,1656723.1113023506,2027668.8012469064,1385516.1568554768,1987966.781574485,C19H28N2O4,349.2121,3.64,1.25,1/1,0.055,2082134.881897019,9.041900283746255,1764468.7127448048,17.141506181179164,0.8474324733166226,0.6779459786532981
62,400.1475,4.07,2063653.8013127616,1920991.0692243616,1505959.2792656792,1593920.8042691746,4.07,459863.6255817398,611201.5690832328,332391.40119584533,766026.4709155654,C21H19F2N3O3,400.1475,4.07,0.35,1/2,0.001,1771131.238517994,14.929203484929781,542370.7666940958,34.60150116565226,0.3062284459213357,0.874938416918102
63,296.1469,11.69,7906435.208689108,7982690.454058651,2849447.0190382865,4514482.218723375,11.69,16947640.325621635,14326874.98758056,14869469.161161328,6545549.672886683,C19H21NS,296.1469,11.69,2.06,2/1,0.001,5813263.725127355,43.92286846794497,13172383.536812551,34.61778095192247,2.265918795301855,1.099960580243619
64,318.2793,21.44,4068177.74939632,6644719.0323745245,35194.71392601141,115265.60281812667,21.44,21133334.393126383,5254303.115360401,32776166.66650117,452855.2893268586,C21H35NO,318.2793,21.44,1.84,2/1,0.004,2715839.2746287454,118.77042515204307,14904164.866078705,99.53137591698126,5.487867049170684,2.982536439766676
65,442.2221,17.92,893838.7927681981,826139.1133781822,865658.8949395735,822018.853047841,17.92,17622958.697830927,19323513.9986554,16959166.684721168,17707280.23703399,C25H31NO6,442.2221,17.92,18.53,16/1,0.0,851913.9135334487,4.01206107222799,17903229.904560372,5.6091898347936056,21.01530403500968,1.1341232614684122
66,914.5269,31.72,5067347.143335299,5987186.991705169,4904899.325046048,2309990.6586656724,31.72,654708.7121033543,453980.6418727273,850561.4662456063,870416.2926540289,C50H75NO14,914.5269,31.72,0.14,1/4,0.0,4567356.029688047,34.56176677384224,707416.7782189292,27.564144579147644,0.15488540276271087,1.1063243054479346
67,294.069,27.23,208777.20942841517,223610.57668473388,227282.75339407157,259337.9196233508,27.23,1244079.7481229168,1038741.730547664,1146114.8922019417,1047024.0017649456,C15H13ClFNO2,294.069,27.23,4.65,4/1,0.0,229752.11478264286,9.264090806547527,1118990.093159367,8.63392734320764,4.870423474525962,1.0474028977475187
68,266.1653,6.48,2668874.610478596,2303472.061927022,1427415.9254420972,1517893.018965373,6.48,30958745.691547997,28893437.49234985,24340710.71088083,27015442.08981481,C17H19N3,266.1653,6.48,14.97,16/1,0.0,1979413.904203272,30.56457579904691,27802083.99614837,10.121476946035266,14.045614177565811,0.9382507800645165
69,345.1807,3.94,1897176.588863459,1806649.242950728,1575981.4908711913,1567089.853502119,3.94,1856213.9599356148,2098922.054605309,1359292.5393007454,2139224.527952166,C19H24N2O4,345.1807,3.94,1.22,1/1,0.017,1711724.2940468742,9.70254578331394,1863413.2704484588,19.242855601228367,1.0886176453352545,0.892309545356766
70,383.2803,5.33,16674.06493890634,12609.853034542217,151.92519855272246,148.92816446253642,5.33,12530.453243717286,1799.2792919450994,9083.038491652833,296.72116673926087,C22H38O5,383.2803,5.33,1.0,1/1,0.978,7396.192834115955,115.3245124514867,5927.37304851362,98.5199168838447,0.8014086681424527,0.8014086681424527
71,383.2789,31.12,31580.291914166948,28439.157154016077,25821.321355442706,28030.996874242017,31.12,40524.64317991338,45152.245345733565,32235.310524465134,49943.118388422175,C22H38O5,383.2789,31.12,1.41,1/1,0.032,28467.941824466936,8.333147035410592,41963.829359633564,17.967622437378726,1.4740731739014412,1.0454419673059867
72,333.1403,0.64,149775.36923259852,145423.75795628785,156929.92960570447,140269.78499853762,0.64,204186.49146685863,220882.58082105845,210797.84776824008,249078.73549610784,C12H20N4O7,333.1403,0.64,4.76,4/1,0.0,148099.71044828213,4.762565494802848,221236.41388806625,8.945377290836332,1.4938342095228077,0.31383071628630416
73,416.2774,18.99,6821565.103797925,5688519.365145966,5355320.059912032,5192966.362443258,18.99,6885531.663100045,5539440.741585585,5612954.209680181,5543326.378866559,C25H37NO4,416.2774,18.99,1.16,1/1,0.155,5764592.722824795,12.736725522026696,5895313.248308092,11.212451023103984,1.0226764546549336,0.8816176333232187
74,346.1019,5.3,152984.0631226875,133334.2631644786,89522.78947732567,99567.51987264286,5.3,136287.13448275835,87069.76287219023,96575.70000506753,61487.95513855686,C17H16FN3O2S,346.1019,5.3,1.08,1/1,0.613,118852.15890928367,24.802099180018004,95355.13812464324,32.56385650765699,0.8023004293714597,0.7428707679365367
75,411.1975,12.3,735904.209282189,737973.6646684436,803553.3169937653,732416.6793130796,12.3,944508.9312681032,892341.571332503,883065.6095682783,895125.6992140647,C22H28F2O5,411.1975,12.3,1.14,1/1,0.038,752461.9675643693,4.536841058531363,903760.4528457373,3.059503959267514,1.201071272440657,1.0535712916146114
76,325.2163,25.66,2763061.9709459543,2862904.9218338085,2332798.526401769,2555625.9647820387,25.66,2584815.0207016906,2635273.811647541,2715945.6674976926,2527658.0643794434,C22H28O2,325.2163,25.66,1.18,1/1,0.002,2628597.8459908925,8.94356801587978,2615923.1410565916,3.0532037173184343,0.9951781498437914,0.8433713134269419
77,1019.4478,4.46,56919.029261308,48124.8234092763,6987.977599281256,10201.73262262234,4.46,81472.31503946241,96606.6202207718,63116.14319677771,117294.2916817279,C49H66N10O10S2,1019.4478,4.46,1.68,1/1,0.07,30558.390723121975,83.93029229366212,89622.34253468495,25.635078171466642,2.9328227178819435,1.7457278082630616
78,435.0565,29.5,7160592.76204105,6652100.700976099,7643189.729430136,7855078.982961906,29.5,7943863.355915744,8051831.129136985,7021661.191003515,6978282.679076011,C20H15BrN6O,435.0565,29.5,1.06,1/1,0.519,7327740.543852298,7.315236344921881,7498909.588783064,7.708835031135172,1.0233590482504693,0.9654330643872352
79,364.0948,26.56,8027272.186669111,6471602.225163952,8395373.1417405,9064441.14332274,26.56,10229074.911863348,10645672.45284084,9697140.273011949,8402041.771511236,C18H18ClNO5,364.0948,26.56,1.16,1/1,0.005,7989672.174224076,13.759563395512625,9743482.352306843,10.005781347828751,1.2195096544437494,1.0513014262446116
80,214.071,0.67,15682.753114080664,13011.720728583015,13553.815539815589,13396.003528828707,0.67,14583.885283276082,15658.664864295784,18511.824112861017,18122.04615281728,C9H11NO5,214.071,0.67,3.06,4/1,0.0,13911.073227826993,8.646778593209445,16719.10510331254,11.38300280281881,1.201855876214389,0.39276335823999636
81,201.1385,5.12,207782.22248084255,198417.17317119343,223751.67905537967,228448.25405040735,5.12,142036.789817841,179928.9411886392,64544.2249942006,175659.48681546227,C13H16N2,201.1385,5.12,1.04,1/1,0.768,214599.83218945574,6.500948969479187,140542.36070403576,38.0129468730618,0.6549043364580097,0.6297157081327016
