Compound Name,mz_x,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML,mz_y,RT,formula,Fold change,p-value,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
21,200.1107,3.34,171467801.1348905,166303523.1265372,184232072.8472836,167191391.76154807,192880370.7638017,140678697.23935685,157441428.42057878,173578475.01291394,135763619.35392526,140030865.240355,200.1107,3.34,C10H17NOS,0.91,0.112,1/1,176415031.92681223,6.610534283116376,149498617.05342597,10.57102637503041,0.8474256157233084,0.9312369403552839
22,309.1601,4.45,517282313.1405349,459116023.6265306,466472353.9467384,490971270.0412637,546634401.7611763,418745499.58963,332289012.66021585,390421510.9127925,403861907.8956871,369137436.8564026,309.1601,4.45,C19H20N2O2,0.86,0.072,1/1,496095272.5032488,7.31962177799723,382891073.58294564,8.790790741506312,0.7718095591818771,0.8974529757928804
23,478.0977,22.77,201429472.52701563,204649317.31652465,172932509.892514,203760665.04267785,206037387.936643,46370723.257957935,8042163.335170206,142177494.84541854,232091995.4216196,244242888.6526685,478.0977,22.77,C21H15F4N5O2S,0.23,0.2,1/4,197761870.54307503,7.069530624714829,134585053.10256696,79.14603385919548,0.6805409593516797,2.958873736311651
24,329.1535,0.58,1373407159.2350626,1266310879.8245282,1311105298.715489,1403263561.3134248,1474656044.8368504,1181435347.1102362,1283678244.642077,1098317327.962969,1187069594.211249,1357876306.3761902,329.1535,0.58,C15H24N2O4S,0.99,0.707,1/1,1365748588.785071,5.925908321663895,1221675364.0605445,8.229266040623383,0.894509702658606,0.9035451542006121
25,374.2121,19.36,623833109.8151103,562667883.8879712,360043019.1604992,569473181.2890998,538993173.0643365,554482444.3246175,291240414.5401718,644007084.474666,680408781.770963,513276302.714144,374.2121,19.36,C25H27NO2,0.98,0.716,1/1,531002073.4434034,18.924185768288655,536683005.56491244,28.454556496768824,1.0106985121257055,1.031325012373169
26,408.1383,26.89,362713510.7718178,345451674.1572648,350935173.8797425,355721174.2973297,356871241.2445928,350466743.5676394,360515131.3674619,352517495.86888164,346926360.1603912,343480003.81383085,408.1383,26.89,C22H21N3O3S,1.01,0.711,1/1,354338554.8701495,1.8345431577129854,350781146.955641,1.8366542720150025,0.9899604266439136,0.9801588382613006
27,313.1736,12.3,501813027.8093368,557077571.7836499,411875512.3822598,687230119.235456,539553191.2815747,2590719284.6969614,2054740695.7911224,2733579808.2815647,3234698065.0312448,3197180437.900893,313.1736,12.3,C19H24N2S,4.12,0.0,4/1,539509884.4984554,18.498577166827733,2762183658.3403573,17.579887200688773,5.119801763980963,1.2426703310633405
28,453.2091,15.47,284383836.5444666,279067976.3290103,283238105.0876403,339140028.07135856,284348162.6991844,14159879.463085158,14501792.063371664,13937960.027181435,16408031.25549069,13970856.39021123,453.2091,15.47,C24H30F2O6,0.05,0.0,1/16,294035621.74633205,8.607202059001061,14595703.839868035,7.1088579666011595,0.04963923674683171,0.9927847349366342
29,495.2201,25.94,16994907.097044393,19740505.605229665,17354019.082131803,17688598.699324016,17183037.672887947,7981887.99752085,8559221.693854911,8101073.422887076,7740346.902004122,7690243.368198342,495.2201,25.94,C26H32F2O7,0.45,0.0,1/2,17792213.631323565,6.287221660626561,8014554.67689306,4.347325100397688,0.4504529252494624,1.001006500554361
30,376.1461,12.76,993624280.472999,983684268.8520874,848838094.4543252,1114606597.842906,1016165806.6489996,1123522735.767134,976722223.0054216,1188331542.1431298,1246404942.654283,1177205896.394644,376.1461,12.76,C21H23ClFNO2,1.07,0.16,1/1,991383809.6542633,9.593387454917737,1142437467.9929225,8.963357168263403,1.1523664769059907,1.0769780157999913
31,531.1575,12.31,253247412.6124645,278098490.8477725,307692745.32448584,323646243.0020509,310650711.5405568,336921477.6162282,337351509.2377171,309067999.4509447,293334245.9684903,256562781.89445132,531.1575,12.31,C26H28Cl2N4O4,0.95,0.542,1/1,294667120.6654661,9.680921777727116,306647602.8335663,10.999571260074196,1.0406576822722666,1.095429139233965
32,407.2218,3.35,447056210.2325034,305849231.1598085,407199146.31186616,420344734.2717665,458420940.7113439,112529245.84063934,138471251.6255846,110429784.14791304,112495652.97516388,110015172.96446145,407.2218,3.35,C18H34N2O6S,0.26,0.0,1/4,407774052.53745764,14.843849526211594,116788221.51075247,10.425733699760649,0.28640424956912736,1.1015548060351052
33,345.2429,24.87,11570327.173822418,11427988.80745564,12301662.50516888,11264550.539192855,11826973.80163278,5649013.250712399,5674403.462533204,5349690.065142435,5293262.822351448,5433418.683742831,345.2429,24.87,C22H32O3,0.55,0.0,1/2,11678300.565454517,3.4682006670246546,5479957.656896464,3.165694306190016,0.4692427315243693,0.8531686027715805
34,268.1912,3.99,241818030.9093356,200881166.50552988,197619236.66467428,214142110.74223295,264212062.9105739,535277460.9484057,436564471.2487515,530939454.07049465,519096078.9527931,443913751.6436573,268.1912,3.99,C15H25NO3,2.21,0.0,2/1,223734521.5464693,12.763267486737325,493158243.3728205,9.88310443163635,2.204211669992073,0.9973808461502592
35,416.9913,24.69,129726527.4658192,136095441.84479398,83636674.89934169,132699679.5803754,127900622.80192564,626093947.4309263,487324840.8076416,652435027.4099518,580670694.8434938,422516598.9432944,416.9913,24.69,C18H14Cl4N2O,3.68,0.0,4/1,122011789.3184512,17.765634916273417,553808221.8870616,17.444112600226795,4.538973036790897,1.2334165860844828
36,264.1751,12.14,1860704836.8038416,1917286553.08766,1336058121.1198845,2169500004.2310333,1880734586.5746992,445883843.4269439,293069857.96550053,541171012.3192645,615543740.7606354,447515104.3938404,264.1751,12.14,C19H21N,0.27,0.0,1/4,1832856820.3634236,16.601147667062456,468636711.77323693,25.834214245419318,0.2556864816534411,0.9469869690868188
37,320.141,3.46,62727398.50826389,59846079.29250984,66948353.34985159,66130421.339810185,72029109.46294951,1422761134.9222164,1575766054.2117252,1067878378.8880233,1248920918.8329926,1126093480.87228,320.141,3.46,C16H18FN3O3,22.46,0.0,16/1,65536272.39067701,7.024484439057311,1288283993.5454476,16.336010055368718,19.65757200631867,0.8752258239678837
38,414.1554,5.18,345789488.6039365,353600336.29112893,368862140.7711842,359999066.34066284,378105900.69308585,254277584.6874203,206608641.52468896,304011083.8852732,321173420.31490296,324129845.9049262,414.1554,5.18,C22H23NO7,0.8,0.032,1/1,361271386.53999966,3.504484824740201,282040115.26344234,17.945010204704566,0.7806876652054344,0.975859581506793
39,270.1856,9.97,1679150708.770764,1461500617.7258985,1066998096.7840476,1809180055.664275,1450860090.689462,1562112978.024478,1089633413.235866,1727006033.8576894,1686818401.2573545,1334363270.8114486,270.1856,9.97,C18H23NO,0.89,0.05,1/1,1493537913.9268894,18.904182807351468,1479986819.4373672,18.008042202043846,0.9909268493533633,1.1134009543296217
40,261.1965,6.83,445948013.878854,445229150.6632673,380283051.8054534,460141790.912245,434716530.8744936,6920094660.773659,5575271970.153454,6977712639.058189,6630916444.294134,5835536893.584119,261.1965,6.83,C16H24N2O,12.59,0.0,16/1,433263707.6268627,7.147132318391749,6387906521.57271,10.071494897196956,14.743691680435258,1.171063675967852
41,340.1549,4.97,1983820269.9261568,1884435539.1774657,1894255267.306265,1937667784.4616747,2068718276.917225,228266632.77798128,190979649.474728,211462131.3442625,197028626.28898305,159360164.9882743,340.1549,4.97,C20H21NO4,0.12,0.0,1/4,1953779427.5577576,3.857832168310139,197419440.97484583,13.010374169092856,0.10104489697776271,0.8420408081480226
42,214.1091,5.47,761355295.9351765,747117857.9792519,747058132.1036751,732449317.3887223,859601695.948556,45928257.69283954,46032733.14962792,43375400.41714852,42087658.89773742,39888078.23013306,214.1091,5.47,C11H11N5,0.06,0.0,1/16,769516459.8710763,6.677673766418694,43462425.67749729,6.017507879571594,0.056480176765522236,0.9413362794253707
43,288.2324,9.91,741591055.6544011,655219988.1472881,438154667.6020935,775330278.8620036,630891217.7588845,2895843251.0328083,1960848980.2456143,3181466048.797784,3014463681.078582,2326700263.8675146,288.2324,9.91,C19H29NO,3.43,0.0,4/1,648237441.6049341,20.31258018957141,2675864445.004461,19.163722687344805,4.127907882610793,1.2034716858923593
44,315.2323,28.05,129561360.93656938,104758174.23814385,104789412.9867718,106349937.29040976,127255855.684371,52016219.28030978,52311261.42656456,52912803.69241579,51232011.62905493,63352149.463358,315.2323,28.05,C21H30O2,0.46,0.001,1/2,114542948.22725315,11.087625101078924,54364889.098340616,9.308093918691606,0.47462449622372826,1.0317923830950615
45,286.1917,4.29,201749181.1003821,209139129.9498834,184888255.65522587,194878967.26364276,232126945.52177817,2773636887.867449,2506811998.4638624,2858955315.052773,2661728383.079761,2182145012.020064,286.1917,4.29,C17H23N3O,9.21,0.0,16/1,204556495.89818245,8.70911486458782,2596655519.296782,10.266089592484617,12.694075091065608,1.3782926266086435
46,277.0646,6.39,36977630.43956084,36972182.7593868,41752999.029414885,39388155.466612026,39705602.41837508,22436119.929616548,24616157.217096224,22837809.91391099,23058758.871752944,24894864.72996254,277.0646,6.39,C13H12N2O3S,0.51,0.0,1/2,38959314.02266993,5.200706061373168,23568742.13246785,4.7117569484672215,0.6049578316177102,1.1861918267013927
47,399.0764,11.63,67268276.10562731,62142669.42184987,41891207.97957635,67136987.91596408,58016414.36763409,20164953.33549752,16984943.131601386,20216214.439139158,22357206.33946572,18821599.386167545,399.0764,11.63,C18H14N4O5S,0.24,0.0,1/4,59291111.15813033,17.642964915414947,19708983.326374266,10.047628803678876,0.3324104227665779,1.3850434281940747
48,317.1647,3.8,718187078.4325106,671922935.1842906,724658096.7675352,700083177.7555741,804181525.6156527,39114896.70163977,36079251.65741191,36041058.90780877,38738435.48883113,35613799.47522172,317.1647,3.8,C13H24N4O3S,0.06,0.0,1/16,723806562.7511127,6.820029793669168,37117488.44618266,4.490996863040049,0.05128095040352078,0.8546825067253463
49,308.1106,31.52,2955448.4805008834,1883433.7448424425,2539341.991821337,2520436.07439459,3507364.2771403594,4978688.595805006,4796341.549822057,4604632.735889567,4345106.231744241,5323853.2537533045,308.1106,31.52,C19H17NOS,1.83,0.001,2/1,2681204.9137399225,22.3792369952685,4809724.473402835,7.716516944090173,1.7938667980038545,0.9802550808764232
50,408.1721,16.82,207964202.12121823,213023052.6486675,216168723.89312628,214736639.25092307,238546277.69375724,3779123456.247778,2976069380.5044856,4421932247.008228,4826551774.687936,3873790044.694861,408.1721,16.82,C21H24F3N3S,15.01,0.0,16/1,218087779.12153846,5.433163099165365,3975493380.6286583,17.658835497285885,18.22886819537536,1.214448247526673
51,302.2482,11.27,3455680640.0644875,3160019369.275336,2563713866.2745786,3130616718.3035808,3271221302.204024,795301830.0913644,504615338.2572659,949763375.4907852,1086398916.2201571,763091287.6168189,302.2482,11.27,C20H31NO,0.26,0.0,1/4,3116250379.224401,10.723095255146358,819834149.5352783,26.66246650724165,0.26308352980909244,1.011859730034971
52,256.1812,4.19,163394990.49767092,165598660.15584183,172597806.75122628,169470348.58147678,206282940.43267876,2291306093.976852,2081077541.0392716,2476172494.59457,2485965350.6537766,2268951692.9291186,256.1812,4.19,C16H21N3,9.74,0.0,16/1,175468949.2837789,10.021727916526821,2320694634.638718,7.224742276250229,13.225671231925778,1.3578717897254393
53,279.186,5.06,2474524565.860204,2411405707.362892,2608422786.173812,2620218376.186033,2891667639.2941623,2223652373.053551,1873820952.7543037,2603804539.2502937,2584965231.74024,2459599106.7816067,279.186,5.06,C19H22N2,0.99,0.883,1/1,2601247814.975421,7.1107723810156855,2349168440.715999,13.022409675825958,0.9030929030259258,0.9122150535615412
54,245.2016,9.47,952853273.5926088,783862218.3129848,506687601.8802604,812549390.3871683,779407319.6038774,3407326285.6350365,2616304139.226479,3362009221.749556,2733121399.887376,1680079986.9745097,245.2016,9.47,C16H24N2,3.41,0.0,4/1,767071960.7553799,21.103268261383647,2759768206.6945915,25.422903331893277,3.5977957061250017,1.055072054582112
55,180.1022,5.84,891064168.5620432,899707144.0529288,954671746.3153744,901171122.0506594,852519595.567973,47951720.21837562,48883097.72068447,46624287.93111613,44934609.78251667,55292057.87036267,180.1022,5.84,C10H13NO2,0.05,0.0,1/16,899826755.3097957,4.054640473458555,48737154.704611115,8.112391366419379,0.05416282013956309,1.0832564027912617
56,355.2022,4.37,113414350.13654664,106737350.17339328,107335190.67056435,110022827.16359316,109631566.57805564,224522452.0997565,170469207.74051678,225904627.28332025,215972585.89136648,197323338.40710765,355.2022,4.37,C21H26N2O3,1.99,0.0,2/1,109428256.94443062,2.413720228831189,206838442.28441352,11.26839533589674,1.890173964750707,0.94983616319131
57,337.2127,3.83,1218205304.2259638,1023511087.7600902,1074833938.4470382,1069723184.6789455,1295228704.0888662,71040307.00532402,67775974.13160081,65443690.23112588,71531835.98722723,58819042.3559152,337.2127,3.83,C18H28N2O4,0.06,0.0,1/16,1136300443.8401809,10.12043840755462,66922169.942238614,7.720622871000911,0.058894784654023355,0.9815797442337226
58,310.1264,5.58,177133853.42442784,185847024.2048813,193115791.0747948,183999123.60235292,204175492.4000997,231063816.27959916,215215400.5876615,227160671.1848588,218076686.0704873,194269780.0136008,310.1264,5.58,C19H19NOS,1.11,0.134,1/1,188854256.9413113,5.4444515597617285,217157270.8272415,6.600983875349466,1.1498669627273783,1.0359161826372776
59,327.1377,5.16,314512023.4186816,327885536.7057213,286187549.6549888,349710029.1695831,384575149.5946106,134573776.17650324,82516527.40964937,183883764.15608123,186473095.57874203,150908997.44125283,327.1377,5.16,C18H19ClN4,0.48,0.0,1/2,332574057.70871705,11.14734553640006,147671232.15244573,28.818153313878458,0.4440251087827863,0.9250523099641381
60,384.1448,4.19,1138252749.662453,1132364947.197683,1194555535.2107322,1114846999.0754764,1278934129.919995,63028353.62067278,56669990.510466985,58622690.69477191,53397018.81393021,42596852.9032519,384.1448,4.19,C21H21NO6,0.05,0.0,1/16,1171790872.213268,5.71196478301644,54862981.30861876,14.020782620355005,0.04681977186338212,0.9363954372676423
61,235.1808,3.63,480728176.3886582,478047987.7737533,446940769.2038107,443014964.45966846,505319503.12414455,225732637.5125441,209005107.6114676,281667720.1812432,238233513.18111637,232389945.5556433,235.1808,3.63,C14H22N2O,0.53,0.001,1/2,470810280.19000703,5.5019012162163525,237405784.80840293,11.395966289745438,0.5042493649726425,0.9514138961747971
62,195.092,3.56,426325073.8331195,388426035.73306346,410190913.76104456,371594627.82099193,435615626.0349417,421971154.8933584,475318570.7341732,271358374.8106683,350944895.0028689,316920134.01353246,195.092,3.56,C13H10N2,1.03,0.396,1/1,406430455.4366323,6.5090354081127,367302625.8909202,22.229822959370047,0.9037281064390791,0.8774059285816301
63,438.1831,15.66,853792171.9701065,891750949.2014711,982318133.4945683,1016526332.928802,964499304.8933656,226632940.82820103,202099347.56596816,255972656.6290729,262022819.36092424,219574503.06803435,438.1831,15.66,C22H26F3N3OS,0.29,0.0,1/4,941777378.4976628,7.121194425125786,233260453.49044013,10.814429858880711,0.24768109620825748,0.8540727455457156
64,361.1206,31.69,39832918.62950408,30603061.551343262,32662733.163906224,30971663.962685667,39706038.466255054,62987771.00541997,61255528.55185328,62784895.34953112,66208738.85701495,77304920.80118355,361.1206,31.69,C20H21ClO4,1.87,0.001,2/1,34755283.15473886,13.358968846885274,66108370.91300057,9.852871247673074,1.9021099790403158,1.017171111786265
65,242.1179,28.63,5945120.638999468,4789026.36047855,4758172.836505096,4699398.620521786,5901621.293967331,20602818.000693902,21025627.85708061,19837884.15573297,20547960.752091505,25412679.12059476,242.1179,28.63,C15H15NO2,4.48,0.0,4/1,5218667.950094447,12.345902887501783,21485393.97723875,10.409198069620555,4.117026448645753,0.918979118001284
66,430.2596,12.38,343310717.61200523,386441739.2227625,369637318.9715508,442017682.6309709,389776979.6167393,13743245.837156467,3269794.865782813,31940187.04058465,42744958.60948557,43713581.83009672,430.2596,12.38,C25H35NO5,0.45,0.001,1/2,386236887.6108058,9.372945135111287,27082353.636621244,66.32233140891351,0.07011850629842212,0.15581890288538247
67,180.1749,5.27,751134164.8847687,796265139.7466902,797958180.8739496,785384836.3475693,915987961.8040792,1677984840.7818673,1464282827.4885256,1658739850.4945996,1420582175.5835285,1061339456.8540372,180.1749,5.27,C12H21N,2.03,0.0,2/1,809346056.7314113,7.72501508924538,1456585830.2405117,17.07597562021389,1.7997070821880738,0.8865552129005291
68,484.1241,14.08,64347827.70901945,66766797.50591149,49358886.63471869,75363373.76988183,68443322.63132517,289651633.3713292,165944363.83453137,333624702.537144,344669637.9664767,257628847.43672824,484.1241,14.08,C24H26BrN3O3,4.2,0.0,4/1,64856041.650171325,14.775965251106484,278303837.0292419,25.814610732461624,4.29110118268383,1.0216907577818644
69,480.214,12.7,1297732362.692408,1368195624.371043,1091278215.277706,1483099739.681505,1392401826.0380738,326789193.93301576,194131233.6490194,434424552.4994842,506310876.5201558,482367601.4013033,480.214,12.7,C26H29N3O6,0.37,0.0,1/2,1326541553.612147,11.102318935135202,388804691.60059565,33.13436288844043,0.2930965038689425,0.792152713159304
70,254.1543,5.34,610423923.6451648,676558021.762365,724806385.8917407,645214651.9267038,731983331.2017846,48591615.80389758,50141759.73847853,40840203.115472056,32611801.08496177,23462833.26662161,254.1543,5.34,C17H19NO,0.06,0.0,1/16,677797262.8855518,7.647868671889993,39129642.60188631,28.619745363061437,0.057730599907266776,0.962176665121113
71,285.0211,4.62,60473082.80057637,63208236.40299257,69971098.41325887,61346369.08891759,65968779.68455128,136891294.1994881,141275357.75065026,130940453.533123,132369744.3767737,122437148.91394392,285.0211,4.62,C10H9ClN4O2S,2.0,0.0,2/1,64193513.278059326,6.005611233082959,132782799.75479579,5.319969209546005,2.068476906375828,1.034238453187914
72,311.0813,7.02,1046563626.613574,1015133637.2181205,977285078.3306576,1056503332.8816818,1020799526.240622,69057867.91938882,65875300.885300174,76112842.15569736,78448497.95433027,87532752.88278723,311.0813,7.02,C12H14N4O4S,0.08,0.0,1/16,1023257040.2569313,3.0255841562861843,75405452.35950077,11.251850577829723,0.07369160376415987,0.9211450470519983
73,397.0101,22.56,174558935.0007606,175749008.39592627,138511177.80960256,175490902.00185326,187751551.0484271,3169440872.4915915,2240367662.55114,3502070608.907685,2947344688.1273274,2739318266.9194355,397.0101,22.56,C18H15Cl3N2S,14.57,0.0,16/1,170412314.85131398,10.938176869626357,2919708419.7994356,16.212953113216674,17.133200862548595,1.1759231889189152
74,338.2515,25.6,1421981193.3172534,1749331621.4123738,1072526527.6819464,1516855268.7969131,1502221265.358625,2785714547.864844,1958091965.5967145,2975985073.9679413,2503880180.558192,1744811835.1676743,338.2515,25.6,C20H35NOS,1.72,0.0,2/1,1452583175.3134224,16.864186371752552,2393696720.6310735,22.063323667577077,1.6478896088787396,0.9580753539992672
75,377.2121,31.65,1855305.715270942,984997.253866713,816249.5270456334,1130500.0153419718,1891721.2004020133,2550868.6703000013,1933786.614181213,1953233.7830724816,1393750.175081497,3060727.272195866,377.2121,31.65,C25H28O3,2.91,0.004,4/1,1335754.7423854547,37.694582664148534,2178473.302966212,29.423570556453114,1.6308931825881374,0.5604443926419715
76,381.0328,21.68,75606899.1355922,65971261.961997785,55771065.47522773,65801535.39505807,65561245.38163975,906600405.0461228,593555446.1332222,1107640533.2440257,1086947059.8532794,1266959624.7864962,381.0328,21.68,C18H15Cl3N2O,15.15,0.0,16/1,65742401.46990311,10.669991431771287,992340613.8126293,25.890769605168725,15.094377321566556,0.9963285360770003
77,312.1379,15.92,529586286.2270778,525047051.86481816,536636982.5595999,584082335.9824328,514845376.8854649,1829556756.4722948,1756323620.9958444,1913737880.4796476,2250329384.3373394,1993466777.5947144,312.1379,15.92,C14H21N3O3S,4.02,0.0,4/1,538039606.7038788,5.004550381012298,1948682883.9759681,9.784230842070981,3.6218205122740454,0.9009503761875736
