id,area,rt,mz_range:min,mz_range:max,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,datafile:SB1.mzML:area,datafile:SB1.mzML:rt,datafile:SB1.mzML:mz_range:min,datafile:SB1.mzML:mz_range:max,datafile:SB1.mzML:fwhm,datafile:SB1.mzML:rt_range:min,datafile:SB1.mzML:rt_range:max,datafile:SB1.mzML:feature_state,datafile:SB1.mzML:mz,datafile:SB1.mzML:intensity_range:min,datafile:SB1.mzML:intensity_range:max,datafile:SB1.mzML:asymmetry_factor,datafile:SB1.mzML:tailing_factor,datafile:SB1.mzML:height,datafile:SA5.mzML:area,datafile:SA5.mzML:rt,datafile:SA5.mzML:mz_range:min,datafile:SA5.mzML:mz_range:max,datafile:SA5.mzML:fwhm,datafile:SA5.mzML:rt_range:min,datafile:SA5.mzML:rt_range:max,datafile:SA5.mzML:feature_state,datafile:SA5.mzML:mz,datafile:SA5.mzML:intensity_range:min,datafile:SA5.mzML:intensity_range:max,datafile:SA5.mzML:asymmetry_factor,datafile:SA5.mzML:tailing_factor,datafile:SA5.mzML:height,datafile:SB5.mzML:area,datafile:SB5.mzML:rt,datafile:SB5.mzML:mz_range:min,datafile:SB5.mzML:mz_range:max,datafile:SB5.mzML:fwhm,datafile:SB5.mzML:rt_range:min,datafile:SB5.mzML:rt_range:max,datafile:SB5.mzML:feature_state,datafile:SB5.mzML:mz,datafile:SB5.mzML:intensity_range:min,datafile:SB5.mzML:intensity_range:max,datafile:SB5.mzML:asymmetry_factor,datafile:SB5.mzML:tailing_factor,datafile:SB5.mzML:height,datafile:SA4.mzML:area,datafile:SA4.mzML:rt,datafile:SA4.mzML:mz_range:min,datafile:SA4.mzML:mz_range:max,datafile:SA4.mzML:fwhm,datafile:SA4.mzML:rt_range:min,datafile:SA4.mzML:rt_range:max,datafile:SA4.mzML:feature_state,datafile:SA4.mzML:mz,datafile:SA4.mzML:intensity_range:min,datafile:SA4.mzML:intensity_range:max,datafile:SA4.mzML:asymmetry_factor,datafile:SA4.mzML:tailing_factor,datafile:SA4.mzML:height,datafile:SA2.mzML:area,datafile:SA2.mzML:rt,datafile:SA2.mzML:mz_range:min,datafile:SA2.mzML:mz_range:max,datafile:SA2.mzML:fwhm,datafile:SA2.mzML:rt_range:min,datafile:SA2.mzML:rt_range:max,datafile:SA2.mzML:feature_state,datafile:SA2.mzML:mz,datafile:SA2.mzML:intensity_range:min,datafile:SA2.mzML:intensity_range:max,datafile:SA2.mzML:asymmetry_factor,datafile:SA2.mzML:tailing_factor,datafile:SA2.mzML:height,datafile:SB4.mzML:area,datafile:SB4.mzML:rt,datafile:SB4.mzML:mz_range:min,datafile:SB4.mzML:mz_range:max,datafile:SB4.mzML:fwhm,datafile:SB4.mzML:rt_range:min,datafile:SB4.mzML:rt_range:max,datafile:SB4.mzML:feature_state,datafile:SB4.mzML:mz,datafile:SB4.mzML:intensity_range:min,datafile:SB4.mzML:intensity_range:max,datafile:SB4.mzML:asymmetry_factor,datafile:SB4.mzML:tailing_factor,datafile:SB4.mzML:height,datafile:SA3.mzML:area,datafile:SA3.mzML:rt,datafile:SA3.mzML:mz_range:min,datafile:SA3.mzML:mz_range:max,datafile:SA3.mzML:fwhm,datafile:SA3.mzML:rt_range:min,datafile:SA3.mzML:rt_range:max,datafile:SA3.mzML:feature_state,datafile:SA3.mzML:mz,datafile:SA3.mzML:intensity_range:min,datafile:SA3.mzML:intensity_range:max,datafile:SA3.mzML:asymmetry_factor,datafile:SA3.mzML:tailing_factor,datafile:SA3.mzML:height,datafile:SB2.mzML:area,datafile:SB2.mzML:rt,datafile:SB2.mzML:mz_range:min,datafile:SB2.mzML:mz_range:max,datafile:SB2.mzML:fwhm,datafile:SB2.mzML:rt_range:min,datafile:SB2.mzML:rt_range:max,datafile:SB2.mzML:feature_state,datafile:SB2.mzML:mz,datafile:SB2.mzML:intensity_range:min,datafile:SB2.mzML:intensity_range:max,datafile:SB2.mzML:asymmetry_factor,datafile:SB2.mzML:tailing_factor,datafile:SB2.mzML:height,datafile:SA1.mzML:area,datafile:SA1.mzML:rt,datafile:SA1.mzML:mz_range:min,datafile:SA1.mzML:mz_range:max,datafile:SA1.mzML:fwhm,datafile:SA1.mzML:rt_range:min,datafile:SA1.mzML:rt_range:max,datafile:SA1.mzML:feature_state,datafile:SA1.mzML:mz,datafile:SA1.mzML:intensity_range:min,datafile:SA1.mzML:intensity_range:max,datafile:SA1.mzML:asymmetry_factor,datafile:SA1.mzML:tailing_factor,datafile:SA1.mzML:height,datafile:SB3.mzML:area,datafile:SB3.mzML:rt,datafile:SB3.mzML:mz_range:min,datafile:SB3.mzML:mz_range:max,datafile:SB3.mzML:fwhm,datafile:SB3.mzML:rt_range:min,datafile:SB3.mzML:rt_range:max,datafile:SB3.mzML:feature_state,datafile:SB3.mzML:mz,datafile:SB3.mzML:intensity_range:min,datafile:SB3.mzML:intensity_range:max,datafile:SB3.mzML:asymmetry_factor,datafile:SB3.mzML:tailing_factor,datafile:SB3.mzML:height
254,8.352E4,5.3198,224.00562,224.00665,0.6,6,6,0.901,0.35,0.00008,0.1515,0,5.112,5.4507,224.0064,4.239E4,6.958E5,6.958E5,2.044E4,5.2377,224.00558,224.00658,0.0622,5.1512,5.2496,ESTIMATED,224.00635,1.169E5,2.881E5,0.1378,0.5689,2.881E5,8.194E4,5.3415,224.00549,224.0067,0.082,5.112,5.4161,ESTIMATED,224.00639,4.457E4,6.68E5,0.3995,0.6871,6.68E5,8.191E4,5.3758,224.00564,224.00697,0.0708,5.1603,5.4507,ESTIMATED,224.00644,5.069E4,6.362E5,0.3492,0.6753,6.362E5,7.4E4,5.3367,224.00545,224.0066,0.1301,5.1521,5.4023,ESTIMATED,224.00635,8.914E4,5.648E5,0.3917,0.678,5.648E5,5.913E4,5.3117,224.00623,224.00653,0.079,5.2464,5.3861,ESTIMATED,224.00633,1.901E5,6.958E5,1.1392,1.0696,6.958E5,8.352E4,5.3837,224.00566,224.00696,0.1234,5.1563,5.4436,ESTIMATED,224.00658,4.48E4,6.128E5,0.2676,0.6311,6.128E5,7.134E4,5.3256,224.00539,224.00657,0.1412,5.15,5.3943,ESTIMATED,224.00632,5.791E4,5.945E5,0.3891,0.6955,5.945E5,1.978E4,5.1851,224.00562,224.00665,0.0151,5.1523,5.2478,ESTIMATED,224.0064,1.098E5,2.985E5,1.9058,1.4529,2.985E5,7.081E4,5.3289,224.00543,224.00655,0.0867,5.1508,5.3854,ESTIMATED,224.00633,4.239E4,6.63E5,0.4138,0.6586,6.63E5,8.082E4,5.3711,224.00564,224.00679,0.1261,5.1498,5.443,ESTIMATED,224.00648,8.541E4,5.735E5,0.2977,0.6623,5.735E5
255,8.247E6,5.3344,330.1268,330.12738,1,10,0,0.881,0.99,0.00033,0.058,0,5.1776,5.5298,330.12718,3.756E4,9.184E7,9.184E7,7.238E6,5.3272,330.12693,330.12856,0.0905,5.2168,5.5277,ESTIMATED,330.12721,2.25E5,8.063E7,1.2773,1.1859,8.063E7,7.339E6,5.3236,330.12675,330.12863,0.0933,5.1925,5.5292,ESTIMATED,330.12708,1.278E5,8.458E7,0.9092,0.9898,8.458E7,7.447E6,5.3578,330.12701,330.12765,0.0823,5.2647,5.5284,ESTIMATED,330.12732,7.31E5,8.463E7,1.3799,1.2362,8.463E7,7.409E6,5.3367,330.12535,330.1285,0.0938,5.1908,5.5273,ESTIMATED,330.12704,3.84E4,7.761E7,0.7239,0.8945,7.761E7,8.247E6,5.3147,330.12653,330.12848,0.0867,5.1869,5.5286,ESTIMATED,330.1271,1.769E5,9.184E7,0.9374,1.0344,9.184E7,7.234E6,5.3687,330.127,330.12743,0.0886,5.2576,5.5274,ESTIMATED,330.12733,5.454E5,8.216E7,0.9237,1.0105,8.216E7,7.466E6,5.3108,330.12671,330.12853,0.0852,5.1857,5.5283,ESTIMATED,330.12711,5.743E4,8.366E7,1.0883,1.0801,8.366E7,7.385E6,5.3346,330.1268,330.12738,0.0935,5.2299,5.5291,ESTIMATED,330.12726,3.052E5,7.792E7,1.3597,1.2008,7.792E7,7.747E6,5.314,330.12532,330.12855,0.0891,5.1776,5.5279,ESTIMATED,330.127,3.756E4,9.011E7,0.9207,0.9998,9.011E7,7.188E6,5.3562,330.12701,330.12743,0.1009,5.2423,5.5298,ESTIMATED,330.12731,4.957E5,7.512E7,1.0312,1.0583,7.512E7
256,2.341E6,5.3361,435.24957,435.25239,1,10,0,0.842,1.25,0.00054,0.1869,0,5.1598,5.5398,435.25198,2.396E4,3.143E7,3.143E7,2.057E6,5.3361,435.24993,435.2523,0.0655,5.2437,5.5396,ESTIMATED,435.25207,5.059E4,2.66E7,1.5314,1.4314,2.66E7,2.095E6,5.2969,435.24937,435.25219,0.0716,5.1955,5.5382,ESTIMATED,435.25192,2.997E4,2.59E7,1.5703,1.378,2.59E7,2.249E6,5.4417,435.24974,435.25242,0.0648,5.3398,5.5374,ESTIMATED,435.25222,4.673E4,3.143E7,1.3273,1.4013,3.143E7,2.145E6,5.2921,435.24943,435.25206,0.099,5.1938,5.5393,ESTIMATED,435.25185,3.469E4,2.79E7,1.6079,1.3921,2.79E7,2.341E6,5.2821,435.24929,435.25415,0.0608,5.178,5.5375,ESTIMATED,435.25169,2.979E4,3.108E7,1.4252,1.2935,3.108E7,2.18E6,5.4256,435.24984,435.25245,0.0762,5.3147,5.5394,ESTIMATED,435.25224,3.877E4,2.652E7,1.1758,1.1939,2.652E7,2.148E6,5.2751,435.25096,435.2519,0.0756,5.1828,5.5372,ESTIMATED,435.25173,4.893E4,2.531E7,1.7969,1.4921,2.531E7,2.058E6,5.3585,435.24957,435.25239,0.0836,5.2598,5.5381,ESTIMATED,435.25213,2.803E4,2.485E7,1.8447,1.433,2.485E7,2.208E6,5.2548,435.24945,435.25206,0.0625,5.1598,5.5398,ESTIMATED,435.25179,4.307E4,3.034E7,1.8428,1.5139,3.034E7,2.118E6,5.398,435.24982,435.25245,0.0769,5.2812,5.5387,ESTIMATED,435.25219,2.396E4,2.611E7,1.2436,1.2019,2.611E7
257,5.162E6,5.3369,254.15385,254.15454,1,10,0,0.868,1.03,0.00026,0.1326,0,5.1402,5.5398,254.15416,2.863E4,4.533E7,4.533E7,2.588E5,5.3361,254.15389,254.15533,0.0882,5.1422,5.4439,ESTIMATED,254.15418,2.863E4,2.087E6,0.2972,0.771,2.087E6,4.614E6,5.3594,254.15386,254.15425,0.0783,5.1419,5.5382,ESTIMATED,254.15415,3.005E5,3.696E7,0.326,0.7037,3.696E7,2.632E5,5.2647,254.15407,254.15544,0.0658,5.1425,5.3638,ESTIMATED,254.15428,2.994E4,3.149E6,0.6021,0.8204,3.149E6,4.746E6,5.3785,254.15392,254.15421,0.0756,5.1402,5.5393,ESTIMATED,254.1541,3.108E5,3.94E7,0.2801,0.7613,3.94E7,5.162E6,5.3682,254.15374,254.15413,0.0683,5.1423,5.5375,ESTIMATED,254.15403,4.573E5,4.533E7,0.353,0.7196,4.533E7,2.73E5,5.2786,254.15407,254.15461,0.0714,5.1414,5.3837,ESTIMATED,254.15429,3.198E4,2.997E6,0.5849,0.8409,2.997E6,4.727E6,5.3734,254.15373,254.15479,0.1033,5.1411,5.5372,ESTIMATED,254.15405,3.315E5,4.073E7,0.2904,0.677,4.073E7,2.616E5,5.3137,254.15385,254.15454,0.1003,5.1403,5.4124,ESTIMATED,254.15422,5.166E4,2.225E6,0.4604,0.7962,2.225E6,5.118E6,5.3972,254.15386,254.15419,0.0844,5.1419,5.5398,ESTIMATED,254.15408,4.758E5,4.306E7,0.3186,0.6804,4.306E7,2.694E5,5.2992,254.15409,254.15464,0.0739,5.1409,5.413,ESTIMATED,254.15427,3.107E4,2.628E6,0.4806,1.074,2.628E6
258,5.006E5,5.3581,381.27556,381.2779,1,10,0,0.849,1.27,0.00048,0.1921,0,5.1692,5.5591,381.27735,2.253E4,6.364E6,6.364E6,4.181E5,5.3511,381.27548,381.27842,0.0807,5.2526,5.5575,ESTIMATED,381.27744,3.462E4,4.556E6,1.6839,1.5687,4.556E6,4.231E5,5.4012,381.27533,381.27785,0.1625,5.285,5.5591,ESTIMATED,381.2773,3.237E4,4.322E6,1.4877,1.3519,4.322E6,5.006E5,5.2526,381.27559,381.27814,0.0704,5.1692,5.5195,ESTIMATED,381.27747,3.496E4,6.364E6,1.6959,1.593,6.364E6,4.265E5,5.4023,381.2753,381.27744,0.1178,5.304,5.5572,ESTIMATED,381.27723,2.943E4,4.122E6,2.3096,1.4658,4.122E6,4.528E5,5.4128,381.2752,381.27763,0.096,5.2969,5.5584,ESTIMATED,381.27713,2.926E4,4.604E6,1.7642,1.3516,4.604E6,4.809E5,5.2907,381.27553,381.27796,0.0618,5.195,5.4976,ESTIMATED,381.27761,3.993E4,6.115E6,1.214,1.2534,6.115E6,4.414E5,5.4092,381.27676,381.27765,0.0896,5.29,5.5581,ESTIMATED,381.27716,4.493E4,4.502E6,1.7803,1.2006,4.502E6,4.182E5,5.3197,381.27556,381.2779,0.0765,5.227,5.559,ESTIMATED,381.27743,2.3E4,4.475E6,2.2408,1.5004,4.475E6,4.31E5,5.4447,381.27665,381.27744,0.0918,5.3408,5.5577,ESTIMATED,381.2772,2.956E4,4.312E6,1.5413,0.6891,4.312E6,4.475E5,5.2962,381.2756,381.27802,0.0739,5.2066,5.5178,ESTIMATED,381.27753,2.253E4,4.983E6,1.9561,1.85,4.983E6
259,8.328E4,5.3473,224.00561,224.0067,0.6,6,6,0.901,0.82,0.00018,0.0446,0,5.1508,5.4477,224.00641,4.239E4,6.958E5,6.958E5,5.395E4,5.3391,224.00558,224.00666,0.0956,5.2496,5.4079,ESTIMATED,224.00646,1.343E5,5.936E5,0.7689,0.8845,5.936E5,7.586E4,5.3415,224.00549,224.0067,0.082,5.1508,5.4131,ESTIMATED,224.00639,4.457E4,6.68E5,0.3831,0.6871,6.68E5,8.167E4,5.3758,224.00564,224.00697,0.0708,5.1633,5.4477,ESTIMATED,224.00644,5.069E4,6.362E5,0.3492,0.6692,6.362E5,7.172E4,5.3367,224.00545,224.0066,0.1301,5.164,5.4053,ESTIMATED,224.00635,8.914E4,5.648E5,0.4059,0.6989,5.648E5,8.321E4,5.3117,224.00537,224.00656,0.166,5.1631,5.389,ESTIMATED,224.00631,1.901E5,6.958E5,0.5204,0.7602,6.958E5,8.328E4,5.3837,224.00566,224.00696,0.1234,5.1592,5.4406,ESTIMATED,224.00658,4.48E4,6.128E5,0.2676,0.6277,6.128E5,6.903E4,5.3256,224.00539,224.00657,0.1412,5.1619,5.3973,ESTIMATED,224.00632,5.791E4,5.945E5,0.4185,0.7186,5.945E5,5.691E4,5.3585,224.00561,224.0067,0.0658,5.2478,5.4183,ESTIMATED,224.00641,1.067E5,6.302E5,0.5407,0.7702,6.302E5,6.83E4,5.3289,224.00543,224.00655,0.0867,5.1627,5.3854,ESTIMATED,224.00635,4.239E4,6.63E5,0.4434,0.67,6.63E5,8.056E4,5.3711,224.00564,224.00679,0.1261,5.1528,5.44,ESTIMATED,224.00648,8.541E4,5.735E5,0.3011,0.6577,5.735E5
260,6.344E6,5.3907,469.26996,469.27102,1,10,0,0.846,1.39,0.00065,0.1379,0,5.1908,5.5894,469.27053,1.435E5,6.163E7,6.163E7,5.103E6,5.381,469.26962,469.27084,0.1485,5.1929,5.5873,ESTIMATED,469.27062,2.176E5,5E7,0.3916,0.741,5E7,5.22E6,5.4131,469.26975,469.2707,0.0767,5.1925,5.589,ESTIMATED,469.27043,3.316E5,5.02E7,0.3352,0.6989,5.02E7,4.736E6,5.3128,469.2702,469.27161,0.0768,5.193,5.5046,ESTIMATED,469.27087,3.444E5,4.991E7,0.6617,0.8851,4.991E7,5.399E6,5.4262,469.26974,469.27058,0.0876,5.1908,5.5871,ESTIMATED,469.27036,4.87E5,4.988E7,0.3226,0.6885,4.988E7,5.932E6,5.4306,469.26967,469.27047,0.073,5.1928,5.5882,ESTIMATED,469.27022,6.209E5,6.163E7,0.5663,0.6798,6.163E7,4.62E6,5.3417,469.26942,469.2711,0.0867,5.192,5.587,ESTIMATED,469.27082,1.435E5,4.229E7,0.4109,0.806,4.229E7,5.335E6,5.4211,469.26957,469.27049,0.0799,5.1917,5.579,ESTIMATED,469.27024,4.111E5,4.907E7,0.3378,0.6952,4.907E7,4.792E6,5.3735,469.26996,469.27102,0.0788,5.1911,5.5888,ESTIMATED,469.27067,2.562E5,4.293E7,0.3546,0.746,4.293E7,6.344E6,5.4506,469.26967,469.27056,0.0764,5.1925,5.5875,ESTIMATED,469.27032,5.595E5,5.778E7,0.4152,0.6593,5.778E7,4.59E6,5.3562,469.2697,469.27107,0.0919,5.1917,5.5894,ESTIMATED,469.27076,1.708E5,3.875E7,0.4655,0.8282,3.875E7
261,1.867E6,5.4495,376.08091,376.08483,1,10,0,0.866,1.14,0.00043,0.0627,0,5.2977,5.6499,376.0828,2.384E4,2.468E7,2.468E7,1.709E6,5.4439,376.08214,376.08486,0.068,5.3391,5.5903,ESTIMATED,376.08288,4.469E4,2.218E7,1.1889,1.1257,2.218E7,1.663E6,5.4608,376.08198,376.08321,0.0733,5.3505,5.6488,ESTIMATED,376.08273,3.588E4,2.111E7,1.1606,1.1006,2.111E7,1.862E6,5.4147,376.08095,376.08343,0.0694,5.2977,5.585,ESTIMATED,376.08299,2.508E4,2.468E7,1.0719,1.0443,2.468E7,1.673E6,5.4618,376.08193,376.08451,0.0702,5.3605,5.6499,ESTIMATED,376.08265,2.836E4,2.176E7,1.4445,1.2351,2.176E7,1.867E6,5.4691,376.0821,376.08444,0.0811,5.3533,5.6479,ESTIMATED,376.08259,2.82E4,2.309E7,1.1607,1.1019,2.309E7,1.811E6,5.4286,376.08098,376.0849,0.0709,5.3027,5.614,ESTIMATED,376.08301,2.938E4,2.353E7,0.9608,1.0395,2.353E7,1.649E6,5.4657,376.08223,376.08435,0.0733,5.3555,5.579,ESTIMATED,376.08265,2.817E4,2.083E7,1.1686,1.1098,2.083E7,1.793E6,5.4363,376.08091,376.08483,0.0682,5.3227,5.6276,ESTIMATED,376.08294,2.384E4,2.356E7,1.3008,1.088,2.356E7,1.738E6,5.4774,376.08204,376.08451,0.0714,5.3764,5.6473,ESTIMATED,376.08262,4.179E4,2.222E7,1.2681,1.1621,2.222E7,1.803E6,5.437,376.08092,376.0833,0.0702,5.3172,5.6223,ESTIMATED,376.08297,2.503E4,2.429E7,1.0335,1.0385,2.429E7
262,2.078E6,5.454,341.10662,341.10792,1,10,0,0.859,1.3,0.00044,0.0477,0,5.2947,5.6599,341.10734,2.917E4,2.335E7,2.335E7,1.852E6,5.4619,341.10659,341.10778,0.08,5.3212,5.6592,ESTIMATED,341.10742,2.917E4,2.075E7,0.7006,0.8864,2.075E7,1.794E6,5.4608,341.10662,341.10794,0.0833,5.3296,5.6578,ESTIMATED,341.10728,3.016E4,1.918E7,0.9812,0.9922,1.918E7,2.078E6,5.4267,341.10684,341.10776,0.0821,5.2947,5.6571,ESTIMATED,341.10754,3.457E4,2.335E7,0.8496,0.961,2.335E7,1.799E6,5.4678,341.1064,341.10733,0.0877,5.3367,5.6589,ESTIMATED,341.1072,3.168E4,1.907E7,0.9706,1.0158,1.907E7,1.999E6,5.4691,341.10652,341.10877,0.0863,5.3355,5.6599,ESTIMATED,341.10711,4.391E4,2.083E7,0.8712,0.9698,2.083E7,2.011E6,5.4286,341.10705,341.10775,0.0793,5.3087,5.605,ESTIMATED,341.10756,3.702E4,2.312E7,0.9963,1.0735,2.312E7,1.801E6,5.4657,341.10623,341.1074,0.0891,5.3346,5.6598,ESTIMATED,341.10713,2.947E4,1.884E7,0.9328,1.0433,1.884E7,1.921E6,5.4483,341.10662,341.10792,0.1732,5.3167,5.6577,ESTIMATED,341.10747,5.428E4,2.109E7,0.9053,0.925,2.109E7,1.835E6,5.4744,341.10653,341.1075,0.0805,5.3616,5.6592,ESTIMATED,341.10718,5.631E4,2.066E7,1.136,1.07,2.066E7,1.962E6,5.437,341.10688,341.10794,0.0856,5.3172,5.6583,ESTIMATED,341.10751,4.917E4,2.204E7,1.048,1.0469,2.204E7
263,1.016E5,5.3449,235.10129,235.10194,0.2,2,4,0.929,0.04,0.00001,0.0426,0,5.2583,5.6511,235.10154,3.021E4,9.075E5,9.075E5,5.51E4,5.2795,235.10133,235.10193,0.0946,5.2586,5.4079,ESTIMATED,235.10158,3.57E4,6.36E5,6.1151,3.5757,6.36E5,1.942E4,5.2612,235.10128,235.10174,0.0361,5.2612,5.3355,ESTIMATED,235.1015,4.885E4,6.339E5,,,6.339E5,1.016E5,5.5314,235.10143,235.10216,0.3081,5.2586,5.6511,ESTIMATED,235.10165,3.021E4,5.45E5,0.607,0.7193,5.45E5,1.204E4,5.2624,235.10117,235.10164,0.0207,5.2594,5.3248,ESTIMATED,235.10143,3.349E4,4.366E5,18.6142,10.2094,4.366E5,6.718E3,5.2643,235.10127,235.1023,0.0203,5.2583,5.3087,ESTIMATED,235.10148,3.212E4,2.703E5,7.3898,4.2499,2.703E5,7.617E4,5.4796,235.10136,235.102,0.0837,5.3537,5.5185,ESTIMATED,235.10162,1.231E5,9.075E5,0.3418,0.6546,9.075E5,5.694E3,5.2632,235.1013,235.10232,0.0173,5.2603,5.29,ESTIMATED,235.10147,6.093E4,3.283E5,8.9921,4.9961,3.283E5,7.755E4,5.4064,235.10129,235.10194,0.1396,5.2598,5.4962,ESTIMATED,235.10161,3.425E4,6.141E5,0.5162,0.811,6.141E5,8.082E2,5.2637,235.10138,235.10162,0.0049,5.2607,5.2755,ESTIMATED,235.10139,3.563E4,1.623E5,4.0011,2.5006,1.623E5,8.342E4,5.437,235.10141,235.10199,0.1012,5.3352,5.5178,ESTIMATED,235.10163,8.955E4,8.916E5,0.7662,0.8974,8.916E5
264,4.567E6,5.4675,214.10853,214.10954,1,10,0,0.889,0.88,0.00019,0.0453,0,5.3206,5.6698,214.10926,2.998E4,4.821E7,4.821E7,2.078E5,5.4649,214.10848,214.10938,0.0913,5.354,5.5814,ESTIMATED,214.10929,3.094E4,2.301E6,0.9352,1.0736,2.301E6,3.929E6,5.4756,214.1084,214.10935,0.0879,5.3206,5.6698,ESTIMATED,214.10926,3.458E4,4.092E7,0.7882,0.9356,4.092E7,2.279E5,5.4417,214.10844,214.10949,0.0747,5.3398,5.5671,ESTIMATED,214.10933,3.035E4,2.824E6,1.0173,1.1308,2.824E6,3.986E6,5.4826,214.10839,214.10931,0.0874,5.3367,5.6679,ESTIMATED,214.10921,1.015E5,4.31E7,0.785,0.9414,4.31E7,4.567E6,5.4869,214.10828,214.10923,0.0867,5.3295,5.6689,ESTIMATED,214.10915,5.083E4,4.821E7,0.7537,0.8841,4.821E7,2.204E5,5.4586,214.10858,214.1096,0.077,5.3567,5.5632,ESTIMATED,214.10934,4.447E4,2.598E6,0.8481,0.9582,2.598E6,4.046E6,5.4716,214.10832,214.10945,0.0802,5.3256,5.6688,ESTIMATED,214.10917,5.107E4,4.283E7,0.9334,0.9966,4.283E7,2.133E5,5.4633,214.10853,214.10954,0.0885,5.3585,5.5858,ESTIMATED,214.10932,2.998E4,2.478E6,0.8834,0.9868,2.478E6,3.996E6,5.4744,214.109,214.10926,0.0808,5.3526,5.6682,ESTIMATED,214.1092,1.088E5,4.442E7,1.1508,1.1193,4.442E7,2.126E5,5.4549,214.10856,214.10947,0.0886,5.3651,5.5626,ESTIMATED,214.10933,5.449E4,2.563E6,1.0976,1.0962,2.563E6
265,2.214E6,5.4677,500.27628,500.27963,1,10,0,0.86,1.23,0.00062,0.1639,0,5.29,5.6698,500.27899,2.444E4,2.35E7,2.35E7,2.214E6,5.4649,500.27623,500.27948,0.0826,5.3451,5.6683,ESTIMATED,500.27923,2.467E4,2.35E7,1.5303,1.4484,2.35E7,2.051E6,5.4399,500.27602,500.27928,0.0935,5.3088,5.6698,ESTIMATED,500.27894,3.164E4,2.119E7,1.3306,1.2981,2.119E7,1.911E6,5.5612,500.27616,500.27957,0.0855,5.4357,5.6692,ESTIMATED,500.27898,3.617E4,2.005E7,1.5802,1.1218,2.005E7,1.984E6,5.4351,500.27644,500.27921,0.0898,5.3099,5.6679,ESTIMATED,500.27886,5.687E4,1.879E7,1.4771,1.3965,1.879E7,2.13E6,5.4306,500.27578,500.27968,0.0995,5.291,5.6689,ESTIMATED,500.27872,5.059E4,2.098E7,1.2983,1.4097,2.098E7,1.946E6,5.5334,500.27643,500.27954,0.0886,5.4107,5.6682,ESTIMATED,500.27924,2.444E4,1.977E7,1.6973,1.3462,1.977E7,2.056E6,5.4092,500.27839,500.27911,0.0969,5.29,5.6688,ESTIMATED,500.27874,3.868E4,1.802E7,2.0679,1.7178,1.802E7,2.087E6,5.4903,500.27628,500.27963,0.0806,5.3735,5.6698,ESTIMATED,500.27904,3.946E4,2.262E7,1.2187,1.4579,2.262E7,1.844E6,5.3972,500.27624,500.27931,0.0775,5.2904,5.6682,ESTIMATED,500.2788,4.484E4,1.898E7,1.7616,1.6947,1.898E7,2.016E6,5.5149,500.27637,500.27965,0.0808,5.398,5.6673,ESTIMATED,500.27933,5.108E4,2.156E7,1.7942,1.3738,2.156E7
266,9.259E5,5.4698,325.97031,325.97218,1,10,0,0.756,3.27,0.00107,0.1967,0,5.2904,5.6692,325.97119,2.469E4,1.279E7,1.279E7,8.226E5,5.4768,325.97022,325.97218,0.0745,5.357,5.6112,ESTIMATED,325.97162,4.191E4,9.998E6,1.0357,1.0183,9.998E6,7.98E5,5.428,325.97013,325.97201,0.0725,5.3177,5.5621,ESTIMATED,325.97109,3.555E4,9.939E6,1.0511,1.0996,9.939E6,9.075E5,5.585,325.97021,325.97224,0.0788,5.4627,5.6692,ESTIMATED,325.97064,3.027E4,1.087E7,1.071,1.0118,1.087E7,8.135E5,5.4172,325.97019,325.97208,0.0763,5.3188,5.5781,ESTIMATED,325.97123,4.806E4,9.985E6,1.2817,1.0976,9.985E6,9.259E5,5.4128,325.97009,325.97199,0.0705,5.2998,5.5494,ESTIMATED,325.97165,3.006E4,1.279E7,1.4151,1.0294,1.279E7,8.716E5,5.5513,325.96906,325.97224,0.0776,5.4406,5.6682,ESTIMATED,325.97119,3.155E4,1.065E7,1.228,1.116,1.065E7,8.278E5,5.4092,325.97007,325.97191,0.0801,5.3108,5.597,ESTIMATED,325.97171,3.22E4,9.81E6,1.4008,1.144,9.81E6,8.474E5,5.5022,325.97031,325.97218,0.0929,5.3914,5.6637,ESTIMATED,325.97072,2.469E4,1.165E7,1.0234,1.0531,1.165E7,8.525E5,5.3883,325.97,325.97203,0.0649,5.2904,5.5488,ESTIMATED,325.97127,2.79E4,1.111E7,1.0622,1.0952,1.111E7,8.559E5,5.5268,325.97011,325.97222,0.0751,5.41,5.6673,ESTIMATED,325.97079,2.564E4,1.068E7,1.1344,1.1262,1.068E7
