rt,rt_range:min,rt_range:max,mz,datafile:SA4.mzML:area,datafile:SA1.mzML:area,datafile:SA2.mzML:area,datafile:SA3.mzML:area,datafile:SA5.mzML:area,datafile:SB3.mzML:area,datafile:SB4.mzML:area,datafile:SB5.mzML:area,datafile:SB2.mzML:area,datafile:SB1.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio,true p-value
3.3374,3.1711,3.4371,205.09735,634100,733800,732300,644100,631200,722600,629700,639400,625600,621300,3.47,13,0.91,1/1,0.113,675100,7.86839505451416,647720,6.54477660755966,0.959443045474744,1.05433301700521,0.393974661012673
3.2434,2.9704,3.2753,338.08663,28650,23970,19140,20670,25170,16290,38000,25330,35980,31210,3.2,14,0.94,1/1,0.406,23520,15.9861684019319,29362,29.932094017077,1.2483843537415,1.32806846142712,0.208934946345769
19.6909,19.4056,19.8597,444.10055,860200,848300,855400,870500,958200,852600,836800,881300,975300,946800,19.56,15,1.05,1/1,0.36,878520,5.15271312614314,898560,6.68676905032144,1.02281109138096,0.974105801315199,0.567865431724399
4.6845,4.4641,4.9611,397.17772,1510000,1705000,1668000,1569000,1392000,1269000,1104000,1339000,1172000,1247000,4.56,16,0.77,1/1,0.032,1568800,8.00645934992542,1226200,7.39153337211368,0.78161652218256,1.01508639244488,0.00112668651739085
3.3509,3.309,3.4096,454.2242,61890,76600,68540,73220,68750,83810,75300,76960,70580,72750,3.27,17,1.18,1/1,0.042,69800,7.95079246749913,75880,6.66387093215552,1.08710601719198,0.921276285755913,0.107755589428472
3.3091,3.2473,3.4817,442.22508,216100,192400,239700,31950,198500,291900,43350,269000,246400,239100,3.31,18,1.14,1/1,0.011,175730,46.9176520329893,217950,45.7767717776011,1.24025493655039,1.08794292679859,0.48655545209092
3.6891,3.5771,3.7927,510.26618,141600,150400,157800,136400,140900,170900,157200,157900,143200,150800,3.66,19,1.07,1/1,0.166,145420,5.89997495936743,156000,6.55242977552466,1.07275477926007,1.00257456005614,0.114209982512058
23.7609,23.395,23.9799,310.10776,3684000,3798000,3700000,3525000,3463000,3590000,3592000,3496000,3605000,3577000,23.68,20,1.03,1/1,0.144,3634000,3.76487532442112,3572000,1.22141989688541,0.98293891029169,0.954309621642417,0.362612885903488
3.338,3.0803,3.4488,200.11078,1463000,1616000,1601000,1490000,1461000,1683000,1422000,1423000,1431000,1427000,3.38,21,0.91,1/1,0.112,1526200,4.99161439364746,1477200,7.79182408382649,0.96789411610536,1.06361990780809,0.450212715033225
4.4478,4.1483,4.6099,309.16037,4581000,4904000,5497000,4711000,4885000,3169000,3027000,2565000,3394000,3779000,4.31,22,0.86,1/1,0.072,4915600,7.14133775949789,3186800,14.0868944146437,0.648303360729107,0.753841117126869,0.000140174661034683
22.7514,22.3912,22.9899,478.09741,1244000,1247000,1240000,1244000,1379000,311100,2978,11940,881400,1111000,22.69,23,0.23,1/4,0.2,1270800,4.7636737242917,463683.6,109.602732763556,0.364875354107649,1.58641458307673,0.00777400020124718
0.5809,0.5559,0.8299,329.15359,9268000,8803000,9707000,9610000,9205000,8952000,9311000,9267000,9244000,9139000,0.53,24,0.99,1/1,0.707,9318600,3.85830919953435,9182600,1.5635746815964,0.985405533019982,0.995359124262608,0.454792196085285
19.3666,19.0405,19.6399,374.21263,2920000,2616000,2936000,2969000,3343000,2851000,3170000,2725000,3091000,2837000,19.34,25,0.98,1/1,0.716,2956800,8.7416076614714,2934800,6.38193710668447,0.992559523809524,1.01281584062196,0.881335585110148
26.8892,26.7843,27.2999,408.13877,2142000,2219000,2285000,2196000,2190000,2163000,2143000,2198000,2083000,2077000,27,26,1.01,1/1,0.711,2206400,2.36169962684837,2132800,2.44315364883452,0.966642494561276,0.957071776793343,0.0560097524619389
12.2948,11.8809,12.5746,313.17397,2681000,2928000,2624000,3389000,2648000,11980000,11850000,12140000,13650000,13790000,12.18,27,4.12,4/1,0,2854000,11.3127022660008,12682000,7.52558820677373,4.44358794674142,1.07854076377219,2.05871768022556E-08
15.4721,15.1848,15.7798,453.20941,1716000,1744000,1691000,2037000,1718000,81200,81500,81800,93600,80800,15.48,28,0.05,1/16,0,1781200,8.09684543857744,83780,6.5671993751442,0.047035706265439,0.94071412530878,4.69672757553837E-09
25.9385,25.837,26.0956,495.21989,115200,106000,101600,101700,101000,48210,48000,50350,47580,47420,25.98,29,0.45,1/2,0,105100,5.69773736311318,48312,2.44751280759,0.459676498572788,1.02150333016175,2.98902701406514E-08
12.7553,12.4004,13.0455,376.14578,4960000,6126000,5021000,5577000,5050000,5914000,5886000,5826000,6615000,6712000,12.58,30,1.07,1/1,0.16,5346800,9.37004759081245,6190600,7.01421611806018,1.15781401960051,1.08206917719674,0.0216144799816593
12.3098,12.0503,12.6498,531.15679,1869000,2019000,1952000,2030000,1672000,1865000,2048000,2098000,1870000,1769000,12.35,31,0.95,1/1,0.542,1908400,7.69927572408853,1930000,7.13701183299939,1.01131838189059,1.06454566514799,0.816504744252091
3.3488,3.2136,3.4986,407.22109,3857000,4299000,4493000,4050000,3943000,999600,880400,913400,890100,896600,3.22,32,0.26,1/4,0,4128400,6.36519952831682,916020,5.26678600824385,0.221882569518457,0.853394498147913,3.94322755433342E-09
24.8734,24.702,24.9998,345.24256,64060,67520,63440,64210,63720,31930,31710,32310,32690,31910,24.7,33,0.55,1/2,0,64590,2.57787978281966,32110,1.21497410172103,0.497135779532435,0.903883235513519,1.04173176403786E-10
3.9894,3.8701,4.2263,268.19133,1504000,1664000,1675000,1517000,1439000,3045000,3108000,3100000,3004000,3069000,4.17,34,2.21,2/1,0,1559800,6.6984878172459,3065200,1.38516947516835,1.96512373381203,0.889196259643451,1.72191121982941E-09
24.8329,24.7697,25.1287,416.99131,291000,525800,401200,267800,165600,35680,2092,2176,51080,88020,24.88,35,3.68,4/1,0,330280,41.6860507906761,35809.6,100.949939783988,0.10842194501635,0.0294624850587907,0.00169754315476117
12.2495,12.145,12.7439,264.17492,8722000,9423000,8895000,9668000,7802000,155900,2168,12920,9091,911100,12.26,36,0.27,1/4,0,8902000,8.14064563387921,218235.8,179.895542202512,0.0245153673331836,0.0907976567895687,1.12079791132954E-08
3.4571,3.2929,3.6799,320.14127,398000,420800,479100,425300,408100,10720000,10020000,10350000,9593000,9474000,3.38,37,22.46,16/1,0,426260,7.3732776784875,10031400,5.17675759427173,23.5335241401961,1.0477971567318,1.30524812167415E-10
5.1754,4.8154,5.32,414.15472,2525000,2744000,2812000,2565000,2527000,2458000,2334000,2398000,2565000,2621000,5.02,38,0.8,1/1,0.032,2634600,5.08790281884845,2475200,4.75953031966365,0.939497456919457,1.17437182114932,0.0808561544924072
9.9727,9.6955,10.3396,270.18557,7831000,8153000,8111000,9439000,9123000,7604000,7210000,7353000,7895000,7858000,10.04,39,0.89,1/1,0.05,8531400,8.25550506305971,7584000,3.98543890380131,0.888951403052254,0.998821801182308,0.0245205995048796
6.8331,6.5115,7.1098,261.19643,2343000,2459000,2357000,2391000,2411000,34610000,35050000,35360000,35420000,39270000,6.81,40,12.59,16/1,0,2392200,1.92436959569874,35942000,5.25263188134118,15.0246634896748,1.19338073786138,1.77328539076723E-10
4.9674,4.5302,5.1193,340.15496,20500000,20680000,23290000,20950000,20630000,1614000,1659000,1726000,1522000,1441000,4.82,41,0.12,1/4,0,21210000,5.53627740653436,1592400,7.0651008898443,0.0750777934936351,0.625648279113626,2.99981005619578E-10
5.4675,5.2927,5.7698,214.10928,4019000,4029000,4602000,4080000,3959000,216000,222000,227900,218400,208400,5.47,42,0.06,1/16,0,4137800,6.35680185444698,218540,3.30658109366949,0.0528155058243511,0.880258430405852,7.20851023574216E-10
9.9135,9.4831,10.1093,288.23224,3462000,2965000,3482000,4179000,4224000,14060000,14350000,14420000,14280000,13810000,9.72,43,3.43,4/1,0,3662400,14.5851861487815,14184000,1.75449371742566,3.87287024901704,1.12911669067552,1.70412538994064E-10
28.0488,27.9102,28.3834,315.23209,645200,660100,787500,641000,779100,304000,296900,301800,301000,364600,28.21,44,0.46,1/2,0.001,702580,10.5450618536131,313660,9.11563374677444,0.446440263030545,0.970522310935966,4.2912057502509E-06
4.2848,4.0748,4.4899,286.19165,1156000,1167000,1362000,1124000,1147000,14370000,14580000,14330000,14550000,14360000,4.19,45,9.21,16/1,0,1191200,8.12472407225606,14438000,0.812755529115166,12.1205507051713,1.3160207063161,5.41160437081092E-16
6.3848,6.1603,6.5187,277.0645,303600,342300,305200,309900,300200,160000,163600,176200,156600,173500,6.46,46,0.51,1/2,0,312240,5.49668132228312,165980,5.13355869621626,0.531578273123239,1.04231033945733,1.41062764627697E-07
11.6334,11.2578,11.9116,399.07695,325700,333600,320100,375900,366500,86370,89800,94260,92360,81750,11.55,47,0.24,1/4,0,344360,7.31405016188357,88908,5.5965699693989,0.258183296550122,1.07576373562551,1.76063882199646E-08
3.8004,3.5118,4.0377,317.16501,5176000,5275000,5968000,5259000,5197000,276100,278500,279300,267800,271400,3.81,48,0.06,1/16,0,5375000,6.21510920877619,274620,1.78417226275875,0.0510920930232558,0.85153488372093,5.92668195812294E-10
31.517,31.4842,31.5435,308.1108,13620,14880,18550,12650,17910,32410,32440,33910,33620,34580,31.54,49,1.83,2/1,0.001,15522,16.7842941927529,33392,2.84194917009272,2.15126916634454,1.17555692149975,5.25375775561131E-07
16.8222,16.4461,17.0659,408.17209,1459000,1517000,1514000,1418000,1502000,22960000,21150000,18510000,23400000,22980000,16.69,50,15.01,16/1,0,1482000,2.87745439409182,21800000,9.32914077521274,14.7098515519568,0.980003434507449,1.70828462762505E-08
11.393,11.3447,11.9441,302.24817,10760000,15990000,12250000,10470000,9501000,5062,41010,28150,236300,507700,11.46,51,0.26,1/4,0,11794200,21.572668952042,163644.4,130.419438263523,0.0138749894015703,0.0533653438521933,7.39750809816569E-06
4.1902,4.0016,4.5991,256.18101,903700,895400,1078000,898500,901600,12900000,13160000,13310000,13270000,13160000,4.3,52,9.74,16/1,0,935440,8.52597652461478,13160000,1.21461758078615,14.0682459591208,1.44437843522801,3.72130697677015E-15
5.187,5.1236,5.7227,279.18618,372700,286900,29090,334600,48300,3200000,5988000,7622000,1676000,894300,5.24,53,0.99,1/1,0.883,214318,76.2039695836924,3876060,73.7435991918644,18.0855551096968,18.2682374845422,0.0211548073835732
9.6555,9.5584,10.0264,245.20151,1892000,3757000,2224000,1718000,1619000,19310,159900,20940,14380,910300,9.63,54,3.41,4/1,0,2242000,39.1437930423653,224966,172.471614825109,0.100341659232828,0.0294257065198909,0.00154074604356879
5.8409,5.6259,6.1796,180.10211,5007000,5182000,4717000,4954000,4978000,251300,260600,267100,256900,302200,5.88,55,0.05,1/16,0,4967600,3.34754839431446,267620,7.53512081451987,0.0538730976729205,1.07746195345841,4.63172606004219E-12
4.3753,4.2403,4.5629,355.20212,741100,868300,811500,737200,720200,1379000,1379000,1386000,1396000,1436000,4.54,56,1.99,2/1,0,775660,8.05534659994477,1395200,1.70924826028861,1.79872624603563,0.903882535696299,3.09158535524305E-08
3.7963,3.456,3.9381,337.21255,8894000,9488000,9944000,8921000,8780000,68890,497300,500800,64500,511200,3.67,57,0.06,1/16,0,9205400,5.38854471709028,328538,72.7734884698752,0.0356897038694679,0.594828397824465,3.84303792526857E-10
5.5791,5.1603,5.7593,310.12681,1447000,1485000,1563000,1451000,1410000,1512000,1548000,1578000,1485000,1530000,5.46,58,1.11,1/1,0.134,1471200,3.92780121039285,1530600,2.30416495643835,1.04037520391517,0.937274958482136,0.0853950848808261
5.1587,4.9521,5.4327,327.13751,1798000,1636000,1944000,1815000,1787000,824700,913900,884200,825900,779300,4.98,59,0.48,1/2,0,1796000,6.09618275068435,845600,6.30651062975264,0.470824053452116,0.980883444691908,1.1864713022701E-07
4.1522,3.6645,4.2641,384.1446,9527000,11210000,10300000,9438000,9614000,73740,526200,26580,483300,471000,4.12,60,0.05,1/16,0,10017800,7.4718267338497,316164,77.257413078994,0.0315602228034099,0.631204456068198,3.24764822550785E-09
3.6064,3.1956,3.724,235.1808,3619000,3660000,4104000,3671000,3747000,269700,1653000,1589000,1705000,1733000,3.59,61,0.53,1/2,0.001,3760200,5.25712126936363,1389940,45.2273232974042,0.369645231636615,0.697443833276632,4.20213051279739E-05
3.5633,3.3631,3.7692,195.09191,3719000,3899000,4077000,3823000,3756000,4372000,3915000,3942000,3874000,3933000,3.47,62,1.03,1/1,0.396,3854800,3.68108735377436,4007200,5.13066387990082,1.03953512503891,1.0092574029504,0.209660259948412
15.6582,15.3729,16.0898,438.18349,6100000,6473000,5788000,6712000,6373000,1534000,1590000,1649000,1635000,1548000,15.79,63,0.29,1/4,0,6289200,5.6583687355131,1591200,3.20432713103557,0.253005151688609,0.872431557546928,2.03725838407029E-09
31.6923,31.6566,31.8248,361.12019,179500,183600,222000,177500,213900,364900,364800,362500,388900,447500,31.63,64,1.87,2/1,0.001,195300,10.7472616936612,385720,9.38093440116676,1.97501280081925,1.05615657797821,7.4349537131374E-06
28.6312,28.4958,28.7954,242.11802,24140,25060,31020,24590,31630,113800,116500,115800,110500,139000,28.54,65,4.48,4/1,0,27288,13.5805836576971,119120,9.53207067748496,4.36528877162123,0.974394815094023,1.33301729958893E-07
12.3814,12.1008,12.7,430.25957,2262000,2365000,2306000,2730000,2115000,923800,867900,778100,1101000,1173000,12.4,66,0.45,1/2,0.001,2355600,9.71245465165431,968760,16.9416591450293,0.411258278145695,0.913907284768212,4.11028398742034E-06
5.2701,5.0593,5.4299,180.1748,3882000,3970000,4469000,3805000,3846000,8199000,8187000,8202000,8159000,8008000,5.13,67,2.03,2/1,0,3994400,6.81451552374537,8151000,1.00260201247583,2.04060684958943,1.00522504905883,8.33293301676915E-10
14.1398,14.0101,14.4704,484.1238,385400,397000,387200,423200,374700,601000,175200,52940,1051000,4493,14.2,68,4.2,4/1,0,393500,4.67398167140031,376926.6,117.825254744676,0.95788208386277,0.228067162824469,0.935602824715828
12.7031,12.2739,12.9397,480.21449,7972000,7518000,8059000,8792000,6371000,2291000,2369000,2494000,2550000,2671000,12.53,69,0.37,1/2,0,7742400,11.5264930242576,2475000,6.04354500951321,0.319668319900806,0.86396843216434,1.15111175864839E-06
5.3997,5.3621,5.71,254.1542,7982,2822000,2360000,1786000,1580000,8653,2262,451.9,14890,38970,5.53,70,0.06,1/16,0,1711196.4,62.5223740714161,13045.38,119.35007332964,0.00762354338753868,0.127059056458978,0.00752273545499551
4.6126,4.4304,4.8125,285.02085,434000,481900,471500,419700,419800,984600,1031000,1073000,979400,929000,4.73,71,2,2/1,0,445380,6.60284949521928,999400,5.47839434148943,2.24392653464457,1.12196326732229,4.18249453136881E-08
7.0147,6.6433,7.1998,311.08167,7189000,6864000,7316000,7432000,7264000,484800,457000,429900,492800,530600,6.9,72,0.08,1/16,0,7213000,2.96981160828984,479020,7.93660323760585,0.0664106474421184,0.83013309302648,2.11440020358031E-12
22.5461,22.0601,22.6986,397.00983,403000,114100,292000,436600,614700,17860000,17790000,18200000,16940000,18040000,22.36,73,14.57,16/1,0,372080,49.7295378694361,17766000,2.75048522373417,47.7477961728661,3.27713082861126,1.18212706572345E-12
25.7043,25.6682,26.268,338.25124,4682000,6372000,5169000,3961000,2507000,342800,275600,14350,507000,764000,25.73,74,1.72,2/1,0,4538200,31.6270738208958,380750,73.0644696256029,0.0838989026486272,0.0487784317724577,0.000218588273685934
31.6474,31.6182,31.6952,377.21211,6364,3759,8908,6366,8493,18780,18350,19200,17360,30270,31.73,75,2.91,4/1,0.004,6778,30.355921539476,20792,25.6936121219946,3.06757155503098,1.05414830069793,0.00059176146681651
21.7908,21.702,22.3013,381.03314,287700,304700,302600,279500,287900,150800,15430,48830,421200,1350000,21.77,76,15.15,16/1,0,292480,3.68260622465703,397252,139.943581691982,1.3582193654267,0.0896514432624882,0.684601401728032
15.9238,15.7308,16.3293,312.13822,2694000,2698000,2685000,3058000,2765000,11070000,11070000,11340000,12610000,11050000,16.03,77,4.02,4/1,0,2780000,5.70611772701176,11428000,5.87662080883873,4.11079136690648,1.02258491714091,2.8396289361507E-09
5.1123,4.8428,5.2496,404.0371,240000,259100,269200,68590,244100,1144000,1153000,1224000,1123000,1098000,4.96,78,4.15,4/1,0,216198,38.548517758009,1148400,4.1169417780748,5.31179751894097,1.27995120938337,2.10191038768898E-08
20.1537,19.8001,20.4311,354.24339,24670000,23280000,24450000,24970000,29620000,7426000,7205000,6975000,8631000,8708000,20.1,79,0.31,1/4,0,25398000,9.62895222170115,7789000,10.5263871975462,0.306677691156784,0.989282874699303,3.36314149767557E-07
10.5234,10.0707,10.7725,324.19625,8321000,8204000,8203000,7730000,8847000,14580000,14490000,14970000,17800000,14910000,10.37,80,1.69,2/1,0.005,8261000,4.82524175106159,15350000,9.02286009929219,1.85812855586491,1.09948435258279,4.15287613593249E-06
31.2774,31.2481,31.3282,607.32505,22660,20270,25920,22800,26820,4138,4008,3822,3113,4570,31.43,81,0.22,1/4,0,23694,11.2297864365549,3930.2,13.5720583251212,0.165873216848147,0.753969167491578,2.03434558381256E-07
16.4636,16.1923,16.8098,470.23227,2256000,2383000,2327000,2455000,2227000,1037000,936500,886300,1039000,832800,16.51,82,0.41,1/2,0,2329600,3.98813018807257,946320,9.65589774239699,0.406215659340659,0.990769900830876,1.05656443995426E-08
4.5809,4.2772,4.7197,427.21431,299100,342700,322400,25520,16690,1303000,1337000,1367000,1336000,1356000,4.56,83,3.68,4/1,0,201282,82.0886819113714,1339800,1.82015761005436,6.65633290607208,1.80878611578046,3.40264006090426E-07
3.6836,3.3641,3.8093,349.21327,891500,1047000,1017000,909800,886200,1053000,952500,939500,951900,965900,3.51,84,1.15,1/1,0.136,950300,7.98054361858246,972560,4.72227785754961,1.02342418183731,0.889934071162882,0.589898221023522
11.6371,11.261,11.8596,296.1468,3109000,2661000,3000000,3688000,3521000,5991000,5876000,5775000,6907000,6085000,11.56,85,1.69,2/1,0.003,3195800,12.9006784111524,6126800,7.36996689850463,1.91714124788785,1.13440310525908,5.04397228843647E-06
21.545,21.1808,21.8217,318.27923,6690000,6150000,6325000,6749000,8425000,14250000,13600000,13450000,13450000,16300000,21.48,86,1.73,2/1,0.003,6867800,13.1862160854532,14210000,8.54459514971917,2.06907597775124,1.19599767500072,4.63792391078491E-06
31.8099,31.7485,31.9787,914.52661,886300,813000,1120000,897600,1063000,191400,189000,182100,188900,227900,31.9,87,0.21,1/4,0,955980,13.5444553759025,195860,9.31452934552557,0.204878763154041,0.975613157876385,1.16346600578076E-06
27.1251,26.9513,27.4795,294.06933,395000,413400,512800,401000,401000,1861000,1840000,1855000,1893000,1877000,27.18,88,4.29,4/1,0,424640,11.7125527532123,1865200,1.09508225877648,4.39242652599849,1.0238756470859,6.69470264006683E-12
6.6063,6.5127,7.1109,266.16537,466400,813900,467500,411500,300200,42450,26100,60880,959200,2220000,6.6,89,16.85,16/1,0,491900,39.1230992153028,661726,144.658338368476,1.34524496848953,0.0798364966462629,0.707480108007971
3.9662,3.6606,4.0983,345.18171,1579000,1741000,1501000,1568000,1542000,1331000,1600000,1498000,1561000,1562000,3.96,90,1.05,1/1,0.377,1586200,5.77451176122571,1510400,7.06820298352196,0.952212835707981,0.906869367340935,0.262659334236681
31.2297,31.1687,31.3061,383.27945,14420,12750,17180,13220,17100,12470,11870,14950,14210,17560,31.08,91,0.83,1/1,0.048,14934,14.0889177248097,14212,15.8407892051313,0.951653944020356,1.146571016892,0.614532512005044
0.625,0.5167,0.7584,333.14109,393900,123800,96640,384500,110100,297600,358200,81150,364100,341100,0.69,92,0.95,1/1,0.314,221788,69.0582886488191,288430,41.175097665271,1.30047613035872,1.36892224248286,0.464063021982375
3.6458,3.4669,3.7145,359.16406,832600,821700,954200,830500,824500,978900,858000,871800,821900,828600,3.75,93,1.07,1/1,0.394,852700,6.67418359107365,871840,7.25813511855859,1.02244634689809,0.955557333549615,0.628598172704029
18.8037,18.5207,19.1196,416.27768,2975000,2917000,2969000,2945000,3171000,2744000,2947000,2376000,3170000,2765000,18.82,94,1.09,1/1,0.262,2995400,3.36485519805809,2800400,10.4513468633568,0.934900180276424,0.857706587409563,0.196608416280263
5.2731,5.0801,5.4262,346.10305,365600,415000,400500,359100,353900,341500,336800,326600,335500,349300,5.38,95,1.07,1/1,0.018,378820,7.18541539368173,337940,2.46500742581647,0.892085951111346,0.833725187954529,0.0124015285474863
32.4557,32.3923,32.6477,411.19636,527300,500700,707600,528400,538900,511900,533400,535800,531000,662600,32.46,96,0.96,1/1,0.661,560580,14.8751456218801,554940,10.9783425174676,0.989938991758536,1.03118644974847,0.905816789199434
25.5127,25.287,25.8196,325.21672,1420000,1167000,1130000,1156000,1144000,1086000,1081000,1106000,1088000,1081000,25.52,97,0.91,1/1,0.118,1203400,10.1266294220618,1088400,0.947279413361411,0.904437427289347,0.993887282735546,0.0686579812315698
4.4493,4.2933,4.5911,1019.45086,50110,56650,55830,49190,52800,55100,60350,59570,54020,53020,4.42,98,1.07,1/1,0.027,52916,6.282252005246,56412,5.90791342165232,1.06606697407211,0.996324274833752,0.135355996240978
29.4234,29.253,29.5395,435.05709,1925000,1957000,2234000,1935000,2183000,1902000,1899000,1922000,1893000,2134000,29.24,99,0.95,1/1,0.46,2046800,7.28739032470303,1950000,5.30428479744068,0.952706664060973,1.00284912006418,0.267237193734169
26.3859,26.0819,26.5296,364.09562,5376000,5661000,5599000,5623000,5532000,4932000,4835000,4548000,4978000,5123000,26.23,100,0.96,1/1,0.126,5558200,2.01782598199545,4883200,4.38680535901445,0.878557806484113,0.915164381754285,0.000247818451517693
0.5798,0.547,0.6686,214.07123,125700,103000,156900,139800,125000,111500,152100,123000,118900,124000,0.39,101,0.92,1/1,0.243,130080,15.3371879040886,125900,12.2717084240961,0.967865928659287,1.05202818332531,0.720692077165884
5.1376,4.9224,5.285,201.13887,233900,252700,275100,240900,234200,209100,213500,225300,212300,222000,5.19,102,0.91,1/1,0.14,247360,6.98494616869408,216440,3.17647972884078,0.875,0.961538461538461,0.00588791485500638
5.3907,5.0201,5.62,469.27052,6196000,7446000,6794000,6153000,6019000,5301000,5297000,5453000,5489000,5838000,5.32,103,0.8,1/1,0.037,6521600,9.14638771755229,5475600,4.02619181999398,0.839609911678116,1.04951238959764,0.00623728169684528
12.8035,12.5171,13.0996,312.19628,1952000,1975000,1937000,2175000,1869000,1980000,2010000,2050000,2137000,2199000,12.8,104,1.11,1/1,0.114,1981600,5.80839158993579,2075200,4.38318625994667,1.04723455793298,0.943454556696381,0.191513034934488
4.8131,4.6801,5.0779,239.07425,778500,792300,885700,786200,764800,823200,834800,866500,806400,773400,4.98,105,1,1/1,0.952,801500,6.0109086058905,820860,4.19555445960762,1.0241547099189,1.0241547099189,0.48563958699859
17.2588,16.9774,17.4595,307.22721,537800,549400,545100,529000,536700,527700,524100,521900,660300,518700,17.16,106,1.06,1/1,0.345,539600,1.46598149457736,550540,11.1608897706839,1.0202742772424,0.96252290305887,0.703263671112208
4.296,3.9603,4.5599,325.15538,1258000,1288000,1413000,1285000,1288000,1265000,1338000,1372000,1275000,1252000,4.26,107,0.93,1/1,0.426,1306400,4.66260195504588,1300400,3.9923314947128,0.995407225964483,1.07033035049944,0.871033058405901
3.4143,3.2863,3.674,329.21903,8212000,8413000,9593000,8482000,8513000,9598000,8304000,8814000,7994000,7996000,3.51,108,1.03,1/1,0.53,8642600,6.2950327557259,8541200,7.9497388279921,0.988267419526531,0.959482931579157,0.800988327483189
12.1534,11.7408,12.4361,471.26531,872600,877900,864400,945700,879600,1027000,922200,990400,1153000,1085000,12.04,109,1.31,1/1,0.027,888040,3.69035543640931,1035520,8.52876916524821,1.16607360028828,0.890132519304027,0.00807024028619397
25.6186,25.3572,25.7497,612.3077,8317000,6545000,7358000,7493000,7380000,7033000,6923000,6882000,7270000,7238000,25.45,110,0.91,1/1,0.009,7418600,8.47449054600327,7069200,2.51604529645295,0.952902164828944,1.04714523607576,0.266019356192959
12.8372,12.5395,13.0597,337.21813,1387000,1377000,1401000,1642000,1333000,1392000,1392000,1416000,1611000,1600000,12.76,111,1.09,1/1,0.307,1428000,8.56462903808383,1482200,7.62714523410205,1.03795518207283,0.952252460617274,0.487552653903808
3.7454,3.3573,3.9094,368.17406,2734000,3311000,2956000,2758000,2720000,2482000,2368000,2548000,2492000,2628000,3.61,112,0.89,1/1,0.067,2895800,8.66918390508938,2503600,3.81211190002048,0.864562469783825,0.971418505375084,0.0114351874944886
8.4526,8.3844,8.797,441.24233,2511000,4257000,8232,2199000,9042,81050,39150,30790,124700,388900,8.49,113,0.99,1/1,0.58,1796854.8,100.789527279222,132918,111.27767408524,0.0739725881022774,0.0747197859618963,0.0747837281090185
