rt,rt_range:min,rt_range:max,mz,datafile:SampleA_3-20170326-960MIX_SampleA_4.mzML:area,datafile:20170326-960MIX_SampleA_2.mzML:area,datafile:20170326-960MIX_SampleA_1.mzML:area,datafile:SampleA_4-20170326-960MIX_SampleA_5.mzML:area,datafile:20170326-960MIX_SampleB_3.mzML:area,datafile:20170326-960MIX_SampleB_2.mzML:area,datafile:20170326-960MIX_SampleB_4.mzML:area,datafile:20170326-960MIX_SampleB_1.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio,true p-value
5.181,4.7859,5.5726,414.15452,33360,34940,35450,33390,36050,32240,37420,32980,5.18,13,0.99,1/1,0.936,34285,3.12462154628584,34672.5,7.10922462702361,1.01130231879831,1.02151749373567,0.78277840900469
9.9931,9.5492,10.3127,270.18477,7407,7067,5904,7894,6828,7004,8307,7292,10,14,0.92,1/1,0.3,7068,11.9832177249119,7357.75,8.98512870932474,1.04099462365591,1.13151589527817,0.609061277493102
6.827,6.4446,7.3161,261.19571,28190,26790,27790,27980,373100,378000,389900,377000,6.83,15,12.67,16/1,0,27687.5,2.24012702646625,379500,1.90999950191516,13.706546275395,1.08181107145975,8.2319027937309E-11
4.9505,4.5988,5.4394,340.15416,296000,282000,276800,301500,20610,21840,21070,21930,4.95,16,0.09,1/16,0,289075,4.00975399877532,21362.5,2.9628996843001,0.0738995070483439,0.821105633870487,6.95904765245313E-09
5.5324,5.385,5.885,214.10868,29430,28320,29630,31000,2435,2376,2476,2158,5.53,17,0.09,1/16,0,29595,3.71587120639355,2361.25,5.99597973840888,0.0797854367291772,0.886504852546413,4.7724334600373E-09
8.5972,8.4014,8.7675,361.19947,748.3,138.7,148.6,786.1,21180,19120,22410,19790,8.59,18,18.5,16/1,0,455.425,79.1260949440122,20625,7.11285561705555,45.287368941099,2.44796588870805,1.82117513911362E-07
9.8932,9.4062,10.399,288.23259,35450,36190,37100,33620,137800,140100,149300,134800,9.9,19,4.07,4/1,0,35590,4.14877783932608,140500,4.45205069535524,3.94773812868783,0.969960228178829,5.49400281253051E-08
28.1305,27.9618,28.4165,315.23131,7940,8464,8602,8132,4493,4365,4603,4661,28.13,20,0.54,1/2,0.001,8284.5,3.65435049664975,4530.5,2.88025828927835,0.546864626712535,1.01271227168988,4.69371822651142E-07
4.3024,4.1046,4.7431,286.19127,5834,5837,5818,5766,103800,100800,101500,99120,4.3,21,14.44,16/1,0,5813.75,0.566032237375883,101305,1.91513633255975,17.4250698774457,1.20672229068184,7.41301167707048E-11
4.9895,4.7142,5.3674,249.09034,19190,19470,21040,19670,26730,28230,28720,26440,4.99,22,1.34,1/1,0.006,19842.5,4.14387267246257,27530,4.05258328235019,1.38742597958927,1.03539252208154,3.19577285858033E-05
6.5723,6.2053,6.7415,277.06393,1829,1737,1589,2023,583.5,625.2,646,632.9,6.57,23,0.47,1/2,0,1794.5,10.1199803267851,621.9,4.34179207116481,0.346558930064085,0.737359425668265,1.41339568286635E-05
11.841,11.4079,12.3399,399.07501,3734,3501,3520,3597,1064,934.5,1117,863.2,11.84,24,0.27,1/4,0,3588,2.94911657611303,994.675,11.706515641118,0.277222686733556,1.02675069160576,5.18456155476046E-08
3.7494,3.5291,4.1619,317.16361,59590,58980,58020,60090,3536,3297,3770,3750,3.75,26,0.06,1/16,0,59170,1.50575383521219,3588.25,6.16381795004795,0.0606430623626838,1.01071770604473,2.13850510346592E-11
16.9961,16.5656,17.4999,408.17141,24640,24640,24920,25130,442300,436200,425900,438600,17,27,16.61,16/1,0,24832.5,0.959388200923756,435750,1.61324128582621,17.5475687103594,1.05644603915469,2.64978709104605E-11
11.2392,10.7466,11.7367,302.24838,155200,161100,130700,150200,44970,40930,42200,43370,11.24,28,0.27,1/4,0,149300,8.82517633052934,42867.5,4.01174766277738,0.287123241795044,1.06341941405572,3.75864459859365E-06
4.2072,4.0176,4.6999,256.18095,3131,2694,3006,2954,56980,57900,56670,56540,4.2,29,15.22,16/1,0,2946.25,6.2398367594108,57022.5,1.07576162130753,19.3542638947815,1.27163363303426,2.90723249115935E-12
5.1013,4.8534,5.5951,279.1857,77620,79250,80560,80650,83890,86950,89260,93270,5.1,30,1.01,1/1,0.828,79520,1.78456264051379,88342.5,4.47497589368597,1.11094693158954,1.09994745701934,0.00568012704859518
9.4638,8.9749,9.9697,245.20137,44510,44410,44580,43900,175000,192200,175800,178100,9.47,31,3.89,4/1,0,44350,0.694485521925382,180275,4.46976211566395,4.06482525366404,1.0449422245923,4.53467859355294E-08
5.9026,5.6955,6.2379,180.10148,50040,50300,49950,48450,3288,2971,3328,2887,5.91,32,0.07,1/16,0,49685,1.68380851961179,3118.5,7.12162323128074,0.0627654221596055,0.896648887994364,4.34435024112742E-11
4.3601,3.9359,4.698,355.20127,13530,12870,13270,13160,26200,25650,27780,24380,4.36,33,1.91,2/1,0.001,13207.5,2.06926187327671,26002.5,5.41845134609244,1.96876774559909,1.03076845319324,1.99998607005499E-06
5.6025,5.204,6.0145,310.12638,28040,26740,28350,26970,30500,30800,30230,29460,5.6,35,1.08,1/1,0.436,27525,2.86843134806952,30247.5,1.8986822927707,1.09891008174387,1.01750933494803,0.00141032883895149
5.2482,5.0109,5.668,327.13627,19050,19010,17900,18590,9962,9535,9335,9158,5.25,36,0.49,1/2,0,18637.5,2.86453294021944,9497.5,3.64146599221669,0.509590878604963,1.03998138490809,1.1759438391654E-07
4.1779,3.6848,4.4763,384.14373,128100,119100,124600,131200,6840,7114,6848,6256,4.18,37,0.06,1/16,0,125750,4.12625838956615,6764.5,5.35325694894852,0.05379324055666,0.896554009277667,7.30488133771787E-09
3.5695,3.3118,3.7442,235.17989,27260,25820,27060,24590,12430,13450,13600,13560,3.57,38,0.46,1/2,0.002,26182.5,4.72862828079412,13260,4.20027158842966,0.506445144657691,1.10096770577759,1.35805016979666E-06
3.5207,3.3698,3.9829,195.09135,47160,42930,46740,44070,43010,43690,45390,43060,3.52,39,0.86,1/1,0.09,45225,4.5388196207627,43787.5,2.54009985894881,0.968214483139856,1.12583079434867,0.264229013300004
15.8039,15.3639,16.3006,438.18214,111600,103900,107300,114800,29360,29630,29880,29780,15.81,40,0.28,1/4,0,109400,4.37294434627703,29662.5,0.763015275027815,0.27113802559415,0.968350091407678,4.88264957167676E-08
31.6012,31.5393,31.8415,361.11977,2286,2062,2282,1983,4597,4627,4428,4902,31.6,41,1.82,2/1,0.031,2153.25,7.17018866589458,4638.5,4.23189704375135,2.15418553349588,1.18361842499774,1.04393482307016E-06
25.4556,25.3141,25.6486,242.11722,1019,851.4,892.9,918.7,1215,1254,1058,1182,25.46,42,1.32,1/1,0.133,920.5,7.74350197119805,1177.25,7.20082840269308,1.27892449755568,0.968882195117936,0.00355416638522991
12.3885,11.899,12.887,430.25853,34410,33450,34920,31910,16840,16890,16000,17330,12.39,43,0.51,1/2,0,33672.5,3.93092527227028,16765,3.31337771334822,0.497884029994803,0.976243196068241,3.84026596216144E-07
5.237,5.0168,5.6562,180.1747,10760,9264,9282,12080,22890,22650,25070,23860,5.24,44,2.32,2/1,0.001,10346.5,13.0639546057943,23617.5,4.66004854285481,2.28265597061808,0.983903435611243,5.06351155718459E-06
14.0893,13.5988,14.5104,484.12196,2407,2596,2486,3230,13210,14390,11850,13890,14.09,45,4.93,4/1,0.001,2679.75,13.9912841935559,13335,8.26247885286887,4.97621046739435,1.00937331995829,1.70958913045319E-06
12.7866,12.3042,13.2939,480.21422,115900,101600,116200,143100,37060,37290,36350,35470,12.8,46,0.28,1/4,0,119200,14.5375683335579,36542.5,2.24211235759005,0.306564597315436,1.09487356184084,7.61985903018155E-05
5.3254,5.0027,5.7135,254.15381,62430,61860,62280,62720,3541,3607,3341,3568,5.32,47,0.06,1/16,0,62322.5,0.575015988998815,3514.25,3.37582540404918,0.0563881423242007,0.939802372070012,7.37669013903696E-14
4.6791,4.3597,4.8943,285.02036,3282,3344,3345,3313,8975,7971,9070,7709,4.68,48,2.63,2/1,0.005,3321,0.901667958706241,8431.25,8.20912857053057,2.53876844323999,0.965311195148284,6.09577243228171E-06
7.2156,6.8812,7.6358,311.08068,48880,47830,48050,49510,2517,2022,520.7,1982,7.22,49,0.05,1/16,0,48567.5,1.59385648272153,1760.425,48.9402774356802,0.0362469758583415,0.72493951716683,2.41537919095176E-10
22.6236,22.388,23.1068,397.00911,10470,10730,10640,10890,35630,105200,6724,184100,22.58,50,15.95,16/1,0,10682.5,1.6417555688189,82913.5,95.4146935090848,7.76161947109759,0.486621910413642,0.117630601365376
25.4569,25.1197,25.9498,338.25179,80220,97510,104000,92800,168700,164300,158500,167500,25.45,51,1.8,2/1,0.001,93632.5,10.7352373249301,164750,2.76892133000475,1.75953862173925,0.977521456521804,1.3434199902946E-05
31.5563,31.5184,31.8082,377.21098,13320,12650,11750,11100,1309,1194,1119,1237,31.56,52,0.14,1/4,0,12205,8.01289714422891,1214.75,6.54731721783295,0.0995288816058992,0.71092058289928,5.17701572524836E-07
21.6548,21.186,22.0691,381.03207,3483,1897,21.41,4046,87680,88920,80170,84990,21.68,53,19.29,16/1,0,2361.8525,76.4739013641014,85440,4.53819103535736,36.1749939930626,1.87532369067199,1.94449092518217E-08
16.2333,15.8105,16.7337,312.13796,17740,18790,17300,18390,105500,97890,99600,100300,16.24,54,5.18,4/1,0,18055,3.67627782722,100822.5,3.25177389681583,5.58418720576018,1.07802841810042,4.5664521037808E-09
5.2297,4.9748,5.4788,404.03652,2335,2359,1795,2333,11990,11320,12380,10740,5.23,55,5.25,4/1,0,2205.5,12.4199284338211,11607.5,6.24873372972129,5.2629789163455,1.002472174542,3.22942173753134E-07
20.0973,19.607,20.5892,354.2436,347100,262200,171700,347600,93120,89290,78300,41930,20.1,56,0.28,1/4,0,282150,29.7231253971752,75660,30.8583865323035,0.268155236576289,0.957697273486747,0.00317829557395835
10.5487,10.0617,11.0439,324.19586,98760,89100,98620,104400,194800,192300,202100,206700,10.55,57,1.97,2/1,0.001,97720,6.49415207486326,198975,3.32647284639906,2.03617478510029,1.03359126147223,5.63368872492358E-07
31.1789,31.135,31.2935,607.32144,517.3,489.3,522.7,606.5,60.32,141.2,75.46,81.62,31.18,58,0.15,1/4,0,533.95,9.46409218622087,89.65,39.6127763646482,0.16789961606892,1.1193307737928,7.06143419452958E-06
16.4628,15.9701,16.9259,470.2307,23150,24450,22540,24740,10990,11200,1171,11090,16.48,59,0.41,1/2,0.025,23720,4.41532050952423,8612.75,57.6111918304546,0.363100758853288,0.88561160695924,0.00100070074810624
4.6191,4.325,4.9166,427.21334,3945,3929,4219,3816,17760,18280,16810,18210,4.62,60,3.79,4/1,0,3977.25,4.30165197738983,17765,3.81129778357956,4.46665409516626,1.17853670057157,1.76300748933522E-08
3.6368,3.2877,3.9245,349.21204,20600,19900,21090,19870,16600,16570,15800,15980,3.64,61,1.25,1/1,0.055,20365,2.89407416361438,16237.5,2.51341393811756,0.797323839921434,0.637859071937147,2.57762516951649E-05
11.6931,11.19,12.1289,296.1465,44950,45370,43000,41980,85070,91360,94370,90560,11.69,63,2.06,2/1,0.001,43825,3.66447839867978,90340,4.29200357917028,2.06138049058756,1.00067014106192,5.51124093162787E-07
21.401,20.9422,21.8437,318.27926,77430,194.4,48200,82230,151800,141800,143900,172200,21.44,64,1.84,2/1,0.004,52013.6,72.4379150495199,152425,9.09858586690077,2.93048356583663,1.59265411186773,0.00244758795240557
31.7163,31.6771,31.965,914.52685,33300,32190,38810,32450,4337,5463,5679,6293,31.72,66,0.14,1/4,0,34187.5,9.12002717023396,5443,15.0077246144625,0.159210237659963,1.13721598328545,1.99602182635602E-06
27.2309,27.092,27.4854,294.06903,1789,1733,1732,1918,8606,8328,8924,8103,27.23,67,4.65,4/1,0,1793,4.87937210889,8490.25,4.17988271592844,4.73522030117122,1.01832694648843,2.75447440371912E-08
6.4806,6.0901,6.9348,266.16487,14970,15070,15140,13470,220000,232000,222600,233300,6.48,68,14.97,16/1,0,14662.5,5.44282985233621,226975,2.93403106047044,15.4799658994032,1.03406585834357,1.04423653557287E-09
3.9453,3.5001,4.2184,345.18016,15150,13890,13530,14910,17690,16620,17970,16130,3.94,69,1.22,1/1,0.017,14370,5.44401035925065,17102.5,5.09321650592545,1.1901530967293,0.975535325187949,0.00343939640883184
5.3271,5.1027,5.5834,383.2813,254.8,191.2,242.4,223.6,185,245.7,215.9,229,5.33,70,1,1/1,0.978,228,12.1420747178935,218.9,11.7316000353957,0.960087719298246,0.960087719298246,0.646897167640252
31.1236,31.078,31.2194,383.27839,333.2,221.3,214.9,269.9,308.4,327.9,399.5,348.1,31.12,71,1.41,1/1,0.032,259.825,21.0661804984229,345.975,11.3279724923712,1.33156932550755,0.944375408161385,0.0429418425104122
0.6252,0.5108,0.9399,333.13979,471.3,947.5,966.4,253.1,2500,2272,2622,2286,0.64,72,4.76,4/1,0,659.575,53.7966776674557,2420,7.03952433749993,3.66902929916992,0.770804474615529,0.000108962824963658
18.9876,18.5193,19.3896,416.27721,32700,32280,37100,15450,34190,38150,37710,36870,18.99,73,1.16,1/1,0.155,29382.5,32.4707362266936,36730,4.83157123042494,1.25006381349443,1.07764121852968,0.180730218937035
12.2921,12.0771,12.5628,411.19741,4956,4926,4867,5038,6097,5941,6047,5641,12.3,75,1.14,1/1,0.038,4946.75,1.43906525327641,5931.5,3.44426120491132,1.19907009652802,1.05181587414739,9.86911721637876E-05
25.659,25.4012,26.0079,325.21606,18700,17250,16500,18850,21580,20840,21160,21190,25.66,76,1.18,1/1,0.002,17825,6.3985459040395,21192.5,1.42987567059118,1.18892005610098,1.0075593695771,0.00125211873120462
4.4609,4.2241,4.6687,1019.44743,212.2,152.3,160.1,178.7,374.6,335.4,461.1,234.5,4.46,77,1.68,1/1,0.07,175.825,15.1622375131128,351.4,26.7430471301868,1.99857813166501,1.18962984027679,0.0114379571781739
29.5102,29.3321,29.9007,435.05671,42470,44340,43710,42460,51380,46240,46710,44680,29.5,78,1.06,1/1,0.519,43245,2.16598110530178,47252.5,6.10596162728721,1.09266967279454,1.03082044603259,0.0384271920878643
26.5548,26.2558,27.0108,364.09479,56490,57940,56210,51760,62640,58730,61440,60710,26.56,79,1.16,1/1,0.005,55600,4.8020123205081,60880,2.69278876086618,1.09496402877698,0.943934507566361,0.0150328246502733
0.6584,0.5476,0.8147,214.07045,51.82,37.29,93.97,81.65,176.9,322.3,315.4,278.9,0.67,80,3.06,4/1,0,66.1825,39.5213840727334,273.375,24.5363853026518,4.13062365428928,1.34987701120565,0.00119826223503166
5.1274,4.9023,5.3532,201.13813,1457,1705,1476,1420,1448,1330,1732,1299,5.12,81,1.04,1/1,0.768,1514.5,8.52499592610192,1452.25,13.5815612420781,0.958897325850116,0.922016659471265,0.616364442422101
5.3613,4.8655,5.8563,469.27021,99340,99150,103500,98000,104000,112400,100100,106000,5.36,82,1.19,1/1,0.04,99997.5,2.40893790126072,105625,4.86469709503137,1.05627640691017,0.887627232697624,0.0945938087081354
13.1038,12.7892,13.5336,312.19551,37830,36620,35170,38370,33950,42570,27090,43100,13.1,83,1.02,1/1,0.895,36997.5,3.84122863687399,36677.5,20.8433304105417,0.991350766943712,0.971912516611483,0.937079851965088
15.1652,15.031,15.282,239.07271,11140,11220,9861,10340,10770,5616,12520,1421,15.17,84,1.36,1/1,0.006,10640.25,6.14669426158403,7581.75,66.547548401563,0.712553746387538,0.523936578226131,0.274533301836292
17.5295,17.2102,17.9105,307.22652,14280,14040,13730,14230,16330,16080,15500,16280,17.53,85,1.19,1/1,0.015,14070,1.77065974328877,16047.5,2.37199800640747,1.14054726368159,0.958443078724027,0.000127909085367287
4.2934,3.8636,4.7241,325.1546,13740,13090,13750,14370,16930,16630,17250,15860,4.29,86,1.22,1/1,0.008,13737.5,3.80451693559783,16667.5,3.56914921032231,1.21328480436761,0.994495741284924,0.000312713640502045
3.374,3.2724,3.7806,329.21698,48080,46000,41200,44500,53210,47890,52640,55280,3.37,87,1.16,1/1,0.046,44945,6.44392407742501,52255,5.97694289703513,1.1626432306152,1.00227864708207,0.0139304762594314
12.2898,11.8132,12.7987,471.26364,29240,29150,30250,27800,31650,31880,31330,31910,12.3,88,0.99,1/1,0.662,29110,3.45477103037434,31692.5,0.8460241825699,1.0887152181381,1.09971234155363,0.00254595815779842
25.4781,25.1779,25.9799,612.30845,121300,132800,143100,119000,156600,158500,146600,131800,25.49,89,1.06,1/1,0.74,129050,8.63499300250532,148375,8.23646144593508,1.14974815962805,1.0846680751208,0.0580853711783408
3.7057,3.3954,3.8347,368.17347,49360,45850,48170,48070,55140,53100,55180,47670,3.71,91,1.18,1/1,0.045,47862.5,3.0588541273735,52772.5,6.70349441214139,1.10258553147036,0.934394518195218,0.0426255597487605
6.033,5.7451,6.289,422.17572,2446,3630,3385,3826,4033,3741,3821,3933,6.05,92,0.97,1/1,0.553,3321.75,18.3960681921903,3882,3.29230155547129,1.16866109731316,1.20480525496202,0.122829069188395
8.3989,7.9513,8.89,441.24254,87920,84000,87160,90200,98490,99990,104100,92230,8.4,93,1.17,1/1,0.057,87320,2.93484528426045,98702.5,4.98844572935394,1.13035387081997,0.96611441950425,0.00634830093714002
16.8478,16.5357,17.1754,258.11321,2656,2638,2714,2751,4746,5730,5273,2779,16.84,94,1.64,1/1,0.059,2689.75,1.93859028619937,4632,28.0464982838209,1.72209313133191,1.05005678739751,0.024392296941457
3.277,2.7859,3.4106,316.17641,10560,10110,11620,11590,11390,12210,13090,10530,3.28,95,1.17,1/1,0.083,10970,6.89150625642217,11805,9.29636939145918,1.07611668185962,0.919757847743263,0.256769072926061
4.088,3.6309,4.5773,222.18516,101300,99380,100600,104100,105900,101800,106000,106200,4.09,96,1.04,1/1,0.37,101345,1.97413937254656,104975,2.0198504628401,1.03581824461,0.995979081355765,0.0471389535927823
30.0775,29.9707,30.3247,836.38511,4021,1859,962,3713,1428,3397,2207,3874,30.08,97,1.15,1/1,0.801,2638.75,55.7143337137469,2726.5,40.8545171278577,1.03325438180957,0.898482071138756,0.927295268273131
3.7058,3.3225,3.8636,308.17566,12150,11990,12320,12550,17380,17160,19120,15620,3.71,98,1.37,1/1,0.043,12252.5,1.95694102701364,17320,8.27282120422261,1.41358906345644,1.03181683463974,0.000431345621407101
32.2026,32.0551,32.458,542.31099,20830,21360,22170,21950,22980,22940,22140,22400,32.2,99,1.05,1/1,0.486,21577.5,2.80103642928017,22615,1.82442371772735,1.04808249333797,0.998173803179017,0.0297425001548012
32.6129,32.414,32.952,556.32495,53830,9787,6302,14310,30950,3216,14560,373,32.61,100,1.12,1/1,0.489,21057.25,104.91918183504,12274.75,113.051902757772,0.582922746322526,0.520466737787969,0.525853906633824
6.1982,5.8846,6.6196,438.17003,17800,15350,15320,17850,22870,24680,23070,22570,6.2,101,1.43,1/1,0.015,16580,8.67188928959892,23297.5,4.05319999616321,1.40515681544029,0.982627143664538,0.000232388123158736
15.5325,15.2315,15.8252,256.09626,9336,9452,9090,9373,10800,10920,4542,10620,15.53,102,1.17,1/1,0.048,9312.75,1.67708054736674,9220.5,33.8532154151475,0.990094225658372,0.846234380904591,0.954842436438581
24.2766,23.8787,24.8687,278.12093,14460,8359,30.08,15390,17940,15490,18030,14440,24.24,103,1.37,1/1,0.003,9559.77,74.0311674537915,16475,10.9007190519201,1.72336782161077,1.25793271650421,0.107028479353613
4.4914,4.3307,4.8877,335.15015,35400,32610,33300,36040,47230,40640,307.5,40860,4.46,104,1.25,1/1,0.004,34337.5,4.78182067134553,32259.375,66.7072817734028,0.939479432107754,0.751583545686203,0.853640652274021
25.9537,25.6853,26.4432,694.28967,64170,63700,49360,66130,83050,76730,81270,68150,25.95,105,1.2,1/1,0.366,60840,12.6978104677954,77300,8.60943504217414,1.27054569362262,1.05878807801885,0.0179438983730667
6.3431,5.9436,6.8348,328.19063,77140,81830,83000,71300,81540,82710,77310,81160,6.34,106,1.15,1/1,0.008,78317.5,6.79238535021683,80680,2.90220035791687,1.03016567178472,0.895796236334541,0.447294371621734
4.8823,4.628,5.2237,247.17989,16140,14430,13150,16250,19030,19510,18750,19120,4.88,107,1.26,1/1,0.181,14992.5,9.90016029444713,19102.5,1.64400562726787,1.27413706853427,1.01121989566212,0.00163574086506267
3.6368,3.4856,3.8309,168.17387,2578,2533,2627,2457,2293,2589,2205,2420,3.63,108,1.06,1/1,0.561,2548.75,2.8333253522746,2376.75,7.01655848111859,0.932515939185875,0.879732018099882,0.107217620609116
3.2263,3.1482,3.3742,348.14556,2773,2440,2676,2665,2598,2919,2676,2483,3.23,109,1.02,1/1,0.887,2638.5,5.34206351589557,2669,6.91490946710467,1.01155959825659,0.991725096329986,0.801587719527627
3.2208,2.7387,3.3828,292.11129,2877,2773,3055,2601,2997,3160,3273,3308,3.22,110,1.59,2/1,0.008,2826.5,6.72752332598529,3184.5,4.39782700638442,1.12665841146294,0.708590195888642,0.0230436023409268
23.182,22.6943,23.6718,502.23802,25570,23110,19530,25300,31230,31120,29320,29790,23.18,111,1.4,1/1,0.008,23377.5,11.941085914697,30365,3.14784023851849,1.29889851352797,0.927784652519975,0.00320374543447511
31.1524,31.0792,31.4573,632.25503,102600,98330,95160,105100,127900,91950,93230,109000,31.15,112,0.84,1/1,0.423,100297.5,4.4076892763507,105520,15.934720727769,1.05207009147785,1.25246439461649,0.569970158083261
22.0892,21.7955,22.4869,548.24216,12320,12370,11800,11880,16250,15680,14330,15040,22.09,113,1.34,1/1,0.015,12092.5,2.43204181074336,15325,5.39787454685378,1.26731445110606,0.945757053064222,0.000321295900484456
4.7105,4.4763,5.1316,557.20552,11070,9139,7328,9946,8478,8650,8193,8641,4.72,114,0.97,1/1,0.871,9370.75,16.8110337064697,8490.5,2.51463257693932,0.906064082384014,0.934086682870118,0.31051957511321
8.4594,8.0806,8.9023,484.18539,45730,44100,43000,45760,49940,50710,45930,48900,8.47,115,1.14,1/1,0.222,44647.5,3.01148738303971,48870,4.28817346947682,1.09457416428691,0.960152775690276,0.0146443234441098
7.8152,7.463,8.2273,451.20045,17350,16310,15670,16870,19420,19320,20060,17790,7.81,116,1.15,1/1,0.023,16550,4.37722544441688,19147.5,5.02699763035182,1.15694864048338,1.00604229607251,0.00502481868188422
27.7156,27.4417,28.2134,470.30508,234900,203800,198000,206800,233000,228800,236500,227400,27.72,117,1.15,1/1,0.08,210875,7.7903487939892,231425,1.78732757637321,1.09745109662122,0.954305301409758,0.0514331351475986
25.8247,25.6409,26.2086,449.16231,15780,17230,16390,17070,18330,19260,19580,18090,25.82,118,1.16,1/1,0.049,16617.5,4.01144624765925,18815,3.8130531722956,1.13224010831954,0.976069058896158,0.00415751100065746
4.816,4.6212,5.2468,349.18325,46420,44550,43630,44350,52280,57500,59900,49880,4.82,119,1.25,1/1,0.007,44737.5,2.65819932701365,54890,8.40309962097314,1.22693489801621,0.981547918412965,0.00530487686414229
13.8646,13.5111,14.3569,420.13593,34910,34220,31800,36180,35500,37410,37900,37590,13.86,120,1.04,1/1,0.303,34277.5,5.36902946627807,37100,2.92640124523353,1.08234264459193,1.0407140813384,0.0384444206174219
11.0356,10.7798,11.4642,367.16644,36250,34760,36530,37390,44170,43510,45050,41160,11.04,121,1.21,1/1,0.025,36232.5,3.02206460546896,43472.5,3.83171102660344,1.19982060304975,0.991587275247726,0.000346191433033467
3.3375,3.1715,3.534,355.10189,506.9,364.2,634.9,788.7,690,700.7,625.8,502.6,3.34,122,1.29,1/1,0.027,573.675,31.5573734118654,629.775,14.4506773708717,1.09779056085763,0.851000434773355,0.599772559229897
21.8439,21.5468,22.2998,311.20014,15780,18100,16870,16790,21170,18990,20280,20300,21.85,123,1.08,1/1,0.379,16885,5.62525641220728,20185,4.45003229096272,1.19543973941368,1.10688864760526,0.00233681456841897
5.1882,4.873,5.6707,295.18086,54990,54690,56290,54650,56290,53760,60030,54150,5.19,124,1.03,1/1,0.715,55155,1.39920163005346,56057.5,5.12400681397402,1.01636297706464,0.986760171907414,0.566174531821436
30.9521,30.9011,31.042,517.35361,230.5,205.1,201.4,246.8,240.8,223.6,275.5,229.3,30.95,125,1.08,1/1,0.518,220.95,9.75208641536571,242.3,9.5999572695863,1.09662819642453,1.01539647817086,0.226716985855756
25.3456,25.1135,25.7763,289.12143,18690,19000,20000,18980,20120,20310,20070,20940,25.35,126,1.06,1/1,0.157,19167.5,2.98835458673174,20360,1.96586405660015,1.06221468631799,1.00208932671508,0.0142642051781122
3.5623,3.3839,3.8082,269.10456,14450,12810,13490,13900,16130,15820,17360,15500,3.56,127,1.11,1/1,0.096,13662.5,5.05875512733992,16202.5,5.02023356877842,1.18591033851784,1.06838769235842,0.00312869434999842
3.3177,2.9477,3.4106,342.16903,11260,11140,10640,11020,12490,13280,12860,12980,3.32,128,1.26,1/1,0.066,11015,2.43771612929597,12902.5,2.53315977452497,1.1713572401271,0.929648603275476,0.000110392257476548
